budget_suffix,uniform_headway_min,span_id,calendar_id,annual_service_days,input_plan_count,passenger_context_frontier_plan_count
reference,60,S8_EXTENDED_0530_2400,IDEALISED_6_DAY_52_WEEK,312,1846,690
reference,60,S8_EXTENDED_0530_2400,IDEALISED_DAILY_YEAR,365,1626,556
p10pct,15,CORE_0600_2200,IDEALISED_5_DAY_52_WEEK,260,819,102
p10pct,15,CORE_0600_2200,IDEALISED_6_DAY_52_WEEK,312,664,52
p10pct,15,CORE_0600_2200,IDEALISED_DAILY_YEAR,365,612,20
p10pct,15,S8_EXTENDED_0530_2400,IDEALISED_5_DAY_52_WEEK,260,685,58
p10pct,15,S8_EXTENDED_0530_2400,IDEALISED_6_DAY_52_WEEK,312,588,22
p10pct,15,S8_EXTENDED_0530_2400,IDEALISED_DAILY_YEAR,365,574,22
p10pct,20,CORE_0600_2200,IDEALISED_5_DAY_52_WEEK,260,1014,233
p10pct,20,CORE_0600_2200,IDEALISED_6_DAY_52_WEEK,312,866,129
p10pct,20,CORE_0600_2200,IDEALISED_DAILY_YEAR,365,785,98
p10pct,20,S8_EXTENDED_0530_2400,IDEALISED_5_DAY_52_WEEK,260,799,132
p10pct,20,S8_EXTENDED_0530_2400,IDEALISED_6_DAY_52_WEEK,312,735,90
p10pct,20,S8_EXTENDED_0530_2400,IDEALISED_DAILY_YEAR,365,616,44
p10pct,30,CORE_0600_2200,IDEALISED_5_DAY_52_WEEK,260,1499,471
p10pct,30,CORE_0600_2200,IDEALISED_6_DAY_52_WEEK,312,1288,368
p10pct,30,CORE_0600_2200,IDEALISED_DAILY_YEAR,365,1091,253
p10pct,30,S8_EXTENDED_0530_2400,IDEALISED_5_DAY_52_WEEK,260,1173,388
p10pct,30,S8_EXTENDED_0530_2400,IDEALISED_6_DAY_52_WEEK,312,977,230
p10pct,30,S8_EXTENDED_0530_2400,IDEALISED_DAILY_YEAR,365,837,156
p10pct,60,CORE_0600_2200,IDEALISED_5_DAY_52_WEEK,260,2449,838
p10pct,60,CORE_0600_2200,IDEALISED_6_DAY_52_WEEK,312,2234,751
p10pct,60,CORE_0600_2200,IDEALISED_DAILY_YEAR,365,1996,768
p10pct,60,S8_EXTENDED_0530_2400,IDEALISED_5_DAY_52_WEEK,260,2286,743
p10pct,60,S8_EXTENDED_0530_2400,IDEALISED_6_DAY_52_WEEK,312,2008,730
p10pct,60,S8_EXTENDED_0530_2400,IDEALISED_DAILY_YEAR,365,1753,641
p20pct,15,CORE_0600_2200,IDEALISED_5_DAY_52_WEEK,260,858,127
p20pct,15,CORE_0600_2200,IDEALISED_6_DAY_52_WEEK,312,757,74
p20pct,15,CORE_0600_2200,IDEALISED_DAILY_YEAR,365,642,34
p20pct,15,S8_EXTENDED_0530_2400,IDEALISED_5_DAY_52_WEEK,260,725,88
p20pct,15,S8_EXTENDED_0530_2400,IDEALISED_6_DAY_52_WEEK,312,612,40
p20pct,15,S8_EXTENDED_0530_2400,IDEALISED_DAILY_YEAR,365,586,20
p20pct,20,CORE_0600_2200,IDEALISED_5_DAY_52_WEEK,260,1117,247
p20pct,20,CORE_0600_2200,IDEALISED_6_DAY_52_WEEK,312,928,175
p20pct,20,CORE_0600_2200,IDEALISED_DAILY_YEAR,365,833,112
p20pct,20,S8_EXTENDED_0530_2400,IDEALISED_5_DAY_52_WEEK,260,855,164
p20pct,20,S8_EXTENDED_0530_2400,IDEALISED_6_DAY_52_WEEK,312,759,108
p20pct,20,S8_EXTENDED_0530_2400,IDEALISED_DAILY_YEAR,365,695,64
p20pct,30,CORE_0600_2200,IDEALISED_5_DAY_52_WEEK,260,1601,541
p20pct,30,CORE_0600_2200,IDEALISED_6_DAY_52_WEEK,312,1404,428
p20pct,30,CORE_0600_2200,IDEALISED_DAILY_YEAR,365,1202,304
p20pct,30,S8_EXTENDED_0530_2400,IDEALISED_5_DAY_52_WEEK,260,1269,444
p20pct,30,S8_EXTENDED_0530_2400,IDEALISED_6_DAY_52_WEEK,312,1069,310
p20pct,30,S8_EXTENDED_0530_2400,IDEALISED_DAILY_YEAR,365,911,206
p20pct,60,CORE_0600_2200,IDEALISED_5_DAY_52_WEEK,260,2551,908
p20pct,60,CORE_0600_2200,IDEALISED_6_DAY_52_WEEK,312,2341,770
p20pct,60,CORE_0600_2200,IDEALISED_DAILY_YEAR,365,2137,749
p20pct,60,S8_EXTENDED_0530_2400,IDEALISED_5_DAY_52_WEEK,260,2388,789
p20pct,60,S8_EXTENDED_0530_2400,IDEALISED_6_DAY_52_WEEK,312,2154,739
p20pct,60,S8_EXTENDED_0530_2400,IDEALISED_DAILY_YEAR,365,1898,704
p30pct,15,CORE_0600_2200,IDEALISED_5_DAY_52_WEEK,260,910,157
p30pct,15,CORE_0600_2200,IDEALISED_6_DAY_52_WEEK,312,807,96
p30pct,15,CORE_0600_2200,IDEALISED_DAILY_YEAR,365,666,54
p30pct,15,S8_EXTENDED_0530_2400,IDEALISED_5_DAY_52_WEEK,260,751,104
p30pct,15,S8_EXTENDED_0530_2400,IDEALISED_6_DAY_52_WEEK,312,626,54
p30pct,15,S8_EXTENDED_0530_2400,IDEALISED_DAILY_YEAR,365,592,26
p30pct,20,CORE_0600_2200,IDEALISED_5_DAY_52_WEEK,260,1216,316
p30pct,20,CORE_0600_2200,IDEALISED_6_DAY_52_WEEK,312,1000,223
p30pct,20,CORE_0600_2200,IDEALISED_DAILY_YEAR,365,870,133
p30pct,20,S8_EXTENDED_0530_2400,IDEALISED_5_DAY_52_WEEK,260,921,212
p30pct,20,S8_EXTENDED_0530_2400,IDEALISED_6_DAY_52_WEEK,312,795,132
p30pct,20,S8_EXTENDED_0530_2400,IDEALISED_DAILY_YEAR,365,743,96
p30pct,30,CORE_0600_2200,IDEALISED_5_DAY_52_WEEK,260,1687,591
p30pct,30,CORE_0600_2200,IDEALISED_6_DAY_52_WEEK,312,1476,456
p30pct,30,CORE_0600_2200,IDEALISED_DAILY_YEAR,365,1298,368
p30pct,30,S8_EXTENDED_0530_2400,IDEALISED_5_DAY_52_WEEK,260,1373,478
p30pct,30,S8_EXTENDED_0530_2400,IDEALISED_6_DAY_52_WEEK,312,1149,368
p30pct,30,S8_EXTENDED_0530_2400,IDEALISED_DAILY_YEAR,365,985,238
p30pct,60,CORE_0600_2200,IDEALISED_5_DAY_52_WEEK,260,2639,950
p30pct,60,CORE_0600_2200,IDEALISED_6_DAY_52_WEEK,312,2427,818
p30pct,60,CORE_0600_2200,IDEALISED_DAILY_YEAR,365,2248,755
p30pct,60,S8_EXTENDED_0530_2400,IDEALISED_5_DAY_52_WEEK,260,2466,839
p30pct,60,S8_EXTENDED_0530_2400,IDEALISED_6_DAY_52_WEEK,312,2264,767
p30pct,60,S8_EXTENDED_0530_2400,IDEALISED_DAILY_YEAR,365,2024,744
