selected_timetable_id,stage_d_input_id,scenario_id,topology_family,uniform_headway_min,span_id,span_start_min,span_end_min,public_route_count,public_route_ids_json,selected_phase_vector_json,robust_min_transfer_quality,robust_unweighted_mean_transfer_quality,exact_daily_bus_km,explicit_public_trip_count,exact_fleet_recovery5,exact_fleet_recovery10,exact_fleet_recovery15,s8_target_selection_semantics,phase_selection_rule,exact_timetable_constructed
D3RT1_72894c79845cc305,D4I2_ea1ee186e839e1ba,P2_a1c64ae2cc9fdb45,interlined_figure8,60,CORE_0600_2200,360,1320,2,"[""R2_235ca1ecac202beb00df"",""R2_93eeaf987a5db7bc47f3""]","[36,34]",0.212877523681,0.444342857723,490.696357648,32,2,2,2,MAX_CONTINUOUS_TRANSFER_QUALITY_OVER_FINITE_EXPLICIT_TARGET_EVENTS,MAX_ROBUST_MIN_QUALITY_THEN_MAX_UNWEIGHTED_MEAN_QUALITY_THEN_LOWEST_ROUTE_PHASE_TUPLE__AFTER_CONTEXT_EXACT_BUDGET_FILTER,true
D3RT1_728b14c9668da264,D4I2_aee0bdfb141ea7a9,P2_3d110befe0bda5e7,single_compact_loop,20,CORE_0600_2200,360,1320,1,"[""R2_717987377cd99367dc20""]",[19],0.356762674297,0.525592674911,273.558066624,48,1,2,2,MAX_CONTINUOUS_TRANSFER_QUALITY_OVER_FINITE_EXPLICIT_TARGET_EVENTS,MAX_ROBUST_MIN_QUALITY_THEN_MAX_UNWEIGHTED_MEAN_QUALITY_THEN_LOWEST_ROUTE_PHASE_TUPLE__AFTER_CONTEXT_EXACT_BUDGET_FILTER,true
D3RT1_7297487065cae0c9,D4I2_210d42a96eb2802d,P2_778d53c510085764,interlined_figure8,60,S8_EXTENDED_0530_2400,330,1440,2,"[""R2_76e6d8e3013b1c1b0590"",""R2_9709d9b43ced9a82d911""]","[3,12]",0.099425842945,0.397893995183,382.215932820,36,2,2,2,MAX_CONTINUOUS_TRANSFER_QUALITY_OVER_FINITE_EXPLICIT_TARGET_EVENTS,MAX_ROBUST_MIN_QUALITY_THEN_MAX_UNWEIGHTED_MEAN_QUALITY_THEN_LOWEST_ROUTE_PHASE_TUPLE__AFTER_CONTEXT_EXACT_BUDGET_FILTER,true
D3RT1_7299455843cbdbcc,D4I2_36720200fb7e08e6,P2_14fd41ab5fad0b23,single_compact_loop,60,S8_EXTENDED_0530_2400,330,1440,1,"[""R2_0c74cbb6c90ba91bf1bd""]",[11],0.121398164927,0.350971701727,281.430842076,18,1,1,1,MAX_CONTINUOUS_TRANSFER_QUALITY_OVER_FINITE_EXPLICIT_TARGET_EVENTS,MAX_ROBUST_MIN_QUALITY_THEN_MAX_UNWEIGHTED_MEAN_QUALITY_THEN_LOWEST_ROUTE_PHASE_TUPLE__AFTER_CONTEXT_EXACT_BUDGET_FILTER,true
D3RT1_72a8579780c496dc,D4I2_b5260e1eb0ae037e,P2_7350b72fa034f75d,trunk_plus_branches,60,S8_EXTENDED_0530_2400,330,1440,2,"[""R2_298d8cb871588ddafec5"",""R2_908291c22c8fbbb67f2a""]","[35,35]",0.257277376861,0.343976709204,261.540466338,38,2,2,2,MAX_CONTINUOUS_TRANSFER_QUALITY_OVER_FINITE_EXPLICIT_TARGET_EVENTS,MAX_ROBUST_MIN_QUALITY_THEN_MAX_UNWEIGHTED_MEAN_QUALITY_THEN_LOWEST_ROUTE_PHASE_TUPLE__AFTER_CONTEXT_EXACT_BUDGET_FILTER,true
D3RT1_72b3ce54398ff63b,D4I2_e2d4321fc901fdf7,P2_d8707add1abceb22,single_compact_loop,30,S8_EXTENDED_0530_2400,330,1440,1,"[""R2_82b714d7fc59d3ff04b5""]",[5],0.324606245226,0.592639706562,350.694775734,37,1,1,2,MAX_CONTINUOUS_TRANSFER_QUALITY_OVER_FINITE_EXPLICIT_TARGET_EVENTS,MAX_ROBUST_MIN_QUALITY_THEN_MAX_UNWEIGHTED_MEAN_QUALITY_THEN_LOWEST_ROUTE_PHASE_TUPLE__AFTER_CONTEXT_EXACT_BUDGET_FILTER,true
D3RT1_72c26c09b2d891e0,D4I2_451f8505fe42613d,P2_523ad3e97e16ce9d,blank_slate,60,S8_EXTENDED_0530_2400,330,1440,1,"[""R2_4b94c05127d80781aa96""]",[10],0.137562023459,0.380431353954,306.960340068,18,1,1,1,MAX_CONTINUOUS_TRANSFER_QUALITY_OVER_FINITE_EXPLICIT_TARGET_EVENTS,MAX_ROBUST_MIN_QUALITY_THEN_MAX_UNWEIGHTED_MEAN_QUALITY_THEN_LOWEST_ROUTE_PHASE_TUPLE__AFTER_CONTEXT_EXACT_BUDGET_FILTER,true
D3RT1_72d85b362bc87be2,D4I2_e636f96aae9dc30a,P2_68d828ceef0540a7,interlined_figure8,60,CORE_0600_2200,360,1320,2,"[""R2_76e6d8e3013b1c1b0590"",""R2_bc9d1756fb236b4ac55b""]","[33,40]",0.137101027236,0.433157008509,375.373110624,32,2,2,2,MAX_CONTINUOUS_TRANSFER_QUALITY_OVER_FINITE_EXPLICIT_TARGET_EVENTS,MAX_ROBUST_MIN_QUALITY_THEN_MAX_UNWEIGHTED_MEAN_QUALITY_THEN_LOWEST_ROUTE_PHASE_TUPLE__AFTER_CONTEXT_EXACT_BUDGET_FILTER,true
D3RT1_72db10f097267f48,D4I2_f1e3ced7e6f07de5,P2_ced9ff6e97a2a342,hybrid_interlined,30,S8_EXTENDED_0530_2400,330,1440,2,"[""R2_691d5061a0170b543a1b"",""R2_a2dd057f37ac2465c3e0""]","[10,9]",0.244943586348,0.630515934832,370.821114138,74,2,2,2,MAX_CONTINUOUS_TRANSFER_QUALITY_OVER_FINITE_EXPLICIT_TARGET_EVENTS,MAX_ROBUST_MIN_QUALITY_THEN_MAX_UNWEIGHTED_MEAN_QUALITY_THEN_LOWEST_ROUTE_PHASE_TUPLE__AFTER_CONTEXT_EXACT_BUDGET_FILTER,true
D3RT1_72ea14cd5e1c62a6,D4I2_37a142bcefd561dd,P2_b5f515896920f7b6,two_independent_loops,60,CORE_0600_2200,360,1320,2,"[""R2_235ca1ecac202beb00df"",""R2_fc5a3487f178bf740b7a""]","[40,36]",0.100284236125,0.397057351197,537.457907952,32,2,2,2,MAX_CONTINUOUS_TRANSFER_QUALITY_OVER_FINITE_EXPLICIT_TARGET_EVENTS,MAX_ROBUST_MIN_QUALITY_THEN_MAX_UNWEIGHTED_MEAN_QUALITY_THEN_LOWEST_ROUTE_PHASE_TUPLE__AFTER_CONTEXT_EXACT_BUDGET_FILTER,true
