scenario_id,topology_family,uniform_headway_min,span_id,span_start_min,span_end_min,reference_budget_feasible_no_extension_policy_count,current_lower_bound_non_regression_pass,minimum_worst_municipality_threshold_margin_vs_current_lower_bound,s8_complete_supported_route_count,s8_incomplete_supported_route_count,public_population_coverage_share_5min,public_population_coverage_share_8min,public_population_coverage_share_10min,public_worst_municipality_coverage_share_5min,public_worst_municipality_coverage_share_8min,public_worst_municipality_coverage_share_10min,public_operational_unknown_distance_share_lower_bound,public_explicit_field_check_pending_count,public_distance_km,public_runtime_min,public_route_count,equivalent_metric_scenario_count,frontier_timing_key
P2_05c3ffcb3dc4b22e,scheduled_extensions,15,CORE_0600_2200,360,1320,9,True,0.0,1,0,0.047393654298,0.13329934518,0.158103200323,0.0,0.0,0.0,0.0,1,1.798824735,4.556729121,1,54,H15_CORE_0600_2200
P2_05f664967c7da452,scheduled_extensions,15,CORE_0600_2200,360,1320,9,True,0.0,1,0,0.047393654298,0.13329934518,0.158103200323,0.0,0.0,0.0,0.0,1,1.798824735,4.556729121,1,54,H15_CORE_0600_2200
P2_06203d155177e577,scheduled_extensions,15,CORE_0600_2200,360,1320,9,True,0.0,1,0,0.047210120657,0.103830657035,0.131740402853,0.0,0.0,0.0,0.0,0,1.028054525,2.303669281,1,54,H15_CORE_0600_2200
P2_06885831f62f3ae9,scheduled_extensions,15,CORE_0600_2200,360,1320,9,True,0.0,1,0,0.0622183843,0.131246275634,0.162320627062,0.0,0.0,0.0,0.0,1,1.54371971,4.27715696,1,53,H15_CORE_0600_2200
P2_07d7e78a14c7ffc3,scheduled_extensions,15,CORE_0600_2200,360,1320,9,True,0.0,1,0,0.0622183843,0.131246275634,0.162320627062,0.0,0.0,0.0,0.0,1,1.54371971,4.27715696,1,53,H15_CORE_0600_2200
P2_08532cbbea0c4c98,scheduled_extensions,15,CORE_0600_2200,360,1320,3,True,0.0,1,0,0.062524413429,0.151116089019,0.207370530572,0.0,0.0,0.0,0.0,0,6.363990446,10.307573164,1,53,H15_CORE_0600_2200
P2_08d5c1398f6787c1,scheduled_extensions,15,CORE_0600_2200,360,1320,9,True,0.0,1,0,0.0592132478,0.135967256974,0.172251107935,0.0,0.0,0.0,0.0,0,2.077214724,3.877409581,1,53,H15_CORE_0600_2200
P2_09ec5659e432abd4,scheduled_extensions,15,CORE_0600_2200,360,1320,9,True,0.0,1,0,0.047393654298,0.13329934518,0.158103200323,0.0,0.0,0.0,0.0,1,1.798824735,4.556729121,1,54,H15_CORE_0600_2200
P2_0b8ba8f17b9f8ff5,scheduled_extensions,15,CORE_0600_2200,360,1320,9,True,0.0,1,0,0.047210120657,0.103830657035,0.131740402853,0.0,0.0,0.0,0.0,0,1.028054525,2.303669281,1,54,H15_CORE_0600_2200
P2_0be06cdce888bbd8,trunk_plus_branches,15,CORE_0600_2200,360,1320,6,True,0.0,2,0,0.071393604352,0.159676290905,0.174973871323,0.0,0.0,0.0,0.0,3,3.358420472,8.80663771,2,2,H15_CORE_0600_2200
P2_0bf3ba0bbd8bc1cf,scheduled_extensions,15,CORE_0600_2200,360,1320,9,True,0.0,1,0,0.061409059953,0.159217870766,0.189661881624,0.0,0.0,0.0,0.0,0,2.789180476,4.945358207,1,54,H15_CORE_0600_2200
P2_0cb60907e6cea1f5,scheduled_extensions,15,CORE_0600_2200,360,1320,9,True,0.0,1,0,0.047393654298,0.13329934518,0.158103200323,0.0,0.0,0.0,0.0,1,1.798824735,4.556729121,1,54,H15_CORE_0600_2200
P2_0cb6579dbfb6c21d,single_compact_loop,15,CORE_0600_2200,360,1320,9,True,0.0,1,0,0.080335421758,0.204655275342,0.247658135595,0.0,0.0,0.0,0.0,1,4.533771494,9.917995248,1,2,H15_CORE_0600_2200
P2_0dad7306b7f24317,single_compact_loop,15,CORE_0600_2200,360,1320,3,True,0.0,1,0,0.07279992348,0.178639244681,0.216419586923,0.0,0.0,0.0,0.0,0,6.402083324,10.364712479,1,2,H15_CORE_0600_2200
P2_0dd9d090e87b1e9a,scheduled_extensions,15,CORE_0600_2200,360,1320,9,True,0.0,1,0,0.0592132478,0.135967256974,0.172251107935,0.0,0.0,0.0,0.0,0,2.077214724,3.877409581,1,53,H15_CORE_0600_2200
P2_0e0652e9afb93f84,scheduled_extensions,15,CORE_0600_2200,360,1320,9,True,0.0,1,0,0.0622183843,0.131246275634,0.162320627062,0.0,0.0,0.0,0.0,1,1.54371971,4.27715696,1,53,H15_CORE_0600_2200
P2_0e18d0ed93e95595,scheduled_extensions,15,CORE_0600_2200,360,1320,9,True,0.0,1,0,0.0592132478,0.135967256974,0.172251107935,0.0,0.0,0.0,0.0,0,2.077214724,3.877409581,1,53,H15_CORE_0600_2200
P2_0e62ca21758f6777,two_radial_out_and_back_feeders,15,CORE_0600_2200,360,1320,6,True,0.0,2,0,0.084846121044,0.163522480105,0.189550664751,0.0,0.0,0.0,0.0,0,5.312334548,9.518736397,2,2,H15_CORE_0600_2200
P2_0f0d05a6e4241795,scheduled_extensions,15,CORE_0600_2200,360,1320,9,True,0.0,1,0,0.051041438573,0.132905952412,0.174535248169,0.0,0.0,0.0,0.0,1,2.56838386,7.004683256,1,54,H15_CORE_0600_2200
P2_0f35abf17dbb53e8,scheduled_extensions,15,CORE_0600_2200,360,1320,3,True,0.0,1,0,0.062524413429,0.151116089019,0.207370530572,0.0,0.0,0.0,0.0,0,6.363990446,10.307573164,1,53,H15_CORE_0600_2200
P2_0f52691c4877c825,scheduled_extensions,15,CORE_0600_2200,360,1320,9,True,0.0,1,0,0.047393654298,0.13329934518,0.158103200323,0.0,0.0,0.0,0.0,1,1.798824735,4.556729121,1,54,H15_CORE_0600_2200
P2_0f624a12a91eb943,two_radial_out_and_back_feeders,15,CORE_0600_2200,360,1320,9,True,0.0,2,0,0.06721006766,0.151848525586,0.176394264571,0.0,0.0,0.0,0.0,1,3.184699957,7.546166691,2,2,H15_CORE_0600_2200
P2_0f6b0956a34e8f04,scheduled_extensions,15,CORE_0600_2200,360,1320,9,True,0.0,1,0,0.042292546753,0.111111388972,0.148952581303,0.0,0.0,0.0,0.0,0,1.709094245,4.597510344,1,53,H15_CORE_0600_2200
P2_0fa0270c624d95af,scheduled_extensions,15,CORE_0600_2200,360,1320,9,True,0.0,1,0,0.051041438573,0.132905952412,0.174535248169,0.0,0.0,0.0,0.0,1,2.56838386,7.004683256,1,54,H15_CORE_0600_2200
P2_0fea211b4c9c6a90,scheduled_extensions,15,CORE_0600_2200,360,1320,9,True,0.0,1,0,0.042292546753,0.111111388972,0.148952581303,0.0,0.0,0.0,0.0,0,1.709094245,4.597510344,1,53,H15_CORE_0600_2200
P2_106825c9e5591bb1,scheduled_extensions,15,CORE_0600_2200,360,1320,9,True,0.0,1,0,0.05211502377,0.142162095171,0.170741162628,0.0,0.0,0.0,0.0,1,2.156645432,5.24249741,1,53,H15_CORE_0600_2200
P2_123937a071467310,short_turn_overlay,15,CORE_0600_2200,360,1320,6,True,0.0,2,0,0.053426985551,0.137303488455,0.191886964921,0.0,0.0,0.0,0.0,2,3.133656498,8.058248421,2,2,H15_CORE_0600_2200
P2_1265d04cc5036811,single_compact_loop,15,CORE_0600_2200,360,1320,9,True,0.0,1,0,0.06721006766,0.151848525586,0.176394264571,0.0,0.0,0.0,0.0,1,2.871397691,6.111346331,1,2,H15_CORE_0600_2200
P2_12ab67d23dce8b93,scheduled_extensions,15,CORE_0600_2200,360,1320,9,True,0.0,1,0,0.047393654298,0.13329934518,0.158103200323,0.0,0.0,0.0,0.0,1,1.798824735,4.556729121,1,54,H15_CORE_0600_2200
P2_148070aa07728a86,scheduled_extensions,15,CORE_0600_2200,360,1320,9,True,0.0,1,0,0.0592132478,0.135967256974,0.172251107935,0.0,0.0,0.0,0.0,0,2.077214724,3.877409581,1,53,H15_CORE_0600_2200
P2_149a35c9c1c5c329,scheduled_extensions,15,CORE_0600_2200,360,1320,9,True,0.0,1,0,0.0622183843,0.131246275634,0.162320627062,0.0,0.0,0.0,0.0,1,1.54371971,4.27715696,1,53,H15_CORE_0600_2200
P2_14f04bebdc442f65,scheduled_extensions,15,CORE_0600_2200,360,1320,9,True,0.0,1,0,0.047393654298,0.13329934518,0.158103200323,0.0,0.0,0.0,0.0,1,1.798824735,4.556729121,1,54,H15_CORE_0600_2200
P2_14f827efecb4fe0a,scheduled_extensions,15,CORE_0600_2200,360,1320,9,True,0.0,1,0,0.05211502377,0.142162095171,0.170741162628,0.0,0.0,0.0,0.0,1,2.156645432,5.24249741,1,53,H15_CORE_0600_2200
P2_15552ee1feadc176,scheduled_extensions,15,CORE_0600_2200,360,1320,9,True,0.0,1,0,0.042292546753,0.111111388972,0.148952581303,0.0,0.0,0.0,0.0,0,1.709094245,4.597510344,1,53,H15_CORE_0600_2200
P2_15dfbec9ed7c3f00,scheduled_extensions,15,CORE_0600_2200,360,1320,9,True,0.0,1,0,0.042292546753,0.111111388972,0.148952581303,0.0,0.0,0.0,0.0,0,1.709094245,4.597510344,1,53,H15_CORE_0600_2200
P2_15f581d5c29baf16,scheduled_extensions,15,CORE_0600_2200,360,1320,9,True,0.0,1,0,0.0592132478,0.135967256974,0.172251107935,0.0,0.0,0.0,0.0,0,2.077214724,3.877409581,1,53,H15_CORE_0600_2200
P2_163c399dd8358d4b,scheduled_extensions,15,CORE_0600_2200,360,1320,9,True,0.0,1,0,0.061409059953,0.159217870766,0.189661881624,0.0,0.0,0.0,0.0,0,2.789180476,4.945358207,1,54,H15_CORE_0600_2200
P2_169e4ca2744aeba8,scheduled_extensions,15,CORE_0600_2200,360,1320,9,True,0.0,1,0,0.0592132478,0.135967256974,0.172251107935,0.0,0.0,0.0,0.0,0,2.077214724,3.877409581,1,53,H15_CORE_0600_2200
P2_16f826a068ee27ce,blank_slate,15,CORE_0600_2200,360,1320,3,True,0.0,1,0,0.067479056636,0.150612331503,0.210590103171,0.0,0.0,0.0,0.0,0,5.613559584,9.18192687,1,2,H15_CORE_0600_2200
P2_184749abbb0a8d91,scheduled_extensions,15,CORE_0600_2200,360,1320,9,True,0.0,1,0,0.061409059953,0.159217870766,0.189661881624,0.0,0.0,0.0,0.0,0,2.789180476,4.945358207,1,54,H15_CORE_0600_2200
P2_19327bfc543643cb,scheduled_extensions,15,CORE_0600_2200,360,1320,9,True,0.0,1,0,0.051041438573,0.132905952412,0.174535248169,0.0,0.0,0.0,0.0,1,2.56838386,7.004683256,1,54,H15_CORE_0600_2200
P2_199069236e2cc5e7,scheduled_extensions,15,CORE_0600_2200,360,1320,3,True,0.0,1,0,0.062524413429,0.151116089019,0.207370530572,0.0,0.0,0.0,0.0,0,6.363990446,10.307573164,1,53,H15_CORE_0600_2200
P2_19d543be3e9cf2bf,scheduled_extensions,15,CORE_0600_2200,360,1320,9,True,0.0,1,0,0.061409059953,0.159217870766,0.189661881624,0.0,0.0,0.0,0.0,0,2.789180476,4.945358207,1,54,H15_CORE_0600_2200
P2_1a58d39449a586b4,scheduled_extensions,15,CORE_0600_2200,360,1320,9,True,0.0,1,0,0.042292546753,0.111111388972,0.148952581303,0.0,0.0,0.0,0.0,0,1.709094245,4.597510344,1,53,H15_CORE_0600_2200
P2_1a683eeb21232f2b,scheduled_extensions,15,CORE_0600_2200,360,1320,3,True,0.0,1,0,0.062524413429,0.151116089019,0.207370530572,0.0,0.0,0.0,0.0,0,6.363990446,10.307573164,1,53,H15_CORE_0600_2200
P2_1c04dc9f70cefcd1,scheduled_extensions,15,CORE_0600_2200,360,1320,9,True,0.0,1,0,0.047210120657,0.103830657035,0.131740402853,0.0,0.0,0.0,0.0,0,1.028054525,2.303669281,1,54,H15_CORE_0600_2200
P2_1d022121b847b331,two_radial_out_and_back_feeders,15,CORE_0600_2200,360,1320,9,True,0.0,2,0,0.063181410986,0.13635997205,0.177176101775,0.0,0.0,0.0,0.0,1,3.135667857,6.764099943,2,2,H15_CORE_0600_2200
P2_1e43749d76ba2ecb,scheduled_extensions,15,CORE_0600_2200,360,1320,9,True,0.0,1,0,0.047210120657,0.103830657035,0.131740402853,0.0,0.0,0.0,0.0,0,1.028054525,2.303669281,1,54,H15_CORE_0600_2200
P2_1e4dde3f8f391f1d,scheduled_extensions,15,CORE_0600_2200,360,1320,3,True,0.0,1,0,0.062524413429,0.151116089019,0.207370530572,0.0,0.0,0.0,0.0,0,6.363990446,10.307573164,1,53,H15_CORE_0600_2200
P2_1ea41580bd82e495,scheduled_extensions,15,CORE_0600_2200,360,1320,3,True,0.0,1,0,0.062524413429,0.151116089019,0.207370530572,0.0,0.0,0.0,0.0,0,6.363990446,10.307573164,1,53,H15_CORE_0600_2200
P2_1eb1f66e2285e24b,scheduled_extensions,15,CORE_0600_2200,360,1320,3,True,0.0,1,0,0.062524413429,0.151116089019,0.207370530572,0.0,0.0,0.0,0.0,0,6.363990446,10.307573164,1,53,H15_CORE_0600_2200
P2_1eca08b32c85e4b4,blank_slate,15,CORE_0600_2200,360,1320,9,True,0.0,1,0,0.079750420794,0.167678403918,0.20541398232,0.0,0.0,0.0,0.0,1,4.048218538,7.59276373,1,2,H15_CORE_0600_2200
P2_1ee2dbd74e157ab3,scheduled_extensions,15,CORE_0600_2200,360,1320,9,True,0.0,1,0,0.0622183843,0.131246275634,0.162320627062,0.0,0.0,0.0,0.0,1,1.54371971,4.27715696,1,53,H15_CORE_0600_2200
P2_1f78f5fe15dc9fce,scheduled_extensions,15,CORE_0600_2200,360,1320,9,True,0.0,1,0,0.05211502377,0.142162095171,0.170741162628,0.0,0.0,0.0,0.0,1,2.156645432,5.24249741,1,53,H15_CORE_0600_2200
P2_202fb2a0900eb34d,scheduled_extensions,15,CORE_0600_2200,360,1320,9,True,0.0,1,0,0.042292546753,0.111111388972,0.148952581303,0.0,0.0,0.0,0.0,0,1.709094245,4.597510344,1,53,H15_CORE_0600_2200
P2_2072e8f8ab057818,scheduled_extensions,15,CORE_0600_2200,360,1320,9,True,0.0,1,0,0.047393654298,0.13329934518,0.158103200323,0.0,0.0,0.0,0.0,1,1.798824735,4.556729121,1,54,H15_CORE_0600_2200
P2_229c6cd5496ddd91,scheduled_extensions,15,CORE_0600_2200,360,1320,9,True,0.0,1,0,0.0622183843,0.131246275634,0.162320627062,0.0,0.0,0.0,0.0,1,1.54371971,4.27715696,1,53,H15_CORE_0600_2200
P2_23b2b022adbd20f8,scheduled_extensions,15,CORE_0600_2200,360,1320,9,True,0.0,1,0,0.051041438573,0.132905952412,0.174535248169,0.0,0.0,0.0,0.0,1,2.56838386,7.004683256,1,54,H15_CORE_0600_2200
P2_23ed576313d7b9d4,scheduled_extensions,15,CORE_0600_2200,360,1320,9,True,0.0,1,0,0.0592132478,0.135967256974,0.172251107935,0.0,0.0,0.0,0.0,0,2.077214724,3.877409581,1,53,H15_CORE_0600_2200
P2_250d170c553d3bd7,scheduled_extensions,15,CORE_0600_2200,360,1320,9,True,0.0,1,0,0.0622183843,0.131246275634,0.162320627062,0.0,0.0,0.0,0.0,1,1.54371971,4.27715696,1,53,H15_CORE_0600_2200
P2_2537b802588b4405,short_turn_overlay,15,CORE_0600_2200,360,1320,6,True,0.0,2,0,0.071393604352,0.159676290905,0.174973871323,0.0,0.0,0.0,0.0,3,3.358420472,8.80663771,2,2,H15_CORE_0600_2200
P2_2554913ee81abaf5,scheduled_extensions,15,CORE_0600_2200,360,1320,9,True,0.0,1,0,0.051041438573,0.132905952412,0.174535248169,0.0,0.0,0.0,0.0,1,2.56838386,7.004683256,1,54,H15_CORE_0600_2200
P2_25767deb38bce4ce,hybrid_interlined,15,CORE_0600_2200,360,1320,6,True,0.0,2,0,0.084909370269,0.187619352228,0.235518345801,0.0,0.0,0.0,0.0,1,5.421742319,12.855524025,2,2,H15_CORE_0600_2200
P2_25864bf2680e3c7a,scheduled_extensions,15,CORE_0600_2200,360,1320,9,True,0.0,1,0,0.047210120657,0.103830657035,0.131740402853,0.0,0.0,0.0,0.0,0,1.028054525,2.303669281,1,54,H15_CORE_0600_2200
P2_26bb99c1ed0130d9,scheduled_extensions,15,CORE_0600_2200,360,1320,9,True,0.0,1,0,0.0622183843,0.131246275634,0.162320627062,0.0,0.0,0.0,0.0,1,1.54371971,4.27715696,1,53,H15_CORE_0600_2200
P2_271863e0003d6814,scheduled_extensions,15,CORE_0600_2200,360,1320,9,True,0.0,1,0,0.047210120657,0.103830657035,0.131740402853,0.0,0.0,0.0,0.0,0,1.028054525,2.303669281,1,54,H15_CORE_0600_2200
P2_272eda5518ba6c59,scheduled_extensions,15,CORE_0600_2200,360,1320,3,True,0.0,1,0,0.062524413429,0.151116089019,0.207370530572,0.0,0.0,0.0,0.0,0,6.363990446,10.307573164,1,53,H15_CORE_0600_2200
P2_275e017253025199,scheduled_extensions,15,CORE_0600_2200,360,1320,9,True,0.0,1,0,0.0592132478,0.135967256974,0.172251107935,0.0,0.0,0.0,0.0,0,2.077214724,3.877409581,1,53,H15_CORE_0600_2200
P2_28527a161c0431df,scheduled_extensions,15,CORE_0600_2200,360,1320,9,True,0.0,1,0,0.0592132478,0.135967256974,0.172251107935,0.0,0.0,0.0,0.0,0,2.077214724,3.877409581,1,53,H15_CORE_0600_2200
P2_28e222d49119aa33,scheduled_extensions,15,CORE_0600_2200,360,1320,9,True,0.0,1,0,0.0622183843,0.131246275634,0.162320627062,0.0,0.0,0.0,0.0,1,1.54371971,4.27715696,1,53,H15_CORE_0600_2200
P2_28e3bf9a77ed550d,scheduled_extensions,15,CORE_0600_2200,360,1320,9,True,0.0,1,0,0.05211502377,0.142162095171,0.170741162628,0.0,0.0,0.0,0.0,1,2.156645432,5.24249741,1,53,H15_CORE_0600_2200
P2_28ee473cb788c76c,scheduled_extensions,15,CORE_0600_2200,360,1320,9,True,0.0,1,0,0.051041438573,0.132905952412,0.174535248169,0.0,0.0,0.0,0.0,1,2.56838386,7.004683256,1,54,H15_CORE_0600_2200
P2_29ad16174b1ffe33,scheduled_extensions,15,CORE_0600_2200,360,1320,9,True,0.0,1,0,0.0592132478,0.135967256974,0.172251107935,0.0,0.0,0.0,0.0,0,2.077214724,3.877409581,1,53,H15_CORE_0600_2200
P2_2a8acc1301199ff8,scheduled_extensions,15,CORE_0600_2200,360,1320,9,True,0.0,1,0,0.047393654298,0.13329934518,0.158103200323,0.0,0.0,0.0,0.0,1,1.798824735,4.556729121,1,54,H15_CORE_0600_2200
P2_2c081f11a917666d,scheduled_extensions,15,CORE_0600_2200,360,1320,9,True,0.0,1,0,0.05211502377,0.142162095171,0.170741162628,0.0,0.0,0.0,0.0,1,2.156645432,5.24249741,1,53,H15_CORE_0600_2200
P2_2c57f8ac1c66b319,scheduled_extensions,15,CORE_0600_2200,360,1320,9,True,0.0,1,0,0.047393654298,0.13329934518,0.158103200323,0.0,0.0,0.0,0.0,1,1.798824735,4.556729121,1,54,H15_CORE_0600_2200
P2_2c9151187f577495,scheduled_extensions,15,CORE_0600_2200,360,1320,3,True,0.0,1,0,0.062524413429,0.151116089019,0.207370530572,0.0,0.0,0.0,0.0,0,6.363990446,10.307573164,1,53,H15_CORE_0600_2200
P2_2cda85b1e0ab4185,scheduled_extensions,15,CORE_0600_2200,360,1320,9,True,0.0,1,0,0.047393654298,0.13329934518,0.158103200323,0.0,0.0,0.0,0.0,1,1.798824735,4.556729121,1,54,H15_CORE_0600_2200
P2_2d6062c218eaa793,scheduled_extensions,15,CORE_0600_2200,360,1320,3,True,0.0,1,0,0.062524413429,0.151116089019,0.207370530572,0.0,0.0,0.0,0.0,0,6.363990446,10.307573164,1,53,H15_CORE_0600_2200
P2_2d6f1a96753e25ac,scheduled_extensions,15,CORE_0600_2200,360,1320,9,True,0.0,1,0,0.0592132478,0.135967256974,0.172251107935,0.0,0.0,0.0,0.0,0,2.077214724,3.877409581,1,53,H15_CORE_0600_2200
P2_2dc98af518500e38,scheduled_extensions,15,CORE_0600_2200,360,1320,9,True,0.0,1,0,0.042292546753,0.111111388972,0.148952581303,0.0,0.0,0.0,0.0,0,1.709094245,4.597510344,1,53,H15_CORE_0600_2200
P2_2dd1ca8b696abccf,scheduled_extensions,15,CORE_0600_2200,360,1320,9,True,0.0,1,0,0.047210120657,0.103830657035,0.131740402853,0.0,0.0,0.0,0.0,0,1.028054525,2.303669281,1,54,H15_CORE_0600_2200
P2_2df02ea6697f4d7e,scheduled_extensions,15,CORE_0600_2200,360,1320,9,True,0.0,1,0,0.05211502377,0.142162095171,0.170741162628,0.0,0.0,0.0,0.0,1,2.156645432,5.24249741,1,53,H15_CORE_0600_2200
P2_2f9d7db1171e7262,scheduled_extensions,15,CORE_0600_2200,360,1320,9,True,0.0,1,0,0.061409059953,0.159217870766,0.189661881624,0.0,0.0,0.0,0.0,0,2.789180476,4.945358207,1,54,H15_CORE_0600_2200
P2_3058c75ede542cb2,single_compact_loop,15,CORE_0600_2200,360,1320,3,True,0.0,1,0,0.077922907049,0.197092455187,0.253408341817,0.0,0.0,0.0,0.0,0,6.155031649,10.562667935,1,2,H15_CORE_0600_2200
P2_317c9a655b124eb6,scheduled_extensions,15,CORE_0600_2200,360,1320,9,True,0.0,1,0,0.0622183843,0.131246275634,0.162320627062,0.0,0.0,0.0,0.0,1,1.54371971,4.27715696,1,53,H15_CORE_0600_2200
P2_32252ba5c59673c6,scheduled_extensions,15,CORE_0600_2200,360,1320,9,True,0.0,1,0,0.0622183843,0.131246275634,0.162320627062,0.0,0.0,0.0,0.0,1,1.54371971,4.27715696,1,53,H15_CORE_0600_2200
P2_333ab4d89af6ae18,scheduled_extensions,15,CORE_0600_2200,360,1320,9,True,0.0,1,0,0.047210120657,0.103830657035,0.131740402853,0.0,0.0,0.0,0.0,0,1.028054525,2.303669281,1,54,H15_CORE_0600_2200
P2_3390b332597f923f,hybrid_interlined,15,CORE_0600_2200,360,1320,6,True,0.0,2,0,0.081409006956,0.213911418102,0.243864050054,0.0,0.0,0.0,0.0,1,4.945825908,10.187855617,2,2,H15_CORE_0600_2200
P2_3464463ff4d085ed,single_compact_loop,15,CORE_0600_2200,360,1320,9,True,0.0,1,0,0.079750420794,0.167678403918,0.20541398232,0.0,0.0,0.0,0.0,1,4.048218538,7.59276373,1,2,H15_CORE_0600_2200
P2_346d4093d0febddc,scheduled_extensions,15,CORE_0600_2200,360,1320,9,True,0.0,1,0,0.05211502377,0.142162095171,0.170741162628,0.0,0.0,0.0,0.0,1,2.156645432,5.24249741,1,53,H15_CORE_0600_2200
P2_354da319c4603578,scheduled_extensions,15,CORE_0600_2200,360,1320,9,True,0.0,1,0,0.0592132478,0.135967256974,0.172251107935,0.0,0.0,0.0,0.0,0,2.077214724,3.877409581,1,53,H15_CORE_0600_2200
P2_36030155cbb0f213,scheduled_extensions,15,CORE_0600_2200,360,1320,9,True,0.0,1,0,0.0622183843,0.131246275634,0.162320627062,0.0,0.0,0.0,0.0,1,1.54371971,4.27715696,1,53,H15_CORE_0600_2200
P2_3648fe9e0f4eb697,scheduled_extensions,15,CORE_0600_2200,360,1320,9,True,0.0,1,0,0.047210120657,0.103830657035,0.131740402853,0.0,0.0,0.0,0.0,0,1.028054525,2.303669281,1,54,H15_CORE_0600_2200
P2_36a8b13cf2180e7c,scheduled_extensions,15,CORE_0600_2200,360,1320,9,True,0.0,1,0,0.051041438573,0.132905952412,0.174535248169,0.0,0.0,0.0,0.0,1,2.56838386,7.004683256,1,54,H15_CORE_0600_2200
P2_384e2187047c63de,scheduled_extensions,15,CORE_0600_2200,360,1320,9,True,0.0,1,0,0.042292546753,0.111111388972,0.148952581303,0.0,0.0,0.0,0.0,0,1.709094245,4.597510344,1,53,H15_CORE_0600_2200
P2_39307c0efd0b2622,scheduled_extensions,15,CORE_0600_2200,360,1320,9,True,0.0,1,0,0.0592132478,0.135967256974,0.172251107935,0.0,0.0,0.0,0.0,0,2.077214724,3.877409581,1,53,H15_CORE_0600_2200
