timing_key,rows,no_extension_feasible,non_regression_pass,eligible,eligible_unique_metric_profile_count,frontier_metric_profile_count,frontier_scenario_count,frontier_family_counts_json
H15_CORE_0600_2200,100000,6302,100000,6302,878,56,575,"{""blank_slate"": 20, ""hybrid_interlined"": 21, ""multiple_short_radials"": 9, ""scheduled_extensions"": 472, ""short_turn_overlay"": 6, ""single_compact_loop"": 20, ""trunk_plus_branches"": 6, ""two_radial_out_and_back_feeders"": 21}"
H15_S8_EXTENDED_0530_2400,100000,4463,100000,4463,516,38,488,"{""blank_slate"": 17, ""hybrid_interlined"": 9, ""multiple_short_radials"": 8, ""scheduled_extensions"": 420, ""short_turn_overlay"": 4, ""single_compact_loop"": 17, ""trunk_plus_branches"": 4, ""two_radial_out_and_back_feeders"": 9}"
H20_CORE_0600_2200,100000,11648,100000,11648,2392,93,649,"{""blank_slate"": 36, ""hybrid_interlined"": 39, ""multiple_short_radials"": 9, ""scheduled_extensions"": 472, ""short_turn_overlay"": 9, ""single_compact_loop"": 36, ""trunk_plus_branches"": 9, ""two_radial_out_and_back_feeders"": 39}"
H20_S8_EXTENDED_0530_2400,100000,8356,100000,8356,1478,54,571,"{""blank_slate"": 27, ""hybrid_interlined"": 9, ""multiple_short_radials"": 9, ""scheduled_extensions"": 472, ""short_turn_overlay"": 9, ""single_compact_loop"": 27, ""trunk_plus_branches"": 9, ""two_radial_out_and_back_feeders"": 9}"
H30_CORE_0600_2200,100000,26533,100000,26533,8711,157,777,"{""blank_slate"": 88, ""hybrid_interlined"": 34, ""interlined_figure8"": 1, ""multiple_short_radials"": 9, ""scheduled_extensions"": 472, ""short_turn_overlay"": 25, ""single_compact_loop"": 88, ""trunk_plus_branches"": 25, ""two_independent_loops"": 1, ""two_radial_out_and_back_feeders"": 34}"
H30_S8_EXTENDED_0530_2400,100000,20290,100000,20290,5719,126,715,"{""blank_slate"": 70, ""hybrid_interlined"": 23, ""multiple_short_radials"": 9, ""scheduled_extensions"": 472, ""short_turn_overlay"": 24, ""single_compact_loop"": 70, ""trunk_plus_branches"": 24, ""two_radial_out_and_back_feeders"": 23}"
H60_CORE_0600_2200,100000,69186,100000,69186,31328,270,1003,"{""blank_slate"": 130, ""hybrid_interlined"": 22, ""interlined_figure8"": 29, ""multiple_short_radials"": 9, ""scheduled_extensions"": 472, ""short_turn_overlay"": 80, ""single_compact_loop"": 130, ""trunk_plus_branches"": 80, ""two_independent_loops"": 29, ""two_radial_out_and_back_feeders"": 22}"
H60_S8_EXTENDED_0530_2400,100000,59879,100000,59879,26171,255,973,"{""blank_slate"": 130, ""hybrid_interlined"": 24, ""interlined_figure8"": 19, ""multiple_short_radials"": 9, ""scheduled_extensions"": 472, ""short_turn_overlay"": 73, ""single_compact_loop"": 130, ""trunk_plus_branches"": 73, ""two_independent_loops"": 19, ""two_radial_out_and_back_feeders"": 24}"
