dimension,current_exact_ratio,current_share,expanded_pool_maximum_ratio,expanded_pool_maximum_share,expanded_minus_current_percentage_points
potential_core_share_5min,99618954331605517243/458280000000000018910,0.217375740446028,12551252978930537713/45828000000000001891,0.273877388909194,5.650164846
potential_core_share_8min,88742867342458492579/229140000000000009455,0.387286669034034,202263837089297339107/458280000000000018910,0.441354274874089,5.406760584
potential_core_share_10min,223501457913245879869/458280000000000018910,0.487696294652278,118418558193645614528/229140000000000009455,0.516795662885771,2.909936823
potential_worst_municipality_share_5min,385520627664794046/5460000000000000337,0.070608173564981,2183755026205786739/21106666666666667776,0.103462809201159,3.285463564
potential_worst_municipality_share_8min,4568761040159178139/21840000000000001348,0.209192355318644,17355473558859863908/87140000000000000959,0.199167702075509,-1.002465324
potential_worst_municipality_share_10min,37568267043616875563/109200000000000006740,0.344031749483671,8415971304875236075/31660000000000001664,0.265823477728213,-7.820827176
