anchor_id,anchor_class,source_record_id,source_name,lon,lat,routes_serving,epistemic_status,source_detail,proposed_stop_status,seed_precompute,graph_node_id,snap_distance_m,snap_status,included_in_reduced_graph,epoch_id,procom,municipality_name,analysis_role,equity_scope
gtfs:ARRIVA_ADDABUS:300084,OFFICIAL_GTFS_BUS_STOP,300084,Airuno - statale,9.42665,45.755317,D150,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_STRUCTURAL,ARRIVA_ADDABUS,NOT_PROPOSED,False,n:533183.21:5066948.52,2.52564987,ROUTE_READY_LE_75M,True,gate-d-2026-09-03-834d5caa0bfd,097002,Airuno,CONTEXT,CONTEXT_ONLY
gtfs:ARRIVA_ADDABUS:300086,OFFICIAL_GTFS_BUS_STOP,300086,Brivio - beverate (cariplo),9.423083,45.7404,D150;D185,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_STRUCTURAL,ARRIVA_ADDABUS,NOT_PROPOSED,False,n:532908.34:5065306.79,15.706715408,ROUTE_READY_LE_75M,True,gate-d-2026-09-03-834d5caa0bfd,097010,Brivio,CORE,DECISION_CORE
gtfs:ARRIVA_ADDABUS:300087,OFFICIAL_GTFS_BUS_STOP,300087,Brivio - vaccarezza,9.436083,45.73685,D148;D150;D185,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_STRUCTURAL,ARRIVA_ADDABUS,NOT_PROPOSED,False,n:533924.18:5064904.08,2.731631695,ROUTE_READY_LE_75M,True,gate-d-2026-09-03-834d5caa0bfd,097010,Brivio,CORE,DECISION_CORE
gtfs:ARRIVA_ADDABUS:300088,OFFICIAL_GTFS_BUS_STOP,300088,Imbersago - chiesa,9.44935,45.70548,D150,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_STRUCTURAL,ARRIVA_ADDABUS,NOT_PROPOSED,False,n:534989.81:5061416.72,13.228860402,ROUTE_READY_LE_75M,True,gate-d-2026-09-03-834d5caa0bfd,097039,Imbersago,CONTEXT,CONTEXT_ONLY
gtfs:ARRIVA_ADDABUS:300089,OFFICIAL_GTFS_BUS_STOP,300089,Calco - via statale (edicola),9.4151,45.723933,D148;D150,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_STRUCTURAL,ARRIVA_ADDABUS,NOT_PROPOSED,False,n:532303.49:5063452.41,6.924150337,ROUTE_READY_LE_75M,True,gate-d-2026-09-03-834d5caa0bfd,097012,Calco,CORE,DECISION_CORE
gtfs:ARRIVA_ADDABUS:300090,OFFICIAL_GTFS_BUS_STOP,300090,Merate - via statale (distributore),9.410667,45.701817,D148;D150,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_STRUCTURAL,ARRIVA_ADDABUS,NOT_PROPOSED,False,n:531970.81:5060994.14,6.237175151,ROUTE_READY_LE_75M,True,gate-d-2026-09-03-834d5caa0bfd,097048,Merate,CONTEXT,CONTEXT_ONLY
gtfs:ARRIVA_ADDABUS:300096,OFFICIAL_GTFS_BUS_STOP,300096,Castello brianza - municipio,9.34755,45.75553,D160,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_STRUCTURAL,ARRIVA_ADDABUS,NOT_PROPOSED,False,n:527020.07:5066952.62,12.720547054,ROUTE_READY_LE_75M,True,gate-d-2026-09-03-834d5caa0bfd,097019,Castello di Brianza,CONTEXT,CONTEXT_ONLY
gtfs:ARRIVA_ADDABUS:300097,OFFICIAL_GTFS_BUS_STOP,300097,Castello brianza - prestabbio,9.3619,45.745467,D160,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_STRUCTURAL,ARRIVA_ADDABUS,NOT_PROPOSED,False,n:528151.11:5065832.76,1.326275697,ROUTE_READY_LE_75M,True,gate-d-2026-09-03-834d5caa0bfd,097019,Castello di Brianza,CONTEXT,CONTEXT_ONLY
gtfs:ARRIVA_ADDABUS:300099,OFFICIAL_GTFS_BUS_STOP,300099,Castello brianza - cologna,9.34901,45.75461,D160,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_STRUCTURAL,ARRIVA_ADDABUS,NOT_PROPOSED,False,n:527145.72:5066853.87,11.233202592,ROUTE_READY_LE_75M,True,gate-d-2026-09-03-834d5caa0bfd,097019,Castello di Brianza,CONTEXT,CONTEXT_ONLY
gtfs:ARRIVA_ADDABUS:300195,OFFICIAL_GTFS_BUS_STOP,300195,Colle Brianza - nava,9.3631,45.763133,D155,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_STRUCTURAL,ARRIVA_ADDABUS,NOT_PROPOSED,False,n:528225.63:5067790.85,10.461367532,ROUTE_READY_LE_75M,True,gate-d-2026-09-03-834d5caa0bfd,097024,Colle Brianza,CONTEXT,CONTEXT_ONLY
gtfs:ARRIVA_ADDABUS:300207,OFFICIAL_GTFS_BUS_STOP,300207,S.Maria Hoe' - paese,9.38723,45.73847,D148,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_STRUCTURAL,ARRIVA_ADDABUS,NOT_PROPOSED,False,n:530138.79:5065052.68,17.349430444,ROUTE_READY_LE_75M,True,gate-d-2026-09-03-834d5caa0bfd,097074,Santa Maria Ho̬,CORE,DECISION_CORE
gtfs:ARRIVA_ADDABUS:300293,OFFICIAL_GTFS_BUS_STOP,300293,Cisano - tre fontane (mollif.s.ambrogio),9.461217,45.750217,D140,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_STRUCTURAL,ARRIVA_ADDABUS,NOT_PROPOSED,False,n:535878.87:5066394.62,6.920712624,ROUTE_READY_LE_75M,True,gate-d-2026-09-03-834d5caa0bfd,016074,Cisano Bergamasco,CONTEXT,CONTEXT_ONLY
gtfs:ARRIVA_ADDABUS:300331,OFFICIAL_GTFS_BUS_STOP,300331,Sirtori - bevera statale (fermata asf),9.3315,45.749667,D160;D180,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_STRUCTURAL,ARRIVA_ADDABUS,NOT_PROPOSED,False,n:525774.09:5066287.56,10.233474692,ROUTE_READY_LE_75M,True,gate-d-2026-09-03-834d5caa0bfd,097076,Sirtori,CONTEXT,CONTEXT_ONLY
gtfs:ARRIVA_ADDABUS:300333,OFFICIAL_GTFS_BUS_STOP,300333,Sirtori - municipio,9.33155,45.737783,D160;D180,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_STRUCTURAL,ARRIVA_ADDABUS,NOT_PROPOSED,False,n:525794.44:5064975.03,7.565267799,ROUTE_READY_LE_75M,True,gate-d-2026-09-03-834d5caa0bfd,097076,Sirtori,CONTEXT,CONTEXT_ONLY
gtfs:ARRIVA_ADDABUS:300349,OFFICIAL_GTFS_BUS_STOP,300349,Bevera - via lecco,9.332667,45.75005,D160;D180,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_STRUCTURAL,ARRIVA_ADDABUS,NOT_PROPOSED,False,n:525883.46:5066327.82,9.034828627,ROUTE_READY_LE_75M,True,gate-d-2026-09-03-834d5caa0bfd,097076,Sirtori,CONTEXT,CONTEXT_ONLY
gtfs:ARRIVA_ADDABUS:300397,OFFICIAL_GTFS_BUS_STOP,300397,Calco - via virgilio,9.41495,45.72495,D185,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_STRUCTURAL,ARRIVA_ADDABUS,NOT_PROPOSED,False,n:532282.82:5063572.95,6.612103668,ROUTE_READY_LE_75M,True,gate-d-2026-09-03-834d5caa0bfd,097012,Calco,CORE,DECISION_CORE
gtfs:ARRIVA_ADDABUS:300398,OFFICIAL_GTFS_BUS_STOP,300398,Brivio - beverate (paese),9.427967,45.73735,D150;D185,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_STRUCTURAL,ARRIVA_ADDABUS,NOT_PROPOSED,False,n:533292.19:5064957.79,3.898539578,ROUTE_READY_LE_75M,True,gate-d-2026-09-03-834d5caa0bfd,097010,Brivio,CORE,DECISION_CORE
gtfs:ARRIVA_ADDABUS:300405,OFFICIAL_GTFS_BUS_STOP,300405,Cisano - sosta,9.451267,45.739883,D185,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_STRUCTURAL,ARRIVA_ADDABUS,NOT_PROPOSED,False,n:535102.55:5065235.85,11.087923227,ROUTE_READY_LE_75M,True,gate-d-2026-09-03-834d5caa0bfd,016074,Cisano Bergamasco,CONTEXT,CONTEXT_ONLY
gtfs:ARRIVA_ADDABUS:300406,OFFICIAL_GTFS_BUS_STOP,300406,Brivio - via como (pizzeria),9.439367,45.742417,D148;D150;D185,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_STRUCTURAL,ARRIVA_ADDABUS,NOT_PROPOSED,False,n:534184.20:5065526.96,6.90576859,ROUTE_READY_LE_75M,True,gate-d-2026-09-03-834d5caa0bfd,097010,Brivio,CORE,DECISION_CORE
gtfs:ARRIVA_ADDABUS:300407,OFFICIAL_GTFS_BUS_STOP,300407,Olgiate Molgora - stazione f.s.,9.40576,45.73371,D184;D185,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_STRUCTURAL,ARRIVA_ADDABUS,NOT_PROPOSED,False,n:531565.22:5064543.04,4.338664511,ROUTE_READY_LE_75M,True,gate-d-2026-09-03-834d5caa0bfd,097058,Olgiate Molgora,CORE,DECISION_CORE
gtfs:ARRIVA_ADDABUS:300430,OFFICIAL_GTFS_BUS_STOP,300430,Castello brianza - villaggio,9.35135,45.75286,D160,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_STRUCTURAL,ARRIVA_ADDABUS,NOT_PROPOSED,False,n:527322.68:5066642.55,7.740828161,ROUTE_READY_LE_75M,True,gate-d-2026-09-03-834d5caa0bfd,097019,Castello di Brianza,CONTEXT,CONTEXT_ONLY
gtfs:ARRIVA_ADDABUS:300431,OFFICIAL_GTFS_BUS_STOP,300431,Castello brianza - cascine nere,9.358683,45.7478,D160,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_STRUCTURAL,ARRIVA_ADDABUS,NOT_PROPOSED,False,n:527905.04:5066089.63,5.477312846,ROUTE_READY_LE_75M,True,gate-d-2026-09-03-834d5caa0bfd,097019,Castello di Brianza,CONTEXT,CONTEXT_ONLY
gtfs:ARRIVA_ADDABUS:300432,OFFICIAL_GTFS_BUS_STOP,300432,Castello brianza - cascine bianche,9.3538,45.750917,D160,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_STRUCTURAL,ARRIVA_ADDABUS,NOT_PROPOSED,False,n:527519.70:5066436.53,2.82311077,ROUTE_READY_LE_75M,True,gate-d-2026-09-03-834d5caa0bfd,097019,Castello di Brianza,CONTEXT,CONTEXT_ONLY
gtfs:ARRIVA_ADDABUS:300487,OFFICIAL_GTFS_BUS_STOP,300487,Brivio - beverate (tre strade),9.42685,45.73465,D150;D185,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_STRUCTURAL,ARRIVA_ADDABUS,NOT_PROPOSED,False,n:533211.07:5064650.63,4.193262275,ROUTE_READY_LE_75M,True,gate-d-2026-09-03-834d5caa0bfd,097010,Brivio,CORE,DECISION_CORE
gtfs:ARRIVA_ADDABUS:300501,OFFICIAL_GTFS_BUS_STOP,300501,Monte Marenzo - levata (smalti riva),9.44324,45.77215,D140,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_STRUCTURAL,ARRIVA_ADDABUS,NOT_PROPOSED,False,n:534456.02:5068815.70,13.381968398,ROUTE_READY_LE_75M,True,gate-d-2026-09-03-834d5caa0bfd,097052,Monte Marenzo,CONTEXT,CONTEXT_ONLY
gtfs:ARRIVA_ADDABUS:300502,OFFICIAL_GTFS_BUS_STOP,300502,Monte Marenzo - bisone,9.447267,45.763617,D140;VCB,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_STRUCTURAL,ARRIVA_ADDABUS,NOT_PROPOSED,False,n:534778.70:5067871.31,10.312488505,ROUTE_READY_LE_75M,True,gate-d-2026-09-03-834d5caa0bfd,097052,Monte Marenzo,CONTEXT,CONTEXT_ONLY
gtfs:ARRIVA_ADDABUS:300505,OFFICIAL_GTFS_BUS_STOP,300505,Cisano - rotonda (via mayer),9.454567,45.755817,D140,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_STRUCTURAL,ARRIVA_ADDABUS,NOT_PROPOSED,False,n:535366.13:5066995.39,26.423752194,ROUTE_READY_LE_75M,True,gate-d-2026-09-03-834d5caa0bfd,016074,Cisano Bergamasco,CONTEXT,CONTEXT_ONLY
