budget_suffix,budget_change_fraction,budget_cap_annual_bus_km,policy_id,uniform_headway_min,span_id,calendar_id,annual_service_days,recovery_min,extension_share,service_ready_candidate_count,budget_feasible_candidate_count,frontier_scenario_count,frontier_family_counts_json
m20pct,-0.2,89135.20000000001,SP2_8b1c7e1c151aa3,15,S8_EXTENDED_0530_2400,IDEALISED_DAILY_YEAR,365,10,0.0,2500,497,497,"{""blank_slate"": 6, ""hybrid_interlined"": 2, ""multiple_short_radials"": 9, ""scheduled_extensions"": 472, ""single_compact_loop"": 6, ""two_radial_out_and_back_feeders"": 2}"
m20pct,-0.2,89135.20000000001,SP2_6ee8fc9e640e52,15,S8_EXTENDED_0530_2400,IDEALISED_DAILY_YEAR,365,15,0.0,2500,497,497,"{""blank_slate"": 6, ""hybrid_interlined"": 2, ""multiple_short_radials"": 9, ""scheduled_extensions"": 472, ""single_compact_loop"": 6, ""two_radial_out_and_back_feeders"": 2}"
m20pct,-0.2,89135.20000000001,SP2_16f0f92bf30ac2,20,CORE_0600_2200,IDEALISED_5_DAY_52_WEEK,260,5,0.0,2747,805,805,"{""blank_slate"": 49, ""hybrid_interlined"": 51, ""multiple_short_radials"": 11, ""scheduled_extensions"": 576, ""short_turn_overlay"": 9, ""single_compact_loop"": 49, ""trunk_plus_branches"": 9, ""two_radial_out_and_back_feeders"": 51}"
m20pct,-0.2,89135.20000000001,SP2_7bf6606bb44dcd,20,CORE_0600_2200,IDEALISED_5_DAY_52_WEEK,260,10,0.0,2747,805,805,"{""blank_slate"": 49, ""hybrid_interlined"": 51, ""multiple_short_radials"": 11, ""scheduled_extensions"": 576, ""short_turn_overlay"": 9, ""single_compact_loop"": 49, ""trunk_plus_branches"": 9, ""two_radial_out_and_back_feeders"": 51}"
m20pct,-0.2,89135.20000000001,SP2_4cfb3c03eeff7e,20,CORE_0600_2200,IDEALISED_5_DAY_52_WEEK,260,15,0.0,2747,805,805,"{""blank_slate"": 49, ""hybrid_interlined"": 51, ""multiple_short_radials"": 11, ""scheduled_extensions"": 576, ""short_turn_overlay"": 9, ""single_compact_loop"": 49, ""trunk_plus_branches"": 9, ""two_radial_out_and_back_feeders"": 51}"
m20pct,-0.2,89135.20000000001,SP2_5c50c266aead4a,20,CORE_0600_2200,IDEALISED_6_DAY_52_WEEK,312,5,0.0,2747,656,656,"{""blank_slate"": 25, ""hybrid_interlined"": 32, ""multiple_short_radials"": 10, ""scheduled_extensions"": 524, ""short_turn_overlay"": 4, ""single_compact_loop"": 25, ""trunk_plus_branches"": 4, ""two_radial_out_and_back_feeders"": 32}"
m20pct,-0.2,89135.20000000001,SP2_5c7f683fdf665b,20,CORE_0600_2200,IDEALISED_6_DAY_52_WEEK,312,10,0.0,2747,656,656,"{""blank_slate"": 25, ""hybrid_interlined"": 32, ""multiple_short_radials"": 10, ""scheduled_extensions"": 524, ""short_turn_overlay"": 4, ""single_compact_loop"": 25, ""trunk_plus_branches"": 4, ""two_radial_out_and_back_feeders"": 32}"
m20pct,-0.2,89135.20000000001,SP2_d024288d129528,20,CORE_0600_2200,IDEALISED_6_DAY_52_WEEK,312,15,0.0,2747,656,656,"{""blank_slate"": 25, ""hybrid_interlined"": 32, ""multiple_short_radials"": 10, ""scheduled_extensions"": 524, ""short_turn_overlay"": 4, ""single_compact_loop"": 25, ""trunk_plus_branches"": 4, ""two_radial_out_and_back_feeders"": 32}"
m20pct,-0.2,89135.20000000001,SP2_1aa0643ddb804d,20,CORE_0600_2200,IDEALISED_DAILY_YEAR,365,5,0.0,2747,610,610,"{""blank_slate"": 17, ""hybrid_interlined"": 21, ""multiple_short_radials"": 10, ""scheduled_extensions"": 524, ""single_compact_loop"": 17, ""two_radial_out_and_back_feeders"": 21}"
m20pct,-0.2,89135.20000000001,SP2_f9c8d96b886b02,20,CORE_0600_2200,IDEALISED_DAILY_YEAR,365,10,0.0,2747,610,610,"{""blank_slate"": 17, ""hybrid_interlined"": 21, ""multiple_short_radials"": 10, ""scheduled_extensions"": 524, ""single_compact_loop"": 17, ""two_radial_out_and_back_feeders"": 21}"
m20pct,-0.2,89135.20000000001,SP2_fc3e8ad5ce5010,20,CORE_0600_2200,IDEALISED_DAILY_YEAR,365,15,0.0,2747,610,610,"{""blank_slate"": 17, ""hybrid_interlined"": 21, ""multiple_short_radials"": 10, ""scheduled_extensions"": 524, ""single_compact_loop"": 17, ""two_radial_out_and_back_feeders"": 21}"
m20pct,-0.2,89135.20000000001,SP2_ed284d3ae62182,20,S8_EXTENDED_0530_2400,IDEALISED_5_DAY_52_WEEK,260,5,0.0,2500,620,620,"{""blank_slate"": 26, ""hybrid_interlined"": 12, ""multiple_short_radials"": 10, ""scheduled_extensions"": 524, ""short_turn_overlay"": 5, ""single_compact_loop"": 26, ""trunk_plus_branches"": 5, ""two_radial_out_and_back_feeders"": 12}"
m20pct,-0.2,89135.20000000001,SP2_562f0169321e96,20,S8_EXTENDED_0530_2400,IDEALISED_5_DAY_52_WEEK,260,10,0.0,2500,620,620,"{""blank_slate"": 26, ""hybrid_interlined"": 12, ""multiple_short_radials"": 10, ""scheduled_extensions"": 524, ""short_turn_overlay"": 5, ""single_compact_loop"": 26, ""trunk_plus_branches"": 5, ""two_radial_out_and_back_feeders"": 12}"
m20pct,-0.2,89135.20000000001,SP2_381f98569e899d,20,S8_EXTENDED_0530_2400,IDEALISED_5_DAY_52_WEEK,260,15,0.0,2500,620,620,"{""blank_slate"": 26, ""hybrid_interlined"": 12, ""multiple_short_radials"": 10, ""scheduled_extensions"": 524, ""short_turn_overlay"": 5, ""single_compact_loop"": 26, ""trunk_plus_branches"": 5, ""two_radial_out_and_back_feeders"": 12}"
m20pct,-0.2,89135.20000000001,SP2_06f858804dad36,20,S8_EXTENDED_0530_2400,IDEALISED_6_DAY_52_WEEK,312,5,0.0,2500,586,586,"{""blank_slate"": 17, ""hybrid_interlined"": 9, ""multiple_short_radials"": 10, ""scheduled_extensions"": 524, ""single_compact_loop"": 17, ""two_radial_out_and_back_feeders"": 9}"
m20pct,-0.2,89135.20000000001,SP2_9bd748bc1d53a0,20,S8_EXTENDED_0530_2400,IDEALISED_6_DAY_52_WEEK,312,10,0.0,2500,586,586,"{""blank_slate"": 17, ""hybrid_interlined"": 9, ""multiple_short_radials"": 10, ""scheduled_extensions"": 524, ""single_compact_loop"": 17, ""two_radial_out_and_back_feeders"": 9}"
m20pct,-0.2,89135.20000000001,SP2_519fd6a17cccb1,20,S8_EXTENDED_0530_2400,IDEALISED_6_DAY_52_WEEK,312,15,0.0,2500,586,586,"{""blank_slate"": 17, ""hybrid_interlined"": 9, ""multiple_short_radials"": 10, ""scheduled_extensions"": 524, ""single_compact_loop"": 17, ""two_radial_out_and_back_feeders"": 9}"
m20pct,-0.2,89135.20000000001,SP2_3d0adac8c1af25,20,S8_EXTENDED_0530_2400,IDEALISED_DAILY_YEAR,365,5,0.0,2500,564,564,"{""blank_slate"": 11, ""hybrid_interlined"": 4, ""multiple_short_radials"": 10, ""scheduled_extensions"": 524, ""single_compact_loop"": 11, ""two_radial_out_and_back_feeders"": 4}"
m20pct,-0.2,89135.20000000001,SP2_786a404e4fa220,20,S8_EXTENDED_0530_2400,IDEALISED_DAILY_YEAR,365,10,0.0,2500,564,564,"{""blank_slate"": 11, ""hybrid_interlined"": 4, ""multiple_short_radials"": 10, ""scheduled_extensions"": 524, ""single_compact_loop"": 11, ""two_radial_out_and_back_feeders"": 4}"
m20pct,-0.2,89135.20000000001,SP2_e7a2a9d563d46d,20,S8_EXTENDED_0530_2400,IDEALISED_DAILY_YEAR,365,15,0.0,2500,564,564,"{""blank_slate"": 11, ""hybrid_interlined"": 4, ""multiple_short_radials"": 10, ""scheduled_extensions"": 524, ""single_compact_loop"": 11, ""two_radial_out_and_back_feeders"": 4}"
m20pct,-0.2,89135.20000000001,SP2_25cfd74810e0f3,30,CORE_0600_2200,IDEALISED_5_DAY_52_WEEK,260,5,0.0,2747,1117,1117,"{""bidirectional_loop_pair"": 2, ""blank_slate"": 116, ""hybrid_interlined"": 115, ""multiple_short_radials"": 11, ""scheduled_extensions"": 576, ""short_turn_overlay"": 33, ""single_compact_loop"": 116, ""trunk_plus_branches"": 33, ""two_radial_out_and_back_feeders"": 115}"
m20pct,-0.2,89135.20000000001,SP2_e60951658fd9ac,30,CORE_0600_2200,IDEALISED_5_DAY_52_WEEK,260,10,0.0,2747,1117,1117,"{""bidirectional_loop_pair"": 2, ""blank_slate"": 116, ""hybrid_interlined"": 115, ""multiple_short_radials"": 11, ""scheduled_extensions"": 576, ""short_turn_overlay"": 33, ""single_compact_loop"": 116, ""trunk_plus_branches"": 33, ""two_radial_out_and_back_feeders"": 115}"
m20pct,-0.2,89135.20000000001,SP2_ce3db65632559b,30,CORE_0600_2200,IDEALISED_5_DAY_52_WEEK,260,15,0.0,2747,1117,1117,"{""bidirectional_loop_pair"": 2, ""blank_slate"": 116, ""hybrid_interlined"": 115, ""multiple_short_radials"": 11, ""scheduled_extensions"": 576, ""short_turn_overlay"": 33, ""single_compact_loop"": 116, ""trunk_plus_branches"": 33, ""two_radial_out_and_back_feeders"": 115}"
m20pct,-0.2,89135.20000000001,SP2_752e65589c4339,30,CORE_0600_2200,IDEALISED_6_DAY_52_WEEK,312,5,0.0,2747,928,928,"{""bidirectional_loop_pair"": 1, ""blank_slate"": 73, ""hybrid_interlined"": 83, ""multiple_short_radials"": 11, ""scheduled_extensions"": 576, ""short_turn_overlay"": 14, ""single_compact_loop"": 73, ""trunk_plus_branches"": 14, ""two_radial_out_and_back_feeders"": 83}"
m20pct,-0.2,89135.20000000001,SP2_e258de57586cc9,30,CORE_0600_2200,IDEALISED_6_DAY_52_WEEK,312,10,0.0,2747,928,928,"{""bidirectional_loop_pair"": 1, ""blank_slate"": 73, ""hybrid_interlined"": 83, ""multiple_short_radials"": 11, ""scheduled_extensions"": 576, ""short_turn_overlay"": 14, ""single_compact_loop"": 73, ""trunk_plus_branches"": 14, ""two_radial_out_and_back_feeders"": 83}"
m20pct,-0.2,89135.20000000001,SP2_1d20c78a3b439f,30,CORE_0600_2200,IDEALISED_6_DAY_52_WEEK,312,15,0.0,2747,928,928,"{""bidirectional_loop_pair"": 1, ""blank_slate"": 73, ""hybrid_interlined"": 83, ""multiple_short_radials"": 11, ""scheduled_extensions"": 576, ""short_turn_overlay"": 14, ""single_compact_loop"": 73, ""trunk_plus_branches"": 14, ""two_radial_out_and_back_feeders"": 83}"
