budget_suffix,budget_change_fraction,budget_cap_annual_bus_km,timing_key,uniform_headway_min,span_id,scenario_id,frontier_policy_context_count,declared_policy_context_count_for_timing,frontier_in_all_declared_calendar_recovery_contexts,frontier_policy_ids,frontier_calendar_ids,frontier_recovery_min_values
p20pct,0.2,133702.8,H60_S8_EXTENDED_0530_2400,60,S8_EXTENDED_0530_2400,P2_a9aaedaa9b2b89cf,9,9,true,SP2_1cc2678358acd2|SP2_69b1aac5af9d35|SP2_774ad54a4401b8|SP2_7b7672f6ee7d89|SP2_7e98b67bab3142|SP2_c422f15488b97b|SP2_d458c2793d6807|SP2_edec38aeece860|SP2_f27868b705e5d6,IDEALISED_5_DAY_52_WEEK|IDEALISED_6_DAY_52_WEEK|IDEALISED_DAILY_YEAR,5|10|15
p20pct,0.2,133702.8,H60_S8_EXTENDED_0530_2400,60,S8_EXTENDED_0530_2400,P2_a9ae10804623d88a,9,9,true,SP2_1cc2678358acd2|SP2_69b1aac5af9d35|SP2_774ad54a4401b8|SP2_7b7672f6ee7d89|SP2_7e98b67bab3142|SP2_c422f15488b97b|SP2_d458c2793d6807|SP2_edec38aeece860|SP2_f27868b705e5d6,IDEALISED_5_DAY_52_WEEK|IDEALISED_6_DAY_52_WEEK|IDEALISED_DAILY_YEAR,5|10|15
p20pct,0.2,133702.8,H60_S8_EXTENDED_0530_2400,60,S8_EXTENDED_0530_2400,P2_a9c4be5c90e8ae96,9,9,true,SP2_1cc2678358acd2|SP2_69b1aac5af9d35|SP2_774ad54a4401b8|SP2_7b7672f6ee7d89|SP2_7e98b67bab3142|SP2_c422f15488b97b|SP2_d458c2793d6807|SP2_edec38aeece860|SP2_f27868b705e5d6,IDEALISED_5_DAY_52_WEEK|IDEALISED_6_DAY_52_WEEK|IDEALISED_DAILY_YEAR,5|10|15
p20pct,0.2,133702.8,H60_S8_EXTENDED_0530_2400,60,S8_EXTENDED_0530_2400,P2_a9d925ce54845e1b,9,9,true,SP2_1cc2678358acd2|SP2_69b1aac5af9d35|SP2_774ad54a4401b8|SP2_7b7672f6ee7d89|SP2_7e98b67bab3142|SP2_c422f15488b97b|SP2_d458c2793d6807|SP2_edec38aeece860|SP2_f27868b705e5d6,IDEALISED_5_DAY_52_WEEK|IDEALISED_6_DAY_52_WEEK|IDEALISED_DAILY_YEAR,5|10|15
p20pct,0.2,133702.8,H60_S8_EXTENDED_0530_2400,60,S8_EXTENDED_0530_2400,P2_a9ff53ca243e028b,9,9,true,SP2_1cc2678358acd2|SP2_69b1aac5af9d35|SP2_774ad54a4401b8|SP2_7b7672f6ee7d89|SP2_7e98b67bab3142|SP2_c422f15488b97b|SP2_d458c2793d6807|SP2_edec38aeece860|SP2_f27868b705e5d6,IDEALISED_5_DAY_52_WEEK|IDEALISED_6_DAY_52_WEEK|IDEALISED_DAILY_YEAR,5|10|15
p20pct,0.2,133702.8,H60_S8_EXTENDED_0530_2400,60,S8_EXTENDED_0530_2400,P2_aa053548070a9586,6,9,false,SP2_1cc2678358acd2|SP2_69b1aac5af9d35|SP2_7b7672f6ee7d89|SP2_7e98b67bab3142|SP2_edec38aeece860|SP2_f27868b705e5d6,IDEALISED_5_DAY_52_WEEK|IDEALISED_6_DAY_52_WEEK,5|10|15
p20pct,0.2,133702.8,H60_S8_EXTENDED_0530_2400,60,S8_EXTENDED_0530_2400,P2_aa103b0ba1a0caa6,6,9,false,SP2_1cc2678358acd2|SP2_69b1aac5af9d35|SP2_7b7672f6ee7d89|SP2_7e98b67bab3142|SP2_edec38aeece860|SP2_f27868b705e5d6,IDEALISED_5_DAY_52_WEEK|IDEALISED_6_DAY_52_WEEK,5|10|15
p20pct,0.2,133702.8,H60_S8_EXTENDED_0530_2400,60,S8_EXTENDED_0530_2400,P2_aa28bd23bafa000b,9,9,true,SP2_1cc2678358acd2|SP2_69b1aac5af9d35|SP2_774ad54a4401b8|SP2_7b7672f6ee7d89|SP2_7e98b67bab3142|SP2_c422f15488b97b|SP2_d458c2793d6807|SP2_edec38aeece860|SP2_f27868b705e5d6,IDEALISED_5_DAY_52_WEEK|IDEALISED_6_DAY_52_WEEK|IDEALISED_DAILY_YEAR,5|10|15
p20pct,0.2,133702.8,H60_S8_EXTENDED_0530_2400,60,S8_EXTENDED_0530_2400,P2_aa3e5bc78cc8d905,9,9,true,SP2_1cc2678358acd2|SP2_69b1aac5af9d35|SP2_774ad54a4401b8|SP2_7b7672f6ee7d89|SP2_7e98b67bab3142|SP2_c422f15488b97b|SP2_d458c2793d6807|SP2_edec38aeece860|SP2_f27868b705e5d6,IDEALISED_5_DAY_52_WEEK|IDEALISED_6_DAY_52_WEEK|IDEALISED_DAILY_YEAR,5|10|15
p20pct,0.2,133702.8,H60_S8_EXTENDED_0530_2400,60,S8_EXTENDED_0530_2400,P2_aa4bec52ffd70538,9,9,true,SP2_1cc2678358acd2|SP2_69b1aac5af9d35|SP2_774ad54a4401b8|SP2_7b7672f6ee7d89|SP2_7e98b67bab3142|SP2_c422f15488b97b|SP2_d458c2793d6807|SP2_edec38aeece860|SP2_f27868b705e5d6,IDEALISED_5_DAY_52_WEEK|IDEALISED_6_DAY_52_WEEK|IDEALISED_DAILY_YEAR,5|10|15
