runtime_class,representative_fractional_runtime_min,actual_runtime_transform,uniform_headway_min,span_id,span_start_min,span_end_min,evaluated_phase_count,phase_domain,all_phases_retained_downstream,vehicle_cycle_to_rail_milano_mean_gap_min_min_across_phases,vehicle_cycle_to_rail_milano_mean_gap_min_max_across_phases,vehicle_cycle_to_rail_milano_median_gap_min_min_across_phases,vehicle_cycle_to_rail_milano_median_gap_min_max_across_phases,vehicle_cycle_to_rail_milano_p90_gap_min_min_across_phases,vehicle_cycle_to_rail_milano_p90_gap_min_max_across_phases,vehicle_cycle_to_rail_milano_unmatched_count_min_across_phases,vehicle_cycle_to_rail_milano_unmatched_count_max_across_phases,vehicle_cycle_to_rail_lecco_mean_gap_min_min_across_phases,vehicle_cycle_to_rail_lecco_mean_gap_min_max_across_phases,vehicle_cycle_to_rail_lecco_median_gap_min_min_across_phases,vehicle_cycle_to_rail_lecco_median_gap_min_max_across_phases,vehicle_cycle_to_rail_lecco_p90_gap_min_min_across_phases,vehicle_cycle_to_rail_lecco_p90_gap_min_max_across_phases,vehicle_cycle_to_rail_lecco_unmatched_count_min_across_phases,vehicle_cycle_to_rail_lecco_unmatched_count_max_across_phases,rail_to_bus_milano_mean_gap_min_min_across_phases,rail_to_bus_milano_mean_gap_min_max_across_phases,rail_to_bus_milano_median_gap_min_min_across_phases,rail_to_bus_milano_median_gap_min_max_across_phases,rail_to_bus_milano_p90_gap_min_min_across_phases,rail_to_bus_milano_p90_gap_min_max_across_phases,rail_to_bus_milano_unmatched_count_min_across_phases,rail_to_bus_milano_unmatched_count_max_across_phases,rail_to_bus_lecco_mean_gap_min_min_across_phases,rail_to_bus_lecco_mean_gap_min_max_across_phases,rail_to_bus_lecco_median_gap_min_min_across_phases,rail_to_bus_lecco_median_gap_min_max_across_phases,rail_to_bus_lecco_p90_gap_min_min_across_phases,rail_to_bus_lecco_p90_gap_min_max_across_phases,rail_to_bus_lecco_unmatched_count_min_across_phases,rail_to_bus_lecco_unmatched_count_max_across_phases
POSITIVE_FRACTION,0.5,ACTUAL_VEHICLE_CYCLE_TO_RAIL_GAP=REPRESENTATIVE_GAP+(0.5-ACTUAL_FRACTIONAL_RUNTIME_MIN),15,CORE_0600_2200,360,1320,15,0..14,true,8.000000000,22.000000000,8.000000000,22.000000000,15.500000000,29.500000000,0,0,8.000000000,22.000000000,8.000000000,22.000000000,15.500000000,29.500000000,0,0,0.000000000,14.000000000,0.000000000,14.000000000,0.000000000,14.000000000,0,1,0.000000000,14.000000000,0.000000000,14.000000000,0.000000000,14.000000000,0,0
POSITIVE_FRACTION,0.5,ACTUAL_VEHICLE_CYCLE_TO_RAIL_GAP=REPRESENTATIVE_GAP+(0.5-ACTUAL_FRACTIONAL_RUNTIME_MIN),15,S8_EXTENDED_0530_2400,330,1440,15,0..14,true,8.000000000,21.894366197,8.000000000,18.000000000,15.500000000,29.500000000,2,3,8.405405405,22.000000000,11.000000000,22.000000000,15.500000000,29.500000000,0,0,0.000000000,14.000000000,0.000000000,14.000000000,0.000000000,14.000000000,0,0,0.000000000,14.000000000,0.000000000,14.000000000,0.000000000,14.000000000,0,0
POSITIVE_FRACTION,0.5,ACTUAL_VEHICLE_CYCLE_TO_RAIL_GAP=REPRESENTATIVE_GAP+(0.5-ACTUAL_FRACTIONAL_RUNTIME_MIN),20,CORE_0600_2200,360,1320,20,0..19,true,10.500000000,19.500000000,10.500000000,19.500000000,20.500000000,29.500000000,0,0,10.500000000,19.500000000,10.500000000,19.500000000,20.500000000,29.500000000,0,0,4.838709677,14.161290323,0.000000000,19.000000000,10.000000000,19.000000000,0,1,5.000000000,14.000000000,5.000000000,14.000000000,10.000000000,19.000000000,0,0
POSITIVE_FRACTION,0.5,ACTUAL_VEHICLE_CYCLE_TO_RAIL_GAP=REPRESENTATIVE_GAP+(0.5-ACTUAL_FRACTIONAL_RUNTIME_MIN),20,S8_EXTENDED_0530_2400,330,1440,20,0..19,true,10.500000000,19.500000000,10.500000000,19.500000000,20.500000000,29.500000000,1,2,10.681818182,19.500000000,10.500000000,19.500000000,20.500000000,29.500000000,0,0,5.000000000,14.000000000,5.000000000,14.000000000,10.000000000,19.000000000,0,0,5.000000000,14.000000000,5.000000000,14.000000000,10.000000000,19.000000000,0,0
POSITIVE_FRACTION,0.5,ACTUAL_VEHICLE_CYCLE_TO_RAIL_GAP=REPRESENTATIVE_GAP+(0.5-ACTUAL_FRACTIONAL_RUNTIME_MIN),30,CORE_0600_2200,360,1320,30,0..29,true,0.500000000,29.500000000,0.500000000,29.500000000,0.500000000,29.500000000,0,0,0.500000000,29.500000000,0.500000000,29.500000000,0.500000000,29.500000000,0,0,0.000000000,29.000000000,0.000000000,29.000000000,0.000000000,29.000000000,0,1,0.000000000,29.000000000,0.000000000,29.000000000,0.000000000,29.000000000,0,1
POSITIVE_FRACTION,0.5,ACTUAL_VEHICLE_CYCLE_TO_RAIL_GAP=REPRESENTATIVE_GAP+(0.5-ACTUAL_FRACTIONAL_RUNTIME_MIN),30,S8_EXTENDED_0530_2400,330,1440,30,0..29,true,0.500000000,29.500000000,0.500000000,29.500000000,0.500000000,29.500000000,1,2,1.310810811,29.500000000,0.500000000,29.500000000,0.500000000,29.500000000,0,0,0.000000000,29.000000000,0.000000000,29.000000000,0.000000000,29.000000000,0,0,0.000000000,29.000000000,0.000000000,29.000000000,0.000000000,29.000000000,0,1
POSITIVE_FRACTION,0.5,ACTUAL_VEHICLE_CYCLE_TO_RAIL_GAP=REPRESENTATIVE_GAP+(0.5-ACTUAL_FRACTIONAL_RUNTIME_MIN),60,CORE_0600_2200,360,1320,60,0..59,true,0.500000000,29.500000000,0.500000000,29.500000000,0.500000000,29.500000000,0,0,0.500000000,29.500000000,0.500000000,29.500000000,0.500000000,29.500000000,0,0,14.516129032,44.000000000,0.000000000,44.000000000,30.000000000,59.000000000,0,2,14.516129032,44.000000000,0.000000000,44.000000000,30.000000000,59.000000000,0,2
POSITIVE_FRACTION,0.5,ACTUAL_VEHICLE_CYCLE_TO_RAIL_GAP=REPRESENTATIVE_GAP+(0.5-ACTUAL_FRACTIONAL_RUNTIME_MIN),60,S8_EXTENDED_0530_2400,330,1440,60,0..59,true,0.500000000,29.500000000,0.500000000,29.500000000,0.500000000,29.500000000,0,1,0.500000000,29.500000000,0.500000000,29.500000000,0.500000000,29.500000000,0,0,15.000000000,44.000000000,5.000000000,44.000000000,30.000000000,59.000000000,0,1,14.571428571,44.000000000,0.000000000,44.000000000,30.000000000,59.000000000,0,2
