procom_res,procom_lav,pendolari
097058,015011,3
097058,015027,1
097058,015032,2
097058,015040,1
097058,015044,1
097058,015051,3
097058,015060,3
097058,015070,6
097058,015077,7
097058,015081,5
097058,015086,1
097058,015087,1
097058,015093,3
097058,015098,1
097058,015103,1
097058,015106,2
097058,015108,3
097058,015118,1
097058,015122,1
097058,015140,1
097058,015142,1
097058,015146,204
097058,015166,1
097058,015170,1
097058,015171,3
097058,015172,4
097058,015175,1
097058,015181,1
097058,015182,1
097058,015189,2
097058,015192,4
097058,015195,1
097058,015205,5
097058,015209,12
097058,015210,1
097058,015219,2
097058,015220,1
097058,015221,3
097058,015224,2
097058,015242,3
097058,015247,1
097058,016006,1
097058,016009,1
097058,016016,1
097058,016024,7
097058,016039,1
097058,016042,1
097058,016044,1
097058,016046,9
097058,016051,1
097058,016052,2
097058,016057,3
097058,016072,1
097058,016074,18
097058,016089,1
097058,016096,1
097058,016098,1
097058,016123,1
097058,016132,5
097058,016141,1
097058,016170,2
097058,016171,3
097058,016203,4
097058,016207,1
097058,016209,1
097058,016213,1
097058,016219,2
097058,016238,8
097058,016245,1
097058,016250,2
097058,016251,1
097058,017046,1
097058,017186,1
097058,018153,1
097058,019102,1
097058,024116,1
097058,033032,1
097058,034027,1
097058,097001,1
097058,097002,18
097058,097003,2
097058,097005,26
097058,097006,6
097058,097009,9
097058,097010,86
097058,097011,7
097058,097012,136
097058,097013,22
097058,097016,17
097058,097017,7
097058,097019,8
097058,097020,60
097058,097021,5
097058,097022,3
097058,097023,3
097058,097024,3
097058,097026,3
097058,097028,1
097058,097029,1
097058,097031,12
097058,097033,2
097058,097036,8
097058,097037,8
097058,097038,11
097058,097039,6
097058,097042,100
097058,097044,28
097058,097045,2
097058,097046,2
097058,097048,211
097058,097049,18
097058,097051,7
097058,097052,13
097058,097053,9
097058,097054,8
097058,097056,2
097058,097057,12
097058,097058,382
097058,097059,33
097058,097061,37
097058,097062,10
097058,097068,4
097058,097071,27
097058,097072,3
097058,097074,80
097058,097075,7
097058,097076,11
097058,097080,4
097058,097082,3
097058,097083,10
097058,097086,3
097058,097087,7
097058,097088,15
097058,097090,2
097058,097092,76
097058,098031,1
097058,098040,2
097058,108001,14
097058,108002,5
097058,108004,18
097058,108006,4
097058,108007,7
097058,108008,7
097058,108009,2
097058,108011,2
097058,108012,12
097058,108013,2
097058,108014,1
097058,108015,10
097058,108016,8
097058,108017,2
097058,108019,2
097058,108021,6
097058,108023,4
097058,108024,4
097058,108026,2
097058,108027,1
097058,108028,2
097058,108029,4
097058,108031,2
097058,108033,43
097058,108035,1
097058,108037,2
097058,108038,3
097058,108039,3
097058,108042,5
097058,108043,2
097058,108044,13
097058,108045,3
097058,108046,2
097058,108047,1
097058,108049,2
097058,108050,35
097058,108051,5
097058,108052,1
097058,108053,8
097058,108054,1
097074,012127,2
097074,013003,1
097074,013009,2
097074,013019,1
097074,013075,3
097074,013095,5
097074,013134,2
097074,013136,5
097074,013143,1
097074,013147,1
097074,013153,1
097074,013170,1
097074,015011,1
097074,015032,1
097074,015044,1
097074,015051,1
097074,015059,1
097074,015081,1
097074,015146,41
097074,015166,1
097074,015182,1
097074,015192,3
097074,015205,1
097074,015206,1
097074,015209,3
097074,015211,1
097074,015221,1
097074,016024,2
097074,016031,1
097074,016046,2
097074,016057,2
097074,016074,5
097074,016114,1
097074,016171,2
097074,016206,1
097074,016213,2
097074,016224,1
097074,016234,1
097074,016250,3
097074,097002,3
097074,097003,2
097074,097005,21
097074,097006,11
097074,097009,7
097074,097010,14
097074,097011,3
097074,097012,33
097074,097013,4
097074,097016,14
097074,097017,7
097074,097019,15
097074,097020,16
097074,097021,3
097074,097022,3
097074,097024,10
097074,097026,2
097074,097028,1
097074,097030,1
097074,097031,11
097074,097036,1
097074,097037,7
097074,097038,1
097074,097039,5
097074,097042,31
097074,097044,12
097074,097046,1
097074,097048,58
097074,097049,6
097074,097051,6
097074,097052,2
097074,097053,4
097074,097054,2
097074,097056,1
097074,097057,10
097074,097058,64
097074,097059,3
097074,097061,9
097074,097062,3
097074,097071,6
097074,097072,1
097074,097074,169
097074,097075,7
097074,097076,11
097074,097082,1
097074,097083,8
097074,097084,1
097074,097087,3
097074,097088,6
097074,097090,2
097074,097092,87
097074,108001,2
097074,108004,2
097074,108007,3
097074,108008,5
097074,108009,2
097074,108012,8
097074,108015,5
097074,108016,7
097074,108021,3
097074,108024,3
097074,108026,1
097074,108028,2
097074,108029,1
097074,108030,1
097074,108033,9
097074,108035,1
097074,108037,1
097074,108038,1
097074,108039,2
097074,108044,3
097074,108047,2
097074,108049,4
097074,108050,9
097074,108051,1
097074,108053,1
097074,108055,1
097092,001078,1
097092,001272,1
097092,010025,1
097092,012026,1
097092,012042,1
097092,012090,1
097092,012133,1
097092,013003,2
097092,013006,1
097092,013035,1
097092,013041,4
097092,013048,1
097092,013075,2
097092,013095,8
097092,013097,1
097092,013101,2
097092,013110,1
097092,013133,1
097092,013147,1
097092,013154,1
097092,013165,2
097092,013170,1
097092,013199,1
097092,013242,2
097092,014027,1
097092,015010,1
097092,015024,1
097092,015027,1
097092,015044,1
097092,015051,5
097092,015060,1
097092,015070,3
097092,015077,6
097092,015081,1
097092,015086,2
097092,015106,1
097092,015114,1
097092,015118,1
097092,015142,1
097092,015146,104
097092,015166,3
097092,015172,2
097092,015189,1
097092,015205,3
097092,015209,4
097092,015213,1
097092,015237,1
097092,015250,1
097092,016021,1
097092,016024,5
097092,016034,2
097092,016046,3
097092,016049,1
097092,016057,1
097092,016074,9
097092,016079,1
097092,016089,2
097092,016132,1
097092,016152,1
097092,016156,1
097092,016172,1
097092,016203,2
097092,016207,1
097092,016209,2
097092,016216,1
097092,016219,1
097092,016232,1
097092,016238,3
097092,016250,5
097092,016251,1
097092,017065,1
097092,018078,1
097092,018153,1
097092,018177,1
097092,019112,1
097092,026086,2
097092,097002,9
097092,097003,6
097092,097005,51
097092,097006,15
097092,097009,9
097092,097010,36
097092,097011,14
097092,097012,53
097092,097013,9
097092,097016,37
097092,097017,6
097092,097019,25
097092,097020,37
097092,097021,5
097092,097022,3
097092,097023,1
097092,097024,6
097092,097026,14
097092,097028,8
097092,097031,31
097092,097033,1
097092,097036,3
097092,097037,20
097092,097039,4
097092,097040,1
097092,097042,64
097092,097044,21
097092,097045,2
097092,097046,2
097092,097048,107
097092,097049,34
097092,097051,6
097092,097052,1
097092,097053,15
097092,097054,16
097092,097056,5
097092,097057,32
097092,097058,82
097092,097059,6
097092,097061,32
097092,097062,5
097092,097068,1
097092,097071,16
097092,097072,11
097092,097074,90
097092,097075,8
097092,097076,29
097092,097083,11
097092,097086,1
097092,097087,9
097092,097088,9
097092,097090,5
097092,097092,377
097092,108001,10
097092,108003,1
097092,108004,9
097092,108006,1
097092,108007,2
097092,108008,10
097092,108009,3
097092,108010,1
097092,108011,1
097092,108012,5
097092,108015,8
097092,108016,7
097092,108017,1
097092,108019,1
097092,108021,4
097092,108023,7
097092,108024,2
097092,108026,4
097092,108028,2
097092,108029,1
097092,108030,3
097092,108031,1
097092,108032,3
097092,108033,20
097092,108035,1
097092,108036,2
097092,108037,5
097092,108038,7
097092,108039,4
097092,108041,1
097092,108042,1
097092,108043,4
097092,108044,10
097092,108045,1
097092,108047,5
097092,108048,3
097092,108049,1
097092,108050,14
097092,108051,1
097092,108052,1
097092,108053,5
