route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
D180,000SFER62026010120260608000002,A2013327-0161-46578,Oggiono - stazione f.s.,0161,1,,+++D80++552
D180,000SFER62026010120260608000002,A2013327-0163-46579,Oggiono - stazione f.s.,0163,1,,+++D80++552
D160,000SFER62026010120260608000002,A2013327-0036-46580,Casatenovo - comune,0036,0,,+++D60++831
D160,000SFER62026010120260608000002,A2013327-0123-46581,Oggiono - stazione f.s.,0123,1,,+++D60++932
D160,000SFER52026010120260608000002,A2013327-0061-46582,Valmadrera - rio torto,0061,1,,+++D60++942
D160,000SFER52026010120260608000002,A2013327-0173-46583,Oggiono - stazione f.s.,0173,1,,+++D60++952
D160,000SFER52026010120260608000002,A2013327-0107-46584,Oggiono - stazione f.s.,0107,1,,+++D60++952
D180,000SFER52026010120260608000002,A2013327-0159-46586,Oggiono - stazione f.s.,0159,1,,+++D80++572
D160,000SFER62026010120260608000002,A2013327-0033-46587,Valmadrera - Croce Rossa,0033,1,,+++D60++162
D160,000SFER52026010120260608000002,A2013327-0050-46588,Barzano' - Via IV Novembre/Largo Diaz,0050,0,,+++D60++841
D160,000SFER62026010120260608000002,A2013327-0147-46589,Oggiono - stazione f.s.,0147,1,,+++D60++722
D160,000SFER62026010120260608000002,A2013327-0066-46593,Oggiono - stazione f.s.,0066,0,,+++D60++161
D180,000SFER52026010120260608000002,A2013327-0084-46598,Monza - corso milano (stazione f.s),0084,0,,+++D80++331
D160,000SFER52026010120260608000002,A2013327-0162-46600,Besana brianza - ist.gandhi,0162,0,,+++D60++621
D160,000SFSAB2026010120260608000002,A2013327-0122-46603,Barzano' - Via IV Novembre/Largo Diaz,0122,0,,+++D60++031
D160,000SFSAB2026010120260608000002,A2013327-0078-46604,Barzano' - Via IV Novembre/Largo Diaz,0078,0,,+++D60++821
D127,000SFER62026010120260608000002,A2013327-0001-46663,Taceno - via roma (municipio),0001,1,,+++D27++172
D120,000SFER52026010120260608000002,A2013327-0020-47933,Mandello lario - maggiana crebbio,0020,0,,+++D20++161
D120,000SFER52026010120260608000002,A2013327-0022-47936,Mandello lario - somana,0022,0,,+++D20++151
D120,000SFER52026010120260608000002,A2013327-0031-47937,Mandello lario - olcio chiesa,0031,1,,+++D20++162
D160,000SFSAB2026010120260608000002,A2013327- -47996,Valmadrera - Croce Rossa,,1,,+++D60++162
D160,000SFSAB2026010120260608000002,A2013327- -47997,Oggiono - piazza garibaldi,,0,,+++D60++721
D150,000SFER52026010120260608000002,A2013327-0060-48017,Merate - via dei lodovichi (scuole),0060,0,,+++D50++551
D160,000SFER62026010120260608000002,A2013327-0191-48118,Oggiono - stazione f.s.,0191,1,,+++D60++892
D160,000SFER62026010120260608000002,A2013327-0006-48119,Casatenovo - bivio villa greppi,0006,0,,+++D60++811
D170,000SFER62026010120260608000002,A2013327-0143-48131,Paderno d'adda - stazione f.s.,0143,1,,+++D70++922
D170,000SFER62026010120260608000002,A2013327-0309-48132,Calco - arlate (cimitero),0309,1,,+++D70++632
D170,000SFER62026010120260608000002,A2013327-0164-48133,Merate - via dei lodovichi (scuole),0164,0,,+++D70++541
D155,000AFEST2026010120260608000002,A2013327-0183-48146,LECCO FS-MONTELLO FRONTE FS,0183,1,,+++D55++242
D151,000SFER62026010120260608000002,A2013327-0047-48919,Lecco - meridiane,0047,1,,+++LCO+++62
D150,000SFER62026010120260608000002,A2013327-0091-48922,Cernusco L. - stazione f.s.,0091,1,,+++D50++032
D150,000SFER62026010120260608000002,A2013327-0084-48923,Merate - via dei lodovichi (scuole),0084,0,,+++D50++621
D150,000SFER62026010120260608000002,A2013327-0089-48924,Olginate - chiesa,0089,1,,+++D50++622
D135,00VSFER62026010120260608000002,A2013327-0008-49172,Concenedo,0008,0,,+++D35++091
VCB,00VSFER62026010120260608000002,A2013327-0033-49174,Vercurago - cimitero,0033,1,,+++CBI+++62
D140,00VSFER62026010120260608000002,A2013327-0017-49175,Calolziocorte - stazione f.s.,0017,1,,+++D40++012
D151,00VSFER62026010120260608000002,A2013327-0083-49177,Lecco - meridiane,0083,1,,+++LCO+++32
VCB,00VSFER62026010120260608000002,A2013327-0034-49178,Calolziocorte - stazione f.s.,0034,0,,+++CBI++271
VCB,00VSFER62026010120260608000002,A2013327-0037-49180,Vercurago - cimitero,0037,1,,+++CBI++102
D160,000SFSAB2026010120260608000002,A2013327-0103-49182,Oggiono - stazione f.s.,0103,1,,+++D60++032
D180,00VSFER52026010120260608000002,A2013327-0010-49183,Arcore - stazione f.s.,0010,0,,+++D80+++41
D180,000AFER62026010120260608000002,A2013327-0076-49192,Monza - corso milano (stazione f.s),0076,0,,+++D80+++91
D180,000SFER62026010120260608000002,A2013327-0004-49194,Monza - corso milano (stazione f.s),0004,0,,+++D80++331
D180,00VSFER62026010120260608000002,A2013327-0100-49196,Monza - corso milano (stazione f.s),0100,0,,+++D80+++11
D180,VS-4FSAB2026010120260608000002,A2013327-0136-49198,Monza - corso milano (stazione f.s),0136,0,,+++D80+++11
D180,000AFER62026010120260608000002,A2013327-0009-49199,Oggiono - stazione f.s.,0009,1,,+++D80++172
D180,000AFER62026010120260608000002,A2013327-0027-49205,Oggiono - stazione f.s.,0027,1,,+++D80++122
D180,000SFER62026010120260608000002,A2013327-0081-49207,Barzano' - Via IV Novembre/Largo Diaz,0081,1,,+++D80++312
D180,000SFER52026010120260608000002,A2013327-0143-49209,Oggiono - stazione f.s.,0143,1,,+++D80++122
D160,000SFER52026010120260608000002,A2013327-0078-49219,Casatenovo - bivio villa greppi,0078,0,,+++D60++691
D160,000AFER62026010120260608000002,A2013327-0005-49221,Oggiono - piazza garibaldi,0005,1,,+++D60++222
D160,000SFSAB2026010120260608000002,A2013327-0129-49227,Oggiono - stazione f.s.,0129,1,,+++D60++622
D180,000AFER62026010120260608000002,A2013327-0148-49238,Vigano' - via nobili,0148,0,,+++D80++321
D180,000SFER52026010120260608000002,A2013327-0100-49239,Monza - corso milano (stazione f.s),0100,0,,+++D80+++11
D180,000SFSAB2026010120260608000002,A2013327-0071-49244,Barzano' - Via IV Novembre/Largo Diaz,0071,1,,+++D80++312
D135,000SFSAB2026010120260608000002,A2013327-0175-49513,Barzio - bar garden,0175,1,,+++D35++412
D135,000SFER52026010120260608000002,A2013327-0111-49520,Pasturo - bivio,0111,1,,+++D35+1052
D127,000SFSAB2026010120260608000002,A2013327-0051-49523,Taceno - via roma (municipio),0051,1,,+++D27++022
D180,000SFSAB2026010120260608000002,A2013327-0165-49790,Oggiono - stazione f.s.,0165,1,,+++D80++472
D160,000SFER62026010120260608000002,A2013327-0038-49791,Barzano' - Via IV Novembre/Largo Diaz,0038,0,,+++D60++031
D180,000SFER62026010120260608000002,A2013327-0044-49792,Monza - corso milano (stazione f.s),0044,0,,+++D80+++11
D180,00VSFER52026010120260608000002,A2013327-0048-49793,Arcore - stazione f.s.,0048,0,,+++D80+++41
D180,000SFER62026010120260608000002,A2013327-0162-49795,Arcore - stazione f.s.,0162,0,,+++D80+++41
D160,000SFER62026010120260608000002,A2013327-00228-49802,Barzano' - Via IV Novembre/Largo Diaz,00228,0,,+++D60++841
D180,000SFER62026010120260608000002,A2013327-0025-49804,Barzano' - Via IV Novembre/Largo Diaz,0025,1,,+++D80++312
D160,000AFER62026010120260608000002,A2013327-0144-49805,Barzano' - Via IV Novembre/Largo Diaz,0144,0,,+++D60++031
D160,000SFER62026010120260608000002,A2013327-0163-49806,Barzano' - Via IV Novembre/Largo Diaz,0163,1,,+++D60++792
D160,000SFER52026010120260608000002,A2013327-0073-50046,Oggiono - stazione f.s.,0073,1,,+++D60++912
D160,000SFER52026010120260608000002,A2013327-0076-50047,Casatenovo - comune,0076,0,,+++D60++141
D160,000SFSAB2026010120260608000002,A2013327-0211-50048,Oggiono - stazione f.s.,0211,1,,+++D60++962
D170,000SFER62026010120260608000002,A2013327-0338-50058,Paderno d'adda - stazione f.s.,0338,0,,+++D70++571
D170,000SFER62026010120260608000002,A2013327-0355-50061,Merate - brugarolo,0355,1,,+++D70+1092
D170,000SFER62026010120260608000002,A2013327-0358-50064,Verderio inferiore - libertà,0358,0,,+++D70+1051
D170,000SFER62026010120260608000002,A2013327-0025-50065,Merate - via de gasperi (scuole),0025,1,,+++D70++452
D150,000SFER62026010120260608000002,A2013327-0073-50066,Merate - via dei lodovichi (scuole),0073,1,,+++D50++632
D170,000SFER62026010120260608000002,A2013327-0361-50073,Merate - via dei lodovichi (scuole),0361,1,,+++D70++642
D185,0O-4FER52026010120260608000002,A2013327-0038-50082,Olgiate Molgora - stazione f.s.,0038,0,,+++E03++011
D185,0O-4FER52026010120260608000002,A2013327-0029-50083,Caprino - piazza marconi,0029,1,,+++E03++012
D185,0O-4FER52026010120260608000002,A2013327-0024-50084,Olgiate Molgora - stazione f.s.,0024,0,,+++E03++011
D185,0O-4FER52026010120260608000002,A2013327-0021-50085,Caprino - piazza marconi,0021,1,,+++E03++012
D185,0O-4FER52026010120260608000002,A2013327-0012-50086,Olgiate Molgora - stazione f.s.,0012,0,,+++E03++011
D185,0O-4FER52026010120260608000002,A2013327-0045-50087,Caprino - piazza marconi,0045,1,,+++E03++012
