service_id,date,exception_type
000AFER62026010120260608000002,20260114,1
000IF6IL2026010120260608000002,20260114,1
000IFER52026010120260608000002,20260114,1
000IFER62026010120260608000002,20260114,1
000SF-1.2026010120260608000002,20260114,1
000SF1352026010120260608000002,20260114,1
000SFER52026010120260608000002,20260114,1
000SFER62026010120260608000002,20260114,1
00A7F5NR2026010120260608000002,20260114,1
00A7F6NR2026010120260608000002,20260114,1
00A8F5NA2026010120260608000002,20260114,1
00A8F6LC2026010120260608000002,20260114,1
00A8F6NA2026010120260608000002,20260114,1
0O-4FER52026010120260608000002,20260114,1
000AF-2.2026010120260608000002,20260115,1
000AFER52026010120260608000002,20260115,1
000AFER62026010120260608000002,20260115,1
000IF6IL2026010120260608000002,20260115,1
000IFER52026010120260608000002,20260115,1
000IFER62026010120260608000002,20260115,1
000SF-1.2026010120260608000002,20260115,1
000SF24.2026010120260608000002,20260115,1
000SF2462026010120260608000002,20260115,1
000SFER52026010120260608000002,20260115,1
000SFER62026010120260608000002,20260115,1
000SFGIO2026010120260608000002,20260115,1
00A7F5NR2026010120260608000002,20260115,1
00A7F6NR2026010120260608000002,20260115,1
00A8F5NA2026010120260608000002,20260115,1
00A8F6LC2026010120260608000002,20260115,1
00A8F6NA2026010120260608000002,20260115,1
0O-4FER52026010120260608000002,20260115,1
000AF-2.2026010120260608000002,20260116,1
000AFER52026010120260608000002,20260116,1
000AFER62026010120260608000002,20260116,1
000IF6IL2026010120260608000002,20260116,1
000IFER52026010120260608000002,20260116,1
000IFER62026010120260608000002,20260116,1
000S00F52026010120260608000002,20260116,1
000SF-1.2026010120260608000002,20260116,1
000SF1352026010120260608000002,20260116,1
000SFER52026010120260608000002,20260116,1
000SFER62026010120260608000002,20260116,1
000SFVEN2026010120260608000002,20260116,1
00A7F5NR2026010120260608000002,20260116,1
00A7F6NR2026010120260608000002,20260116,1
00A8F5NA2026010120260608000002,20260116,1
00A8F6LC2026010120260608000002,20260116,1
00A8F6NA2026010120260608000002,20260116,1
0O-4FER52026010120260608000002,20260116,1
000AF-2.2026010120260608000002,20260117,1
000AFER62026010120260608000002,20260117,1
000IF6IL2026010120260608000002,20260117,1
000IFER62026010120260608000002,20260117,1
000IFSAB2026010120260608000002,20260117,1
000SF-1.2026010120260608000002,20260117,1
000SF2462026010120260608000002,20260117,1
000SFER62026010120260608000002,20260117,1
000SFSAB2026010120260608000002,20260117,1
00A7F6NR2026010120260608000002,20260117,1
00A8F6LC2026010120260608000002,20260117,1
00A8F6NA2026010120260608000002,20260117,1
000AFEST2026010120260608000002,20260118,1
000IFEST2026010120260608000002,20260118,1
000AF-2.2026010120260608000002,20260119,1
000AFER52026010120260608000002,20260119,1
000AFER62026010120260608000002,20260119,1
000IF6IL2026010120260608000002,20260119,1
000IFER52026010120260608000002,20260119,1
000IFER62026010120260608000002,20260119,1
000SF1352026010120260608000002,20260119,1
000SFER52026010120260608000002,20260119,1
000SFER62026010120260608000002,20260119,1
000SFLUN2026010120260608000002,20260119,1
00A7F5NR2026010120260608000002,20260119,1
00A7F6NR2026010120260608000002,20260119,1
00A8F5NA2026010120260608000002,20260119,1
00A8F6LC2026010120260608000002,20260119,1
00A8F6NA2026010120260608000002,20260119,1
0O-4FER52026010120260608000002,20260119,1
000AFER52026010120260608000002,20260120,1
000AFER62026010120260608000002,20260120,1
000AFMAR2026010120260608000002,20260120,1
000IF6IL2026010120260608000002,20260120,1
000IFER52026010120260608000002,20260120,1
000IFER62026010120260608000002,20260120,1
000SF-1.2026010120260608000002,20260120,1
000SF24.2026010120260608000002,20260120,1
000SF2462026010120260608000002,20260120,1
000SFER52026010120260608000002,20260120,1
000SFER62026010120260608000002,20260120,1
00A7F5NR2026010120260608000002,20260120,1
00A7F6NR2026010120260608000002,20260120,1
00A8F5NA2026010120260608000002,20260120,1
00A8F6LC2026010120260608000002,20260120,1
00A8F6NA2026010120260608000002,20260120,1
0O-4FER52026010120260608000002,20260120,1
000AF-2.2026010120260608000002,20260121,1
000AFER52026010120260608000002,20260121,1
000AFER62026010120260608000002,20260121,1
000IF6IL2026010120260608000002,20260121,1
000IFER52026010120260608000002,20260121,1
000IFER62026010120260608000002,20260121,1
000SF-1.2026010120260608000002,20260121,1
000SF1352026010120260608000002,20260121,1
000SFER52026010120260608000002,20260121,1
000SFER62026010120260608000002,20260121,1
00A7F5NR2026010120260608000002,20260121,1
00A7F6NR2026010120260608000002,20260121,1
00A8F5NA2026010120260608000002,20260121,1
00A8F6LC2026010120260608000002,20260121,1
00A8F6NA2026010120260608000002,20260121,1
0O-4FER52026010120260608000002,20260121,1
000AF-2.2026010120260608000002,20260122,1
000AFER52026010120260608000002,20260122,1
000AFER62026010120260608000002,20260122,1
000IF6IL2026010120260608000002,20260122,1
000IFER52026010120260608000002,20260122,1
000IFER62026010120260608000002,20260122,1
000SF-1.2026010120260608000002,20260122,1
000SF24.2026010120260608000002,20260122,1
000SF2462026010120260608000002,20260122,1
000SFER52026010120260608000002,20260122,1
000SFER62026010120260608000002,20260122,1
000SFGIO2026010120260608000002,20260122,1
00A7F5NR2026010120260608000002,20260122,1
00A7F6NR2026010120260608000002,20260122,1
00A8F5NA2026010120260608000002,20260122,1
00A8F6LC2026010120260608000002,20260122,1
00A8F6NA2026010120260608000002,20260122,1
0O-4FER52026010120260608000002,20260122,1
000AF-2.2026010120260608000002,20260123,1
000AFER52026010120260608000002,20260123,1
000AFER62026010120260608000002,20260123,1
000IF6IL2026010120260608000002,20260123,1
000IFER52026010120260608000002,20260123,1
000IFER62026010120260608000002,20260123,1
000S00F52026010120260608000002,20260123,1
000SF-1.2026010120260608000002,20260123,1
000SF1352026010120260608000002,20260123,1
000SFER52026010120260608000002,20260123,1
000SFER62026010120260608000002,20260123,1
000SFVEN2026010120260608000002,20260123,1
00A7F5NR2026010120260608000002,20260123,1
00A7F6NR2026010120260608000002,20260123,1
00A8F5NA2026010120260608000002,20260123,1
00A8F6LC2026010120260608000002,20260123,1
00A8F6NA2026010120260608000002,20260123,1
0O-4FER52026010120260608000002,20260123,1
000AF-2.2026010120260608000002,20260124,1
000AFER62026010120260608000002,20260124,1
000IF6IL2026010120260608000002,20260124,1
000IFER62026010120260608000002,20260124,1
000IFSAB2026010120260608000002,20260124,1
000SF-1.2026010120260608000002,20260124,1
000SF2462026010120260608000002,20260124,1
000SFER62026010120260608000002,20260124,1
000SFSAB2026010120260608000002,20260124,1
00A7F6NR2026010120260608000002,20260124,1
00A8F6LC2026010120260608000002,20260124,1
00A8F6NA2026010120260608000002,20260124,1
000AFEST2026010120260608000002,20260125,1
000IFEST2026010120260608000002,20260125,1
000AF-2.2026010120260608000002,20260126,1
000AFER52026010120260608000002,20260126,1
000AFER62026010120260608000002,20260126,1
000IF6IL2026010120260608000002,20260126,1
000IFER52026010120260608000002,20260126,1
000IFER62026010120260608000002,20260126,1
000SF1352026010120260608000002,20260126,1
000SFER52026010120260608000002,20260126,1
000SFER62026010120260608000002,20260126,1
000SFLUN2026010120260608000002,20260126,1
00A7F5NR2026010120260608000002,20260126,1
00A7F6NR2026010120260608000002,20260126,1
00A8F5NA2026010120260608000002,20260126,1
00A8F6LC2026010120260608000002,20260126,1
00A8F6NA2026010120260608000002,20260126,1
0O-4FER52026010120260608000002,20260126,1
000AFER52026010120260608000002,20260127,1
000AFER62026010120260608000002,20260127,1
000AFMAR2026010120260608000002,20260127,1
000IF6IL2026010120260608000002,20260127,1
000IFER52026010120260608000002,20260127,1
000IFER62026010120260608000002,20260127,1
000SF-1.2026010120260608000002,20260127,1
000SF24.2026010120260608000002,20260127,1
000SF2462026010120260608000002,20260127,1
000SFER52026010120260608000002,20260127,1
000SFER62026010120260608000002,20260127,1
00A7F5NR2026010120260608000002,20260127,1
00A7F6NR2026010120260608000002,20260127,1
00A8F5NA2026010120260608000002,20260127,1
00A8F6LC2026010120260608000002,20260127,1
00A8F6NA2026010120260608000002,20260127,1
0O-4FER52026010120260608000002,20260127,1
000AF-2.2026010120260608000002,20260128,1
000AFER52026010120260608000002,20260128,1
000AFER62026010120260608000002,20260128,1
000IF6IL2026010120260608000002,20260128,1
000IFER52026010120260608000002,20260128,1
000IFER62026010120260608000002,20260128,1
000SF-1.2026010120260608000002,20260128,1
000SF1352026010120260608000002,20260128,1
000SFER52026010120260608000002,20260128,1
000SFER62026010120260608000002,20260128,1
00A7F5NR2026010120260608000002,20260128,1
00A7F6NR2026010120260608000002,20260128,1
00A8F5NA2026010120260608000002,20260128,1
00A8F6LC2026010120260608000002,20260128,1
00A8F6NA2026010120260608000002,20260128,1
0O-4FER52026010120260608000002,20260128,1
000AF-2.2026010120260608000002,20260129,1
000AFER52026010120260608000002,20260129,1
000AFER62026010120260608000002,20260129,1
000IF6IL2026010120260608000002,20260129,1
000IFER52026010120260608000002,20260129,1
000IFER62026010120260608000002,20260129,1
000SF-1.2026010120260608000002,20260129,1
000SF24.2026010120260608000002,20260129,1
000SF2462026010120260608000002,20260129,1
000SFER52026010120260608000002,20260129,1
000SFER62026010120260608000002,20260129,1
000SFGIO2026010120260608000002,20260129,1
00A7F5NR2026010120260608000002,20260129,1
00A7F6NR2026010120260608000002,20260129,1
00A8F5NA2026010120260608000002,20260129,1
00A8F6LC2026010120260608000002,20260129,1
00A8F6NA2026010120260608000002,20260129,1
0O-4FER52026010120260608000002,20260129,1
000AF-2.2026010120260608000002,20260130,1
000AFER52026010120260608000002,20260130,1
000AFER62026010120260608000002,20260130,1
000IF6IL2026010120260608000002,20260130,1
000IFER52026010120260608000002,20260130,1
000IFER62026010120260608000002,20260130,1
000S00F52026010120260608000002,20260130,1
000SF-1.2026010120260608000002,20260130,1
000SF1352026010120260608000002,20260130,1
000SFER52026010120260608000002,20260130,1
000SFER62026010120260608000002,20260130,1
000SFVEN2026010120260608000002,20260130,1
00A7F5NR2026010120260608000002,20260130,1
00A7F6NR2026010120260608000002,20260130,1
00A8F5NA2026010120260608000002,20260130,1
00A8F6LC2026010120260608000002,20260130,1
00A8F6NA2026010120260608000002,20260130,1
0O-4FER52026010120260608000002,20260130,1
000AF-2.2026010120260608000002,20260131,1
000AFER62026010120260608000002,20260131,1
000IF6IL2026010120260608000002,20260131,1
000IFER62026010120260608000002,20260131,1
000IFSAB2026010120260608000002,20260131,1
000SF-1.2026010120260608000002,20260131,1
000SF2462026010120260608000002,20260131,1
000SFER62026010120260608000002,20260131,1
000SFSAB2026010120260608000002,20260131,1
00A7F6NR2026010120260608000002,20260131,1
00A8F6LC2026010120260608000002,20260131,1
00A8F6NA2026010120260608000002,20260131,1
000AFEST2026010120260608000002,20260201,1
000IFEST2026010120260608000002,20260201,1
000AF-2.2026010120260608000002,20260202,1
