scenario_id,topology_family,seed_name,public_route_count,optional_extension_count,public_explicit_anchor_count,extension_explicit_anchor_count,public_intercepted_anchor_count,extension_intercepted_anchor_count,public_intercepted_existing_stop_count,public_intercepted_proposed_stop_count,extension_intercepted_existing_stop_count,extension_intercepted_proposed_stop_count,public_leg_count,public_distance_km,public_runtime_min,public_resolved_leg_count,public_quantified_leg_count,public_unknown_leg_count,public_resolved_distance_km,public_quantified_distance_km,public_unknown_distance_km,extension_leg_count,extension_distance_km,extension_runtime_min,extension_resolved_leg_count,extension_quantified_leg_count,extension_unknown_leg_count,extension_resolved_distance_km,extension_quantified_distance_km,extension_unknown_distance_km
P2_309f84b17ca41835,two_radial_out_and_back_feeders,,2,0,3,0,15,0,10,4,0,0,4,16.3490474,31.018093028,0,4,0,0.0,16.3490474,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0
P2_30a318af5c9c0587,two_radial_out_and_back_feeders,,2,0,3,0,16,0,11,4,0,0,4,21.317364462,40.079436953,0,4,0,0.0,21.317364462,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0
P2_30adf1862c18cde6,two_radial_out_and_back_feeders,,2,0,3,0,6,0,4,1,0,0,4,8.856586574,17.099717324,0,4,0,0.0,8.856586574,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0
P2_30c270239ffa2a63,two_radial_out_and_back_feeders,,2,0,3,0,7,0,1,5,0,0,4,14.28403247,31.137748134,0,4,0,0.0,14.28403247,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0
P2_30c2d941d6594f6e,two_radial_out_and_back_feeders,,2,0,3,0,15,0,8,6,0,0,4,20.210782145,39.52815609499999,0,4,0,0.0,20.210782145,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0
P2_30c3f208ade85747,two_radial_out_and_back_feeders,,2,0,3,0,7,0,3,3,0,0,4,11.551722129999998,22.439722118,0,4,0,0.0,11.551722129999998,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0
P2_30c54c15d3753f4d,two_radial_out_and_back_feeders,,2,0,3,0,12,0,7,4,0,0,4,22.262536528,45.580267379,0,4,0,0.0,22.262536528,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0
P2_30c98e58c41d9a10,two_radial_out_and_back_feeders,,2,0,3,0,8,0,2,5,0,0,4,15.891163043999999,34.816726982000006,0,4,0,0.0,15.891163043999999,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0
P2_30d93de5826e4396,two_radial_out_and_back_feeders,,2,0,3,0,4,0,2,1,0,0,4,7.291898162000001,15.734923890000001,0,4,0,0.0,7.291898162000001,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0
P2_30f05469e2a2ef65,two_radial_out_and_back_feeders,,2,0,3,0,10,0,3,6,0,0,4,12.719724295,26.261488840000002,0,4,0,0.0,12.719724295,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0
P2_30fa8ad9f59a09e7,two_radial_out_and_back_feeders,,2,0,3,0,8,0,4,3,0,0,4,13.07203085,24.784329175000003,0,4,0,0.0,13.07203085,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0
P2_310a8766e72e2f19,two_radial_out_and_back_feeders,,2,0,3,0,8,0,2,5,0,0,4,14.533368524,31.184688167000004,0,4,0,0.0,14.533368524,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0
