origin_code,origin_municipality,destination_code,destination_municipality,workers,category,destination_in_structural_search_footprint,territorial_structural_addressability_scorable,self_od_resolution_status,worker_semantics
097010,Brivio,016171,Pontida,10.000000000,OTHER_EXTERNAL,false,false,NOT_SELF,MUNICIPAL_WORK_OD_WEIGHT_NOT_BUS_RIDERSHIP_NOT_ROUTE_DEMAND
097010,Brivio,108038,Ronco Briantino,10.000000000,OTHER_EXTERNAL,false,false,NOT_SELF,MUNICIPAL_WORK_OD_WEIGHT_NOT_BUS_RIDERSHIP_NOT_ROUTE_DEMAND
097010,Brivio,097083,Valmadrera,10.000000000,OTHER_EXTERNAL,false,false,NOT_SELF,MUNICIPAL_WORK_OD_WEIGHT_NOT_BUS_RIDERSHIP_NOT_ROUTE_DEMAND
097010,Brivio,097005,Barzago,9.000000000,OTHER_EXTERNAL,false,false,NOT_SELF,MUNICIPAL_WORK_OD_WEIGHT_NOT_BUS_RIDERSHIP_NOT_ROUTE_DEMAND
097010,Brivio,097051,Molteno,9.000000000,OTHER_EXTERNAL,false,false,NOT_SELF,MUNICIPAL_WORK_OD_WEIGHT_NOT_BUS_RIDERSHIP_NOT_ROUTE_DEMAND
097010,Brivio,097074,Santa Maria Hoè,9.000000000,OTHER_CORE,false,false,NOT_SELF,MUNICIPAL_WORK_OD_WEIGHT_NOT_BUS_RIDERSHIP_NOT_ROUTE_DEMAND
097010,Brivio,108044,Usmate Velate,9.000000000,OTHER_EXTERNAL,false,false,NOT_SELF,MUNICIPAL_WORK_OD_WEIGHT_NOT_BUS_RIDERSHIP_NOT_ROUTE_DEMAND
097010,Brivio,097006,Barzanò,8.000000000,OTHER_EXTERNAL,false,false,NOT_SELF,MUNICIPAL_WORK_OD_WEIGHT_NOT_BUS_RIDERSHIP_NOT_ROUTE_DEMAND
097010,Brivio,097053,Montevecchia,8.000000000,OTHER_EXTERNAL,true,true,NOT_SELF,MUNICIPAL_WORK_OD_WEIGHT_NOT_BUS_RIDERSHIP_NOT_ROUTE_DEMAND
097010,Brivio,108036,Ornago,8.000000000,OTHER_EXTERNAL,false,false,NOT_SELF,MUNICIPAL_WORK_OD_WEIGHT_NOT_BUS_RIDERSHIP_NOT_ROUTE_DEMAND
097010,Brivio,108012,Brugherio,7.000000000,OTHER_EXTERNAL,false,false,NOT_SELF,MUNICIPAL_WORK_OD_WEIGHT_NOT_BUS_RIDERSHIP_NOT_ROUTE_DEMAND
097010,Brivio,097016,Casatenovo,7.000000000,OTHER_EXTERNAL,false,false,NOT_SELF,MUNICIPAL_WORK_OD_WEIGHT_NOT_BUS_RIDERSHIP_NOT_ROUTE_DEMAND
097010,Brivio,108053,Cornate d'Adda,7.000000000,OTHER_EXTERNAL,false,false,NOT_SELF,MUNICIPAL_WORK_OD_WEIGHT_NOT_BUS_RIDERSHIP_NOT_ROUTE_DEMAND
097010,Brivio,097038,Garlate,7.000000000,OTHER_EXTERNAL,false,false,NOT_SELF,MUNICIPAL_WORK_OD_WEIGHT_NOT_BUS_RIDERSHIP_NOT_ROUTE_DEMAND
097010,Brivio,097052,Monte Marenzo,7.000000000,OTHER_EXTERNAL,false,false,NOT_SELF,MUNICIPAL_WORK_OD_WEIGHT_NOT_BUS_RIDERSHIP_NOT_ROUTE_DEMAND
097010,Brivio,108039,Seregno,7.000000000,OTHER_EXTERNAL,false,false,NOT_SELF,MUNICIPAL_WORK_OD_WEIGHT_NOT_BUS_RIDERSHIP_NOT_ROUTE_DEMAND
097010,Brivio,097082,Valgreghentino,7.000000000,OTHER_EXTERNAL,false,false,NOT_SELF,MUNICIPAL_WORK_OD_WEIGHT_NOT_BUS_RIDERSHIP_NOT_ROUTE_DEMAND
097010,Brivio,108016,Carnate,6.000000000,S8_DIRECT,false,false,NOT_SELF,MUNICIPAL_WORK_OD_WEIGHT_NOT_BUS_RIDERSHIP_NOT_ROUTE_DEMAND
097010,Brivio,097026,Costa Masnaga,6.000000000,OTHER_EXTERNAL,false,false,NOT_SELF,MUNICIPAL_WORK_OD_WEIGHT_NOT_BUS_RIDERSHIP_NOT_ROUTE_DEMAND
097010,Brivio,097036,Galbiate,6.000000000,OTHER_EXTERNAL,false,false,NOT_SELF,MUNICIPAL_WORK_OD_WEIGHT_NOT_BUS_RIDERSHIP_NOT_ROUTE_DEMAND
097010,Brivio,097011,Bulciago,5.000000000,OTHER_EXTERNAL,false,false,NOT_SELF,MUNICIPAL_WORK_OD_WEIGHT_NOT_BUS_RIDERSHIP_NOT_ROUTE_DEMAND
097010,Brivio,015077,Cinisello Balsamo,5.000000000,OTHER_EXTERNAL,false,false,NOT_SELF,MUNICIPAL_WORK_OD_WEIGHT_NOT_BUS_RIDERSHIP_NOT_ROUTE_DEMAND
097010,Brivio,097024,Colle Brianza,5.000000000,OTHER_EXTERNAL,true,true,NOT_SELF,MUNICIPAL_WORK_OD_WEIGHT_NOT_BUS_RIDERSHIP_NOT_ROUTE_DEMAND
097010,Brivio,013075,Como,5.000000000,OTHER_EXTERNAL,false,false,NOT_SELF,MUNICIPAL_WORK_OD_WEIGHT_NOT_BUS_RIDERSHIP_NOT_ROUTE_DEMAND
097010,Brivio,097039,Imbersago,5.000000000,OTHER_EXTERNAL,false,false,NOT_SELF,MUNICIPAL_WORK_OD_WEIGHT_NOT_BUS_RIDERSHIP_NOT_ROUTE_DEMAND
097010,Brivio,015209,Sesto San Giovanni,5.000000000,S8_DIRECT,false,false,NOT_SELF,MUNICIPAL_WORK_OD_WEIGHT_NOT_BUS_RIDERSHIP_NOT_ROUTE_DEMAND
097010,Brivio,097076,Sirtori,5.000000000,OTHER_EXTERNAL,false,false,NOT_SELF,MUNICIPAL_WORK_OD_WEIGHT_NOT_BUS_RIDERSHIP_NOT_ROUTE_DEMAND
097010,Brivio,108042,Sulbiate,5.000000000,OTHER_EXTERNAL,false,false,NOT_SELF,MUNICIPAL_WORK_OD_WEIGHT_NOT_BUS_RIDERSHIP_NOT_ROUTE_DEMAND
