physical_cluster_id,threshold_min,population_reachable_building_model,population_total_posas_2025,population_located_building_pieces,population_residual_unlocated,population_unit_count,gtfs_records_used_as_sources,epistemic_status
EX_008,5,562.1314719318432,22914.0,22820.839937434386,93.16006256561045,94,2,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_008,8,1159.11335765881,22914.0,22820.839937434386,93.16006256561045,186,2,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_008,10,1444.1063258258423,22914.0,22820.839937434386,93.16006256561045,228,2,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_008,12,1654.5297488466663,22914.0,22820.839937434386,93.16006256561045,285,2,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_009,5,246.7045766863694,22914.0,22820.839937434386,93.16006256561045,16,3,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_009,8,849.8339246305402,22914.0,22820.839937434386,93.16006256561045,78,3,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_009,10,1175.9396381324739,22914.0,22820.839937434386,93.16006256561045,145,3,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_009,12,1420.078305147562,22914.0,22820.839937434386,93.16006256561045,196,3,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_010,5,297.874689730916,22914.0,22820.839937434386,93.16006256561045,76,2,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_010,8,769.1198065821936,22914.0,22820.839937434386,93.16006256561045,165,2,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_010,10,1179.229683437116,22914.0,22820.839937434386,93.16006256561045,238,2,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_010,12,1797.5331852137138,22914.0,22820.839937434386,93.16006256561045,323,2,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_011,5,232.25841351248417,22914.0,22820.839937434386,93.16006256561045,38,1,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_011,8,830.4582431263806,22914.0,22820.839937434386,93.16006256561045,144,1,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_011,10,1343.2404516242732,22914.0,22820.839937434386,93.16006256561045,252,1,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_011,12,1842.7657970131563,22914.0,22820.839937434386,93.16006256561045,375,1,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_012,5,285.26115863107077,22914.0,22820.839937434386,93.16006256561045,55,2,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_012,8,767.4440915675735,22914.0,22820.839937434386,93.16006256561045,138,2,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_012,10,1088.0151914781206,22914.0,22820.839937434386,93.16006256561045,197,2,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_012,12,1947.6643080656163,22914.0,22820.839937434386,93.16006256561045,314,2,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_014,5,320.72451212107575,22914.0,22820.839937434386,93.16006256561045,53,2,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_014,8,973.5273799113418,22914.0,22820.839937434386,93.16006256561045,153,2,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_014,10,1243.01150105028,22914.0,22820.839937434386,93.16006256561045,200,2,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_014,12,1663.0012377594496,22914.0,22820.839937434386,93.16006256561045,258,2,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_015,5,655.4617081575418,22914.0,22820.839937434386,93.16006256561045,109,2,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_015,8,979.7640241279773,22914.0,22820.839937434386,93.16006256561045,164,2,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_015,10,1217.4932501441403,22914.0,22820.839937434386,93.16006256561045,206,2,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_015,12,1259.8458783172646,22914.0,22820.839937434386,93.16006256561045,218,2,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_016,5,125.89639908674111,22914.0,22820.839937434386,93.16006256561045,33,1,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_016,8,533.6343586474812,22914.0,22820.839937434386,93.16006256561045,101,1,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_016,10,1104.6484529725894,22914.0,22820.839937434386,93.16006256561045,183,1,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_016,12,1862.8012552174753,22914.0,22820.839937434386,93.16006256561045,286,1,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_017,5,0.0,22914.0,22820.839937434386,93.16006256561045,0,2,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_017,8,0.0,22914.0,22820.839937434386,93.16006256561045,0,2,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
