physical_cluster_id,population_unit_id,walk_min_to_stop,building_piece_population_model
EX_001,20230101_000000::RLB-000e987e-879f-45fd-8cfc-ea43097a9af3::SEC=970100000010,10.410916455630597,5.98968878866847
EX_001,20230101_000000::RLB-05b3c4df-ee58-4276-b32c-e07b800561d4::SEC=970100000010,11.709411362451544,2.243149138766359
EX_001,20230101_000000::RLB-0bfb097b-d071-40fd-94a1-61c0ed8d7f19::SEC=970100000010,10.3880980098731,1.6477461489931486
EX_001,20230101_000000::RLB-0d23f0bf-f68d-4495-85ab-305090195b58::SEC=970100000010,6.2303936111804346,3.338356305685001
EX_001,20230101_000000::RLB-0ee14e7c-91c2-4667-a8c0-2813eeec8a58::SEC=970100000010,8.307897295877243,7.419880434851152
EX_001,20230101_000000::RLB-10307afa-895c-4af6-9df7-2b51fc8342bf::SEC=970100000010,10.239130803087521,6.393876496087943
EX_001,20230101_000000::RLB-13168d4b-b833-44fe-b73a-352f49c9d4b0::SEC=970100000010,10.686952755113843,17.28667616946587
EX_001,20230101_000000::RLB-13a9e488-d05f-4393-9157-af099c73c99a::SEC=970100000010,10.629920248471585,6.292056363858621
EX_001,20230101_000000::RLB-1959fe6f-614d-4058-8321-0dd899c8f690::SEC=970100000010,11.199586681248277,7.837374307122307
EX_001,20230101_000000::RLB-1abe2d4d-9a34-4c6a-8352-ad3fa4a9d89f::SEC=970100000010,9.134131403538149,2.052159683751777
EX_001,20230101_000000::RLB-1eaed7a7-b9f9-46c9-a8c4-342cee956b7d::SEC=970100000010,10.604149445123934,21.57724460575908
EX_001,20230101_000000::RLB-1fcb0b5a-2d13-4fd3-a567-41f74c8e2f92::SEC=970100000010,10.768511215112165,1.6650413841077754
EX_001,20230101_000000::RLB-20ebf644-5201-4658-b711-e64a65830ee5::SEC=970100000010,5.494105082614711,4.869315934202204
EX_001,20230101_000000::RLB-2e0a2735-b54a-4541-bf2f-188a24b2a0b9::SEC=970100000010,11.179084897809997,2.615824211441584
EX_001,20230101_000000::RLB-38880306-e3c6-48af-a651-5566b433e9b4::SEC=970100000010,7.693686053298501,5.664354862304362
EX_001,20230101_000000::RLB-3e371493-3c12-4ad7-a256-b3624e21775e::SEC=970100000010,10.47336184874551,9.767391807258935
EX_001,20230101_000000::RLB-414d2f0e-9964-4a1a-bd32-a7f45bd5b4b9::SEC=970100000010,10.609344442022813,0.4924935678372335
EX_001,20230101_000000::RLB-471446f2-7f54-49d8-909b-a9886f705af2::SEC=970100000010,5.770657797088103,2.909243533326205
EX_001,20230101_000000::RLB-4bd51951-f1b1-4e8d-93bd-3ebd273b106a::SEC=970100000010,9.202761530580439,4.485454502771023
EX_001,20230101_000000::RLB-52d349b2-2ff4-46c5-95f1-50a70fcaee86::SEC=970100000010,9.325660061832476,6.450477794495991
EX_001,20230101_000000::RLB-55fb9fb1-05b4-4fe6-b193-5314769cc0ce::SEC=970100000010,5.353881106433186,3.16323473950426
EX_001,20230101_000000::RLB-5782ea7a-d296-4baa-b007-61fccd24ce85::SEC=970100000010,9.982841494713702,4.808691453749045
EX_001,20230101_000000::RLB-595b9031-1eed-4f45-958b-3cb0585fd278::SEC=970100000010,11.204994425057865,6.897313074209677
EX_001,20230101_000000::RLB-5c0aac49-e1c1-41ee-9a68-0dbdf1c4d651::SEC=970100000010,10.544598645269316,9.32375886160863
EX_001,20230101_000000::RLB-5ea4e2ac-a084-49f1-b6e3-e14a6042ef6e::SEC=970100000010,10.376860202262502,6.310774420376526
EX_001,20230101_000000::RLB-65673fc3-5487-4cfd-927a-75617442b8f4::SEC=970100000010,8.361350958528888,3.069316279382128
EX_001,20230101_000000::RLB-67006c9f-4001-444e-88ab-6746a98261b1::SEC=970100000010,6.979785423821898,2.471643988872721
EX_001,20230101_000000::RLB-67f10cb8-8988-4652-99f4-9f0d0bcbd213::SEC=970100000010,7.417370385421884,1.4158626259577778
EX_001,20230101_000000::RLB-68d2cc9b-957f-4ed6-996e-17b4323d113b::SEC=970100000010,11.164980462149682,1.2214766954714256
EX_001,20230101_000000::RLB-6959a2b0-8299-4083-aa06-7138feec0afa::SEC=970100000010,6.17715975527948,2.984182094984709
EX_001,20230101_000000::RLB-6a6065f5-0ab3-456c-978e-00b13e422583::SEC=970100000010,5.5635122473728575,2.801468757033758
EX_001,20230101_000000::RLB-724a41e0-5d1a-4285-8094-1a7284fb98c7::SEC=970100000010,10.099160873401273,4.136488500315846
EX_001,20230101_000000::RLB-75e52860-d1e4-4738-a5ee-33f94b412c6e::SEC=970100000010,5.490024097630768,1.758381228953053
EX_001,20230101_000000::RLB-79c50e50-77ae-40d9-8dd7-1a82b4f9196f::SEC=970100000010,10.261445684410901,3.215856682806699
EX_001,20230101_000000::RLB-7aa020c3-c394-4129-871b-c24c33467d34::SEC=970100000010,11.0542704445084,1.6327346915728649
EX_001,20230101_000000::RLB-7e03d8f5-11a1-4e06-9fb9-60e401a38092::SEC=970100000010,11.336047471537738,6.868621970282172
EX_001,20230101_000000::RLB-82e14ce9-6363-4e74-9a9a-36d9978491a8::SEC=970100000010,10.99419066157672,9.305632267995334
EX_001,20230101_000000::RLB-83f3ad2d-0c06-4fb8-a202-94e56e43f086::SEC=970100000010,11.74387216913368,46.77530068351716
EX_001,20230101_000000::RLB-88038d0f-2414-4401-b62e-ac5a194eb7c9::SEC=970100000010,11.38753011229321,8.306957827371411
EX_001,20230101_000000::RLB-88cbd69e-1f5c-4907-a6c4-f2237f0d37f9::SEC=970100000010,10.845079664043638,3.487416602992664
EX_001,20230101_000000::RLB-88ed763b-a578-410b-976a-0ab2425dbc9c::SEC=970100000010,11.957609890984154,8.58036557327302
EX_001,20230101_000000::RLB-8a358f09-18bd-41c6-aecb-d87dccd3a959::SEC=970100000010,7.279077946442014,0.8852805352286447
EX_001,20230101_000000::RLB-8c99fa4e-4593-4784-9e69-24e8d67cae23::SEC=970100000010,11.993619614133458,6.274370970769013
EX_001,20230101_000000::RLB-8d56dbd0-b97a-4086-aac2-e77f17781c4e::SEC=970100000010,10.078765980965924,1.3456271838647615
EX_001,20230101_000000::RLB-9c05b9ae-b7f5-4e74-acd0-acaf448464bf::SEC=970100000010,8.024653900377988,2.381222493349884
EX_001,20230101_000000::RLB-ab742a39-34b6-4221-a19d-02b6e59724a2::SEC=970100000010,6.944654714617164,3.249673323405662
EX_001,20230101_000000::RLB-ad2db249-c866-4f2c-99df-e55db03ed0d0::SEC=970100000010,9.437501006027231,18.17527990982528
EX_001,20230101_000000::RLB-aff1a6a0-49b4-44a2-a04b-0c348f45e3fe::SEC=970100000010,10.50417650169116,3.6057179677169686
EX_001,20230101_000000::RLB-b492f003-3ff5-4088-a350-c32a99d02779::SEC=970100000010,5.803848094712616,3.670259615212851
EX_001,20230101_000000::RLB-b4fc285a-abb2-439a-af5b-081ba15941bf::SEC=970100000010,7.224044837672081,7.855389268347632
EX_001,20230101_000000::RLB-b56e913b-323b-418f-90af-f12ce34da1c3::SEC=970100000010,6.939227552408418,14.899033239228318
EX_001,20230101_000000::RLB-b8e3d070-b7e1-4c0d-ac25-43f43af3940c::SEC=970100000010,10.857353926927685,5.319370267461132
EX_001,20230101_000000::RLB-bb16a0ee-bb99-470b-9726-340ffc75c009::SEC=970100000010,9.153703861864106,2.431128115754891
EX_001,20230101_000000::RLB-c7f970e3-4f74-436c-83a6-63c73de7bc1f::SEC=970100000010,9.404980243215876,18.48179795741388
EX_001,20230101_000000::RLB-d1f9ce24-6032-40a8-951d-2d2039dc04a3::SEC=970100000010,10.585992354198158,4.454589854620965
EX_001,20230101_000000::RLB-d6fc151d-1598-49c0-881b-4b8c4af930fc::SEC=970100000010,11.76460608058866,2.386956286704357
EX_001,20230101_000000::RLB-da558825-9b8a-4f46-9bce-06c744ced3b9::SEC=970100000010,5.945044582884317,0.932013717813513
EX_001,20230101_000000::RLB-de44c7de-d68b-4b97-ba39-d5efd1fbf172::SEC=970100000010,11.310181933516164,3.0849978711846053
EX_001,20230101_000000::RLB-e525118b-6520-4d4d-b041-3b2c4408a5b1::SEC=970100000010,10.936700057533486,0.1474560469439594
EX_001,20230101_000000::RLB-e90ea48b-32a9-4d36-89d9-2686ac7b4da0::SEC=970100000010,10.876709958637301,1.0405886612142687
EX_001,20230101_000000::RLB-f0bb5425-d6fb-46ea-9b91-766defa5e510::SEC=970100000010,11.939267580286144,3.1331458576669093
EX_001,20230101_000000::RLB-f6cd59c4-210b-4d9b-b2cf-1cf0c77b4df4::SEC=970100000010,7.430428240527121,4.096659977450266
EX_001,20230101_000000::RLB-fe78ae59-cd69-4bf2-af2e-3916e24645bf::SEC=970100000010,6.433182078265003,9.37392791123863
EX_001,20230101_000000::RLB-0590fe6e-d8f1-41e6-80ba-0b78383dc487::SEC=970100000011,3.402799456718275,8.74754693317874
EX_001,20230101_000000::RLB-068d8ca0-7ed0-48b1-b34d-20fb930eb445::SEC=970100000011,5.5067567749904445,4.442437850028072
EX_001,20230101_000000::RLB-3287681c-905e-4230-acf7-47e93eedd01c::SEC=970100000011,4.691168551792994,3.67359009295969
EX_001,20230101_000000::RLB-3e2c1b0e-81d0-4c33-848a-863b32667d56::SEC=970100000011,4.889803546945063,3.011229089780722
EX_001,20230101_000000::RLB-41cfbcbd-4b7d-4b97-ad68-59373315fad4::SEC=970100000011,3.8715515644953227,1.977423261092893
EX_001,20230101_000000::RLB-488a0905-7c5a-4073-8e61-dca7da19e479::SEC=970100000011,3.936576855830486,0.5796113345391293
EX_001,20230101_000000::RLB-55974ed2-e3e5-44f6-9982-b135c37b9c1f::SEC=970100000011,2.77728175834853,2.531057833014783
EX_001,20230101_000000::RLB-60bdb4f5-352e-4a6a-8cc6-b89f415cb38e::SEC=970100000011,4.028972836430106,5.294809312263419
EX_001,20230101_000000::RLB-70da05e5-0862-4bfe-8ea6-3787a076d8dd::SEC=970100000011,4.846133514202691,1.9835996252356352
EX_001,20230101_000000::RLB-8580d6a8-b3ae-48c8-8580-4482353d6ed5::SEC=970100000011,3.918455741563795,1.0489516263700225
EX_001,20230101_000000::RLB-89dabbfd-6b95-4bfe-94b4-3c86e9d93746::SEC=970100000011,1.7187016457783717,2.8312449675990328
EX_001,20230101_000000::RLB-8a1c2f46-15dd-4928-ac3b-7cb7144cdbaf::SEC=970100000011,2.3082780601205513,4.636488249116331
EX_001,20230101_000000::RLB-91591a15-ca39-41f6-b42a-f4e670aece9a::SEC=970100000011,6.543993493431789,21.899441500043395
EX_001,20230101_000000::RLB-97261515-e253-41f8-a412-3317e68f1002::SEC=970100000011,4.206673584877353,2.05314880770312
EX_001,20230101_000000::RLB-9dcf2786-1f89-438c-ba1a-b7d014ed29f7::SEC=970100000011,5.52530200290781,4.0844574533857205
EX_001,20230101_000000::RLB-a003aaf1-3049-4baf-8600-c061e3e547f9::SEC=970100000011,3.4150040592197253,1.1902421397208396
EX_001,20230101_000000::RLB-ac395510-92cb-45e1-b64d-05a1bee23a7e::SEC=970100000011,3.3068036585975653,3.6640207663182567
EX_001,20230101_000000::RLB-adb7e78b-e082-40d5-b9cf-80b82d74c47c::SEC=970100000011,3.1085825945098486,3.684843491277066
EX_001,20230101_000000::RLB-add8ea3f-ec2e-4a61-9795-fbe00f8aeaa3::SEC=970100000011,1.6493349734187963,0.4622764677108374
EX_001,20230101_000000::RLB-bff8aa2f-df5b-437c-acd3-094fd5df51e7::SEC=970100000011,3.462931602500679,2.8056443354636564
EX_001,20230101_000000::RLB-c5d0f9e7-a988-48bb-b15b-55c31af8c0d3::SEC=970100000011,5.383364209511303,17.005170381379695
EX_001,20230101_000000::RLB-d83a5395-be52-4ea1-8e60-4a65a52f0eee::SEC=970100000011,4.348393328682553,3.860882054305508
EX_001,20230101_000000::RLB-df824689-7eb3-44bf-9004-a783933aa737::SEC=970100000011,5.511822953696438,19.660941699692824
EX_001,20230101_000000::RLB-e084f8a2-cc27-4577-b246-82e9ee21c52b::SEC=970100000011,2.962280123766404,1.8157635745326464
EX_001,20230101_000000::RLB-e0911a4a-d93c-4c07-8c1b-5cf52845bec7::SEC=970100000011,6.336677674581563,1.9983455556957004
EX_001,20230101_000000::RLB-e44fb914-edbe-4bb6-ace0-ed412bf72d46::SEC=970100000011,4.785417552371856,4.67203934528729
EX_001,20230101_000000::RLB-ee25f4fd-56ee-4490-9efc-6bc1aa739dbd::SEC=970100000011,4.703349621552208,2.0215529805260397
EX_001,20230101_000000::RLB-ef045e10-8edc-404d-8528-7e6716766822::SEC=970100000011,5.340706763620534,4.762871861388625
EX_001,20230101_000000::RLB-f1c9c548-a54d-4baa-93ef-81a1055b4422::SEC=970100000011,4.473255137151209,1.2085769605075418
EX_001,20230101_000000::RLB-f2bf6124-fa44-4d82-a784-727bfca186c5::SEC=970100000011,3.004054952094814,3.379777612610002
EX_001,20230101_000000::RLB-f86188e4-5f81-4ecd-90d1-7e3fe29a099f::SEC=970100000011,3.035488881715951,1.97761591489216
EX_001,20230101_000000::RLB-791f7d24-692f-4dde-a422-cdbfda5b4cce::SEC=970100000027,11.076018782413495,0.2160111285864431
EX_001,20230101_000000::RLB-badc7cec-cc0a-4750-a6bd-228c63335d27::SEC=970100000034,11.293783212763719,3.477795716522237
EX_001,20230101_000000::RLB-d28c623b-eda1-406c-a318-66ffc91ccbce::SEC=970100000034,11.47605957332751,1.0496276254139618
EX_001,20230101_000000::RLB-8657d885-e72f-4e5d-9d41-3d42d22cd6aa::SEC=970100000044,8.445329394680359,6.158165927843873
EX_001,20230101_000000::RLB-e21cb072-7f6d-4338-8e28-7f0bb25db91a::SEC=970100000044,8.865537722345442,2.7155611597325016
EX_001,20230101_000000::RLB-02aae8c1-59b6-4833-810b-ad41f8d4a94f::SEC=970100000052,3.635511220468442,16.18377044856304
EX_001,20230101_000000::RLB-4ff096be-424c-48ba-a0e3-27a5702a35d0::SEC=970100000052,3.430227732206382,5.440731843026885
EX_001,20230101_000000::RLB-b42cfe92-a332-446e-b1eb-746ec5d2be85::SEC=970100000052,2.830078703300246,5.541877318725803
EX_001,20230101_000000::RLB-b4599d98-982f-4e32-b9cf-0d0c95ce1677::SEC=970100000052,1.4043073639108563,0.1245919729798247
EX_001,20230101_000000::RLB-b5e6746f-e94d-4749-afdc-d2f2030642e1::SEC=970100000052,1.5503241455583248,4.949151642871544
EX_001,20230101_000000::RLB-c1551291-7b35-4cc6-af71-87b2329457a0::SEC=970100000052,1.072617830731844,6.172154906895409
EX_001,20230101_000000::RLB-e54d52be-7201-4305-a998-0ee98bd5245d::SEC=970100000052,2.751396319078885,6.175267945036102
EX_001,20230101_000000::RLB-e6295be3-3fe7-4d41-986b-28f1cd910f7a::SEC=970100000052,2.565731625773149,3.2692177752265072
EX_001,20230101_000000::RLB-e86d68ee-93c5-4633-a514-eedf5e526c34::SEC=970100000052,2.352934078646888,4.363545432830619
EX_001,20230101_000000::RLB-ec906812-1cae-43eb-80e0-c0c3aa86f4e3::SEC=970100000052,1.206635070061014,2.0080229156998826
EX_001,20230101_000000::RLB-3a0036b3-967a-4d6d-889f-26cf54891dc0::SEC=970100000054,5.665784418619307,9.685215887644295
EX_001,20230101_000000::RLB-b0c339e6-a653-498e-b547-ebc6037f9437::SEC=970100000054,9.000099654453463,20.6205526451936
EX_001,20230101_000000::RLB-b8d61fd7-8e75-4287-a572-979d2c917a38::SEC=970100000054,6.5277903209070205,9.077653470607787
EX_001,20230101_000000::RLB-d906263a-64ab-4967-99f4-2d2e090e6fcc::SEC=970100000054,4.576635359222177,5.576958533088698
EX_001,20230101_000000::RLB-e640f36b-7ef9-4ae7-a719-834140ca0337::SEC=970100000054,4.439219659233658,2.366163930539618
EX_001,20230101_000000::RLB-0ffb5ad7-617b-40d5-80e8-4d1d48464b01::SEC=970120000004,11.527763970368087,0.6785307568632934
EX_001,20230101_000000::RLB-15213c1b-ee45-432b-9d6f-4e7d93d03bb4::SEC=970120000004,11.688391508341425,2.2715340561400126
EX_001,20230101_000000::RLB-15ad35d3-27ba-4485-8030-0f12db868ae4::SEC=970120000004,11.121470206540453,1.4955534905245351
EX_001,20230101_000000::RLB-2cbc85c6-8cd2-46d9-aff6-816301b2cb20::SEC=970120000004,11.901584529492249,4.42499556992796
EX_001,20230101_000000::RLB-3482d3e3-e66d-4464-8be6-3b63fe10641f::SEC=970120000004,11.049607925554731,2.8123893598817378
EX_001,20230101_000000::RLB-41143114-8ab8-4667-8d53-e10a48ff2c77::SEC=970120000004,10.519886641373294,1.693916733024576
EX_001,20230101_000000::RLB-46bb8302-9472-4feb-bad9-55ac6283a585::SEC=970120000004,9.740029906116817,4.690025845137419
EX_001,20230101_000000::RLB-4f474a32-81ff-451b-8535-47d670ed6c90::SEC=970120000004,11.013660270329247,5.1285612525778745
EX_001,20230101_000000::RLB-588db20c-925b-4767-b419-a3ad9df3b30c::SEC=970120000004,11.233285467868429,3.5265240449370365
EX_001,20230101_000000::RLB-5a17520a-e5f4-47c1-9e11-9b13e4ea0e49::SEC=970120000004,10.003003892299079,1.621823491888628
EX_001,20230101_000000::RLB-5f94034d-11ab-4e6c-a13d-5e825e219080::SEC=970120000004,7.592884249292662,3.8253669378236848
EX_001,20230101_000000::RLB-6a453483-484c-45c4-a025-47c286e347cd::SEC=970120000004,11.40637795537555,2.3576663267796483
EX_001,20230101_000000::RLB-6b7e3ef2-c4ad-474e-bb6f-e19c75446310::SEC=970120000004,11.926869830315152,3.0979454301280245
