anchor_id,anchor_type,name,category,lat,lon,epistemic_status,source,x_utm32,y_utm32,walk_graph_node_id,walk_graph_connector_m,walk_graph_connector_min,walk_graph_snap_ok,current_walk_min,current_gap_10min
OSM_way_190241834,DESTINATION,Scuola media Emilio Gola,amenity:school,45.7271918,9.3994914,FACT_OSM_OBSERVATION,data/raw/osm/osm_pois_core.json,531085.20948782,5063814.9529647725,16363,32.393199114816994,0.40491498893521244,True,4.335235432466508,False
OSM_way_193847317,DESTINATION,Scuola Media Don Piero Pointinger,amenity:school,45.7388885,9.3702344,FACT_OSM_OBSERVATION,data/raw/osm/osm_pois_core.json,528802.6523850025,5065103.525431315,6622,24.359771338723288,0.3044971417340411,True,2.774020314179855,False
OSM_way_193847356,DESTINATION,Scuole elementari,amenity:school,45.7384684,9.3692596,FACT_OSM_OBSERVATION,data/raw/osm/osm_pois_core.json,528727.0325683114,5065056.501119719,6211,22.29036509649049,0.2786295637061311,True,2.692100269853005,False
OSM_way_193977000,DESTINATION,Scuola dell'Infanzia Gorizia,amenity:kindergarten,45.7431604,9.3751151,FACT_OSM_OBSERVATION,data/raw/osm/osm_pois_core.json,529180.1243732107,5065579.909709334,8372,22.05294948639575,0.2756618685799469,True,1.4105467442762514,False
OSM_way_194064674,DESTINATION,OSM amenity:townhall 194064674,amenity:townhall,45.7435994,9.3715869,FACT_OSM_OBSERVATION,data/raw/osm/osm_pois_core.json,528905.4399782282,5065627.402474457,7028,14.272924644432258,0.17841155805540324,True,3.9190543772398283,False
OSM_way_198149309,DESTINATION,OSM amenity:school 198149309,amenity:school,45.7456245,9.3741547,FACT_OSM_OBSERVATION,data/raw/osm/osm_pois_core.json,529104.1346173711,5065853.325800408,8053,36.46645334622741,0.4558306668278426,True,3.325455510081476,False
OSM_way_235418043,DESTINATION,Punto Gioco,amenity:kindergarten,45.7367036,9.4143695,FACT_OSM_OBSERVATION,data/raw/osm/osm_pois_core.json,532237.4302514421,5064877.616154628,20337,32.708192063429735,0.40885240079287166,True,5.340010901455825,False
OSM_way_297320961,DESTINATION,Municipio di Calco,amenity:townhall,45.7256051,9.4181961,FACT_OSM_OBSERVATION,data/raw/osm/osm_pois_core.json,532541.5795859244,5063646.104771526,21215,15.466195288914783,0.1933274411114348,True,4.33249083924525,False
OSM_way_297770234,DESTINATION,OSM amenity:townhall 297770234,amenity:townhall,45.7544049,9.4224939,FACT_OSM_OBSERVATION,data/raw/osm/osm_pois_core.json,532859.1110395814,5066847.568468909,21908,102.3181611446297,1.2789770143078711,True,58.18860378476787,True
OSM_way_297778222,DESTINATION,OSM amenity:townhall 297778222,amenity:townhall,45.7422524,9.447187,FACT_OSM_OBSERVATION,data/raw/osm/osm_pois_core.json,534787.1436263067,5065507.8444312345,27529,22.489736559362417,0.2811217069920302,True,1.76450974942331,False
OSM_way_297778232,DESTINATION,OSM amenity:post_office 297778232,amenity:post_office,45.7367452,9.4283243,FACT_OSM_OBSERVATION,data/raw/osm/osm_pois_core.json,533323.0710613539,5064887.95565209,23642,14.779807054115462,0.18474758817644327,True,1.3759080280286873,False
OSM_way_340266670,DESTINATION,OSM amenity:school 340266670,amenity:school,45.7261153,9.4120898,FACT_OSM_OBSERVATION,data/raw/osm/osm_pois_core.json,532066.131243133,5063700.323620258,19949,33.31792787097118,0.4164740983871398,True,4.19137638151002,False
OSM_way_592640676,DESTINATION,Oratorio San Giovanni Bosco,amenity:community_centre,45.7370312,9.4279669,FACT_OSM_OBSERVATION,data/raw/osm/osm_pois_core.json,533295.0958470744,5064919.581922785,23595,35.8589562752836,0.448236953441045,True,0.49304374239918736,False
OSM_way_606385949,DESTINATION,Casa di riposo Carlo e Elisa Frigerio,amenity:social_facility,45.7426071,9.4446596,FACT_OSM_OBSERVATION,data/raw/osm/osm_pois_core.json,534590.3155914204,5065546.156275933,27101,40.773468025709356,0.5096683503213669,True,1.4438444914837785,False
