stop_id,stop_name,stop_lon,stop_lat,official_routes_reference_gtfs,PRO_COM_T,source_scope,stop_type,epistemic_status,graph_node_id,snap_distance_m,snap_ok,stop_code,COMUNE,physical_cluster_id
100005,Brivio - s.s. briantea,9.42271,45.73464,D148,097010,GATE_B_CORE_GTFS_RECORD,EXISTING_OFFICIAL_STOP,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,22079,36.158141718047695,True,100005,Brivio,EX_001
300063,Brivio - capolinea,9.4457,45.741333,D150|D185,097010,GATE_B_CORE_GTFS_RECORD,EXISTING_OFFICIAL_STOP,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,27326,6.1326622139956655,True,300063,Brivio,EX_002
300086,Brivio - beverate (cariplo),9.423083,45.7404,D150|D185,097010,GATE_B_CORE_GTFS_RECORD,EXISTING_OFFICIAL_STOP,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,22247,15.708210195994315,True,300086,Brivio,EX_003
300087,Brivio - vaccarezza,9.436083,45.73685,D148|D150|D185,097010,GATE_B_CORE_GTFS_RECORD,EXISTING_OFFICIAL_STOP,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,25006,2.7296065450803564,True,300087,Brivio,EX_004
300089,Calco - via statale (edicola),9.4151,45.723933,D148|D150,097012,GATE_B_CORE_GTFS_RECORD,EXISTING_OFFICIAL_STOP,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,20487,6.92317174768446,True,300089,Calco,EX_005
300207,S.Maria Hoe' - paese,9.38723,45.73847,D148,097074,GATE_B_CORE_GTFS_RECORD,EXISTING_OFFICIAL_STOP,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,12477,17.35084865235757,True,300207,Santa Maria Ho̬,EX_006
300397,Calco - via virgilio,9.41495,45.72495,D185,097012,GATE_B_CORE_GTFS_RECORD,EXISTING_OFFICIAL_STOP,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,20422,6.616962641201448,True,300397,Calco,EX_007
300398,Brivio - beverate (paese),9.427967,45.73735,D150|D185,097010,GATE_B_CORE_GTFS_RECORD,EXISTING_OFFICIAL_STOP,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,23541,3.89472932695581,True,300398,Brivio,EX_008
300405,Cisano - sosta,9.451267,45.739883,D185,097010,GATE_B_CORE_GTFS_RECORD,EXISTING_OFFICIAL_STOP,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,27868,221.04782789216017,True,300405,Brivio,EX_009
300406,Brivio - via como (pizzeria),9.439367,45.742417,D148|D150|D185,097010,GATE_B_CORE_GTFS_RECORD,EXISTING_OFFICIAL_STOP,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,25624,6.906020572668385,True,300406,Brivio,EX_010
300407,Olgiate Molgora - stazione f.s.,9.40576,45.73371,D184|D185,097058,GATE_B_CORE_GTFS_RECORD,EXISTING_OFFICIAL_STOP,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,18111,4.3399997681612925,True,300407,Olgiate Molgora,EX_011
300487,Brivio - beverate (tre strade),9.42685,45.73465,D150|D185,097010,GATE_B_CORE_GTFS_RECORD,EXISTING_OFFICIAL_STOP,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,23239,4.195928185981137,True,300487,Brivio,EX_012
300501,Monte Marenzo - levata (smalti riva),9.44324,45.77215,D140,097010,GATE_B_CORE_GTFS_RECORD,EXISTING_OFFICIAL_STOP,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,24692,756.3839398760472,False,300501,Brivio,EX_013
300527,Airuno - elettroadda,9.423283,45.741333,D148|D150,097010,GATE_B_CORE_GTFS_RECORD,EXISTING_OFFICIAL_STOP,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,22345,6.983307910005108,True,300527,Brivio,EX_014
300528,Calco - arlate - (provinciale),9.443967,45.7235,D150|D170,097012,GATE_B_CORE_GTFS_RECORD,EXISTING_OFFICIAL_STOP,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,26831,4.217196123004078,True,300528,Calco,EX_015
