candidate_id,population_unit_id,walk_min_to_candidate,building_piece_population_model,already_covered_10min,municipality_code
P2V2S_0001,20230101_000000::RLB-1061fc0d-f2a0-4051-9bd3-829ab3fa4c5a::SEC=970580000014,9.699630877602917,1.237962280928586,False,097058
P2V2S_0001,20230101_000000::RLB-35db98a2-0fb8-4999-9600-5dfaad920796::SEC=970580000014,7.628779170023646,3.76640133486254,False,097058
P2V2S_0001,20230101_000000::RLB-6ab462d2-6a4f-4f4a-bcd7-6772210a8e0a::SEC=970580000014,8.420445220433448,2.118131931763692,False,097058
P2V2S_0001,20230101_000000::RLB-729e3279-c22c-46ee-8047-0648adf37703::SEC=970580000014,9.943445661796435,1.0666663012897042,False,097058
P2V2S_0001,20230101_000000::RLB-c7ea7a1a-89a2-4482-bff7-d699cb5d720c::SEC=970580000014,9.589603564780438,4.388941558381096,False,097058
P2V2S_0001,20230101_000000::RLB-d54e85b0-0bf2-4386-8ab0-a207ce857393::SEC=970580000014,9.650748538906946,1.380225284880464,False,097058
P2V2S_0001,20230101_000000::RLB-d617a6bd-3288-45f9-add4-755eeb99715b::SEC=970580000014,9.577947018265668,4.529933954053532,False,097058
P2V2S_0001,20230101_000000::RLB-1cf6bde3-e2b4-468f-ad1d-753c664c438d::SEC=970580000016,3.1921881668857806,7.114541864625761,False,097058
P2V2S_0001,20230101_000000::RLB-1db5ba36-b050-42ea-bac8-36ea589abea1::SEC=970580000016,2.3223857572109856,7.854910232421081,False,097058
P2V2S_0001,20230101_000000::RLB-689fe906-ee51-480c-be10-49a955fed281::SEC=970580000016,0.8308684419114756,1.979829471797045,False,097058
P2V2S_0001,20230101_000000::RLB-7647cb7a-7a45-4d02-80ab-6d5c548c0f21::SEC=970580000016,0.3403266539694544,5.548051814996193,False,097058
P2V2S_0001,20230101_000000::RLB-8157351e-d45c-4f65-92bc-55751b3c24c2::SEC=970580000016,3.033915150161493,3.974905609011168,False,097058
P2V2S_0001,20230101_000000::RLB-d056f163-4efe-46ed-a1a1-3d393e759ebf::SEC=970580000016,2.244166183523491,0.9828694249851336,False,097058
P2V2S_0001,20230101_000000::RLB-f966c7bd-91ac-4f57-aa69-a84a48b9b5a5::SEC=970580000016,0.7001343325770316,3.781683434486973,False,097058
P2V2S_0001,20230101_000000::RLB-1f2a906f-9464-4fa8-b0d9-8b55ab7e81f3::SEC=970580000059,2.22720524380648,0.066517032040242,False,097058
P2V2S_0001,20230101_000000::RLB-3d8cf18d-9160-44fa-9f58-5a8faa78b88c::SEC=970580000059,6.921610403007509,0.0714311455886643,False,097058
P2V2S_0001,20230101_000000::RLB-4ed3cdeb-5518-4604-accf-dacc64444b17::SEC=970580000059,4.507697009415085,0.6852788526630467,False,097058
P2V2S_0001,20230101_000000::RLB-51cbd96b-c3b7-4da0-99ad-ad1fbaac192c::SEC=970580000059,4.948664790291888,2.878728436875837,False,097058
P2V2S_0001,20230101_000000::RLB-a33333d3-5013-4e17-8fed-16a260ce05e0::SEC=970580000059,3.228176841717341,0.3383701226930548,False,097058
P2V2S_0001,20230101_000000::RLB-a714d7f2-8d84-465a-b64c-04df02aa8354::SEC=970580000059,6.535440179218322,0.5684601804054067,False,097058
P2V2S_0001,20230101_000000::RLB-b4418dba-6a73-4ab4-83f3-909c6f9654ad::SEC=970580000059,7.104270302423155,0.6638557794812852,False,097058
P2V2S_0001,20230101_000000::RLB-b51c328c-2093-46e7-93bd-41a62ca83563::SEC=970580000059,6.987005794248849,0.1805488651024439,False,097058
P2V2S_0001,20230101_000000::RLB-be221cc0-5936-45d3-a4c0-8572f8b1283e::SEC=970580000059,5.750934616589135,6.277651382854579,False,097058
P2V2S_0001,20230101_000000::RLB-d7982da9-0b9a-48ea-9408-a999ace70553::SEC=970580000059,7.464725752185226,0.1765732216851604,False,097058
P2V2S_0001,20230101_000000::RLB-f95900e4-7b17-4b14-9d97-f33543d94064::SEC=970580000059,7.4889289482027666,1.7614709346164346,False,097058
P2V2S_0002,20230101_000000::RLB-07078f51-3d7e-4e57-92e7-1bea7bf432b9::SEC=970580000014,7.945253351306725,0.952846561923297,False,097058
P2V2S_0002,20230101_000000::RLB-0d0aae6f-5aa7-4b1f-91da-143e0a0737b8::SEC=970580000014,7.478434669780154,0.4517174752252822,False,097058
P2V2S_0002,20230101_000000::RLB-1061fc0d-f2a0-4051-9bd3-829ab3fa4c5a::SEC=970580000014,6.92326974189165,1.237962280928586,False,097058
P2V2S_0002,20230101_000000::RLB-21693441-bab1-484b-ace1-056010fc5396::SEC=970580000014,7.544259053813372,0.44075652617708,False,097058
P2V2S_0002,20230101_000000::RLB-24015b35-efdf-4021-a13c-fb8899d39c24::SEC=970580000014,7.43620826922899,3.8405925284811184,False,097058
P2V2S_0002,20230101_000000::RLB-26cf7949-2239-491d-b27f-491d64312b7e::SEC=970580000014,8.641713684001724,4.181212067484277,False,097058
P2V2S_0002,20230101_000000::RLB-29c6fa0b-e780-44b6-acf4-0f88a356007a::SEC=970580000014,7.64319947849226,9.278298358424824,False,097058
P2V2S_0002,20230101_000000::RLB-2a4db032-db73-4634-a73b-cac47edc29cf::SEC=970580000014,7.576731279859988,1.368021299471769,False,097058
P2V2S_0002,20230101_000000::RLB-30d06f3f-951b-4c66-8f68-94a67ab09005::SEC=970580000014,7.730375966941855,0.3233116116174354,False,097058
P2V2S_0002,20230101_000000::RLB-35351140-5184-4c6f-9224-89050b81de84::SEC=970580000014,7.728787102138892,9.44697830827846,False,097058
P2V2S_0002,20230101_000000::RLB-35db98a2-0fb8-4999-9600-5dfaad920796::SEC=970580000014,4.852418034312382,3.76640133486254,False,097058
P2V2S_0002,20230101_000000::RLB-3e02202f-5ab7-4ed6-8918-2adc6aff7393::SEC=970580000014,8.150016087059704,2.412583256930397,False,097058
P2V2S_0002,20230101_000000::RLB-3f33555e-526a-452f-ab97-02989e0604bb::SEC=970580000014,7.668637373115982,5.209216820317852,False,097058
P2V2S_0002,20230101_000000::RLB-60fa12af-bc36-450f-8650-bcc962840b58::SEC=970580000014,7.718233463591843,0.2634721299980747,False,097058
P2V2S_0002,20230101_000000::RLB-64aaf9af-b194-4327-a6db-c2a9e539323d::SEC=970580000014,8.952668864079286,2.32412808792669,False,097058
P2V2S_0002,20230101_000000::RLB-6ab462d2-6a4f-4f4a-bcd7-6772210a8e0a::SEC=970580000014,5.644084084722183,2.118131931763692,False,097058
P2V2S_0002,20230101_000000::RLB-71f30d6c-8a93-4255-a5a4-fbe55b84a6be::SEC=970580000014,8.114798443803279,4.015532062188887,False,097058
P2V2S_0002,20230101_000000::RLB-729e3279-c22c-46ee-8047-0648adf37703::SEC=970580000014,7.167084526085167,1.0666663012897042,False,097058
P2V2S_0002,20230101_000000::RLB-75c6f8c9-f7d6-4c1c-9c5e-535fe2501b32::SEC=970580000014,7.755487729357673,3.834435284299517,False,097058
P2V2S_0002,20230101_000000::RLB-7ce1ee34-c876-4576-9207-9e0062239f61::SEC=970580000014,7.7824674518104855,2.0025468598425125,False,097058
