stable,pair_universe_equal,changed_pair_count,newly_routable_count,lost_route_count,material_improvement_count,exact_edge_sequence_count,exact_geometry_digest_count,max_runtime_delta_min,max_distance_delta_m,runtime_tolerance_min,distance_tolerance_m,from_level,to_level,snap_node_identity_stable
True,True,0,0,0,0,1260,1260,0.0,0.0,1e-09,1e-06,0,1,True
True,True,0,0,0,0,1260,1260,0.0,0.0,1e-09,1e-06,1,2,True
