level,margin_m,snapshot_timestamp,overpass_endpoints_used,raw_osm_sha256,canonical_element_count,query_semantics
0,500.0,2026-09-05T13:45:50Z,https://overpass-api.de/api/interpreter|https://overpass-api.de/api/interpreter|https://overpass-api.de/api/interpreter|https://overpass-api.de/api/interpreter,1d9fc34b503f569b301df13dcd93f82c8879eefd8460bf95a3fed67268ee071d,28238,ALL_HIGHWAY_WAYS_PLUS_RESTRICTION_RELATIONS_NO_MUNICIPAL_FILTER
1,1000.0,2026-09-05T13:45:50Z,https://overpass-api.de/api/interpreter|https://overpass-api.de/api/interpreter|https://overpass-api.de/api/interpreter|https://overpass-api.de/api/interpreter,144febe6dfd11b5757b779dfd524219c14b39d5b7c2feffea03c0d18187201c8,36674,ALL_HIGHWAY_WAYS_PLUS_RESTRICTION_RELATIONS_NO_MUNICIPAL_FILTER
2,2000.0,2026-09-05T13:45:50Z,https://overpass-api.de/api/interpreter|https://overpass-api.de/api/interpreter|https://overpass-api.de/api/interpreter|https://overpass-api.de/api/interpreter,18b03dc50b32ddeb51c21c42bc5045cd372ec8c9047dfe6cd2f85e1eb02cbacc,62503,ALL_HIGHWAY_WAYS_PLUS_RESTRICTION_RELATIONS_NO_MUNICIPAL_FILTER
