level,margin_m,min_x,min_y,max_x,max_y,wgs_south,wgs_west,wgs_north,wgs_east,raw_osm_sha256,directed_pair_count,routable_pair_count,all_pairs_routable,boundary_sensitive_pair_count,max_probe_snap_m,osm_elements,osm_nodes_available,bus_eligible_way_count_before_segment_clip,graph_nodes,directed_edges,bus_applicable_via_node_rules_observed,rules_with_via_node_in_graph,bus_exempt_restrictions_skipped,via_way_restrictions_not_approximated
0,500.0,527706.9368455582,5062171.404681279,535187.7131047522,5066685.362857838,45.71220251982099,9.355982491776185,45.753170713347984,9.45242175110316,1d9fc34b503f569b301df13dcd93f82c8879eefd8460bf95a3fed67268ee071d,1260,1260,True,0,36.158141718047695,28238,24977,2310,14749,28452,58,52,0,0
1,1000.0,527206.9368455582,5061671.404681279,535687.7131047522,5067185.362857838,45.70767666218994,9.349530492995658,45.757690858261206,9.458887117382869,144febe6dfd11b5757b779dfd524219c14b39d5b7c2feffea03c0d18187201c8,1260,1260,True,0,36.158141718047695,36674,32480,2871,19034,36826,88,80,0,2
2,2000.0,526206.9368455582,5060671.404681279,536687.7131047522,5068185.362857838,45.698623877145515,9.336629587861703,45.76673007036971,9.471820950720174,18b03dc50b32ddeb51c21c42bc5045cd372ec8c9047dfe6cd2f85e1eb02cbacc,1260,1260,True,0,36.158141718047695,62503,55410,4707,31232,60402,144,139,0,2
