procom,comune,resident_work_2011,resident_work_2021,change_abs,change_pct,self_2011,self_2021,self_containment_2011_pct,self_containment_2021_pct,self_containment_change_pp,other_core_2011,other_core_2021,s8_external_2011,s8_external_2021
097010,Brivio,1806,1662,-144,-7.973422,467,323,25.858250,19.434416,-6.423834,155,126,351,368
097012,Calco,2123,2173,50,2.355158,321,279,15.120113,12.839393,-2.280721,267,269,466,518
097058,Olgiate Molgora,2285,2287,2,0.087527,382,326,16.717724,14.254482,-2.463242,378,292,522,554
097074,Santa Maria Hoè,896,836,-60,-6.696429,169,112,18.861607,13.397129,-5.464478,198,160,125,128
097092,La Valletta Brianza,1813,1796,-17,-0.937672,377,275,20.794264,15.311804,-5.482460,261,208,295,314
TOTAL5,Totale 5 comuni,8923,8754,-169,-1.893982,1716,1315,19.231200,15.021704,-4.209496,1259,1055,1759,1882
