route_id,trip_id,source_page,source_column,active_on_reference_date,direction_heading,stop_sequence_on_page,stop_label_pdf,cell_state,published_time,service_minutes,time_usable_for_scheduled_gjt,unpublished_time_interpolated,source_url,source_pdf_sha256,epistemic_status
D150,PDF20260903:D150:P01:C01,1,1,True,LECCO→GARLATE→VALGREGHENTINO→MERATE,15,OLGINATE (Capiate),PUBLISHED_TIME,06:40,400,True,False,https://www.leccotrasporti.it/percorsi/estivo/linea-d150.pdf,ee2707bdb4a2174008b6819e04b2f2a564e4bef5c2d6f8830e6dc9589f47349b,RECONSTRUCTED_FROM_OFFICIAL_PRIMARY_TIMETABLE
D150,PDF20260903:D150:P01:C01,1,1,True,LECCO→GARLATE→VALGREGHENTINO→MERATE,16,VILLA S.CARLO,PUBLISHED_TIME,06:42,402,True,False,https://www.leccotrasporti.it/percorsi/estivo/linea-d150.pdf,ee2707bdb4a2174008b6819e04b2f2a564e4bef5c2d6f8830e6dc9589f47349b,RECONSTRUCTED_FROM_OFFICIAL_PRIMARY_TIMETABLE
D150,PDF20260903:D150:P01:C01,1,1,True,LECCO→GARLATE→VALGREGHENTINO→MERATE,17,VALGREGHENTINO,PUBLISHED_TIME,06:47,407,True,False,https://www.leccotrasporti.it/percorsi/estivo/linea-d150.pdf,ee2707bdb4a2174008b6819e04b2f2a564e4bef5c2d6f8830e6dc9589f47349b,RECONSTRUCTED_FROM_OFFICIAL_PRIMARY_TIMETABLE
D150,PDF20260903:D150:P01:C01,1,1,True,LECCO→GARLATE→VALGREGHENTINO→MERATE,18,AIRUNO F.S,OUTSIDE_PUBLISHED_TIMED_SPAN,,,False,False,https://www.leccotrasporti.it/percorsi/estivo/linea-d150.pdf,ee2707bdb4a2174008b6819e04b2f2a564e4bef5c2d6f8830e6dc9589f47349b,RECONSTRUCTED_CELL_STATE_NO_TIME_INFERENCE
D150,PDF20260903:D150:P01:C01,1,1,True,LECCO→GARLATE→VALGREGHENTINO→MERATE,19,AIRUNO (Provinciale),OUTSIDE_PUBLISHED_TIMED_SPAN,,,False,False,https://www.leccotrasporti.it/percorsi/estivo/linea-d150.pdf,ee2707bdb4a2174008b6819e04b2f2a564e4bef5c2d6f8830e6dc9589f47349b,RECONSTRUCTED_CELL_STATE_NO_TIME_INFERENCE
D150,PDF20260903:D150:P01:C01,1,1,True,LECCO→GARLATE→VALGREGHENTINO→MERATE,20,BEVERATE,OUTSIDE_PUBLISHED_TIMED_SPAN,,,False,False,https://www.leccotrasporti.it/percorsi/estivo/linea-d150.pdf,ee2707bdb4a2174008b6819e04b2f2a564e4bef5c2d6f8830e6dc9589f47349b,RECONSTRUCTED_CELL_STATE_NO_TIME_INFERENCE
D150,PDF20260903:D150:P01:C01,1,1,True,LECCO→GARLATE→VALGREGHENTINO→MERATE,21,BRIVIO,OUTSIDE_PUBLISHED_TIMED_SPAN,,,False,False,https://www.leccotrasporti.it/percorsi/estivo/linea-d150.pdf,ee2707bdb4a2174008b6819e04b2f2a564e4bef5c2d6f8830e6dc9589f47349b,RECONSTRUCTED_CELL_STATE_NO_TIME_INFERENCE
D150,PDF20260903:D150:P01:C01,1,1,True,LECCO→GARLATE→VALGREGHENTINO→MERATE,22,ARLATE,OUTSIDE_PUBLISHED_TIMED_SPAN,,,False,False,https://www.leccotrasporti.it/percorsi/estivo/linea-d150.pdf,ee2707bdb4a2174008b6819e04b2f2a564e4bef5c2d6f8830e6dc9589f47349b,RECONSTRUCTED_CELL_STATE_NO_TIME_INFERENCE
D150,PDF20260903:D150:P01:C01,1,1,True,LECCO→GARLATE→VALGREGHENTINO→MERATE,23,IMBERSAGO,OUTSIDE_PUBLISHED_TIMED_SPAN,,,False,False,https://www.leccotrasporti.it/percorsi/estivo/linea-d150.pdf,ee2707bdb4a2174008b6819e04b2f2a564e4bef5c2d6f8830e6dc9589f47349b,RECONSTRUCTED_CELL_STATE_NO_TIME_INFERENCE
D150,PDF20260903:D150:P01:C01,1,1,True,LECCO→GARLATE→VALGREGHENTINO→MERATE,24,OLGIATE (Via Nazionale),OUTSIDE_PUBLISHED_TIMED_SPAN,,,False,False,https://www.leccotrasporti.it/percorsi/estivo/linea-d150.pdf,ee2707bdb4a2174008b6819e04b2f2a564e4bef5c2d6f8830e6dc9589f47349b,RECONSTRUCTED_CELL_STATE_NO_TIME_INFERENCE
D150,PDF20260903:D150:P01:C01,1,1,True,LECCO→GARLATE→VALGREGHENTINO→MERATE,25,CALCO,OUTSIDE_PUBLISHED_TIMED_SPAN,,,False,False,https://www.leccotrasporti.it/percorsi/estivo/linea-d150.pdf,ee2707bdb4a2174008b6819e04b2f2a564e4bef5c2d6f8830e6dc9589f47349b,RECONSTRUCTED_CELL_STATE_NO_TIME_INFERENCE
D150,PDF20260903:D150:P01:C01,1,1,True,LECCO→GARLATE→VALGREGHENTINO→MERATE,26,MERATE (P.zza Italia),OUTSIDE_PUBLISHED_TIMED_SPAN,,,False,False,https://www.leccotrasporti.it/percorsi/estivo/linea-d150.pdf,ee2707bdb4a2174008b6819e04b2f2a564e4bef5c2d6f8830e6dc9589f47349b,RECONSTRUCTED_CELL_STATE_NO_TIME_INFERENCE
