anchor_id,evidence_status,enabled,graph_node_id,source_kind,source_members,source_member_count,source_member_kinds,municipalities,representative_snap_distance_m,epoch_id
P2S_0001,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:530675.54:5061329.08,PROPOSED_STOP,P2S_0001,1,PROPOSED_STOP,Olgiate Molgora,5.884207,gate-d-2026-09-03-834d5caa0bfd
P2S_0002,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:530741.10:5061601.85,PROPOSED_STOP,P2S_0002,1,PROPOSED_STOP,Olgiate Molgora,14.230880,gate-d-2026-09-03-834d5caa0bfd
P2S_0003,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:530266.47:5061705.36,PROPOSED_STOP,P2S_0003,1,PROPOSED_STOP,Olgiate Molgora,15.959130,gate-d-2026-09-03-834d5caa0bfd
P2S_0004,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:530535.73:5061883.50,PROPOSED_STOP,P2S_0004,1,PROPOSED_STOP,Olgiate Molgora,9.938329,gate-d-2026-09-03-834d5caa0bfd
P2S_0005,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:530041.95:5061933.41,PROPOSED_STOP,P2S_0005,1,PROPOSED_STOP,La Valletta Brianza,5.619984,gate-d-2026-09-03-834d5caa0bfd
P2S_0006,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:530853.90:5061948.22,PROPOSED_STOP,P2S_0006,1,PROPOSED_STOP,Olgiate Molgora,1.724392,gate-d-2026-09-03-834d5caa0bfd
P2S_0007,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:529774.78:5062063.32,PROPOSED_STOP,P2S_0007,1,PROPOSED_STOP,La Valletta Brianza,32.638551,gate-d-2026-09-03-834d5caa0bfd
P2S_0008,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:530830.52:5062227.14,PROPOSED_STOP,P2S_0008,1,PROPOSED_STOP,Olgiate Molgora,14.489656,gate-d-2026-09-03-834d5caa0bfd
P2S_0009,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:530557.16:5062272.83,PROPOSED_STOP,P2S_0009,1,PROPOSED_STOP,Olgiate Molgora,0.945285,gate-d-2026-09-03-834d5caa0bfd
P2S_0010,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:529640.67:5062283.22,PROPOSED_STOP,P2S_0010,1,PROPOSED_STOP,La Valletta Brianza,6.666712,gate-d-2026-09-03-834d5caa0bfd
P2S_0011,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:529373.94:5062424.41,PROPOSED_STOP,P2S_0011,1,PROPOSED_STOP,La Valletta Brianza,2.787282,gate-d-2026-09-03-834d5caa0bfd
P2S_0012,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:531107.57:5062432.70,PROPOSED_STOP,P2S_0012,1,PROPOSED_STOP,Olgiate Molgora,5.645186,gate-d-2026-09-03-834d5caa0bfd
P2S_0013,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:529099.45:5062605.42,PROPOSED_STOP,P2S_0013,1,PROPOSED_STOP,La Valletta Brianza,6.597419,gate-d-2026-09-03-834d5caa0bfd
P2S_0014,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:530977.41:5062635.71,PROPOSED_STOP,P2S_0014,1,PROPOSED_STOP,Olgiate Molgora,2.591501,gate-d-2026-09-03-834d5caa0bfd
P2S_0015,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:530732.54:5062644.97,PROPOSED_STOP,P2S_0015,1,PROPOSED_STOP,Olgiate Molgora,8.584526,gate-d-2026-09-03-834d5caa0bfd
P2S_0016,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:531742.09:5062724.62,PROPOSED_STOP,P2S_0016,1,PROPOSED_STOP,Calco,0.158980,gate-d-2026-09-03-834d5caa0bfd
P2S_0017,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:530311.42:5062739.22,PROPOSED_STOP,P2S_0017,1,PROPOSED_STOP,Olgiate Molgora,2.529167,gate-d-2026-09-03-834d5caa0bfd
P2S_0018,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:530610.94:5062818.38,PROPOSED_STOP,P2S_0018,1,PROPOSED_STOP,Olgiate Molgora,10.259704,gate-d-2026-09-03-834d5caa0bfd
P2S_0019,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:529137.62:5062842.36,PROPOSED_STOP,P2S_0019,1,PROPOSED_STOP,La Valletta Brianza,4.755392,gate-d-2026-09-03-834d5caa0bfd
P2S_0020,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:529975.45:5062872.69,PROPOSED_STOP,P2S_0020,1,PROPOSED_STOP,La Valletta Brianza,2.479444,gate-d-2026-09-03-834d5caa0bfd
P2S_0021,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:531903.78:5062927.97,PROPOSED_STOP,P2S_0021,1,PROPOSED_STOP,Calco,40.223065,gate-d-2026-09-03-834d5caa0bfd
P2S_0022,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:531454.77:5062904.19,PROPOSED_STOP,P2S_0022,1,PROPOSED_STOP,Olgiate Molgora,3.108956,gate-d-2026-09-03-834d5caa0bfd
P2S_0023,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:530898.59:5062899.94,PROPOSED_STOP,P2S_0023,1,PROPOSED_STOP,Olgiate Molgora,3.151789,gate-d-2026-09-03-834d5caa0bfd
P2S_0024,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:532151.37:5062935.94,PROPOSED_STOP,P2S_0024,1,PROPOSED_STOP,Calco,2.512297,gate-d-2026-09-03-834d5caa0bfd
P2S_0025,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:531227.14:5062969.85,PROPOSED_STOP,P2S_0025,1,PROPOSED_STOP,Olgiate Molgora,2.930107,gate-d-2026-09-03-834d5caa0bfd
P2S_0026,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:532789.68:5062983.78,PROPOSED_STOP,P2S_0026,1,PROPOSED_STOP,Calco,1.044358,gate-d-2026-09-03-834d5caa0bfd
P2S_0027,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:535138.40:5062985.84,PROPOSED_STOP,P2S_0027,1,PROPOSED_STOP,Calco,7.837680,gate-d-2026-09-03-834d5caa0bfd
P2S_0028,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:530696.98:5063064.65,PROPOSED_STOP,P2S_0028,1,PROPOSED_STOP,Olgiate Molgora,0.933287,gate-d-2026-09-03-834d5caa0bfd
P2S_0029,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:529603.02:5063077.77,PROPOSED_STOP,P2S_0029,1,PROPOSED_STOP,La Valletta Brianza,5.335213,gate-d-2026-09-03-834d5caa0bfd
P2S_0030,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:529194.69:5063121.78,PROPOSED_STOP,P2S_0030,1,PROPOSED_STOP,La Valletta Brianza,0.062376,gate-d-2026-09-03-834d5caa0bfd
P2S_0031,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:531730.21:5063129.96,PROPOSED_STOP,P2S_0031,1,PROPOSED_STOP,Calco,0.814378,gate-d-2026-09-03-834d5caa0bfd
P2S_0032,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:533835.00:5063149.77,PROPOSED_STOP,P2S_0032,1,PROPOSED_STOP,Calco,4.792971,gate-d-2026-09-03-834d5caa0bfd
P2S_0033,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:531119.90:5063162.44,PROPOSED_STOP,P2S_0033,1,PROPOSED_STOP,Olgiate Molgora,18.257180,gate-d-2026-09-03-834d5caa0bfd
P2S_0034,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:531350.14:5063164.02,PROPOSED_STOP,P2S_0034,1,PROPOSED_STOP,Calco,64.224431,gate-d-2026-09-03-834d5caa0bfd
P2S_0035,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:533265.75:5063230.97,PROPOSED_STOP,P2S_0035,1,PROPOSED_STOP,Calco,0.261660,gate-d-2026-09-03-834d5caa0bfd
P2S_0036,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:532331.47:5063249.77,PROPOSED_STOP,P2S_0036,1,PROPOSED_STOP,Calco,1.524281,gate-d-2026-09-03-834d5caa0bfd
P2S_0037,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:529360.27:5063300.10,PROPOSED_STOP,P2S_0037,1,PROPOSED_STOP,La Valletta Brianza,17.001259,gate-d-2026-09-03-834d5caa0bfd
P2S_0038,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:530717.93:5063296.67,PROPOSED_STOP,P2S_0038,1,PROPOSED_STOP,Olgiate Molgora,6.499986,gate-d-2026-09-03-834d5caa0bfd
