service_date,trip_id,trip_short_name,direction,arrival_time,departure_time,arrival_min,departure_min,origin_stop_id,origin_stop_name,terminal_stop_id,terminal_stop_name,station_stop_sequence,trip_stop_count,bus_to_rail_anchor_semantics,rail_to_bus_anchor_semantics,epistemic_status
2026-09-03,124876-2026-08-20-2026-09-14,S8 - 24876,LECCO,21:32:00,21:33:00,1292.0,1293.0,S01645,Milano Porta Garibaldi,S01520,Lecco,9,13,BUS_ARRIVAL_SCORED_CONTINUOUSLY_AGAINST_RAIL_DEPARTURE,BUS_DEPARTURE_SCORED_CONTINUOUSLY_AGAINST_RAIL_ARRIVAL,DERIVED_FROM_LIVE_OFFICIAL_GTFS
2026-09-03,124883-2026-08-20-2026-09-14,S8 - 24883,MILANO,21:55:00,21:56:00,1315.0,1316.0,S01520,Lecco,S01645,Milano Porta Garibaldi,5,13,BUS_ARRIVAL_SCORED_CONTINUOUSLY_AGAINST_RAIL_DEPARTURE,BUS_DEPARTURE_SCORED_CONTINUOUSLY_AGAINST_RAIL_ARRIVAL,DERIVED_FROM_LIVE_OFFICIAL_GTFS
2026-09-03,124878-2026-08-20-2026-09-14,S8 - 24878,LECCO,22:02:00,22:03:00,1322.0,1323.0,S01645,Milano Porta Garibaldi,S01520,Lecco,9,13,BUS_ARRIVAL_SCORED_CONTINUOUSLY_AGAINST_RAIL_DEPARTURE,BUS_DEPARTURE_SCORED_CONTINUOUSLY_AGAINST_RAIL_ARRIVAL,DERIVED_FROM_LIVE_OFFICIAL_GTFS
2026-09-03,124885-2026-08-20-2026-09-14,S8 - 24885,MILANO,22:25:00,22:26:00,1345.0,1346.0,S01520,Lecco,S01645,Milano Porta Garibaldi,5,13,BUS_ARRIVAL_SCORED_CONTINUOUSLY_AGAINST_RAIL_DEPARTURE,BUS_DEPARTURE_SCORED_CONTINUOUSLY_AGAINST_RAIL_ARRIVAL,DERIVED_FROM_LIVE_OFFICIAL_GTFS
2026-09-03,124880-2026-08-20-2026-09-14,S8 - 24880,LECCO,22:32:00,22:33:00,1352.0,1353.0,S01645,Milano Porta Garibaldi,S01520,Lecco,9,13,BUS_ARRIVAL_SCORED_CONTINUOUSLY_AGAINST_RAIL_DEPARTURE,BUS_DEPARTURE_SCORED_CONTINUOUSLY_AGAINST_RAIL_ARRIVAL,DERIVED_FROM_LIVE_OFFICIAL_GTFS
2026-09-03,124887-2026-08-20-2026-09-14,S8 - 24887,MILANO,22:55:00,22:56:00,1375.0,1376.0,S01520,Lecco,S01645,Milano Porta Garibaldi,5,13,BUS_ARRIVAL_SCORED_CONTINUOUSLY_AGAINST_RAIL_DEPARTURE,BUS_DEPARTURE_SCORED_CONTINUOUSLY_AGAINST_RAIL_ARRIVAL,DERIVED_FROM_LIVE_OFFICIAL_GTFS
2026-09-03,124882-2026-08-20-2026-09-14,S8 - 24882,LECCO,23:02:00,23:03:00,1382.0,1383.0,S01645,Milano Porta Garibaldi,S01520,Lecco,9,13,BUS_ARRIVAL_SCORED_CONTINUOUSLY_AGAINST_RAIL_DEPARTURE,BUS_DEPARTURE_SCORED_CONTINUOUSLY_AGAINST_RAIL_ARRIVAL,DERIVED_FROM_LIVE_OFFICIAL_GTFS
2026-09-03,124889-2026-08-20-2026-09-14,S8 - 24889,MILANO,23:25:00,23:26:00,1405.0,1406.0,S01520,Lecco,S01645,Milano Porta Garibaldi,5,13,BUS_ARRIVAL_SCORED_CONTINUOUSLY_AGAINST_RAIL_DEPARTURE,BUS_DEPARTURE_SCORED_CONTINUOUSLY_AGAINST_RAIL_ARRIVAL,DERIVED_FROM_LIVE_OFFICIAL_GTFS
2026-09-03,124884-2026-08-20-2026-09-14,S8 - 24884,LECCO,23:32:00,23:33:00,1412.0,1413.0,S01645,Milano Porta Garibaldi,S01520,Lecco,9,13,BUS_ARRIVAL_SCORED_CONTINUOUSLY_AGAINST_RAIL_DEPARTURE,BUS_DEPARTURE_SCORED_CONTINUOUSLY_AGAINST_RAIL_ARRIVAL,DERIVED_FROM_LIVE_OFFICIAL_GTFS
2026-09-03,124886-2026-08-31-2026-09-14,S8 - 24886,LECCO,24:02:00,24:03:00,1442.0,1443.0,S01700,Milano Centrale,S01520,Lecco,9,13,BUS_ARRIVAL_SCORED_CONTINUOUSLY_AGAINST_RAIL_DEPARTURE,BUS_DEPARTURE_SCORED_CONTINUOUSLY_AGAINST_RAIL_ARRIVAL,DERIVED_FROM_LIVE_OFFICIAL_GTFS
