direction,event_count,first_arrival,first_departure,last_arrival,last_departure,service_span_min,headway_count,headway_mean_min,headway_median_min,headway_min_min,headway_p10_min,headway_p90_min,headway_max_min,departure_minute_offsets
LECCO,37,06:02:00,06:03:00,24:02:00,24:03:00,1080.0,36,30.0,30.0,30.0,30.0,30.0,30.0,3|33
MILANO,37,05:25:00,05:26:00,23:25:00,23:26:00,1080.0,36,30.0,30.0,30.0,30.0,30.0,30.0,26|56
