route_id,source_page,stop_sequence_on_page,stop_label_pdf,normalized_pdf_tokens,identity_status,historical_gtfs_stop_id,historical_gtfs_equivalent_stop_ids,historical_gtfs_equivalent_record_count,historical_gtfs_stop_name,historical_gtfs_stop_lat,historical_gtfs_stop_lon,historical_gtfs_name_candidate_count,historical_gtfs_name_candidate_ids,best_pattern_match_rows,tied_best_pattern_count,physical_cluster_id_v1,phase2_stop_name_v1,phase2_join_gtfs_stop_id,phase2_join_status,identity_evidence,current_service_epistemic_status,identity_epistemic_status
D150,1,14,OLGINATE (P.Villa),OLGINATE|VILLA,AMBIGUOUS_HISTORICAL_GTFS,,,0,,,,2,300080|L00080,2,1,,,,NO_RESOLVED_GTFS_IDENTITY,CURRENT_PRIMARY_PDF_LABEL_WITHOUT_UNIQUE_HISTORICAL_GTFS_IDENTITY,RECONSTRUCTED_FROM_OFFICIAL_PRIMARY_TIMETABLE,UNRESOLVED_IDENTITY
D150,1,15,OLGINATE (Capiate),OLGINATE|CAPIATE,RESOLVED_ROUTE_NAME_UNIQUE,L00852,L00852,1,Olginate - sc capiate,45.780483,9.424583,1,L00852,2,1,,,,GTFS_IDENTIFIED_NOT_IN_V1_STOP_UNIVERSE,CURRENT_PRIMARY_PDF_LABEL_AND_ORDER_PLUS_VALIDITY_BOUNDED_HISTORICAL_OFFICIAL_GTFS,RECONSTRUCTED_FROM_OFFICIAL_PRIMARY_TIMETABLE,DERIVED_IDENTITY_CROSSCHECK_NOT_CURRENT_GTFS_SERVICE_FACT
D150,1,16,VILLA S.CARLO,VILLA|CARLO,AMBIGUOUS_HISTORICAL_GTFS,,,0,,,,2,300081|L00081,2,1,,,,NO_RESOLVED_GTFS_IDENTITY,CURRENT_PRIMARY_PDF_LABEL_WITHOUT_UNIQUE_HISTORICAL_GTFS_IDENTITY,RECONSTRUCTED_FROM_OFFICIAL_PRIMARY_TIMETABLE,UNRESOLVED_IDENTITY
D150,1,17,VALGREGHENTINO,VALGREGHENTINO,AMBIGUOUS_HISTORICAL_GTFS,,,0,,,,8,300081|300082|300521|300637|L00081|L00082|L00521|L00637,2,1,,,,NO_RESOLVED_GTFS_IDENTITY,CURRENT_PRIMARY_PDF_LABEL_WITHOUT_UNIQUE_HISTORICAL_GTFS_IDENTITY,RECONSTRUCTED_FROM_OFFICIAL_PRIMARY_TIMETABLE,UNRESOLVED_IDENTITY
D150,1,18,AIRUNO F.S,AIRUNO|FS,AMBIGUOUS_HISTORICAL_GTFS,,,0,,,,2,300083|L00083,2,1,,,,NO_RESOLVED_GTFS_IDENTITY,CURRENT_PRIMARY_PDF_LABEL_WITHOUT_UNIQUE_HISTORICAL_GTFS_IDENTITY,RECONSTRUCTED_FROM_OFFICIAL_PRIMARY_TIMETABLE,UNRESOLVED_IDENTITY
D150,1,19,AIRUNO (Provinciale),AIRUNO|PROVINCIALE,NO_HISTORICAL_GTFS_NAME_MATCH,,,0,,,,0,,2,1,,,,NO_RESOLVED_GTFS_IDENTITY,CURRENT_PRIMARY_PDF_LABEL_WITHOUT_UNIQUE_HISTORICAL_GTFS_IDENTITY,RECONSTRUCTED_FROM_OFFICIAL_PRIMARY_TIMETABLE,UNRESOLVED_IDENTITY
D150,1,20,BEVERATE,BEVERATE,AMBIGUOUS_HISTORICAL_GTFS,,,0,,,,6,300086|300398|300487|L00086|L00398|L00487,2,1,,,,NO_RESOLVED_GTFS_IDENTITY,CURRENT_PRIMARY_PDF_LABEL_WITHOUT_UNIQUE_HISTORICAL_GTFS_IDENTITY,RECONSTRUCTED_FROM_OFFICIAL_PRIMARY_TIMETABLE,UNRESOLVED_IDENTITY
D150,1,21,BRIVIO,BRIVIO,AMBIGUOUS_HISTORICAL_GTFS,,,0,,,,12,300063|300086|300087|300398|300406|300487|L00063|L00086|L00087|L00398|L00406|L00487,2,1,,,,NO_RESOLVED_GTFS_IDENTITY,CURRENT_PRIMARY_PDF_LABEL_WITHOUT_UNIQUE_HISTORICAL_GTFS_IDENTITY,RECONSTRUCTED_FROM_OFFICIAL_PRIMARY_TIMETABLE,UNRESOLVED_IDENTITY
D150,1,22,ARLATE,ARLATE,AMBIGUOUS_HISTORICAL_GTFS,,,0,,,,4,300528|300886|L00528|L00886,2,1,,,,NO_RESOLVED_GTFS_IDENTITY,CURRENT_PRIMARY_PDF_LABEL_WITHOUT_UNIQUE_HISTORICAL_GTFS_IDENTITY,RECONSTRUCTED_FROM_OFFICIAL_PRIMARY_TIMETABLE,UNRESOLVED_IDENTITY
D150,1,23,IMBERSAGO,IMBERSAGO,AMBIGUOUS_HISTORICAL_GTFS,,,0,,,,6,300088|300529|300886|L00088|L00529|L00886,2,1,,,,NO_RESOLVED_GTFS_IDENTITY,CURRENT_PRIMARY_PDF_LABEL_WITHOUT_UNIQUE_HISTORICAL_GTFS_IDENTITY,RECONSTRUCTED_FROM_OFFICIAL_PRIMARY_TIMETABLE,UNRESOLVED_IDENTITY
D150,1,24,OLGIATE (Via Nazionale),OLGIATE|VIA|NAZIONALE,NO_HISTORICAL_GTFS_NAME_MATCH,,,0,,,,0,,2,1,,,,NO_RESOLVED_GTFS_IDENTITY,CURRENT_PRIMARY_PDF_LABEL_WITHOUT_UNIQUE_HISTORICAL_GTFS_IDENTITY,RECONSTRUCTED_FROM_OFFICIAL_PRIMARY_TIMETABLE,UNRESOLVED_IDENTITY
D150,1,25,CALCO,CALCO,RESOLVED_BEST_SEQUENCE_UNIQUE,300089,300089,1,Calco - via statale (edicola),45.723933,9.415100,6,300089|300528|300956|L00089|L00528|L00956,2,1,EX_005,Calco - via statale (edicola),300089,JOINED_V1_PHYSICAL_CLUSTER_BY_EQUIVALENT_EXACT_GTFS_RECORD,CURRENT_PRIMARY_PDF_LABEL_AND_ORDER_PLUS_VALIDITY_BOUNDED_HISTORICAL_OFFICIAL_GTFS,RECONSTRUCTED_FROM_OFFICIAL_PRIMARY_TIMETABLE,DERIVED_IDENTITY_CROSSCHECK_NOT_CURRENT_GTFS_SERVICE_FACT
D150,1,26,MERATE (P.zza Italia),MERATE|PIAZZA|ITALIA,RESOLVED_ROUTE_NAME_UNIQUE,300291,300291,1,Merate - piazza italia,45.698820,9.414000,1,300291,2,1,,,,GTFS_IDENTIFIED_NOT_IN_V1_STOP_UNIVERSE,CURRENT_PRIMARY_PDF_LABEL_AND_ORDER_PLUS_VALIDITY_BOUNDED_HISTORICAL_OFFICIAL_GTFS,RECONSTRUCTED_FROM_OFFICIAL_PRIMARY_TIMETABLE,DERIVED_IDENTITY_CROSSCHECK_NOT_CURRENT_GTFS_SERVICE_FACT
D150,1,27,MERATE Scuole (Via De Gasperi),MERATE|SCUOLE|VIA|DE|GASPERI,RESOLVED_ROUTE_NAME_UNIQUE,300290,300290,1,Merate - via de gasperi (scuole),45.694180,9.423620,1,300290,2,1,,,,GTFS_IDENTIFIED_NOT_IN_V1_STOP_UNIVERSE,CURRENT_PRIMARY_PDF_LABEL_AND_ORDER_PLUS_VALIDITY_BOUNDED_HISTORICAL_OFFICIAL_GTFS,RECONSTRUCTED_FROM_OFFICIAL_PRIMARY_TIMETABLE,DERIVED_IDENTITY_CROSSCHECK_NOT_CURRENT_GTFS_SERVICE_FACT
D150,2,1,MERATE Scuole (Via De Gasperi),MERATE|SCUOLE|VIA|DE|GASPERI,RESOLVED_ROUTE_NAME_UNIQUE,300290,300290,1,Merate - via de gasperi (scuole),45.694180,9.423620,1,300290,0,0,,,,GTFS_IDENTIFIED_NOT_IN_V1_STOP_UNIVERSE,CURRENT_PRIMARY_PDF_LABEL_AND_ORDER_PLUS_VALIDITY_BOUNDED_HISTORICAL_OFFICIAL_GTFS,RECONSTRUCTED_FROM_OFFICIAL_PRIMARY_TIMETABLE,DERIVED_IDENTITY_CROSSCHECK_NOT_CURRENT_GTFS_SERVICE_FACT
D150,2,2,MERATE (P.zza Italia),MERATE|PIAZZA|ITALIA,RESOLVED_ROUTE_NAME_UNIQUE,300291,300291,1,Merate - piazza italia,45.698820,9.414000,1,300291,0,0,,,,GTFS_IDENTIFIED_NOT_IN_V1_STOP_UNIVERSE,CURRENT_PRIMARY_PDF_LABEL_AND_ORDER_PLUS_VALIDITY_BOUNDED_HISTORICAL_OFFICIAL_GTFS,RECONSTRUCTED_FROM_OFFICIAL_PRIMARY_TIMETABLE,DERIVED_IDENTITY_CROSSCHECK_NOT_CURRENT_GTFS_SERVICE_FACT
D150,2,3,CALCO,CALCO,AMBIGUOUS_HISTORICAL_GTFS,,,0,,,,6,300089|300528|300956|L00089|L00528|L00956,0,0,,,,NO_RESOLVED_GTFS_IDENTITY,CURRENT_PRIMARY_PDF_LABEL_WITHOUT_UNIQUE_HISTORICAL_GTFS_IDENTITY,RECONSTRUCTED_FROM_OFFICIAL_PRIMARY_TIMETABLE,UNRESOLVED_IDENTITY
D150,2,4,OLGIATE (Via Nazionale),OLGIATE|VIA|NAZIONALE,NO_HISTORICAL_GTFS_NAME_MATCH,,,0,,,,0,,0,0,,,,NO_RESOLVED_GTFS_IDENTITY,CURRENT_PRIMARY_PDF_LABEL_WITHOUT_UNIQUE_HISTORICAL_GTFS_IDENTITY,RECONSTRUCTED_FROM_OFFICIAL_PRIMARY_TIMETABLE,UNRESOLVED_IDENTITY
D150,2,5,IMBERSAGO,IMBERSAGO,AMBIGUOUS_HISTORICAL_GTFS,,,0,,,,6,300088|300529|300886|L00088|L00529|L00886,0,0,,,,NO_RESOLVED_GTFS_IDENTITY,CURRENT_PRIMARY_PDF_LABEL_WITHOUT_UNIQUE_HISTORICAL_GTFS_IDENTITY,RECONSTRUCTED_FROM_OFFICIAL_PRIMARY_TIMETABLE,UNRESOLVED_IDENTITY
D150,2,6,ARLATE,ARLATE,AMBIGUOUS_HISTORICAL_GTFS,,,0,,,,4,300528|300886|L00528|L00886,0,0,,,,NO_RESOLVED_GTFS_IDENTITY,CURRENT_PRIMARY_PDF_LABEL_WITHOUT_UNIQUE_HISTORICAL_GTFS_IDENTITY,RECONSTRUCTED_FROM_OFFICIAL_PRIMARY_TIMETABLE,UNRESOLVED_IDENTITY
D150,2,7,BRIVIO,BRIVIO,AMBIGUOUS_HISTORICAL_GTFS,,,0,,,,12,300063|300086|300087|300398|300406|300487|L00063|L00086|L00087|L00398|L00406|L00487,0,0,,,,NO_RESOLVED_GTFS_IDENTITY,CURRENT_PRIMARY_PDF_LABEL_WITHOUT_UNIQUE_HISTORICAL_GTFS_IDENTITY,RECONSTRUCTED_FROM_OFFICIAL_PRIMARY_TIMETABLE,UNRESOLVED_IDENTITY
D150,2,8,BEVERATE,BEVERATE,AMBIGUOUS_HISTORICAL_GTFS,,,0,,,,6,300086|300398|300487|L00086|L00398|L00487,0,0,,,,NO_RESOLVED_GTFS_IDENTITY,CURRENT_PRIMARY_PDF_LABEL_WITHOUT_UNIQUE_HISTORICAL_GTFS_IDENTITY,RECONSTRUCTED_FROM_OFFICIAL_PRIMARY_TIMETABLE,UNRESOLVED_IDENTITY
D150,2,9,AIRUNO (Provinciale),AIRUNO|PROVINCIALE,NO_HISTORICAL_GTFS_NAME_MATCH,,,0,,,,0,,0,0,,,,NO_RESOLVED_GTFS_IDENTITY,CURRENT_PRIMARY_PDF_LABEL_WITHOUT_UNIQUE_HISTORICAL_GTFS_IDENTITY,RECONSTRUCTED_FROM_OFFICIAL_PRIMARY_TIMETABLE,UNRESOLVED_IDENTITY
D150,2,10,AIRUNO (F.S.),AIRUNO|FS,AMBIGUOUS_HISTORICAL_GTFS,,,0,,,,2,300083|L00083,0,0,,,,NO_RESOLVED_GTFS_IDENTITY,CURRENT_PRIMARY_PDF_LABEL_WITHOUT_UNIQUE_HISTORICAL_GTFS_IDENTITY,RECONSTRUCTED_FROM_OFFICIAL_PRIMARY_TIMETABLE,UNRESOLVED_IDENTITY
