procom,comune,internal_workers,outbound_workers,inbound_workers,resident_commuters,self_containment_pct,n_external_destinations,n_external_origins
097010,Brivio,323,1339,1274,1662,19.434416,187,148
097012,Calco,279,1894,1028,2173,12.839393,199,176
097058,Olgiate Molgora,326,1961,1049,2287,14.254482,209,164
097074,Santa Maria Hoè,112,724,486,836,13.397129,122,91
097092,La Valletta Brianza,275,1521,747,1796,15.311804,176,109
