service_date,route_id,active_timetable_columns,valid_from,valid_to,source_url,source_pdf_sha256,epistemic_status,gate_c_commit,gate_c_artifact,semantic_scope
2026-09-03,D150,30,2026-06-09,2026-09-13,https://www.leccotrasporti.it/percorsi/estivo/linea-d150.pdf,ee2707bdb4a2174008b6819e04b2f2a564e4bef5c2d6f8830e6dc9589f47349b,RECONSTRUCTED_FROM_OFFICIAL_PRIMARY_TIMETABLE,dcc3e75ae3b4f4ea5170f48e85345b83620c5536,outputs/gate_c/live_bus_timetables_2026-09-03.json,DATED_ROUTE_LEVEL_SERVICE_REFERENCE
2026-09-03,D170,49,2026-06-09,2026-09-13,https://www.leccotrasporti.it/percorsi/estivo/linea-d170.pdf,87ab0fe1f2c68a38f8e54fd911f0ef38c9b29a22b3d875e34e4209a1a922f63b,RECONSTRUCTED_FROM_OFFICIAL_PRIMARY_TIMETABLE,dcc3e75ae3b4f4ea5170f48e85345b83620c5536,outputs/gate_c/live_bus_timetables_2026-09-03.json,DATED_ROUTE_LEVEL_SERVICE_REFERENCE
2026-09-03,D184,12,2026-06-09,2026-09-13,https://www.leccotrasporti.it/percorsi/estivo/linea-d184.pdf,6d5246976d369a283ee5ec3f6a49481755cfce851dd81839ccca4588205dd6ea,RECONSTRUCTED_FROM_OFFICIAL_PRIMARY_TIMETABLE,dcc3e75ae3b4f4ea5170f48e85345b83620c5536,outputs/gate_c/live_bus_timetables_2026-09-03.json,DATED_ROUTE_LEVEL_SERVICE_REFERENCE
2026-09-03,D185,13,2026-06-09,2026-09-13,https://www.leccotrasporti.it/percorsi/estivo/linea-d185.pdf,31f2da4a8f6539bbb08da8b7ec08b8d4a475f38482f880d3d1206ef9fbd90c66,RECONSTRUCTED_FROM_OFFICIAL_PRIMARY_TIMETABLE,dcc3e75ae3b4f4ea5170f48e85345b83620c5536,outputs/gate_c/live_bus_timetables_2026-09-03.json,DATED_ROUTE_LEVEL_SERVICE_REFERENCE
