procom_res,origin_name,procom_lav,destination_name,workers,rank,category,share_of_origin_pct,cumulative_share_pct,rail_addressability,rail_evidence,feeder_objective_eligible,rail_semantics
097010,Brivio,097051,Molteno,9,31,OTHER_EXTERNAL,0.541516,77.256318,NOT_RAIL_ASSIGNED,,False,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE
097010,Brivio,097074,Santa Maria Hoè,9,32,OTHER_CORE,0.541516,77.797834,NOT_RAIL_ASSIGNED,,False,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE
097010,Brivio,108044,Usmate Velate,9,33,OTHER_EXTERNAL,0.541516,78.339350,NOT_RAIL_ASSIGNED,,False,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE
097010,Brivio,097006,Barzanò,8,34,OTHER_EXTERNAL,0.481348,78.820698,NOT_RAIL_ASSIGNED,,False,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE
097010,Brivio,097053,Montevecchia,8,35,OTHER_EXTERNAL,0.481348,79.302046,NOT_RAIL_ASSIGNED,,False,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE
097010,Brivio,108036,Ornago,8,36,OTHER_EXTERNAL,0.481348,79.783394,NOT_RAIL_ASSIGNED,,False,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE
097010,Brivio,108012,Brugherio,7,37,OTHER_EXTERNAL,0.421179,80.204573,NOT_RAIL_ASSIGNED,,False,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE
097010,Brivio,097016,Casatenovo,7,38,OTHER_EXTERNAL,0.421179,80.625752,NOT_RAIL_ASSIGNED,,False,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE
097010,Brivio,108053,Cornate d'Adda,7,39,OTHER_EXTERNAL,0.421179,81.046931,NOT_RAIL_ASSIGNED,,False,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE
097010,Brivio,097038,Garlate,7,40,OTHER_EXTERNAL,0.421179,81.468111,NOT_RAIL_ASSIGNED,,False,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE
097010,Brivio,097052,Monte Marenzo,7,41,OTHER_EXTERNAL,0.421179,81.889290,NOT_RAIL_ASSIGNED,,False,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE
097010,Brivio,108039,Seregno,7,42,OTHER_EXTERNAL,0.421179,82.310469,NOT_RAIL_ASSIGNED,,False,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE
097010,Brivio,097082,Valgreghentino,7,43,OTHER_EXTERNAL,0.421179,82.731649,NOT_RAIL_ASSIGNED,,False,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE
097010,Brivio,108016,Carnate,6,44,S8_DIRECT,0.361011,83.092659,DIRECT_S8_GTFS_VERIFIED,S01511,True,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE
097010,Brivio,097026,Costa Masnaga,6,45,OTHER_EXTERNAL,0.361011,83.453670,NOT_RAIL_ASSIGNED,,False,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE
097010,Brivio,097036,Galbiate,6,46,OTHER_EXTERNAL,0.361011,83.814681,NOT_RAIL_ASSIGNED,,False,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE
097010,Brivio,097011,Bulciago,5,47,OTHER_EXTERNAL,0.300842,84.115523,NOT_RAIL_ASSIGNED,,False,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE
097010,Brivio,015077,Cinisello Balsamo,5,48,OTHER_EXTERNAL,0.300842,84.416366,NOT_RAIL_ASSIGNED,,False,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE
097010,Brivio,097024,Colle Brianza,5,49,OTHER_EXTERNAL,0.300842,84.717208,NOT_RAIL_ASSIGNED,,False,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE
097010,Brivio,013075,Como,5,50,OTHER_EXTERNAL,0.300842,85.018051,NOT_RAIL_ASSIGNED,,False,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE
097010,Brivio,097039,Imbersago,5,51,OTHER_EXTERNAL,0.300842,85.318893,NOT_RAIL_ASSIGNED,,False,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE
097010,Brivio,015209,Sesto San Giovanni,5,52,S8_DIRECT,0.300842,85.619735,DIRECT_S8_GTFS_VERIFIED,S01325,True,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE
097010,Brivio,097076,Sirtori,5,53,OTHER_EXTERNAL,0.300842,85.920578,NOT_RAIL_ASSIGNED,,False,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE
097010,Brivio,108042,Sulbiate,5,54,OTHER_EXTERNAL,0.300842,86.221420,NOT_RAIL_ASSIGNED,,False,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE
097010,Brivio,016213,Terno d'Isola,5,55,OTHER_EXTERNAL,0.300842,86.522262,NOT_RAIL_ASSIGNED,,False,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE
097010,Brivio,108004,Arcore,4,56,S8_DIRECT,0.240674,86.762936,DIRECT_S8_GTFS_VERIFIED,S01510,True,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE
097010,Brivio,108006,Bellusco,4,57,OTHER_EXTERNAL,0.240674,87.003610,NOT_RAIL_ASSIGNED,,False,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE
097010,Brivio,108007,Bernareggio,4,58,OTHER_EXTERNAL,0.240674,87.244284,NOT_RAIL_ASSIGNED,,False,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE
097010,Brivio,108014,Camparada,4,59,OTHER_EXTERNAL,0.240674,87.484958,NOT_RAIL_ASSIGNED,,False,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE
097010,Brivio,016072,Chignolo d'Isola,4,60,OTHER_EXTERNAL,0.240674,87.725632,NOT_RAIL_ASSIGNED,,False,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE
097010,Brivio,108021,Concorezzo,4,61,OTHER_EXTERNAL,0.240674,87.966306,NOT_RAIL_ASSIGNED,,False,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE
097010,Brivio,097031,Dolzago,4,62,OTHER_EXTERNAL,0.240674,88.206980,NOT_RAIL_ASSIGNED,,False,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE
097010,Brivio,016131,Madone,4,63,OTHER_EXTERNAL,0.240674,88.447653,NOT_RAIL_ASSIGNED,,False,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE
097010,Brivio,097056,Nibionno,4,64,OTHER_EXTERNAL,0.240674,88.688327,NOT_RAIL_ASSIGNED,,False,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE
097010,Brivio,016150,Orio al Serio,4,65,OTHER_EXTERNAL,0.240674,88.929001,NOT_RAIL_ASSIGNED,,False,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE
097010,Brivio,016153,Osio Sotto,4,66,OTHER_EXTERNAL,0.240674,89.169675,NOT_RAIL_ASSIGNED,,False,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE
097010,Brivio,097068,Pescate,4,67,OTHER_EXTERNAL,0.240674,89.410349,NOT_RAIL_ASSIGNED,,False,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE
097010,Brivio,015205,Segrate,4,68,OTHER_EXTERNAL,0.240674,89.651023,NOT_RAIL_ASSIGNED,,False,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE
097010,Brivio,097090,Viganò,4,69,OTHER_EXTERNAL,0.240674,89.891697,NOT_RAIL_ASSIGNED,,False,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE
097010,Brivio,097003,Annone di Brianza,3,70,OTHER_EXTERNAL,0.180505,90.072202,NOT_RAIL_ASSIGNED,,False,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE
097010,Brivio,015011,Assago,3,71,OTHER_EXTERNAL,0.180505,90.252708,NOT_RAIL_ASSIGNED,,False,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE
097010,Brivio,015027,Bollate,3,72,OTHER_EXTERNAL,0.180505,90.433213,NOT_RAIL_ASSIGNED,,False,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE
097010,Brivio,013041,Cantù,3,73,OTHER_EXTERNAL,0.180505,90.613718,NOT_RAIL_ASSIGNED,,False,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE
097010,Brivio,016052,Caprino Bergamasco,3,74,OTHER_EXTERNAL,0.180505,90.794224,NOT_RAIL_ASSIGNED,,False,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE
097010,Brivio,015070,Cernusco sul Naviglio,3,75,OTHER_EXTERNAL,0.180505,90.974729,NOT_RAIL_ASSIGNED,,False,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE
097010,Brivio,097028,Cremella,3,76,OTHER_EXTERNAL,0.180505,91.155235,NOT_RAIL_ASSIGNED,,False,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE
097010,Brivio,016089,Curno,3,77,OTHER_EXTERNAL,0.180505,91.335740,NOT_RAIL_ASSIGNED,,False,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE
097010,Brivio,108023,Desio,3,78,OTHER_EXTERNAL,0.180505,91.516245,NOT_RAIL_ASSIGNED,,False,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE
097010,Brivio,013095,Erba,3,79,OTHER_EXTERNAL,0.180505,91.696751,NOT_RAIL_ASSIGNED,,False,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE
097010,Brivio,097062,Paderno d'Adda,3,80,OTHER_EXTERNAL,0.180505,91.877256,NOT_RAIL_ASSIGNED,,False,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE
097010,Brivio,015182,Rho,3,81,OTHER_EXTERNAL,0.180505,92.057762,NOT_RAIL_ASSIGNED,,False,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE
097010,Brivio,097075,Sirone,3,82,OTHER_EXTERNAL,0.180505,92.238267,NOT_RAIL_ASSIGNED,,False,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE
097010,Brivio,097086,Vercurago,3,83,OTHER_EXTERNAL,0.180505,92.418773,NOT_RAIL_ASSIGNED,,False,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE
097010,Brivio,013010,Appiano Gentile,2,84,OTHER_EXTERNAL,0.120337,92.539110,NOT_RAIL_ASSIGNED,,False,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE
097010,Brivio,016016,Azzano San Paolo,2,85,OTHER_EXTERNAL,0.120337,92.659446,NOT_RAIL_ASSIGNED,,False,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE
097010,Brivio,016038,Brembate di Sopra,2,86,OTHER_EXTERNAL,0.120337,92.779783,NOT_RAIL_ASSIGNED,,False,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE
097010,Brivio,015044,Cambiago,2,87,OTHER_EXTERNAL,0.120337,92.900120,NOT_RAIL_ASSIGNED,,False,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE
097010,Brivio,015051,Carugate,2,88,OTHER_EXTERNAL,0.120337,93.020457,NOT_RAIL_ASSIGNED,,False,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE
097010,Brivio,097017,Cassago Brianza,2,89,OTHER_EXTERNAL,0.120337,93.140794,NOT_RAIL_ASSIGNED,,False,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE
097010,Brivio,097019,Castello di Brianza,2,90,OTHER_EXTERNAL,0.120337,93.261131,NOT_RAIL_ASSIGNED,,False,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE
097010,Brivio,016091,Dalmine,2,91,OTHER_EXTERNAL,0.120337,93.381468,NOT_RAIL_ASSIGNED,,False,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE
097010,Brivio,013118,Inverigo,2,92,OTHER_EXTERNAL,0.120337,93.501805,NOT_RAIL_ASSIGNED,,False,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE
097010,Brivio,108030,Meda,2,93,OTHER_EXTERNAL,0.120337,93.622142,NOT_RAIL_ASSIGNED,,False,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE
097010,Brivio,016250,Medolago,2,94,OTHER_EXTERNAL,0.120337,93.742479,NOT_RAIL_ASSIGNED,,False,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE
097010,Brivio,108031,Mezzago,2,95,OTHER_EXTERNAL,0.120337,93.862816,NOT_RAIL_ASSIGNED,,False,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE
097010,Brivio,016170,Ponte San Pietro,2,96,OTHER_EXTERNAL,0.120337,93.983153,NOT_RAIL_ASSIGNED,,False,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE
097010,Brivio,016207,Stezzano,2,97,OTHER_EXTERNAL,0.120337,94.103490,NOT_RAIL_ASSIGNED,,False,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE
097010,Brivio,097078,Suello,2,98,OTHER_EXTERNAL,0.120337,94.223827,NOT_RAIL_ASSIGNED,,False,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE
097010,Brivio,016209,Suisio,2,99,OTHER_EXTERNAL,0.120337,94.344164,NOT_RAIL_ASSIGNED,,False,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE
097010,Brivio,016215,Torre de' Busi,2,100,OTHER_EXTERNAL,0.120337,94.464501,NOT_RAIL_ASSIGNED,,False,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE
