procom_lav,destination_name,workers,n_core_origins,rank,category,share_of_core_resident_workers_pct,cumulative_share_pct
097086,Vercurago,3,1,184,OTHER_EXTERNAL,0.034270,97.726753
015242,Vimodrone,3,3,185,OTHER_EXTERNAL,0.034270,97.761024
013004,Albese con Cassano,2,2,186,OTHER_EXTERNAL,0.022847,97.783870
013010,Appiano Gentile,2,1,187,OTHER_EXTERNAL,0.022847,97.806717
013012,Arosio,2,2,188,OTHER_EXTERNAL,0.022847,97.829564
015014,Basiano,2,2,189,OTHER_EXTERNAL,0.022847,97.852410
016029,Boltiere,2,2,190,OTHER_EXTERNAL,0.022847,97.875257
016031,Bonate Sotto,2,2,191,OTHER_EXTERNAL,0.022847,97.898104
012026,Busto Arsizio,2,2,192,OTHER_EXTERNAL,0.022847,97.920950
013035,Cabiate,2,1,193,OTHER_EXTERNAL,0.022847,97.943797
016051,Capriate San Gervasio,2,2,194,OTHER_EXTERNAL,0.022847,97.966644
016076,Cividate al Piano,2,1,195,OTHER_EXTERNAL,0.022847,97.989491
015086,Cormano,2,2,196,OTHER_EXTERNAL,0.022847,98.012337
108022,Correzzana,2,1,197,OTHER_EXTERNAL,0.022847,98.035184
013097,Eupilio,2,2,198,OTHER_EXTERNAL,0.022847,98.058031
016096,Fara Gera d'Adda,2,2,199,OTHER_EXTERNAL,0.022847,98.080877
012068,Ferno,2,2,200,OTHER_EXTERNAL,0.022847,98.103724
015105,Garbagnate Milanese,2,2,201,OTHER_EXTERNAL,0.022847,98.126571
015114,Inzago,2,2,202,OTHER_EXTERNAL,0.022847,98.149417
013121,Lambrugo,2,2,203,OTHER_EXTERNAL,0.022847,98.172264
016126,Levate,2,1,204,OTHER_EXTERNAL,0.022847,98.195111
013129,Lipomo,2,2,205,OTHER_EXTERNAL,0.022847,98.217958
015154,Nerviano,2,2,206,OTHER_EXTERNAL,0.022847,98.240804
108035,Nova Milanese,2,2,207,OTHER_EXTERNAL,0.022847,98.263651
012109,Origgio,2,2,208,OTHER_EXTERNAL,0.022847,98.286498
015175,Pioltello,2,2,209,OTHER_EXTERNAL,0.022847,98.309344
016172,Pontirolo Nuovo,2,2,210,OTHER_EXTERNAL,0.022847,98.332191
015185,Rodano,2,2,211,OTHER_EXTERNAL,0.022847,98.355038
108055,Roncello,2,1,212,OTHER_EXTERNAL,0.022847,98.377884
012118,Samarate,2,2,213,OTHER_EXTERNAL,0.022847,98.400731
016194,Scanzorosciate,2,2,214,OTHER_EXTERNAL,0.022847,98.423578
015211,Settimo Milanese,2,2,215,OTHER_EXTERNAL,0.022847,98.446424
014061,Sondrio,2,2,216,OTHER_EXTERNAL,0.022847,98.469271
016215,Torre de' Busi,2,1,217,OTHER_EXTERNAL,0.022847,98.492118
012127,Tradate,2,1,218,OTHER_EXTERNAL,0.022847,98.514965
015219,Trezzano Rosa,2,2,219,OTHER_EXTERNAL,0.022847,98.537811
013227,Turate,2,1,220,OTHER_EXTERNAL,0.022847,98.560658
108046,Vedano al Lambro,2,1,221,OTHER_EXTERNAL,0.022847,98.583505
018177,Vigevano,2,1,222,OTHER_EXTERNAL,0.022847,98.606351
016240,Villa di Serio,2,2,223,OTHER_EXTERNAL,0.022847,98.629198
016246,Zogno,2,2,224,OTHER_EXTERNAL,0.022847,98.652045
017002,Adro,1,1,225,OTHER_EXTERNAL,0.011423,98.663468
016003,Albano Sant'Alessandro,1,1,226,OTHER_EXTERNAL,0.011423,98.674891
012002,Albizzate,1,1,227,OTHER_EXTERNAL,0.011423,98.686315
013006,Alserio,1,1,228,OTHER_EXTERNAL,0.011423,98.697738
016011,Arcene,1,1,229,OTHER_EXTERNAL,0.011423,98.709162
015009,Arese,1,1,230,OTHER_EXTERNAL,0.011423,98.720585
015010,Arluno,1,1,231,OTHER_EXTERNAL,0.011423,98.732008
016018,Bagnatica,1,1,232,OTHER_EXTERNAL,0.011423,98.743432
012008,Barasso,1,1,233,OTHER_EXTERNAL,0.011423,98.754855
108005,Barlassina,1,1,234,OTHER_EXTERNAL,0.011423,98.766278
013250,Bellagio,1,1,235,OTHER_EXTERNAL,0.011423,98.777702
017015,Berlingo,1,1,236,OTHER_EXTERNAL,0.011423,98.789125
015024,Binasco,1,1,237,OTHER_EXTERNAL,0.011423,98.800548
012016,Bodio Lomnago,1,1,238,OTHER_EXTERNAL,0.011423,98.811972
016028,Bolgare,1,1,239,OTHER_EXTERNAL,0.011423,98.823395
