stop_id,stop_code,stop_name,stop_lat,stop_lon,PRO_COM_T,COMUNE,graph_node_id,snap_distance_m,snap_ok,official_routes_reference_gtfs,official_route_count_reference_gtfs,physical_cluster_id,stop_type,epistemic_status,source
100005,100005,Brivio - s.s. briantea,45.73464,9.42271,097010,Brivio,22079,36.158141718047695,True,D148,1,EX_001,EXISTING_OFFICIAL_STOP,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,GateB artifact gtfs_core_stops.csv + official GTFS route assignment
300063,300063,Brivio - capolinea,45.741333,9.4457,097010,Brivio,27326,6.1326622139956655,True,D150|D185,2,EX_002,EXISTING_OFFICIAL_STOP,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,GateB artifact gtfs_core_stops.csv + official GTFS route assignment
300086,300086,Brivio - beverate (cariplo),45.7404,9.423083,097010,Brivio,22247,15.708210195994315,True,D150|D185,2,EX_003,EXISTING_OFFICIAL_STOP,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,GateB artifact gtfs_core_stops.csv + official GTFS route assignment
300087,300087,Brivio - vaccarezza,45.73685,9.436083,097010,Brivio,25006,2.7296065450803564,True,D148|D150|D185,3,EX_004,EXISTING_OFFICIAL_STOP,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,GateB artifact gtfs_core_stops.csv + official GTFS route assignment
300089,300089,Calco - via statale (edicola),45.723933,9.4151,097012,Calco,20487,6.92317174768446,True,D148|D150,2,EX_005,EXISTING_OFFICIAL_STOP,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,GateB artifact gtfs_core_stops.csv + official GTFS route assignment
300207,300207,S.Maria Hoe' - paese,45.73847,9.38723,097074,Santa Maria Hoè,12477,17.35084865235757,True,D148,1,EX_006,EXISTING_OFFICIAL_STOP,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,GateB artifact gtfs_core_stops.csv + official GTFS route assignment
300397,300397,Calco - via virgilio,45.72495,9.41495,097012,Calco,20422,6.616962641201448,True,D185,1,EX_007,EXISTING_OFFICIAL_STOP,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,GateB artifact gtfs_core_stops.csv + official GTFS route assignment
300398,300398,Brivio - beverate (paese),45.73735,9.427967,097010,Brivio,23541,3.89472932695581,True,D150|D185,2,EX_008,EXISTING_OFFICIAL_STOP,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,GateB artifact gtfs_core_stops.csv + official GTFS route assignment
300405,300405,Cisano - sosta,45.739883,9.451267,097010,Brivio,27868,221.04782789216017,True,D185,1,EX_009,EXISTING_OFFICIAL_STOP,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,GateB artifact gtfs_core_stops.csv + official GTFS route assignment
300406,300406,Brivio - via como (pizzeria),45.742417,9.439367,097010,Brivio,25624,6.906020572668385,True,D148|D150|D185,3,EX_010,EXISTING_OFFICIAL_STOP,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,GateB artifact gtfs_core_stops.csv + official GTFS route assignment
300407,300407,Olgiate Molgora - stazione f.s.,45.73371,9.40576,097058,Olgiate Molgora,18111,4.3399997681612925,True,D184|D185,2,EX_011,EXISTING_OFFICIAL_STOP,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,GateB artifact gtfs_core_stops.csv + official GTFS route assignment
300487,300487,Brivio - beverate (tre strade),45.73465,9.42685,097010,Brivio,23239,4.195928185981137,True,D150|D185,2,EX_012,EXISTING_OFFICIAL_STOP,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,GateB artifact gtfs_core_stops.csv + official GTFS route assignment
300501,300501,Monte Marenzo - levata (smalti riva),45.77215,9.44324,097010,Brivio,24692,756.3839398760472,False,D140,1,EX_013,EXISTING_OFFICIAL_STOP,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,GateB artifact gtfs_core_stops.csv + official GTFS route assignment
