procom_res,origin_name,procom_lav,destination_name,workers,rank,category,share_of_origin_pct,cumulative_share_pct
097010,Brivio,015027,Bollate,3,72,OTHER_EXTERNAL,0.180505,90.433213
097010,Brivio,013041,CantÃ¹,3,73,OTHER_EXTERNAL,0.180505,90.613718
097010,Brivio,016052,Caprino Bergamasco,3,74,OTHER_EXTERNAL,0.180505,90.794224
097010,Brivio,015070,Cernusco sul Naviglio,3,75,OTHER_EXTERNAL,0.180505,90.974729
097010,Brivio,097028,Cremella,3,76,OTHER_EXTERNAL,0.180505,91.155235
097010,Brivio,016089,Curno,3,77,OTHER_EXTERNAL,0.180505,91.335740
097010,Brivio,108023,Desio,3,78,OTHER_EXTERNAL,0.180505,91.516245
097010,Brivio,013095,Erba,3,79,OTHER_EXTERNAL,0.180505,91.696751
097010,Brivio,097062,Paderno d'Adda,3,80,OTHER_EXTERNAL,0.180505,91.877256
097010,Brivio,015182,Rho,3,81,OTHER_EXTERNAL,0.180505,92.057762
097010,Brivio,097075,Sirone,3,82,OTHER_EXTERNAL,0.180505,92.238267
097010,Brivio,097086,Vercurago,3,83,OTHER_EXTERNAL,0.180505,92.418773
097010,Brivio,013010,Appiano Gentile,2,84,OTHER_EXTERNAL,0.120337,92.539110
097010,Brivio,016016,Azzano San Paolo,2,85,OTHER_EXTERNAL,0.120337,92.659446
097010,Brivio,016038,Brembate di Sopra,2,86,OTHER_EXTERNAL,0.120337,92.779783
097010,Brivio,015044,Cambiago,2,87,OTHER_EXTERNAL,0.120337,92.900120
097010,Brivio,015051,Carugate,2,88,OTHER_EXTERNAL,0.120337,93.020457
097010,Brivio,097017,Cassago Brianza,2,89,OTHER_EXTERNAL,0.120337,93.140794
097010,Brivio,097019,Castello di Brianza,2,90,OTHER_EXTERNAL,0.120337,93.261131
097010,Brivio,016091,Dalmine,2,91,OTHER_EXTERNAL,0.120337,93.381468
097010,Brivio,013118,Inverigo,2,92,OTHER_EXTERNAL,0.120337,93.501805
097010,Brivio,108030,Meda,2,93,OTHER_EXTERNAL,0.120337,93.622142
097010,Brivio,016250,Medolago,2,94,OTHER_EXTERNAL,0.120337,93.742479
097010,Brivio,108031,Mezzago,2,95,OTHER_EXTERNAL,0.120337,93.862816
097010,Brivio,016170,Ponte San Pietro,2,96,OTHER_EXTERNAL,0.120337,93.983153
097010,Brivio,016207,Stezzano,2,97,OTHER_EXTERNAL,0.120337,94.103490
097010,Brivio,097078,Suello,2,98,OTHER_EXTERNAL,0.120337,94.223827
097010,Brivio,016209,Suisio,2,99,OTHER_EXTERNAL,0.120337,94.344164
097010,Brivio,016215,Torre de' Busi,2,100,OTHER_EXTERNAL,0.120337,94.464501
097010,Brivio,016219,Treviglio,2,101,OTHER_EXTERNAL,0.120337,94.584838
097010,Brivio,015221,Trezzo sull'Adda,2,102,OTHER_EXTERNAL,0.120337,94.705174
097010,Brivio,015222,Tribiano,2,103,OTHER_EXTERNAL,0.120337,94.825511
097010,Brivio,016224,Valbrembo,2,104,OTHER_EXTERNAL,0.120337,94.945848
097010,Brivio,013004,Albese con Cassano,1,105,OTHER_EXTERNAL,0.060168,95.006017
097010,Brivio,016008,Alzano Lombardo,1,106,OTHER_EXTERNAL,0.060168,95.066185
097010,Brivio,013007,Alzate Brianza,1,107,OTHER_EXTERNAL,0.060168,95.126354
097010,Brivio,016009,Ambivere,1,108,OTHER_EXTERNAL,0.060168,95.186522
097010,Brivio,024008,Arzignano,1,109,OTHER_EXTERNAL,0.060168,95.246691
097010,Brivio,016018,Bagnatica,1,110,OTHER_EXTERNAL,0.060168,95.306859
097010,Brivio,013250,Bellagio,1,111,OTHER_EXTERNAL,0.060168,95.367028
097010,Brivio,108008,Besana in Brianza,1,112,OTHER_EXTERNAL,0.060168,95.427196
097010,Brivio,016028,Bolgare,1,113,OTHER_EXTERNAL,0.060168,95.487365
097010,Brivio,016031,Bonate Sotto,1,114,OTHER_EXTERNAL,0.060168,95.547533
097010,Brivio,016037,Brembate,1,115,OTHER_EXTERNAL,0.060168,95.607702
097010,Brivio,017029,Brescia,1,116,OTHER_EXTERNAL,0.060168,95.667870
097010,Brivio,108011,Briosco,1,117,OTHER_EXTERNAL,0.060168,95.728039
097010,Brivio,108013,Burago di Molgora,1,118,OTHER_EXTERNAL,0.060168,95.788207
097010,Brivio,016043,Calcinate,1,119,OTHER_EXTERNAL,0.060168,95.848375
097010,Brivio,036003,Campogalliano,1,120,OTHER_EXTERNAL,0.060168,95.908544
