procom,comune,resident_workers,self_workers,self_pct,other_core_workers,other_core_pct,s8_direct_workers,s8_direct_pct,other_external_workers,other_external_pct,core_local_workers,core_local_pct,external_workers,external_pct
097010,Brivio,1662,323,19.434416,126,7.581227,368,22.141998,845,50.842359,449,27.015644,1213,72.984356
097012,Calco,2173,279,12.839393,269,12.379199,518,23.838012,1107,50.943396,548,25.218592,1625,74.781408
097058,Olgiate Molgora,2287,326,14.254482,292,12.767818,554,24.223874,1115,48.753826,618,27.022300,1669,72.977700
097074,Santa Maria Hoè,836,112,13.397129,160,19.138756,128,15.311005,436,52.153110,272,32.535885,564,67.464115
097092,La Valletta Brianza,1796,275,15.311804,208,11.581292,314,17.483296,999,55.623608,483,26.893096,1313,73.106904
ALL_CORE,Five core municipalities,8754,1315,15.021704,1055,12.051634,1882,21.498743,4502,51.427919,2370,27.073338,6384,72.926662
