source_anchor_id,source_kind,source_record_id,source_name,municipality,lon,lat,graph_node_id,snap_distance_m,snap_status,evidence_status,physical_status,candidate_status,highway,road_uncertainty_flags,route_ready,epoch_id,routing_anchor_id,collapse_reason
existing:EX_017,EXISTING_PHYSICAL_STOP_CLUSTER,L00638,Olginate - fornasette,Brivio,9.424833000,45.768533000,n:533027.18:5068353.33,65.097966889,ROUTE_READY_LE_75M,FACT,EXISTING_OFFICIAL_STOP_CLUSTER,NOT_PROPOSED,,,true,gate-d-2026-09-03-834d5caa0bfd,existing:EX_017,UNIQUE_GRAPH_NODE
existing:EX_018,EXISTING_PHYSICAL_STOP_CLUSTER,300728,Olgiate Molgora - via statale,Olgiate Molgora,9.400417000,45.728633000,n:531145.24:5063989.14,17.695633661,ROUTE_READY_LE_75M,FACT,EXISTING_OFFICIAL_STOP_CLUSTER,NOT_PROPOSED,,,true,gate-d-2026-09-03-834d5caa0bfd,existing:EX_018,UNIQUE_GRAPH_NODE
existing:EX_019,EXISTING_PHYSICAL_STOP_CLUSTER,L00729,Calco - via virgilio (pensilina asf),Calco,9.410183000,45.724950000,n:531927.07:5063574.22,9.583088534,ROUTE_READY_LE_75M,FACT,EXISTING_OFFICIAL_STOP_CLUSTER,NOT_PROPOSED,,,true,gate-d-2026-09-03-834d5caa0bfd,existing:EX_019,UNIQUE_GRAPH_NODE
existing:EX_020,EXISTING_PHYSICAL_STOP_CLUSTER,300743,Calco - arlate (cimitero),Calco,9.440970000,45.723770000,n:534316.06:5063448.92,3.071360947,ROUTE_READY_LE_75M,FACT,EXISTING_OFFICIAL_STOP_CLUSTER,NOT_PROPOSED,,,true,gate-d-2026-09-03-834d5caa0bfd,existing:EX_020,UNIQUE_GRAPH_NODE
existing:EX_021,EXISTING_PHYSICAL_STOP_CLUSTER,300746,Merate - sartirana (cimitero),Calco,9.423840000,45.719860000,n:532984.63:5063005.09,5.061190030,ROUTE_READY_LE_75M,FACT,EXISTING_OFFICIAL_STOP_CLUSTER,NOT_PROPOSED,,,true,gate-d-2026-09-03-834d5caa0bfd,existing:EX_021,UNIQUE_GRAPH_NODE
existing:EX_022,EXISTING_PHYSICAL_STOP_CLUSTER,300782,S.Maria Hoe',Santa Maria Hoè,9.373817000,45.744283000,n:529070.45:5065704.08,8.113051451,ROUTE_READY_LE_75M,FACT,EXISTING_OFFICIAL_STOP_CLUSTER,NOT_PROPOSED,,,true,gate-d-2026-09-03-834d5caa0bfd,existing:EX_022,UNIQUE_GRAPH_NODE
existing:EX_023,EXISTING_PHYSICAL_STOP_CLUSTER,300803,Olgiate Molgora - monticello scarpone,Olgiate Molgora,9.390270000,45.731330000,n:530369.50:5064267.88,5.233262208,ROUTE_READY_LE_75M,FACT,EXISTING_OFFICIAL_STOP_CLUSTER,NOT_PROPOSED,,,true,gate-d-2026-09-03-834d5caa0bfd,existing:EX_023,UNIQUE_GRAPH_NODE
existing:EX_024,EXISTING_PHYSICAL_STOP_CLUSTER,L00804,Rovagnate - la pesa,La Valletta Brianza,9.374867000,45.737217000,n:529163.04:5064915.90,3.703048354,ROUTE_READY_LE_75M,FACT,EXISTING_OFFICIAL_STOP_CLUSTER,NOT_PROPOSED,,,true,gate-d-2026-09-03-834d5caa0bfd,existing:EX_024,UNIQUE_GRAPH_NODE
existing:EX_025,EXISTING_PHYSICAL_STOP_CLUSTER,L00904,S.Maria Hoe' - tremonte/ via trento,Santa Maria Hoè,9.378400000,45.742600000,n:529433.28:5065516.42,3.611756409,ROUTE_READY_LE_75M,FACT,EXISTING_OFFICIAL_STOP_CLUSTER,NOT_PROPOSED,,,true,gate-d-2026-09-03-834d5caa0bfd,existing:EX_025,UNIQUE_GRAPH_NODE
existing:EX_026,EXISTING_PHYSICAL_STOP_CLUSTER,300871,S.Maria Hoe' - alduno,Santa Maria Hoè,9.382200000,45.735000000,n:529728.92:5064673.60,7.048733372,ROUTE_READY_LE_75M,FACT,EXISTING_OFFICIAL_STOP_CLUSTER,NOT_PROPOSED,,,true,gate-d-2026-09-03-834d5caa0bfd,existing:EX_026,UNIQUE_GRAPH_NODE
