procom,comune,self_workers,other_core_workers,s8_external_workers,other_external_workers,resident_work_commuters,self_containment_pct
097010,Brivio,467,155,351,833,1806,25.858250
097012,Calco,321,267,466,1069,2123,15.120113
097058,Olgiate Molgora,382,378,522,1003,2285,16.717724
097074,Santa Maria Hoè,169,198,125,404,896,18.861607
097092,La Valletta Brianza,377,261,295,880,1813,20.794264
