budget_change_fraction,budget_change_percent,annual_bus_km_cap,reference_annual_bus_km,envelope_status,reference_status,reference_gate_e_commit,reference_gate_e_artifact
-0.2,-20.0,89135.20000000001,111419.0,PHASE2_DECLARED_DESIGN_SEARCH_ENVELOPE,DERIVED_FROM_PDB_RECONSTRUCTED_LINE_TOTALS,e2d096ca929c92da0d8a4abdacde827445e208bd,outputs/gate_e/gate_d_pass_budget_envelope.csv
-0.1,-10.0,100277.1,111419.0,PHASE2_DECLARED_DESIGN_SEARCH_ENVELOPE,DERIVED_FROM_PDB_RECONSTRUCTED_LINE_TOTALS,e2d096ca929c92da0d8a4abdacde827445e208bd,outputs/gate_e/gate_d_pass_budget_envelope.csv
0.0,0.0,111419.0,111419.0,PHASE2_DECLARED_DESIGN_SEARCH_ENVELOPE,DERIVED_FROM_PDB_RECONSTRUCTED_LINE_TOTALS,e2d096ca929c92da0d8a4abdacde827445e208bd,outputs/gate_e/gate_d_pass_budget_envelope.csv
0.1,10.0,122560.90000000001,111419.0,PHASE2_DECLARED_DESIGN_SEARCH_ENVELOPE,DERIVED_FROM_PDB_RECONSTRUCTED_LINE_TOTALS,e2d096ca929c92da0d8a4abdacde827445e208bd,outputs/gate_e/gate_d_pass_budget_envelope.csv
0.2,20.0,133702.8,111419.0,PHASE2_DECLARED_DESIGN_SEARCH_ENVELOPE,DERIVED_FROM_PDB_RECONSTRUCTED_LINE_TOTALS,e2d096ca929c92da0d8a4abdacde827445e208bd,outputs/gate_e/gate_d_pass_budget_envelope.csv
0.3,30.0,144844.7,111419.0,PHASE2_DECLARED_DESIGN_SEARCH_ENVELOPE,DERIVED_FROM_PDB_RECONSTRUCTED_LINE_TOTALS,e2d096ca929c92da0d8a4abdacde827445e208bd,outputs/gate_e/gate_d_pass_budget_envelope.csv
