physical_cluster_id,cell_id,walk_min_to_stop,pop_calibrated_2025
EX_001,WP_01255,11.229541586828786,16.06792170639845
EX_001,WP_01370,11.396597102114024,0.332448784329751
EX_001,WP_01371,10.137932637817768,0.319177149226434
EX_001,WP_01372,10.325093062343367,14.052411282096529
EX_001,WP_01373,11.486658434828206,15.123986538211032
EX_001,WP_01374,11.559196770579616,20.470095046180088
EX_001,WP_01490,11.543356056192911,18.200526647848463
EX_001,WP_01491,10.33369758645562,18.49061071531997
EX_001,WP_01492,9.451431834467074,19.168155756423907
EX_001,WP_01493,9.447298178986356,19.80019435015936
EX_001,WP_01494,9.764275864633431,19.822231151847504
EX_001,WP_01495,10.536605324069226,19.71359484085961
EX_001,WP_01496,8.51147604893411,18.40193631235478
EX_001,WP_01504,11.851963083951704,16.60082835957034
EX_001,WP_01505,11.064949517678523,16.967597455746173
EX_001,WP_01507,11.472345908624682,16.436955599919337
EX_001,WP_01611,11.908942757311788,17.296942464890076
EX_001,WP_01612,11.994521963930302,18.412099902196932
EX_001,WP_01613,10.87129261467388,18.4462076143108
EX_001,WP_01614,9.734273422420227,18.43563544740385
EX_001,WP_01615,9.685631521800296,17.748056732667308
EX_001,WP_01616,9.348995932692967,22.251148371135265
EX_001,WP_01617,8.025400920573748,18.46852495969781
EX_001,WP_01618,7.434619568231224,20.34848782551776
EX_001,WP_01619,7.635658579622243,20.346877994225608
EX_001,WP_01620,7.077151829975875,20.34392569543485
EX_001,WP_01621,8.014933031849322,7.181954467583705
EX_001,WP_01622,8.037715223093132,8.129109091266313
EX_001,WP_01623,9.005766152015703,7.181895294281563
EX_001,WP_01626,11.462228358852798,15.080774846991869
EX_001,WP_01627,10.062764309531108,15.819397079768786
EX_001,WP_01628,9.659108432427795,20.851927550803826
EX_001,WP_01629,10.577074146996452,15.796180069905882
EX_001,WP_01630,11.132782159441765,15.737807633824342
EX_001,WP_01736,10.470043815157682,17.905914341479136
EX_001,WP_01737,9.766819577756833,17.90782919343717
EX_001,WP_01738,9.078831636791408,17.81233701373644
EX_001,WP_01739,8.417423054865338,17.788287452222203
EX_001,WP_01740,7.300823767224662,18.15255555818592
EX_001,WP_01741,6.466251260943745,18.52409708904037
EX_001,WP_01742,6.002735221151413,21.689230639367487
EX_001,WP_01743,5.883115662143903,21.502315105021395
EX_001,WP_01744,6.602817106338062,8.229633993896654
EX_001,WP_01745,6.40377339228824,7.183996351804244
EX_001,WP_01746,7.635792758461957,7.7429335837669795
EX_001,WP_01747,5.9355301821283435,7.328816118758247
EX_001,WP_01748,5.675921234369421,10.1013098584886
EX_001,WP_01749,6.625381598146864,11.044897872179002
EX_001,WP_01750,9.502013979942893,15.376334953486936
EX_001,WP_01751,8.987792332324434,16.277706463767316
EX_001,WP_01752,8.147964698797448,17.685215598041715
EX_001,WP_01753,9.048754613087784,17.294315142895886
EX_001,WP_01754,10.778042782493388,6.02669139322857
EX_001,WP_01755,10.849809471125493,16.093153850906955
EX_001,WP_01756,11.40498528808026,0.1098376176931216
EX_001,WP_01858,11.83649794567329,9.389982119734134
EX_001,WP_01860,11.818250262181145,14.30178262204731
EX_001,WP_01861,10.520620125187463,6.150686183616413
EX_001,WP_01862,9.991144383680277,17.147896564203716
EX_001,WP_01863,6.482296018598391,18.92701620876469
EX_001,WP_01864,5.658490462852419,18.306502500806165
EX_001,WP_01865,5.78225610581126,6.468617878465173
EX_001,WP_01866,4.284264422136476,7.94523251311811
EX_001,WP_01867,5.1889494884753145,7.916139513293046
EX_001,WP_01868,5.894925727183087,6.692711631944815
EX_001,WP_01869,7.055051585209297,7.798445436516133
EX_001,WP_01870,4.502767386558566,7.417343431730711
EX_001,WP_01871,4.281275253990387,16.929890282196748
EX_001,WP_01872,5.727051707062695,16.505564206678507
EX_001,WP_01873,8.882571133388824,15.271207502780292
EX_001,WP_01874,6.896689389065417,16.564645101199407
EX_001,WP_01875,7.3378372889958055,17.918669676267946
EX_001,WP_01876,8.83938953352152,17.616968515840842
EX_001,WP_01877,9.333245535837634,17.71522699993977
EX_001,WP_01878,10.004629357855531,0.2296601475090982
EX_001,WP_01879,11.11965022356586,0.2217742917570117
EX_001,WP_01880,11.857747098852766,0.2209355304639581
EX_001,WP_01976,11.428325986270764,3.499423165885093
EX_001,WP_01977,5.15080172838117,6.892639981540898
EX_001,WP_01978,4.391009708939644,7.242175866708932
EX_001,WP_01979,4.10279368891983,8.055013579271405
EX_001,WP_01980,4.846079137005984,6.830199988881883
EX_001,WP_01981,2.7878035813314406,7.207998826458613
EX_001,WP_01982,6.094465626682212,7.014069271691468
EX_001,WP_01983,6.473258389182374,7.0654430462564815
EX_001,WP_01984,5.440808735886626,7.230999407942445
EX_001,WP_01985,2.5526773058670105,7.214777817223346
EX_001,WP_01986,3.8571806127769754,7.580291304563285
EX_001,WP_01987,5.233752663281307,7.4467785018777555
EX_001,WP_01988,5.358071131519467,7.467389454666809
EX_001,WP_01989,5.949027277016145,16.047754148078884
EX_001,WP_01990,6.603003790399807,16.21209867296068
EX_001,WP_01991,8.009796855130125,16.07373690187211
EX_001,WP_01992,11.114275243113317,16.7777030338293
EX_001,WP_01993,10.335938734560198,16.801816559749337
EX_001,WP_01994,10.141290354729525,16.304501431926948
EX_001,WP_01995,10.378186218029201,0.2395963733790765
EX_001,WP_01996,11.770785292955699,8.055739060167546
EX_001,WP_02083,5.924105314234812,2.495336530201889
EX_001,WP_02084,3.4264276586577123,7.400830838059976
EX_001,WP_02085,2.8792324170383434,7.359702961290755
EX_001,WP_02086,1.629459117782865,7.399377444488151
EX_001,WP_02087,1.5515740392223472,7.251667912847282
EX_001,WP_02088,2.0561196015501224,7.691655459197211
EX_001,WP_02089,2.5769545498478754,7.629344350853824
EX_001,WP_02090,9.368000178096597,0.2423646757441211
EX_001,WP_02091,9.235606393187512,7.263881120291048
EX_001,WP_02092,5.073061259329289,0.2323661608544636
EX_001,WP_02093,5.5120929177989,0.2231697532474993
EX_001,WP_02094,6.206232407688617,0.2325165512203992
EX_001,WP_02095,7.086676348065257,0.2343147508661857
EX_001,WP_02096,7.710055676586295,0.2339123166833293
EX_001,WP_02097,8.929375915583941,16.14268109420782
EX_001,WP_02098,9.785590142679505,15.650576459346771
EX_001,WP_02099,10.587658166009277,0.2213166359137646
EX_001,WP_02188,11.63526074725038,31.92218328951981
EX_001,WP_02189,11.734681336164602,32.876921140084306
EX_001,WP_02193,9.987201102514355,0.2611218019304069
EX_001,WP_02194,9.24410280390505,0.1515965792495643
EX_001,WP_02195,7.9991484661939545,0.1512516211893806
EX_001,WP_02196,7.05638145967862,7.948878561241961
EX_001,WP_02197,6.4807331021363686,0.1479896169156136
EX_001,WP_02198,6.873566603218011,0.1121561421673877
EX_001,WP_02199,7.24513521040028,0.0599489891546565
EX_001,WP_02200,8.216484919140122,0.0605516145219476
EX_001,WP_02201,8.753486140941758,0.0745752628350718
EX_001,WP_02202,11.641319433657115,0.2394085944027112
EX_001,WP_02203,11.059056225118963,0.2309228743663531
EX_001,WP_02204,11.57743319268505,0.117785521820037
EX_001,WP_02287,7.951865748447019,29.54853310753785
EX_001,WP_02288,8.562718098781879,17.95427782817399
EX_001,WP_02289,9.807364687122334,20.07047605321984
EX_001,WP_02290,10.35930687034519,23.2092386597269
EX_001,WP_02291,11.140318053763846,21.402183568028303
EX_001,WP_02292,10.460326282904266,0.1214733281581789
EX_001,WP_02293,11.108754093744432,0.0724978771663512
EX_001,WP_02294,11.78788461987962,0.0507380700299417
