osm_way_id,highway,road_uncertainty_flags,sample_index,x_utm32,y_utm32,lon,lat,discovery_evidence,discovery_seed_count,walk_graph_node_id,walk_graph_connector_m,walk_graph_connector_min,walk_graph_snap_ok,population_reachable_5min,population_additional_5min,existing_catchment_overlap_population_5min,existing_catchment_overlap_pct_5min,population_reachable_8min,population_additional_8min,existing_catchment_overlap_population_8min,existing_catchment_overlap_pct_8min,population_reachable_10min,population_additional_10min,existing_catchment_overlap_population_10min,existing_catchment_overlap_pct_10min,population_reachable_12min,population_additional_12min,existing_catchment_overlap_population_12min,existing_catchment_overlap_pct_12min,nearest_official_stop_walk_network_m,nearest_official_stop_cluster_id,nearby_official_routes,nearby_official_route_count,settlement_coverage_10min_count,settlement_additional_10min_count,settlement_additional_10min_names,destination_coverage_10min_count,destination_additional_10min_count,destination_additional_10min_names,pruned_near_existing_stop,pruned_no_access_gain,candidate_id,stop_type,physical_status,epistemic_status,road_eligibility_status,candidate_status,potential_interchange_with_reference_gtfs,interchange_evidence_status,discovery_sample_spacing_m_assumption,candidate_pruning_radius_m_assumption,source_gate_b_commit,source_gate_d_commit,PRO_COM_T,COMUNE,municipal_2021_resident_work_commuters_context,municipal_2021_outbound_workers_context,od_2021_context_status
1288862511,residential,missing_lanes|missing_maxheight|missing_maxweight|missing_maxwidth|missing_width,0,530674.7284694989,5061323.252022993,9.394058569528264,45.704783368317116,POP_GAP8:WP_04269|POP_GAP8:WP_04270|POP_GAP8:WP_04271|POP_GAP8:WP_04272|POP_GAP8:WP_04273|POP_GAP8:WP_04274|POP_GAP8:WP_04279|POP_GAP8:WP_04280|POP_GAP8:WP_04281|POP_GAP8:WP_04282|POP_GAP8:WP_04283,11,14875,5.884868006959855,0.07356085008699818,True,32.764526222162196,32.764526222162196,0.0,0.0,34.11702671039551,34.11702671039551,0.0,0.0,80.84238875970925,80.84238875970925,0.0,0.0,103.25476608515208,103.25476608515208,0.0,0.0,3253.027962479309,EX_018,D148,1,0,0,,0,0,,False,False,P2S_0001,PROPOSED_STOP,FIELD_CHECK_PENDING,PROPOSED_STOP/FIELD_CHECK_PENDING,DERIVED_GATE_D_BUS_ELIGIBLE,HYPOTHESIS_NOT_RECOMMENDATION,False,DERIVED_FROM_REFERENCE_PERIOD_GTFS_PROXIMITY_NOT_CURRENT_SERVICE_GUARANTEE,150.0,220.0,55d726564e13acca55ce563cc911263ac513acb0,7c220f7586d0f6e5cccd14a2d518be52eb1c4a55,097058,Olgiate Molgora,2287,1961,FACT_ISTAT_2021_WORK_COMMUTING_MUNICIPAL_ONLY_NOT_STOP_DEMAND
1384055503,service,missing_lanes|missing_maxheight|missing_maxweight|missing_maxwidth|missing_width,0,530726.9112957375,5061600.755182268,9.394746492491867,45.70727874798953,POP_GAP8:WP_04249|POP_GAP8:WP_04250|POP_GAP8:WP_04251|POP_GAP8:WP_04252|POP_GAP8:WP_04259|POP_GAP8:WP_04260|POP_GAP8:WP_04261|POP_GAP8:WP_04262|POP_GAP8:WP_04263|POP_GAP8:WP_04264,10,15103,12.937140797921396,0.16171425997401745,True,13.122806159905657,13.122806159905657,0.0,0.0,101.64937247888668,101.64937247888668,0.0,0.0,124.60941938548132,124.60941938548132,0.0,0.0,189.21674249536574,189.21674249536574,0.0,0.0,3027.392498861676,EX_018,D148,1,1,1,Pianezzo,0,0,,False,False,P2S_0002,PROPOSED_STOP,FIELD_CHECK_PENDING,PROPOSED_STOP/FIELD_CHECK_PENDING,DERIVED_GATE_D_BUS_ELIGIBLE,HYPOTHESIS_NOT_RECOMMENDATION,False,DERIVED_FROM_REFERENCE_PERIOD_GTFS_PROXIMITY_NOT_CURRENT_SERVICE_GUARANTEE,150.0,220.0,55d726564e13acca55ce563cc911263ac513acb0,7c220f7586d0f6e5cccd14a2d518be52eb1c4a55,097058,Olgiate Molgora,2287,1961,FACT_ISTAT_2021_WORK_COMMUTING_MUNICIPAL_ONLY_NOT_STOP_DEMAND
1430858467,service,missing_lanes|missing_maxheight|missing_maxweight|missing_maxwidth|missing_width,0,530279.6182281487,5061696.314673811,9.389006250278037,45.70815855009282,POP_GAP8:WP_04227|POP_GAP8:WP_04228|POP_GAP8:WP_04229|POP_GAP8:WP_04230|POP_GAP8:WP_04231|POP_GAP8:WP_04243|POP_GAP8:WP_04244|POP_GAP8:WP_04245|POP_GAP8:WP_04246|POP_GAP8:WP_04247|POP_GAP8:WP_04257|POP_GAP8:WP_04258,12,13075,15.956799455715796,0.19945999319644744,True,23.518699395425465,23.518699395425465,0.0,0.0,25.047483966019332,25.047483966019332,0.0,0.0,26.355534923762608,26.355534923762608,0.0,0.0,110.65612479820392,110.65612479820392,0.0,0.0,3292.176368454281,EX_018,D148,1,0,0,,0,0,,False,False,P2S_0003,PROPOSED_STOP,FIELD_CHECK_PENDING,PROPOSED_STOP/FIELD_CHECK_PENDING,DERIVED_GATE_D_BUS_ELIGIBLE,HYPOTHESIS_NOT_RECOMMENDATION,False,DERIVED_FROM_REFERENCE_PERIOD_GTFS_PROXIMITY_NOT_CURRENT_SERVICE_GUARANTEE,150.0,220.0,55d726564e13acca55ce563cc911263ac513acb0,7c220f7586d0f6e5cccd14a2d518be52eb1c4a55,097058,Olgiate Molgora,2287,1961,FACT_ISTAT_2021_WORK_COMMUTING_MUNICIPAL_ONLY_NOT_STOP_DEMAND
40599303,unclassified,missing_lanes|missing_maxheight|missing_maxweight|missing_maxwidth|missing_width,0,530545.1834234146,5061880.433541296,9.392429517625638,45.709804061878536,POP_GAP8:WP_04182|POP_GAP8:WP_04183|POP_GAP8:WP_04199|POP_GAP8:WP_04200|POP_GAP8:WP_04201|POP_GAP8:WP_04217|POP_GAP8:WP_04218,7,14305,9.943545538006248,0.1242943192250781,True,69.03008691023592,69.03008691023592,0.0,0.0,186.26236871548318,186.26236871548318,0.0,0.0,222.44201751695437,222.44201751695437,0.0,0.0,232.23899492568114,232.23899492568114,0.0,0.0,2696.4793918652454,EX_018,D148,1,3,3,Bagaggera|Molino Cattaneo|Pianezzo,0,0,,False,False,P2S_0004,PROPOSED_STOP,FIELD_CHECK_PENDING,PROPOSED_STOP/FIELD_CHECK_PENDING,DERIVED_GATE_D_BUS_ELIGIBLE,HYPOTHESIS_NOT_RECOMMENDATION,False,DERIVED_FROM_REFERENCE_PERIOD_GTFS_PROXIMITY_NOT_CURRENT_SERVICE_GUARANTEE,150.0,220.0,55d726564e13acca55ce563cc911263ac513acb0,7c220f7586d0f6e5cccd14a2d518be52eb1c4a55,097058,Olgiate Molgora,2287,1961,FACT_ISTAT_2021_WORK_COMMUTING_MUNICIPAL_ONLY_NOT_STOP_DEMAND
46786196,unclassified,missing_maxheight|missing_maxweight|missing_maxwidth|missing_width,0,530037.9160282983,5061929.497035635,9.385915584789046,45.71026786163276,POP_GAP8:WP_04156|POP_GAP8:WP_04157|POP_GAP8:WP_04174|POP_GAP8:WP_04175|POP_GAP8:WP_04176|POP_GAP8:WP_04191|POP_GAP8:WP_04192|POP_GAP8:WP_04193|POP_GAP8:WP_04194|POP_GAP8:WP_04195|POP_GAP8:WP_04208|POP_GAP8:WP_04209|POP_GAP8:WP_04210|POP_GAP8:WP_04211|POP_GAP8:WP_04225|POP_GAP8:WP_04226|POP_GAP8:WP_04227,17,11973,5.622196856453667,0.07027746070567084,True,17.39355543704949,17.39355543704949,0.0,0.0,22.604730155527765,22.604730155527765,0.0,0.0,73.73227925590906,73.73227925590906,0.0,0.0,136.87282155017243,136.87282155017243,0.0,0.0,3127.3801468160605,EX_018,D148,1,1,1,Bagaggera,0,0,,False,False,P2S_0005,PROPOSED_STOP,FIELD_CHECK_PENDING,PROPOSED_STOP/FIELD_CHECK_PENDING,DERIVED_GATE_D_BUS_ELIGIBLE,HYPOTHESIS_NOT_RECOMMENDATION,False,DERIVED_FROM_REFERENCE_PERIOD_GTFS_PROXIMITY_NOT_CURRENT_SERVICE_GUARANTEE,150.0,220.0,55d726564e13acca55ce563cc911263ac513acb0,7c220f7586d0f6e5cccd14a2d518be52eb1c4a55,097092,La Valletta Brianza,1796,1521,FACT_ISTAT_2021_WORK_COMMUTING_MUNICIPAL_ONLY_NOT_STOP_DEMAND
46733299,unclassified,missing_lanes|missing_maxheight|missing_maxweight|missing_maxwidth|missing_width,0,530855.3758131008,5061949.111909996,9.396418991209998,45.7104084498135,POP_GAP8:WP_04168|POP_GAP8:WP_04169|POP_GAP8:WP_04186|POP_GAP8:WP_04187|POP_GAP8:WP_04188|POP_GAP8:WP_04205|POP_GAP8:WP_04206|POP_GAP8:WP_04207|POP_GAP8:WP_04223|POP_GAP8:WP_04224,10,15599,2.2440312701622585,0.02805039087702823,True,154.18671542202074,154.18671542202074,0.0,0.0,156.91986070909223,156.91986070909223,0.0,0.0,166.5439163668612,166.5439163668612,0.0,0.0,246.23092919639217,246.23092919639217,0.0,0.0,2587.907975488346,EX_018,D148,1,2,2,Molino Cattaneo|Pianezzo,0,0,,False,False,P2S_0006,PROPOSED_STOP,FIELD_CHECK_PENDING,PROPOSED_STOP/FIELD_CHECK_PENDING,DERIVED_GATE_D_BUS_ELIGIBLE,HYPOTHESIS_NOT_RECOMMENDATION,False,DERIVED_FROM_REFERENCE_PERIOD_GTFS_PROXIMITY_NOT_CURRENT_SERVICE_GUARANTEE,150.0,220.0,55d726564e13acca55ce563cc911263ac513acb0,7c220f7586d0f6e5cccd14a2d518be52eb1c4a55,097058,Olgiate Molgora,2287,1961,FACT_ISTAT_2021_WORK_COMMUTING_MUNICIPAL_ONLY_NOT_STOP_DEMAND
42995323,unclassified,missing_maxheight|missing_maxweight|missing_maxwidth|missing_width,0,529802.0422873041,5062045.374452483,9.38289235992698,45.711321023803485,POP_GAP8:WP_04093|POP_GAP8:WP_04114|POP_GAP8:WP_04115|POP_GAP8:WP_04116|POP_GAP8:WP_04132|POP_GAP8:WP_04133|POP_GAP8:WP_04134|POP_GAP8:WP_04135|POP_GAP8:WP_04151|POP_GAP8:WP_04152|POP_GAP8:WP_04153|POP_GAP8:WP_04154|POP_GAP8:WP_04170|POP_GAP8:WP_04171|POP_GAP8:WP_04172|POP_GAP8:WP_04173|POP_GAP8:WP_04189|POP_GAP8:WP_04190|SETTLEMENT_GAP8:OSM_POINT_538492425,19,10999,18.5631624065045,0.23203953008130623,True,22.487500561079504,22.487500561079504,0.0,0.0,41.635955384581905,41.635955384581905,0.0,0.0,45.72808765057978,45.72808765057978,0.0,0.0,72.16504656033683,72.16504656033683,0.0,0.0,3053.39513926874,EX_018,D148,1,2,2,Bagaggera|Fornace Superiore,0,0,,False,False,P2S_0007,PROPOSED_STOP,FIELD_CHECK_PENDING,PROPOSED_STOP/FIELD_CHECK_PENDING,DERIVED_GATE_D_BUS_ELIGIBLE,HYPOTHESIS_NOT_RECOMMENDATION,False,DERIVED_FROM_REFERENCE_PERIOD_GTFS_PROXIMITY_NOT_CURRENT_SERVICE_GUARANTEE,150.0,220.0,55d726564e13acca55ce563cc911263ac513acb0,7c220f7586d0f6e5cccd14a2d518be52eb1c4a55,097092,La Valletta Brianza,1796,1521,FACT_ISTAT_2021_WORK_COMMUTING_MUNICIPAL_ONLY_NOT_STOP_DEMAND
132320815,residential,missing_lanes|missing_maxheight|missing_maxweight|missing_maxwidth|missing_width,2,530836.3578416611,5062240.40158852,9.396193185258703,45.71303107486187,POP_GAP8:WP_04128|POP_GAP8:WP_04147|POP_GAP8:WP_04148|POP_GAP8:WP_04149|POP_GAP8:WP_04167,5,15504,14.484933672515883,0.18106167090644854,True,25.25921409383783,25.25921409383783,0.0,0.0,275.4427258463816,275.4427258463816,0.0,0.0,415.8258633202416,415.8258633202416,0.0,0.0,562.8560841208133,562.8560841208133,0.0,0.0,2150.2330836465235,EX_018,D148,1,2,2,Molino Cattaneo|Pianezzo,0,0,,False,False,P2S_0008,PROPOSED_STOP,FIELD_CHECK_PENDING,PROPOSED_STOP/FIELD_CHECK_PENDING,DERIVED_GATE_D_BUS_ELIGIBLE,HYPOTHESIS_NOT_RECOMMENDATION,False,DERIVED_FROM_REFERENCE_PERIOD_GTFS_PROXIMITY_NOT_CURRENT_SERVICE_GUARANTEE,150.0,220.0,55d726564e13acca55ce563cc911263ac513acb0,7c220f7586d0f6e5cccd14a2d518be52eb1c4a55,097058,Olgiate Molgora,2287,1961,FACT_ISTAT_2021_WORK_COMMUTING_MUNICIPAL_ONLY_NOT_STOP_DEMAND
167040996,residential,missing_lanes|missing_maxheight|missing_maxweight|missing_maxwidth|missing_width,0,530557.2063576628,5062273.774147659,9.392608766283677,45.713343828445026,POP_GAP8:WP_04096|POP_GAP8:WP_04097|POP_GAP8:WP_04098|POP_GAP8:WP_04099|POP_GAP8:WP_04100|POP_GAP8:WP_04101|POP_GAP8:WP_04120|POP_GAP8:WP_04121|POP_GAP8:WP_04122|POP_GAP8:WP_04123|POP_GAP8:WP_04124|POP_GAP8:WP_04125|POP_GAP8:WP_04142|POP_GAP8:WP_04143|POP_GAP8:WP_04144|POP_GAP8:WP_04145|POP_GAP8:WP_04146|POP_GAP8:WP_04163|POP_GAP8:WP_04164|POP_GAP8:WP_04165,20,14386,0.9489499013559641,0.011861873766949551,True,65.51017117637603,65.51017117637603,0.0,0.0,67.18434202607524,67.18434202607524,0.0,0.0,81.62407794848116,81.62407794848116,0.0,0.0,219.9386833577687,219.9386833577687,0.0,0.0,2319.042664799272,EX_018,D148,1,1,1,Molino Cattaneo,0,0,,False,False,P2S_0009,PROPOSED_STOP,FIELD_CHECK_PENDING,PROPOSED_STOP/FIELD_CHECK_PENDING,DERIVED_GATE_D_BUS_ELIGIBLE,HYPOTHESIS_NOT_RECOMMENDATION,False,DERIVED_FROM_REFERENCE_PERIOD_GTFS_PROXIMITY_NOT_CURRENT_SERVICE_GUARANTEE,150.0,220.0,55d726564e13acca55ce563cc911263ac513acb0,7c220f7586d0f6e5cccd14a2d518be52eb1c4a55,097058,Olgiate Molgora,2287,1961,FACT_ISTAT_2021_WORK_COMMUTING_MUNICIPAL_ONLY_NOT_STOP_DEMAND
42995323,unclassified,missing_maxheight|missing_maxweight|missing_maxwidth|missing_width,2,529642.4024003535,5062276.782310661,9.380855522338042,45.71341068865642,POP_GAP8:WP_04036|POP_GAP8:WP_04037|POP_GAP8:WP_04038|POP_GAP8:WP_04063|POP_GAP8:WP_04064|POP_GAP8:WP_04065|POP_GAP8:WP_04066|POP_GAP8:WP_04067|POP_GAP8:WP_04086|POP_GAP8:WP_04087|POP_GAP8:WP_04088|POP_GAP8:WP_04089|POP_GAP8:WP_04090|POP_GAP8:WP_04091|POP_GAP8:WP_04092|POP_GAP8:WP_04109|POP_GAP8:WP_04110|POP_GAP8:WP_04111|POP_GAP8:WP_04112|POP_GAP8:WP_04113|POP_GAP8:WP_04132|SETTLEMENT_GAP8:OSM_POINT_538469464,22,10348,6.665242500515998,0.08331553125644997,True,23.167769420914453,23.167769420914453,0.0,0.0,42.12070717501094,42.12070717501094,0.0,0.0,50.09925643541976,50.09925643541976,0.0,0.0,82.30949360040043,82.30949360040043,0.0,0.0,3297.0776431541517,EX_018,D148,1,2,2,Bagaggera|Fornace Superiore,0,0,,False,False,P2S_0010,PROPOSED_STOP,FIELD_CHECK_PENDING,PROPOSED_STOP/FIELD_CHECK_PENDING,DERIVED_GATE_D_BUS_ELIGIBLE,HYPOTHESIS_NOT_RECOMMENDATION,False,DERIVED_FROM_REFERENCE_PERIOD_GTFS_PROXIMITY_NOT_CURRENT_SERVICE_GUARANTEE,150.0,220.0,55d726564e13acca55ce563cc911263ac513acb0,7c220f7586d0f6e5cccd14a2d518be52eb1c4a55,097092,La Valletta Brianza,1796,1521,FACT_ISTAT_2021_WORK_COMMUTING_MUNICIPAL_ONLY_NOT_STOP_DEMAND
