route_id,source_page,stop_sequence_on_page,stop_label_pdf,identity_status,historical_gtfs_stop_id,v2_physical_cluster_id,localization_status
D184,1,1,OLGIATE MOLGORA FS,RESOLVED_BEST_SEQUENCE_UNIQUE,300407,EX_011,LOCALIZED_EXACT_RESOLVED_GTFS_ID_TO_V2_CLUSTER
D184,1,2,OLGIATE MOLGORA Scarpone,RESOLVED_BEST_SEQUENCE_UNIQUE,300803,EX_023,LOCALIZED_EXACT_RESOLVED_GTFS_ID_TO_V2_CLUSTER
D184,1,3,S.MARIA HOE' Alduno,RESOLVED_BEST_SEQUENCE_UNIQUE,300871,EX_026,LOCALIZED_EXACT_RESOLVED_GTFS_ID_TO_V2_CLUSTER
D184,1,4,ROVAGNATE Statale incrocio via Lombardia SR 342,NO_HISTORICAL_GTFS_NAME_MATCH,,,UNRESOLVED_IDENTITY_NOT_SPATIALLY_USED
D184,1,5,PEREGO statale incrocio via S.Caterina SR 342,NO_HISTORICAL_GTFS_NAME_MATCH,,,UNRESOLVED_IDENTITY_NOT_SPATIALLY_USED
D184,1,6,S. MARIA HOE' Alpino Via Como,NO_HISTORICAL_GTFS_NAME_MATCH,,,UNRESOLVED_IDENTITY_NOT_SPATIALLY_USED
D184,1,7,S. MARIA HOE' Tremonte incrocio via Leopardi,NO_HISTORICAL_GTFS_NAME_MATCH,,,UNRESOLVED_IDENTITY_NOT_SPATIALLY_USED
D184,1,8,S. MARIA HOE centro,NO_HISTORICAL_GTFS_NAME_MATCH,,,UNRESOLVED_IDENTITY_NOT_SPATIALLY_USED
D184,1,9,HOE',AMBIGUOUS_HISTORICAL_GTFS,,,UNRESOLVED_IDENTITY_NOT_SPATIALLY_USED
D184,1,10,PIE CASTELLO,NO_HISTORICAL_GTFS_NAME_MATCH,,,UNRESOLVED_IDENTITY_NOT_SPATIALLY_USED
D184,1,11,NAVA,RESOLVED_BEST_SEQUENCE_UNIQUE,300808,,RESOLVED_GTFS_ID_NOT_IN_V2_STOP_UNIVERSE
D184,1,12,RAVELLINO,RESOLVED_BEST_SEQUENCE_UNIQUE,300969,,RESOLVED_GTFS_ID_NOT_IN_V2_STOP_UNIVERSE
D184,2,1,RAVELLINO,RESOLVED_BEST_SEQUENCE_UNIQUE,300194,,RESOLVED_GTFS_ID_NOT_IN_V2_STOP_UNIVERSE
