plan_id,scenario_id,topology_family,uniform_headway_min,span_id,span_minutes,calendar_id,annual_service_days,exact_annual_bus_km,public_route_count,public_population_coverage_share_5min,public_population_coverage_share_8min,public_population_coverage_share_10min,public_worst_municipality_coverage_share_5min,public_worst_municipality_coverage_share_8min,public_worst_municipality_coverage_share_10min,public_structurally_addressable_worker_od_mass_upper_bound,stress_case_count,stress_min_connection_match_share,stress_median_connection_match_share,stress_p10_connection_match_share,stress_max_unmatched_connection_event_count,stress_median_unmatched_connection_event_count,stress_max_incomplete_route_count,stress_complete_all_routes_case_count,stress_complete_all_routes_case_share,stress_median_route_unweighted_mean_gap_min,stress_p90_route_unweighted_mean_gap_min,stress_worst_route_weighted_mean_gap_min,stress_max_fleet_recovery15,stress_fleet_recovery15_escalation_case_count,stress_max_vehicle_cycle_hours_per_service_day,baseline_exact_fleet_recovery15,public_explicit_existing_stop_count,public_explicit_proposed_stop_count,public_explicit_field_check_pending_count,current_worst_municipality_access_lower_bound_10min,hard_current_worst_municipality_lower_bound_nonregression_pass,known_current_municipal_lower_bound_regression_count_10min,known_current_municipal_lower_bound_regression_codes_10min_json,full_current_service_baseline_complete,weighted_composite_score_used,full_gjt_calculated,missed_connection_probability_inferred,passenger_route_weights_inferred,primary_selected,runner_up_selected,robust_frontier_classes,robust_frontier_member
P2PLAN_3272aa0339de2bad,P2_506f266b07b131de,hybrid_interlined,20,S8_EXTENDED_0530_2400,1110,IDEALISED_5_DAY_52_WEEK,260,102381.795982,2,0.061481646866,0.166894976061,0.206348707293,0.0,0.0,0.0,643.0,81,0.9782608695652174,0.9945054945054945,0.9836065573770492,8,2,2,0,0.0,14.88596101936179,15.558806783767036,16.172181283879247,4,36,17.593452351533333,3,1,1,1,0.0,true,3,"[""097010"",""097074"",""097092""]",false,false,false,false,false,false,false,ROBUST_PASSENGER_UNRESTRICTED;ROBUST_PASSENGER_FREQUENT_30,true
P2PLAN_32e9cd94f2b12ec9,P2_9501ca79c629d48b,interlined_figure8,60,CORE_0600_2200,960,IDEALISED_5_DAY_52_WEEK,260,109725.813184,2,0.074480220856,0.210520029635,0.307632375467,0.0,0.0,0.0,1367.0,81,0.9789473684210527,0.9894736842105263,0.9789473684210527,4,2,2,0,0.0,21.842419119701773,26.128782129162545,28.65946533791254,3,18,16.56713132581333,2,0,6,6,0.0,true,3,"[""097010"",""097074"",""097092""]",false,false,false,false,false,false,false,ROBUST_PASSENGER_UNRESTRICTED,true
P2PLAN_3388615216040c67,P2_afaa79f7edc13d54,two_radial_out_and_back_feeders,30,CORE_0600_2200,960,IDEALISED_DAILY_YEAR,365,106909.036369,2,0.091818396615,0.22286541195,0.280493417998,0.0,0.0,0.0,447.0,81,0.984375,0.9921875,0.984375,4,2,2,0,0.0,10.910545276806616,20.223961631213868,21.811783280813867,2,0,10.015053070986667,2,2,0,0,0.0,true,3,"[""097010"",""097058"",""097074""]",false,false,false,false,false,false,false,ROBUST_PASSENGER_UNRESTRICTED;ROBUST_PASSENGER_FREQUENT_30,true
P2PLAN_3416530ef29c230c,P2_0c05fad94b4031ec,single_compact_loop,60,S8_EXTENDED_0530_2400,1110,IDEALISED_6_DAY_52_WEEK,312,105247.94765,1,0.100623384042,0.240002993083,0.315249788018,0.033694851388,0.062574266565,0.074188964284,641.0,81,0.9908256880733946,1.0,0.9908256880733946,1,0,1,45,0.5555555555555556,21.15370782936786,27.382705744968938,32.463522616068936,1,0,11.998178767665,1,3,1,1,0.0,true,2,"[""097010"",""097092""]",false,false,false,false,false,false,false,ROBUST_PASSENGER_UNRESTRICTED,true
P2PLAN_344176c2f6cf0bd2,P2_fa603ab2af99a6aa,single_compact_loop,20,S8_EXTENDED_0530_2400,1110,IDEALISED_6_DAY_52_WEEK,312,97127.097588,1,0.065917856243,0.155349483895,0.204006783968,0.0,0.000465712767,0.009189912991,0.0,81,0.9726775956284153,0.9944444444444445,0.9834254143646409,5,1,1,0,0.0,15.71277252423645,16.88039006458645,17.38039006458645,2,0,15.296953730391667,2,1,1,1,0.0,true,3,"[""097010"",""097074"",""097092""]",false,false,false,false,false,false,false,ROBUST_PASSENGER_UNRESTRICTED;ROBUST_PASSENGER_FREQUENT_30,true
P2PLAN_37c82466d64d4cf4,P2_3c616bcc9264a36e,blank_slate,30,CORE_0600_2200,960,IDEALISED_5_DAY_52_WEEK,260,111213.090876,1,0.086888218542,0.228064681113,0.322751199496,0.0,5.0341214e-05,0.000516053981,447.0,81,0.9841269841269841,0.9920634920634921,0.9841269841269841,2,1,1,0,0.0,16.542347736281616,22.682076665063867,24.987087374963867,2,0,17.44545899616,2,2,2,2,0.0,true,2,"[""097010"",""097074""]",false,false,false,false,false,false,false,ROBUST_PASSENGER_UNRESTRICTED;ROBUST_PASSENGER_FREQUENT_30,true
P2PLAN_381ab2b134432562,P2_fa603ab2af99a6aa,single_compact_loop,15,CORE_0600_2200,960,IDEALISED_5_DAY_52_WEEK,260,94183.852206,1,0.065917856243,0.155349483895,0.204006783968,0.0,0.000465712767,0.009189912991,0.0,81,0.9894736842105263,0.9947368421052631,0.9894736842105263,2,1,1,27,0.3333333333333333,13.294071052390711,15.904083692699585,17.071701233049584,3,27,17.800091613546666,2,1,1,1,0.0,true,3,"[""097010"",""097074"",""097092""]",false,false,false,false,false,false,false,ROBUST_PASSENGER_UNRESTRICTED;ROBUST_PASSENGER_FREQUENT_30,true
P2PLAN_38812b11699fdff6,P2_a7143f626fa3e4c8,single_compact_loop,15,S8_EXTENDED_0530_2400,1110,IDEALISED_5_DAY_52_WEEK,260,95070.097253,1,0.095430465648,0.217128947577,0.253311237537,0.0,0.0,0.0,221.0,81,0.9817351598173516,0.9908256880733946,0.9817351598173516,4,2,1,0,0.0,12.80201230134221,15.00354567171278,16.504713458571654,2,0,17.98467961844,2,2,1,1,0.0,true,3,"[""097010"",""097074"",""097092""]",false,false,false,false,false,false,false,ROBUST_PASSENGER_UNRESTRICTED;ROBUST_PASSENGER_FREQUENT_30,true
P2PLAN_38db537018dc5c6e,P2_52efec20a7f89f42,single_compact_loop,60,S8_EXTENDED_0530_2400,1110,IDEALISED_5_DAY_52_WEEK,260,106814.336619,1,0.133995379885,0.281984688831,0.346469132191,0.007278943943,0.032939579786,0.045773761307,1055.0,81,0.981651376146789,0.9908256880733946,0.981651376146789,2,1,1,23,0.2839506172839506,22.516846158063867,26.310549913918937,28.310549913918937,2,18,15.212887266736667,1,3,1,1,0.0,true,3,"[""097010"",""097058"",""097092""]",false,false,false,false,false,false,false,ROBUST_PASSENGER_UNRESTRICTED,true
P2PLAN_394fa5ef462feff0,P2_cdb4110b6828b0d2,single_compact_loop,30,S8_EXTENDED_0530_2400,1110,IDEALISED_6_DAY_52_WEEK,312,110455.583005,1,0.077946993066,0.176712697266,0.228335808863,0.0,0.000465712767,0.009189912991,221.0,81,0.9727891156462585,0.9930555555555556,0.9862068965517241,4,1,1,0,0.0,17.064309461981615,19.566868132281613,20.569426802581614,2,0,15.451379293736666,2,1,2,2,0.0,true,3,"[""097010"",""097074"",""097092""]",false,false,false,false,false,false,false,ROBUST_PASSENGER_UNRESTRICTED;ROBUST_PASSENGER_FREQUENT_30,true
