service_identity_id,representative_plan_id,plan_alias_count,scenario_alias_count,topology_family_alias_count,topology_families_json,plan_ids_json,scenario_ids_json,route_phases_json,uniform_headway_min,span_id,calendar_id,robust_frontier_classes,span_minutes,annual_service_days,exact_annual_bus_km,public_route_count,public_population_coverage_share_5min,public_population_coverage_share_8min,public_population_coverage_share_10min,public_worst_municipality_coverage_share_5min,public_worst_municipality_coverage_share_8min,public_worst_municipality_coverage_share_10min,public_structurally_addressable_worker_od_mass_upper_bound,stress_min_connection_match_share,stress_median_connection_match_share,stress_max_unmatched_connection_event_count,stress_max_incomplete_route_count,stress_worst_route_weighted_mean_gap_min,stress_max_fleet_recovery15,public_explicit_existing_stop_count,public_explicit_proposed_stop_count,public_explicit_field_check_pending_count,operational_identity_metrics_invariant,family_label_used_to_select_representative,primary_selected,runner_up_selected
P2SERVICE_973b647a288344fa,P2PLAN_606b9eca4fcbfa48,2,2,2,"[""blank_slate"",""single_compact_loop""]","[""P2PLAN_606b9eca4fcbfa48"",""P2PLAN_c8c64e58a9cfb182""]","[""P2_0dad7306b7f24317"",""P2_b2b84af723f36722""]","[[""R2_39bacbd50eec4c1b1e98"",0]]",20,S8_EXTENDED_0530_2400,IDEALISED_6_DAY_52_WEEK,ROBUST_PASSENGER_UNRESTRICTED;ROBUST_PASSENGER_FREQUENT_30,1110,312,109859.74984,1,0.07279992348,0.178639244681,0.216419586923,0.0,0.0,0.0,356.0,0.9836065573770492,0.989010989010989,3,1,16.654687819672404,2,2,0,0,true,false,false,false
P2SERVICE_983087b6e0f8cc25,P2PLAN_2c6232f76cdca4fe,2,2,2,"[""blank_slate"",""single_compact_loop""]","[""P2PLAN_2c6232f76cdca4fe"",""P2PLAN_dd679715e3e1dd19""]","[""P2_a7143f626fa3e4c8"",""P2_e81f744c00a077cf""]","[[""R2_89ad250d7fb28bc4d750"",10]]",20,S8_EXTENDED_0530_2400,IDEALISED_DAILY_YEAR,ROBUST_PASSENGER_UNRESTRICTED;ROBUST_PASSENGER_FREQUENT_30,1110,365,100999.625148,1,0.095430465648,0.217128947577,0.253311237537,0.0,0.0,0.0,221.0,0.972972972972973,0.9945054945054945,5,1,16.788460717705746,2,2,1,1,true,false,false,false
P2SERVICE_984d8f34da05efe0,P2PLAN_6e7f671f23048ba3,2,2,2,"[""blank_slate"",""single_compact_loop""]","[""P2PLAN_6e7f671f23048ba3"",""P2PLAN_c74ede293762afe4""]","[""P2_809c8de22802b017"",""P2_b61ce8c56cf408f8""]","[[""R2_1701c710edcd53eee167"",37]]",60,S8_EXTENDED_0530_2400,IDEALISED_6_DAY_52_WEEK,ROBUST_PASSENGER_UNRESTRICTED,1110,312,106849.421594,1,0.109281682059,0.243128782179,0.324805241097,0.041666923347,0.16160921696,0.22184050544,567.0,0.9908256880733946,0.9908256880733946,1,1,31.80596743846894,1,3,1,1,true,false,false,false
P2SERVICE_98bfdafadd6e4920,P2PLAN_598b9f8331405b3d,2,2,2,"[""hybrid_interlined"",""two_radial_out_and_back_feeders""]","[""P2PLAN_598b9f8331405b3d"",""P2PLAN_e57f3204d770b11c""]","[""P2_25a64830e5a70b2d"",""P2_2ad990d0f4719858""]","[[""R2_691d5061a0170b543a1b"",0],[""R2_b622c0c9482a8b5ac700"",12]]",20,S8_EXTENDED_0530_2400,IDEALISED_5_DAY_52_WEEK,ROBUST_PASSENGER_UNRESTRICTED;ROBUST_PASSENGER_FREQUENT_30,1110,260,110516.163953,2,0.06956360805,0.158096537257,0.204207321376,0.0,0.000465712767,0.013951238382,90.0,0.9836065573770492,0.9917582417582418,6,2,16.25924182164433,3,1,1,1,true,false,false,false
P2SERVICE_9a39b1ce88769ce6,P2PLAN_3f292cde48930271,2,2,2,"[""blank_slate"",""single_compact_loop""]","[""P2PLAN_3f292cde48930271"",""P2PLAN_655102ad1ba09ed2""]","[""P2_bc2ca552c84b42c9"",""P2_d3a8f22f24eccaaa""]","[[""R2_ce283b4cd4b20a5821a0"",12]]",15,S8_EXTENDED_0530_2400,IDEALISED_6_DAY_52_WEEK,ROBUST_PASSENGER_UNRESTRICTED;ROBUST_PASSENGER_FREQUENT_30,1110,312,104243.940431,1,0.063693868975,0.140955820367,0.17857677038,0.0,0.0,0.0,643.0,0.9817351598173516,0.9908256880733946,4,1,16.79116075896278,2,1,1,1,true,false,false,false
P2SERVICE_9ac24bdb2ac93864,P2PLAN_0aac7503dc88e8d1,2,2,2,"[""blank_slate"",""single_compact_loop""]","[""P2PLAN_0aac7503dc88e8d1"",""P2PLAN_320e4927ec6c7851""]","[""P2_32209b4bbc62cfb6"",""P2_f0a0176cad91088e""]","[[""R2_837c3ae88923898ea40c"",25]]",30,CORE_0600_2200,IDEALISED_5_DAY_52_WEEK,ROBUST_PASSENGER_UNRESTRICTED;ROBUST_PASSENGER_FREQUENT_30,960,260,111003.362047,1,0.095674794311,0.223651318187,0.314206133096,0.0,5.0341214e-05,5.0341214e-05,733.0,0.9920634920634921,0.9920634920634921,1,1,24.64200558596387,2,3,1,1,true,false,false,false
P2SERVICE_9b424c4cc2355f00,P2PLAN_419e6fd66e5554c2,2,2,2,"[""blank_slate"",""single_compact_loop""]","[""P2PLAN_419e6fd66e5554c2"",""P2PLAN_c3c052e0bd8e2356""]","[""P2_49faf41dbb619aa0"",""P2_6d191d545b91e100""]","[[""R2_5be11ea0fd5246053759"",13]]",20,CORE_0600_2200,IDEALISED_5_DAY_52_WEEK,ROBUST_PASSENGER_UNRESTRICTED;ROBUST_PASSENGER_FREQUENT_30,960,260,103801.37221,1,0.052721762669,0.137326479142,0.188415932881,0.0,0.006505370732,0.009189912991,139.0,0.9936708860759493,0.9936708860759493,1,1,16.626576251291834,2,2,0,0,true,false,false,false
P2SERVICE_9bee006fac6d0fa9,P2PLAN_cec7e02e6d491ee5,2,2,2,"[""blank_slate"",""single_compact_loop""]","[""P2PLAN_cec7e02e6d491ee5"",""P2PLAN_db4a7b20e7221a3d""]","[""P2_53fd2d4d99e137fc"",""P2_fa603ab2af99a6aa""]","[[""R2_fc3196ae85a4ca6d0ece"",7]]",15,S8_EXTENDED_0530_2400,IDEALISED_5_DAY_52_WEEK,ROBUST_PASSENGER_UNRESTRICTED;ROBUST_PASSENGER_FREQUENT_30,1110,260,108900.079113,1,0.065917856243,0.155349483895,0.204006783968,0.0,0.000465712767,0.009189912991,0.0,0.9817351598173516,0.9908256880733946,4,1,17.037241927221654,3,1,1,1,true,false,false,false
P2SERVICE_9f2da04444e2b35c,P2PLAN_296e01dca19e5860,2,2,2,"[""hybrid_interlined"",""two_radial_out_and_back_feeders""]","[""P2PLAN_296e01dca19e5860"",""P2PLAN_bf6a3e49ad7a55bf""]","[""P2_4dc90710cb9ea40a"",""P2_83df62ba410ac17c""]","[[""R2_40023c3a09f861e4df2b"",7],[""R2_89faf7404f5ba6502188"",12]]",15,CORE_0600_2200,IDEALISED_5_DAY_52_WEEK,ROBUST_PASSENGER_UNRESTRICTED;ROBUST_PASSENGER_FREQUENT_30,960,260,94807.194527,2,0.05483752116,0.153529561677,0.208416350158,0.0,0.0,0.000465712767,0.0,0.9921465968586387,0.9973821989528796,3,2,17.12756823766387,4,1,1,1,true,false,false,false
P2SERVICE_9fcf338149062512,P2PLAN_07b3709044a1562c,2,2,2,"[""blank_slate"",""single_compact_loop""]","[""P2PLAN_07b3709044a1562c"",""P2PLAN_5beac0d5af2a56cd""]","[""P2_409affbfe1de6e1b"",""P2_5d984357c1aadfda""]","[[""R2_94ab087b34b6933ffe06"",10]]",30,S8_EXTENDED_0530_2400,IDEALISED_5_DAY_52_WEEK,ROBUST_PASSENGER_UNRESTRICTED;ROBUST_PASSENGER_FREQUENT_30,1110,260,108006.144471,1,0.080372653546,0.185898617437,0.248125028858,0.0,0.006505370732,0.009189912991,490.0,0.9727891156462585,0.9930555555555556,4,1,20.553082156831614,2,3,0,0,true,false,false,false
P2SERVICE_a011b15def66e0ea,P2PLAN_6dbe7616bb3e9151,2,2,2,"[""blank_slate"",""single_compact_loop""]","[""P2PLAN_6dbe7616bb3e9151"",""P2PLAN_e64d15799e9c2cf0""]","[""P2_3058c75ede542cb2"",""P2_46d3fc0e6b13df71""]","[[""R2_6430b8f6d93aae646d8f"",10]]",20,CORE_0600_2200,IDEALISED_DAILY_YEAR,ROBUST_PASSENGER_UNRESTRICTED;ROBUST_PASSENGER_FREQUENT_30,960,365,107836.15449,1,0.077922907049,0.197092455187,0.253408341817,0.0,0.0,0.0,221.0,0.9873417721518988,0.9936708860759493,2,1,16.510214562641835,2,2,0,0,true,false,false,false
P2SERVICE_a2356e1a2e756b24,P2PLAN_1144a000d71a698c,2,2,2,"[""blank_slate"",""single_compact_loop""]","[""P2PLAN_1144a000d71a698c"",""P2PLAN_bd1852961d4918f4""]","[""P2_3e56c372e7f43809"",""P2_641d4fe299252481""]","[[""R2_971118d529a04cc19ad6"",37]]",60,S8_EXTENDED_0530_2400,IDEALISED_DAILY_YEAR,ROBUST_PASSENGER_UNRESTRICTED,1110,365,103268.025512,1,0.09100749487,0.209522455427,0.263457146566,0.0,0.0,0.0,956.0,0.9908256880733946,0.9908256880733946,1,1,31.893820243668937,1,1,3,3,true,false,false,false
P2SERVICE_a44538b3eff791cd,P2PLAN_49898974e64b1835,2,2,2,"[""hybrid_interlined"",""two_radial_out_and_back_feeders""]","[""P2PLAN_49898974e64b1835"",""P2PLAN_8cd30aa0df5357d2""]","[""P2_4dc90710cb9ea40a"",""P2_83df62ba410ac17c""]","[[""R2_40023c3a09f861e4df2b"",7],[""R2_89faf7404f5ba6502188"",7]]",30,S8_EXTENDED_0530_2400,IDEALISED_DAILY_YEAR,ROBUST_PASSENGER_UNRESTRICTED;ROBUST_PASSENGER_FREQUENT_30,1110,365,76945.382337,2,0.05483752116,0.153529561677,0.208416350158,0.0,0.0,0.000465712767,0.0,0.9863945578231292,0.9863945578231292,4,2,21.86113664426387,2,1,1,1,true,false,false,false
