seed_id,seed_label,area_id,area_name,area_municipality,selected_physical_cluster_id,selected_source_anchor_id,selected_routing_anchor_id,selected_graph_node_id,selected_human_label,selected_option_municipality,name_match_strength,name_match_kind,distance_to_area_anchor_m_geodesic,official_routes_reference_gtfs,selection_semantics,automatic_network_recommendation
EAST_BASE,Corridoio est di verifica,AREA_CALCO_CENTRO,Calco centro,Calco,EX_007,existing:EX_007,existing:EX_007,n:532282.82:5063572.95,Calco - via virgilio,Calco,2,CONTAINMENT,74.7,D185,EXISTING_OFFICIAL_ROUTE_READY_SAME_MUNICIPALITY_THEN_NAME_MATCH_THEN_PROXIMITY_SEED_HEURISTIC,false
EAST_BASE,Corridoio est di verifica,AREA_ARLATE,Arlate,Calco,EX_015,existing:EX_015,existing:EX_015,n:534549.56:5063427.02,Calco - arlate - (provinciale),Calco,2,CONTAINMENT,278.0,D150|D170,EXISTING_OFFICIAL_ROUTE_READY_SAME_MUNICIPALITY_THEN_NAME_MATCH_THEN_PROXIMITY_SEED_HEURISTIC,false
EAST_BASE,Corridoio est di verifica,AREA_BEVERATE,Beverate,Brivio,EX_008,existing:EX_008,existing:EX_008,n:533312.71:5064950.82,Brivio - beverate (paese),Brivio,2,CONTAINMENT,102.1,D150|D185,EXISTING_OFFICIAL_ROUTE_READY_SAME_MUNICIPALITY_THEN_NAME_MATCH_THEN_PROXIMITY_SEED_HEURISTIC,false
EAST_BASE,Corridoio est di verifica,AREA_BRIVIO_CENTRO,Brivio centro,Brivio,EX_002,existing:EX_002,existing:EX_002,n:534678.16:5065404.73,Brivio - capolinea,Brivio,2,CONTAINMENT,140.1,D150|D185,EXISTING_OFFICIAL_ROUTE_READY_SAME_MUNICIPALITY_THEN_NAME_MATCH_THEN_PROXIMITY_SEED_HEURISTIC,false
WEST_BASE,Corridoio ovest di verifica,AREA_MONTICELLO,Monticello / Scarpone,Olgiate Molgora,EX_023,existing:EX_023,existing:EX_023,n:530369.50:5064267.88,Olgiate Molgora - monticello scarpone,Olgiate Molgora,2,CONTAINMENT,0.0,D184,EXISTING_OFFICIAL_ROUTE_READY_SAME_MUNICIPALITY_THEN_NAME_MATCH_THEN_PROXIMITY_SEED_HEURISTIC,false
WEST_BASE,Corridoio ovest di verifica,AREA_PEREGO,Perego,La Valletta Brianza,EX_027,existing:EX_027,existing:EX_027,n:528193.74:5065060.08,Perego - s.s. 342/via s.caterina,La Valletta Brianza,2,CONTAINMENT,261.3,D184,EXISTING_OFFICIAL_ROUTE_READY_SAME_MUNICIPALITY_THEN_NAME_MATCH_THEN_PROXIMITY_SEED_HEURISTIC,false
WEST_BASE,Corridoio ovest di verifica,AREA_ROVAGNATE,Rovagnate,La Valletta Brianza,EX_029,existing:EX_029,existing:EX_029,n:528732.80:5064951.92,Rovagnate - semaforo,La Valletta Brianza,2,CONTAINMENT,157.6,D184,EXISTING_OFFICIAL_ROUTE_READY_SAME_MUNICIPALITY_THEN_NAME_MATCH_THEN_PROXIMITY_SEED_HEURISTIC,false
WEST_BASE,Corridoio ovest di verifica,AREA_SMHOE,Santa Maria Hoè,Santa Maria Hoè,EX_028,existing:EX_028,existing:EX_028,n:528608.79:5066182.66,Hoe',Santa Maria HoÃ¨,2,CONTAINMENT,716.8,D184,EXISTING_OFFICIAL_ROUTE_READY_SAME_MUNICIPALITY_THEN_NAME_MATCH_THEN_PROXIMITY_SEED_HEURISTIC,false
