seed_id,service_area_waypoint_order,routing_anchor_order,structural_nonhub_waypoint_count,passenger_stop_occurrence_count_including_closing_hub,comparable_stop_position_count_excluding_closing_hub,unique_nonhub_passenger_stop_count,total_distance_km,running_min_without_added_stop_dwell,intermediate_hub_reentry_count,intermediate_hub_path_positions,median_consecutive_stop_geodesic_m,p90_consecutive_stop_geodesic_m,max_consecutive_stop_geodesic_m,municipalities_with_explicit_passenger_stop,ordering_semantics,interpolation_semantics,seed_is_network_recommendation,below_current_trip_weighted_median_stop_count,p90_gap_above_current_trip_weighted_p90,benchmark_semantics
EAST_BASE,AREA_BEVERATE|AREA_BRIVIO_CENTRO|AREA_ARLATE|AREA_CALCO_CENTRO,rail:S01514|existing:EX_008|existing:EX_002|existing:EX_015|existing:EX_007|rail:S01514,4,13,12,8,12.562023924,25.136650748,0,,589.627,1933.737,2258.257,Brivio|Calco|Olgiate Molgora,MIN_FROZEN_GRAPH_RUNNING_TIME_WITHIN_HUMAN_DEFINED_SERVICE_AREA_SET_NOT_NETWORK_RANKING,EXISTING_OFFICIAL_STOPS_ON_EXACT_FROZEN_GRAPH_PATH_NODE_ONLY,false,true,true,DESCRIPTIVE_ANOMALY_FLAGS_ONLY_NOT_REJECTION_THRESHOLDS
WEST_BASE,AREA_MONTICELLO|AREA_SMHOE|AREA_ROVAGNATE|AREA_PEREGO,rail:S01514|existing:EX_023|existing:EX_028|existing:EX_029|existing:EX_027|rail:S01514,4,20,19,11,11.050995856,19.835010336,0,,621.038,842.760,1124.455,La Valletta Brianza|Olgiate Molgora|Santa Maria Hoè,MIN_FROZEN_GRAPH_RUNNING_TIME_WITHIN_HUMAN_DEFINED_SERVICE_AREA_SET_NOT_NETWORK_RANKING,EXISTING_OFFICIAL_STOPS_ON_EXACT_FROZEN_GRAPH_PATH_NODE_ONLY,false,false,false,DESCRIPTIVE_ANOMALY_FLAGS_ONLY_NOT_REJECTION_THRESHOLDS
