route_short_name,distinct_pattern_count,represented_trip_count,min_pattern_stop_count,median_pattern_stop_count_unweighted,max_pattern_stop_count,median_segment_geodesic_m_unweighted,p75_segment_geodesic_m_unweighted,p90_segment_geodesic_m_unweighted,max_segment_geodesic_m_unweighted,median_segment_geodesic_m_trip_weighted,p90_segment_geodesic_m_trip_weighted
D184,8,15,2,8.000,13,646.640,862.592,1231.041,2096.273,646.640,1240.856
D185,10,27,3,10.000,18,466.447,669.433,852.486,1846.359,508.366,846.945
