comune,pop_calibrated,istat_ufficiale,scostamento
Brivio,4357.05,4357,0.0500000000001819
Calco,5460.04,5460,0.03999999999996362
La Valletta Brianza,4656.1,4656,0.1000000000003638
Olgiate Molgora,6331.96,6332,-0.03999999999996362
Santa Maria Hoè,2109.06,2109,0.05999999999994543
