budget_suffix,equivalence_group_id,input_plan_count,survivor_plan_count,tie_break_invoked,reduced,exact_tie_after_supported_tiebreak,continuity_tie_break_applied
m10pct,ZB2_14578887d96d7726,2,2,true,false,true,false
m10pct,ZB2_14700a0e65dd50a3,2,2,true,false,true,false
m10pct,ZB2_14b72d50216e8a2b,2,2,true,false,true,false
m10pct,ZB2_14f93d44c2dcc512,2,2,true,false,true,false
m10pct,ZB2_1511678e445cf4f1,2,2,true,false,true,false
m10pct,ZB2_153898953d0b1641,2,2,true,false,true,false
m10pct,ZB2_156fd0de9617d93b,2,2,true,false,true,false
m10pct,ZB2_15827137afc1c0ac,2,2,true,false,true,false
m10pct,ZB2_15b19739678d9d8d,2,2,true,false,true,false
m10pct,ZB2_15c93963267ed330,2,2,true,false,true,false
m10pct,ZB2_164e06179f11de6f,2,2,true,false,true,false
m10pct,ZB2_16980f62823c118c,2,2,true,false,true,false
m10pct,ZB2_16aa43751cec213d,2,2,true,false,true,false
m10pct,ZB2_16d449eaa0938c85,2,2,true,false,true,false
m10pct,ZB2_16db16d024eea518,2,2,true,false,true,false
m10pct,ZB2_1709bd4153e585d8,2,2,true,false,true,false
m10pct,ZB2_170b8445310663f8,2,2,true,false,true,false
m10pct,ZB2_17a9a05fbf68c707,2,2,true,false,true,false
m10pct,ZB2_17aabaa5594464c2,2,2,true,false,true,false
m10pct,ZB2_17d9f5edb44a8eac,2,2,true,false,true,false
m10pct,ZB2_1805bc6b2354eaa5,2,2,true,false,true,false
m10pct,ZB2_183e8b168797b09a,2,2,true,false,true,false
m10pct,ZB2_186deabab5ebf8ac,2,2,true,false,true,false
m10pct,ZB2_18bc8b0fe03caaa2,2,2,true,false,true,false
m10pct,ZB2_1902c187b1a1d770,2,2,true,false,true,false
m10pct,ZB2_194957f12922e363,2,2,true,false,true,false
m10pct,ZB2_1950fce9c2022284,2,2,true,false,true,false
m10pct,ZB2_19914ae60522c4e7,2,2,true,false,true,false
m10pct,ZB2_19a4c9c2725a7c64,2,2,true,false,true,false
m10pct,ZB2_19b85c33ee1a8ed8,2,2,true,false,true,false
m10pct,ZB2_19ba59f8becab37e,2,2,true,false,true,false
m10pct,ZB2_19e8fda5c77bb4e2,2,2,true,false,true,false
m10pct,ZB2_1a16d76c0224609b,2,2,true,false,true,false
m10pct,ZB2_1aaac7e78aaa3095,2,2,true,false,true,false
m10pct,ZB2_1ad11f0ecf21b164,2,2,true,false,true,false
m10pct,ZB2_1b23ed3268cab3dd,2,2,true,false,true,false
m10pct,ZB2_1b2e6c7a5b763593,2,2,true,false,true,false
m10pct,ZB2_1b57b21dc32618e6,2,2,true,false,true,false
m10pct,ZB2_1b85e55b7425bfbf,2,2,true,false,true,false
m10pct,ZB2_1ba240808f2ccdd2,2,2,true,false,true,false
m10pct,ZB2_1bd34d95638111b3,2,2,true,false,true,false
m10pct,ZB2_1c3113da91a5d202,2,2,true,false,true,false
m10pct,ZB2_1c97337384185888,2,2,true,false,true,false
m10pct,ZB2_1d04d07776292226,2,2,true,false,true,false
m10pct,ZB2_1d51782737386ed6,2,2,true,false,true,false
m10pct,ZB2_1d791adfde303c73,2,2,true,false,true,false
m10pct,ZB2_1d812a6d8c8dce00,2,2,true,false,true,false
m10pct,ZB2_1d9e4a32636fd3ea,2,2,true,false,true,false
m10pct,ZB2_1de5a2bf40c0a3ae,2,2,true,false,true,false
m10pct,ZB2_1e514fb10771d398,2,2,true,false,true,false
m10pct,ZB2_1ed7ebb541239deb,2,2,true,false,true,false
m10pct,ZB2_1eefa4574598bdc4,2,2,true,false,true,false
m10pct,ZB2_1f182fcaa18fc27e,2,2,true,false,true,false
m10pct,ZB2_1f8c37e2e065987a,2,2,true,false,true,false
m10pct,ZB2_1fd5d5ac7eafb901,2,2,true,false,true,false
m10pct,ZB2_1ffec858269aa3b5,2,2,true,false,true,false
m10pct,ZB2_20442c87f4736ca3,2,2,true,false,true,false
m10pct,ZB2_20a3600178d7058f,2,2,true,false,true,false
m10pct,ZB2_20e612f94c3ca7b2,2,2,true,false,true,false
m10pct,ZB2_212fbbf304418c9d,2,2,true,false,true,false
m10pct,ZB2_216946ebd5ee20b2,2,2,true,false,true,false
m10pct,ZB2_2191138170b75bfd,2,2,true,false,true,false
m10pct,ZB2_22196f609b0e24d9,2,2,true,false,true,false
m10pct,ZB2_22556d66c6b9c806,2,2,true,false,true,false
m10pct,ZB2_2256c56724bb0627,2,2,true,false,true,false
m10pct,ZB2_22dbc355308cbf75,2,2,true,false,true,false
m10pct,ZB2_22f173c26f2c020f,2,2,true,false,true,false
m10pct,ZB2_2318b5d6b143f828,2,2,true,false,true,false
m10pct,ZB2_231c2928de91e53b,1,1,false,false,false,false
m10pct,ZB2_2339f2f4756c70a8,2,2,true,false,true,false
m10pct,ZB2_233b8febb9401954,2,2,true,false,true,false
m10pct,ZB2_236099265c3f1380,2,2,true,false,true,false
m10pct,ZB2_2370d92cf0d884c4,2,2,true,false,true,false
m10pct,ZB2_23f2cf28c5373539,2,2,true,false,true,false
m10pct,ZB2_244845e78f9f54d4,2,2,true,false,true,false
m10pct,ZB2_24ca184f5e38d94c,2,2,true,false,true,false
m10pct,ZB2_24f2d20f408f1df7,2,2,true,false,true,false
m10pct,ZB2_25041d714e11689f,2,2,true,false,true,false
m10pct,ZB2_2515d30b90c37cc4,2,2,true,false,true,false
m10pct,ZB2_252ab6f8bdef8b9d,2,2,true,false,true,false
m10pct,ZB2_253797e026d31d84,2,2,true,false,true,false
m10pct,ZB2_25829079e8ee5ec3,2,2,true,false,true,false
m10pct,ZB2_25ccaa56aaf85f71,2,2,true,false,true,false
m10pct,ZB2_268ad96df09b764d,2,2,true,false,true,false
m10pct,ZB2_268d7f55a159c6ee,2,2,true,false,true,false
m10pct,ZB2_26b54d3f1602400e,2,2,true,false,true,false
m10pct,ZB2_2748cb0d39789f9a,2,2,true,false,true,false
m10pct,ZB2_274f5866d5106421,2,2,true,false,true,false
m10pct,ZB2_28b159d399652cfe,2,2,true,false,true,false
m10pct,ZB2_29e0b4438a97ed2e,2,2,true,false,true,false
m10pct,ZB2_2a39315c1e8e28c6,2,2,true,false,true,false
m10pct,ZB2_2a411b4b54a8abf2,2,2,true,false,true,false
m10pct,ZB2_2a61a67b458acc42,2,2,true,false,true,false
m10pct,ZB2_2ae41abbd5f7559c,2,2,true,false,true,false
m10pct,ZB2_2aef1cd4ab6c49fd,2,2,true,false,true,false
m10pct,ZB2_2b12cb0ad28fe428,2,2,true,false,true,false
m10pct,ZB2_2b35634e11740313,2,2,true,false,true,false
m10pct,ZB2_2b51f5a0eee2658c,2,2,true,false,true,false
m10pct,ZB2_2b95f10d9416cae9,2,2,true,false,true,false
m10pct,ZB2_2bab091d53d25095,2,2,true,false,true,false
m10pct,ZB2_2bf805bb52900748,2,2,true,false,true,false
m10pct,ZB2_2c542809c21e8b47,2,2,true,false,true,false
m10pct,ZB2_2c579e224a6877fd,2,2,true,false,true,false
m10pct,ZB2_2cba5d55f071db32,2,2,true,false,true,false
m10pct,ZB2_2d10607dd903eb4a,2,2,true,false,true,false
m10pct,ZB2_2d2e000d60ac5ec0,2,2,true,false,true,false
m10pct,ZB2_2d5ee275d3291c4b,2,2,true,false,true,false
m10pct,ZB2_2d647297d30f61b0,2,2,true,false,true,false
m10pct,ZB2_2d9e635bd1f42f7d,2,2,true,false,true,false
m10pct,ZB2_2e0d150c2bbfcb06,2,2,true,false,true,false
m10pct,ZB2_2e0dacc2528a6e21,2,2,true,false,true,false
m10pct,ZB2_2e32ee3c89d1e4c1,2,2,true,false,true,false
m10pct,ZB2_2e6042994da5a40d,2,2,true,false,true,false
m10pct,ZB2_2e69c9600eebb806,2,2,true,false,true,false
m10pct,ZB2_2ed66df443f1d04a,2,2,true,false,true,false
m10pct,ZB2_2edaa052c9dd69f5,2,2,true,false,true,false
m10pct,ZB2_2f083916e80b8974,2,2,true,false,true,false
m10pct,ZB2_2f8595e007d62297,2,2,true,false,true,false
m10pct,ZB2_30607bd5e5d260ce,2,2,true,false,true,false
m10pct,ZB2_31389b9aaab59336,2,2,true,false,true,false
m10pct,ZB2_313c92986c347a3f,2,2,true,false,true,false
m10pct,ZB2_316c075cdd1d7717,2,2,true,false,true,false
m10pct,ZB2_3264c740c8fe0ceb,2,2,true,false,true,false
m10pct,ZB2_327fc07237c3f19a,2,2,true,false,true,false
m10pct,ZB2_32ad6bc36ddfd37e,2,2,true,false,true,false
m10pct,ZB2_32bf28c17b80c240,2,2,true,false,true,false
m10pct,ZB2_3325b0b7921d4930,2,2,true,false,true,false
m10pct,ZB2_332ad037959c99c5,2,2,true,false,true,false
m10pct,ZB2_3330b1965b84d8d4,2,2,true,false,true,false
m10pct,ZB2_3338e936bef0632b,2,2,true,false,true,false
m10pct,ZB2_335705f1f07dd5b4,2,2,true,false,true,false
m10pct,ZB2_33a94b6fe71fee79,2,2,true,false,true,false
m10pct,ZB2_33d872b85ec595b1,2,2,true,false,true,false
m10pct,ZB2_342f5200621b5c89,2,2,true,false,true,false
m10pct,ZB2_3477315705592a45,2,2,true,false,true,false
m10pct,ZB2_34c65b8e0ec500c7,2,2,true,false,true,false
m10pct,ZB2_34dc0f50e8eb441e,2,2,true,false,true,false
m10pct,ZB2_34de4bcec4da1b37,2,2,true,false,true,false
m10pct,ZB2_3502d3f00549b2f2,2,2,true,false,true,false
m10pct,ZB2_3523b5efd3b41ae2,2,2,true,false,true,false
m10pct,ZB2_3545ec29aa685df3,2,2,true,false,true,false
m10pct,ZB2_3561dfee36cf6478,1,1,false,false,false,false
m10pct,ZB2_3584e35c1189f0e1,2,2,true,false,true,false
m10pct,ZB2_35be5149e671ad7d,2,2,true,false,true,false
m10pct,ZB2_361b2c568cfad297,2,2,true,false,true,false
m10pct,ZB2_361ddb52d5dd0cbe,2,2,true,false,true,false
m10pct,ZB2_361eb22709c4d908,2,2,true,false,true,false
m10pct,ZB2_36349bf8e0c678aa,2,2,true,false,true,false
m10pct,ZB2_36c9eb7c8d3fabc5,2,2,true,false,true,false
m10pct,ZB2_36e6cc995668543b,2,2,true,false,true,false
m10pct,ZB2_36f1719eac073f7a,2,2,true,false,true,false
m10pct,ZB2_3702c1f929434d4c,2,2,true,false,true,false
m10pct,ZB2_3720c56764dcc0f6,2,2,true,false,true,false
m10pct,ZB2_37508f82741c78b2,2,2,true,false,true,false
m10pct,ZB2_3756ca479e47f470,2,2,true,false,true,false
m10pct,ZB2_378e791801b43b6c,2,2,true,false,true,false
m10pct,ZB2_381a2381be47a46a,2,2,true,false,true,false
m10pct,ZB2_384088615f034164,2,2,true,false,true,false
m10pct,ZB2_3885576c563bdc0e,2,2,true,false,true,false
m10pct,ZB2_389756278a9febb3,2,2,true,false,true,false
m10pct,ZB2_389b326b8aecd46f,2,2,true,false,true,false
m10pct,ZB2_389cb1e58e5bae86,2,2,true,false,true,false
m10pct,ZB2_391a9b15da093d24,2,2,true,false,true,false
m10pct,ZB2_3958d8cdaa2f78d0,2,2,true,false,true,false
m10pct,ZB2_39f20a96d27549a3,2,2,true,false,true,false
m10pct,ZB2_3a086fbfeeea3e81,2,2,true,false,true,false
m10pct,ZB2_3a40d69fbf5f0458,2,2,true,false,true,false
m10pct,ZB2_3acdccb1fc6313d1,2,2,true,false,true,false
m10pct,ZB2_3ae5d907a2afec7e,2,2,true,false,true,false
m10pct,ZB2_3af0ee37a6d770a6,2,2,true,false,true,false
m10pct,ZB2_3b1eebcb2ac92562,2,2,true,false,true,false
m10pct,ZB2_3b5985428982153e,2,2,true,false,true,false
m10pct,ZB2_3bc24eed91c193f3,2,2,true,false,true,false
m10pct,ZB2_3c1fdf2f57c2ba42,2,2,true,false,true,false
m10pct,ZB2_3c4ade708e2afdc2,2,2,true,false,true,false
m10pct,ZB2_3c6a0d5d9bed41f3,2,2,true,false,true,false
m10pct,ZB2_3d29ebf77c2b305c,2,2,true,false,true,false
m10pct,ZB2_3d44bf55d48b8d17,2,2,true,false,true,false
m10pct,ZB2_3dde5cf85ce73303,2,2,true,false,true,false
m10pct,ZB2_3de5b2c991fe9e32,2,2,true,false,true,false
m10pct,ZB2_3e0362a3f643bc1e,2,2,true,false,true,false
m10pct,ZB2_3e7b8f28a1912183,2,2,true,false,true,false
m10pct,ZB2_3e7d2b812f68dd0a,2,2,true,false,true,false
m10pct,ZB2_3e8c93e6a76652dd,2,2,true,false,true,false
m10pct,ZB2_3ec6b841b9fc0347,2,2,true,false,true,false
m10pct,ZB2_3f3679db3e8844b4,2,2,true,false,true,false
m10pct,ZB2_3f40a177afad54c6,2,2,true,false,true,false
m10pct,ZB2_3f9ba779e76f9b72,2,2,true,false,true,false
m10pct,ZB2_3fad4885da8abdad,2,2,true,false,true,false
m10pct,ZB2_3fcc97315ea5fc40,2,2,true,false,true,false
m10pct,ZB2_3fda95e8e8845b2e,2,2,true,false,true,false
m10pct,ZB2_40afa7428765bff9,2,2,true,false,true,false
m10pct,ZB2_40e37de72ade47c1,2,2,true,false,true,false
m10pct,ZB2_4106c85a16c95cfc,2,2,true,false,true,false
m10pct,ZB2_410926bca61f1d63,2,2,true,false,true,false
m10pct,ZB2_42025e2540435f5e,2,2,true,false,true,false
m10pct,ZB2_4203cbbfe48c5142,2,2,true,false,true,false
m10pct,ZB2_426f07c432d644fa,2,2,true,false,true,false
m10pct,ZB2_42882b52ff9bf3b8,2,2,true,false,true,false
m10pct,ZB2_429226f5bd4b7a07,2,2,true,false,true,false
m10pct,ZB2_434657bd4e51d5ac,2,2,true,false,true,false
m10pct,ZB2_43b5eb59d93c3afa,2,2,true,false,true,false
m10pct,ZB2_43d57ae1df33ecb0,2,2,true,false,true,false
m10pct,ZB2_43ff8ac93062ae58,2,2,true,false,true,false
m10pct,ZB2_445e06dccf053812,2,2,true,false,true,false
m10pct,ZB2_448c9183bd33830c,2,2,true,false,true,false
m10pct,ZB2_44905bbacc05dffa,2,2,true,false,true,false
m10pct,ZB2_44c4bc5635d616da,2,2,true,false,true,false
m10pct,ZB2_44d00f081a2375c8,2,2,true,false,true,false
m10pct,ZB2_44d89c61bd52acde,2,2,true,false,true,false
m10pct,ZB2_44f90ff216874962,2,2,true,false,true,false
m10pct,ZB2_44fab5bc59d3f751,2,2,true,false,true,false
m10pct,ZB2_459d57148e50f2d0,2,2,true,false,true,false
m10pct,ZB2_45d2a75fb225f4ea,2,2,true,false,true,false
m10pct,ZB2_4674b2431bb403ef,2,2,true,false,true,false
