budget_suffix,annual_bus_km_cap,represented_plan_context_count,distinct_selected_timetable_count,minimum_exact_annual_bus_km,maximum_exact_annual_bus_km,decision_budget_selected
m20pct,89135.200000000,2181,2181,28074.395561000,89126.237525000,false
m10pct,100277.100000000,2478,2478,28074.395561000,100271.110852000,false
reference,111419.000000000,2633,2633,28074.395561000,111391.333754000,false
p10pct,122560.900000000,2856,2856,28074.395561000,122560.422595000,false
p20pct,133702.800000000,3112,3112,28074.395561000,133698.363211000,false
p30pct,144844.700000000,3235,3235,28074.395561000,144822.633846000,false
