timing_key,rows,no_extension_feasible,non_regression_pass,eligible,eligible_unique_metric_profile_count,frontier_metric_profile_count,frontier_scenario_count,prior_frontier_scenario_count,recovered_due_to_territorial_axes_count,retained_from_prior_frontier_count,prior_frontier_displaced_after_multiblock_recompute_count,frontier_family_counts_json
H15_CORE_0600_2200,100000,6302,100000,6302,878,93,751,575,176,575,0,"{""blank_slate"": 34, ""hybrid_interlined"": 41, ""multiple_short_radials"": 11, ""scheduled_extensions"": 576, ""short_turn_overlay"": 7, ""single_compact_loop"": 34, ""trunk_plus_branches"": 7, ""two_radial_out_and_back_feeders"": 41}"
H15_S8_EXTENDED_0530_2400,100000,4463,100000,4463,516,48,610,488,122,488,0,"{""blank_slate"": 24, ""hybrid_interlined"": 10, ""multiple_short_radials"": 10, ""scheduled_extensions"": 524, ""short_turn_overlay"": 4, ""single_compact_loop"": 24, ""trunk_plus_branches"": 4, ""two_radial_out_and_back_feeders"": 10}"
H20_CORE_0600_2200,100000,11648,100000,11648,2392,175,914,649,265,649,0,"{""bidirectional_loop_pair"": 1, ""blank_slate"": 73, ""hybrid_interlined"": 76, ""multiple_short_radials"": 11, ""scheduled_extensions"": 576, ""short_turn_overlay"": 14, ""single_compact_loop"": 73, ""trunk_plus_branches"": 14, ""two_radial_out_and_back_feeders"": 76}"
H20_S8_EXTENDED_0530_2400,100000,8356,100000,8356,1478,95,755,571,184,571,0,"{""blank_slate"": 52, ""hybrid_interlined"": 19, ""multiple_short_radials"": 11, ""scheduled_extensions"": 576, ""short_turn_overlay"": 13, ""single_compact_loop"": 52, ""trunk_plus_branches"": 13, ""two_radial_out_and_back_feeders"": 19}"
H30_CORE_0600_2200,100000,26533,100000,26533,8711,365,1294,777,517,777,0,"{""bidirectional_loop_pair"": 1, ""blank_slate"": 186, ""hybrid_interlined"": 103, ""interlined_figure8"": 3, ""multiple_short_radials"": 11, ""scheduled_extensions"": 576, ""short_turn_overlay"": 61, ""single_compact_loop"": 186, ""trunk_plus_branches"": 61, ""two_independent_loops"": 3, ""two_radial_out_and_back_feeders"": 103}"
H30_S8_EXTENDED_0530_2400,100000,20290,100000,20290,5719,243,1051,715,336,715,0,"{""blank_slate"": 145, ""hybrid_interlined"": 42, ""multiple_short_radials"": 11, ""scheduled_extensions"": 576, ""short_turn_overlay"": 45, ""single_compact_loop"": 145, ""trunk_plus_branches"": 45, ""two_radial_out_and_back_feeders"": 42}"
H60_CORE_0600_2200,100000,69186,100000,69186,31328,797,2142,1003,1139,1003,0,"{""bidirectional_loop_pair"": 17, ""blank_slate"": 333, ""hybrid_interlined"": 92, ""interlined_figure8"": 176, ""multiple_short_radials"": 11, ""scheduled_extensions"": 576, ""short_turn_overlay"": 168, ""single_compact_loop"": 333, ""trunk_plus_branches"": 168, ""two_independent_loops"": 176, ""two_radial_out_and_back_feeders"": 92}"
H60_S8_EXTENDED_0530_2400,100000,59879,100000,59879,26171,699,1955,973,982,973,0,"{""bidirectional_loop_pair"": 8, ""blank_slate"": 323, ""hybrid_interlined"": 92, ""interlined_figure8"": 119, ""multiple_short_radials"": 11, ""scheduled_extensions"": 576, ""short_turn_overlay"": 146, ""single_compact_loop"": 323, ""trunk_plus_branches"": 146, ""two_independent_loops"": 119, ""two_radial_out_and_back_feeders"": 92}"
