scenario_id,topology_family,uniform_headway_min,span_id,span_start_min,span_end_min,reference_budget_feasible_no_extension_policy_count,current_lower_bound_non_regression_pass,minimum_worst_municipality_threshold_margin_vs_current_lower_bound,s8_complete_supported_route_count,s8_incomplete_supported_route_count,territorial_other_core_worker_mass_upper_bound,territorial_other_external_worker_mass_upper_bound,territorial_total_worker_mass_upper_bound_reporting_only,public_population_coverage_share_5min,public_population_coverage_share_8min,public_population_coverage_share_10min,public_worst_municipality_coverage_share_5min,public_worst_municipality_coverage_share_8min,public_worst_municipality_coverage_share_10min,public_operational_unknown_distance_share_lower_bound,public_explicit_field_check_pending_count,public_distance_km,public_runtime_min,public_route_count,equivalent_metric_scenario_count,frontier_timing_key,was_on_prior_robustness_frontier
P2_06d34f3a6ca51e39,two_radial_out_and_back_feeders,15,CORE_0600_2200,360,1320,6,True,0.0,2,0,221,0,221,0.086482799935,0.166866707206,0.213342798622,0.0,0.0,0.0,0.0,2,5.41373276,13.549636402,2,2,H15_CORE_0600_2200,false
P2_07d7e78a14c7ffc3,scheduled_extensions,15,CORE_0600_2200,360,1320,9,True,0.0,1,0,0,0,0,0.0622183843,0.131246275634,0.162320627062,0.0,0.0,0.0,0.0,1,1.54371971,4.27715696,1,53,H15_CORE_0600_2200,true
P2_082f044769851089,hybrid_interlined,15,CORE_0600_2200,360,1320,3,True,0.0,2,0,0,217,217,0.042365133666,0.118788494267,0.165639406971,0.0,0.0,0.0,0.0,1,5.951630526,14.970449882,2,2,H15_CORE_0600_2200,false
P2_08532cbbea0c4c98,scheduled_extensions,15,CORE_0600_2200,360,1320,3,True,0.0,1,0,134,0,134,0.062524413429,0.151116089019,0.207370530572,0.0,0.0,0.0,0.0,0,6.363990446,10.307573164,1,53,H15_CORE_0600_2200,true
P2_0891f8c2c0935b21,hybrid_interlined,15,CORE_0600_2200,360,1320,3,True,0.0,2,0,221,422,643,0.063693868975,0.140955820367,0.17857677038,0.0,0.0,0.0,0.0,1,6.59228491,11.604095917,2,2,H15_CORE_0600_2200,false
P2_08d5c1398f6787c1,scheduled_extensions,15,CORE_0600_2200,360,1320,9,True,0.0,1,0,221,0,221,0.0592132478,0.135967256974,0.172251107935,0.0,0.0,0.0,0.0,0,2.077214724,3.877409581,1,53,H15_CORE_0600_2200,true
P2_08d9e1776e3ab352,two_radial_out_and_back_feeders,15,CORE_0600_2200,360,1320,3,True,0.0,2,0,221,422,643,0.06526729864,0.128479095518,0.168298036294,0.0,0.0,0.0,0.0,2,6.584275351,12.298208294,2,2,H15_CORE_0600_2200,false
P2_091c3b2e9345089a,scheduled_extensions,15,CORE_0600_2200,360,1320,9,True,0.0,1,0,0,217,217,0.03218766368,0.09514565313,0.133225819867,0.0,0.0,0.0,0.0,1,4.242536281,10.372939538,1,53,H15_CORE_0600_2200,false
P2_09ec5659e432abd4,scheduled_extensions,15,CORE_0600_2200,360,1320,9,True,0.0,1,0,0,0,0,0.047393654298,0.13329934518,0.158103200323,0.0,0.0,0.0,0.0,1,1.798824735,4.556729121,1,54,H15_CORE_0600_2200,true
P2_0b8ba8f17b9f8ff5,scheduled_extensions,15,CORE_0600_2200,360,1320,9,True,0.0,1,0,0,0,0,0.047210120657,0.103830657035,0.131740402853,0.0,0.0,0.0,0.0,0,1.028054525,2.303669281,1,54,H15_CORE_0600_2200,true
P2_0be06cdce888bbd8,trunk_plus_branches,15,CORE_0600_2200,360,1320,6,True,0.0,2,0,0,0,0,0.071393604352,0.159676290905,0.174973871323,0.0,0.0,0.0,0.0,3,3.358420472,8.80663771,2,2,H15_CORE_0600_2200,true
P2_0bf3ba0bbd8bc1cf,scheduled_extensions,15,CORE_0600_2200,360,1320,9,True,0.0,1,0,221,0,221,0.061409059953,0.159217870766,0.189661881624,0.0,0.0,0.0,0.0,0,2.789180476,4.945358207,1,54,H15_CORE_0600_2200,true
P2_0cb60907e6cea1f5,scheduled_extensions,15,CORE_0600_2200,360,1320,9,True,0.0,1,0,0,0,0,0.047393654298,0.13329934518,0.158103200323,0.0,0.0,0.0,0.0,1,1.798824735,4.556729121,1,54,H15_CORE_0600_2200,true
P2_0cb6579dbfb6c21d,single_compact_loop,15,CORE_0600_2200,360,1320,9,True,0.0,1,0,221,0,221,0.080335421758,0.204655275342,0.247658135595,0.0,0.0,0.0,0.0,1,4.533771494,9.917995248,1,2,H15_CORE_0600_2200,true
P2_0d9cf6388327e0dd,scheduled_extensions,15,CORE_0600_2200,360,1320,9,True,0.0,1,0,221,0,221,0.060786677466,0.115214611952,0.150075560756,0.0,0.0,0.0,0.0,1,2.069205165,4.571521958,1,53,H15_CORE_0600_2200,false
