finalist_alias,plan_context_id,selected_timetable_id,stage_d_input_id,derived_timetable_id_verified,scenario_id,topology_family,uniform_headway_min,span_start_min,span_end_min,span_start_clock,span_end_clock,span_minutes,public_route_count,public_route_ids_json,selected_phase_vector_json,exact_public_trip_count,public_return_route_count,technical_closure_route_count,shared_nonhub_anchor_count,union_nonhub_anchor_count,route_nonhub_anchor_jaccard_descriptive_only,combined_phase_minutes_json,combined_phase_gap_minutes_json,max_combined_phase_gap_min,min_combined_phase_gap_min,combined_departure_regular_if_equal_gaps,exact_annual_bus_km,total_coverage_10m,worst_municipality_coverage_10m,bidirectional_reachable_share,stage_e_worst_bidirectional_retention,stage_e_worst_block_slack_min,field_check_pending_count
TT-FIG-16,reference|PU2_f89795e69c1c0b1e,D4RT001V3_a83abc3b41a4ee68,D4I2_10abafdda73f942f,true,P2_c34348780d529323,interlined_figure8,60,360,1320,06:00,22:00,960,2,"[""R2_23d58cd05658247380d7"",""R2_65db885119e69d50c7d4""]","[39,39]",32,2,0,0,7,0.000000000000,[39],[60],60,60,true,102915.827244000,0.373312355625,0.172487715439,0.335054280496,1.000000000,5.900345000,3
TT-FIG-18.5,reference|PU2_d5db4a5f48c4461c,D4RT001V3_c7318c775dcc1931,D4I2_8b5ad6e76f4416ca,true,P2_017387704e90dfa7,interlined_figure8,60,330,1440,05:30,00:00,1110,2,"[""R2_b2032eeb31cba06561f0"",""R2_2ffb6743b10bb3f0a97d""]","[7,3]",36,2,0,0,5,0.000000000000,"[3,7]","[4,56]",56,4,false,108661.124675000,0.367052696251,0.1719969483,0.35021925987,0.000000000,11.598753000,1
TT-TWO-16,reference|PU2_d25e8a3bcacdf255,D4RT001V3_a81a3718416f5cb2,D4I2_9812d5133d81f989,true,P2_5a8753d7bdcc6a3f,two_independent_loops,60,360,1320,06:00,22:00,960,2,"[""R2_23d58cd05658247380d7"",""R2_65db885119e69d50c7d4""]","[39,39]",32,2,0,0,7,0.000000000000,[39],[60],60,60,true,102915.827244000,0.373312355625,0.172487715439,0.335054280496,1.000000000,5.900345000,3
TT-TWO-18.5,reference|PU2_75f7b6bbd1563d0a,D4RT001V3_a87577dd79b3cb3e,D4I2_efb523eb056c774f,true,P2_3952117a13ec7506,two_independent_loops,60,330,1440,05:30,00:00,1110,2,"[""R2_b2032eeb31cba06561f0"",""R2_2ffb6743b10bb3f0a97d""]","[7,3]",36,2,0,0,5,0.000000000000,"[3,7]","[4,56]",56,4,false,108661.124675000,0.367052696251,0.1719969483,0.35021925987,0.000000000,11.598753000,1
