stop_place_id,operational_stop_no,stop_name,municipality,lat,lon,service_class,source_families,source_native_ids,known_routes,existence_confidence,graph_node_id,attachment_distance_m,attachment_status,route_ready,service_class_automatic,automatic_materialization_eligible,automatic_exclusion_reason,graph_epoch_id,attachment_semantics
ASF::PEREGO_VIA_STATALE_79,20,Perego - Statale / Via S. Caterina,La Valletta Brianza,45.738585,9.362575,CONVENTIONAL_TPL,ASF_OPERATOR_OTP,PERE_A01|PERE_R01,C146,HIGH_CURRENT_OPERATOR,n:528194.22:5065073.20,14.112463491915122,ROUTE_READY_LE_75M,true,true,true,ELIGIBLE,RT017::2026-09-05T13:45:50Z::466f562f95805cb1,NEAREST_BUS_GRAPH_NODE_TECHNICAL_BINDING_IDENTITY_UNCHANGED
ASF::ROVAGNATE_FRAZIONE_ALDUNO,33,Santa Maria Hoè - Alduno,Santa Maria Hoè,45.73485,9.38243,CONVENTIONAL_TPL,ASF_OPERATOR_OTP,ROVAGA04|ROVAGAR4,C146,HIGH_CURRENT_OPERATOR,n:529748.77:5064659.61,4.804190986832974,ROUTE_READY_LE_75M,true,true,true,ELIGIBLE,RT017::2026-09-05T13:45:50Z::466f562f95805cb1,NEAREST_BUS_GRAPH_NODE_TECHNICAL_BINDING_IDENTITY_UNCHANGED
ASF::ROVAGNATE_SS_ANG_V_LOMBARDIA,22,Rovagnate - Statale / Via Lombardia,La Valletta Brianza,45.737175,9.36985,CONVENTIONAL_TPL,ASF_OPERATOR_OTP,ROVAGA01|ROVAGR01,C146,HIGH_CURRENT_OPERATOR,n:528782.93:5064911.12,9.495835335417492,ROUTE_READY_LE_75M,true,true,true,ELIGIBLE,RT017::2026-09-05T13:45:50Z::466f562f95805cb1,NEAREST_BUS_GRAPH_NODE_TECHNICAL_BINDING_IDENTITY_UNCHANGED
ASF::ROVAGNATE_STRADA_STATALE_AGIP,21,Rovagnate - Statale / AGIP,La Valletta Brianza,45.73721,9.37441,CONVENTIONAL_TPL,ASF_OPERATOR_OTP,ROVAGA03|ROVAGR03,C146,HIGH_CURRENT_OPERATOR,n:529135.04:5064918.23,6.676836378232283,ROUTE_READY_LE_75M,true,true,true,ELIGIBLE,RT017::2026-09-05T13:45:50Z::466f562f95805cb1,NEAREST_BUS_GRAPH_NODE_TECHNICAL_BINDING_IDENTITY_UNCHANGED
ASF::SANTA_MARIA_HOE_VIA_COMO,35,Santa Maria Hoè - Via Como / Alpino,Santa Maria Hoè,45.74366,9.37463,CONVENTIONAL_TPL,ASF_OPERATOR_OTP,SAMAHA01|SAMAHR01,C146,HIGH_CURRENT_OPERATOR,n:529138.47:5065631.58,5.173133690795976,ROUTE_READY_LE_75M,true,true,true,ELIGIBLE,RT017::2026-09-05T13:45:50Z::466f562f95805cb1,NEAREST_BUS_GRAPH_NODE_TECHNICAL_BINDING_IDENTITY_UNCHANGED
ASF::SANTA_MARIA_HOE_VIA_GIOVANNI_XXIII,36,Santa Maria Hoè - Via Giovanni XXIII / Tremonte-Via Leopardi,Santa Maria Hoè,45.74118,9.380605,CONVENTIONAL_TPL,ASF_OPERATOR_OTP,SAMAHA04|SAMAHR04,C146,HIGH_CURRENT_OPERATOR,n:529606.17:5065364.68,3.4587196541415146,ROUTE_READY_LE_75M,true,true,true,ELIGIBLE,RT017::2026-09-05T13:45:50Z::466f562f95805cb1,NEAREST_BUS_GRAPH_NODE_TECHNICAL_BINDING_IDENTITY_UNCHANGED
ASF::S_MARIA_HOE_S_P_58_ANG_VIA_CENISIO,31,S. Maria Hoè - S.P. 58 ang. Via Cenisio,Santa Maria Hoè,45.738165,9.38793,CONVENTIONAL_TPL,ASF_OPERATOR_OTP,SAMAHA03|SAMAHR03,C146,HIGH_CURRENT_OPERATOR,n:530166.34:5065037.27,15.354126169698,ROUTE_READY_LE_75M,true,true,true,ELIGIBLE,RT017::2026-09-05T13:45:50Z::466f562f95805cb1,NEAREST_BUS_GRAPH_NODE_TECHNICAL_BINDING_IDENTITY_UNCHANGED
ASF::VACCAREZZA_CARTELLO_PAESE,2,Brivio - Vaccarezza,Brivio,45.736865,9.436045,CONVENTIONAL_TPL,ASF_OPERATOR_OTP,BRIVIA04|BRIVIR04,C146,HIGH_CURRENT_OPERATOR,n:533924.18:5064904.08,0.6778354395664422,ROUTE_READY_LE_75M,true,true,true,ELIGIBLE,RT017::2026-09-05T13:45:50Z::466f562f95805cb1,NEAREST_BUS_GRAPH_NODE_TECHNICAL_BINDING_IDENTITY_UNCHANGED
FROZEN::100005,9,Brivio - s.s. briantea,Brivio,45.73464,9.42271,CONVENTIONAL_TPL,FROZEN_GTFS_REFERENCE,100005,D148,MEDIUM_OFFICIAL_REFERENCE,n:532851.78:5064657.22,36.158141718047695,ROUTE_READY_LE_75M,true,true,true,ELIGIBLE,RT017::2026-09-05T13:45:50Z::466f562f95805cb1,NEAREST_BUS_GRAPH_NODE_TECHNICAL_BINDING_IDENTITY_UNCHANGED
FROZEN::300063,3,Brivio - Via Bergamo (Scuola Materna),Brivio,45.741333,9.4457,CONVENTIONAL_TPL,FROZEN_GTFS_REFERENCE,300063,D150|D185,MEDIUM_OFFICIAL_REFERENCE,n:534678.16:5065404.73,6.1326622139956655,ROUTE_READY_LE_75M,true,true,true,ELIGIBLE,RT017::2026-09-05T13:45:50Z::466f562f95805cb1,NEAREST_BUS_GRAPH_NODE_TECHNICAL_BINDING_IDENTITY_UNCHANGED
FROZEN::300086,6,Brivio - beverate (cariplo),Brivio,45.7404585,9.423083,CONVENTIONAL_TPL,FROZEN_GTFS_REFERENCE,300086|L00086,D150|D185,MEDIUM_OFFICIAL_REFERENCE,n:532908.34:5065306.79,9.711243664516905,ROUTE_READY_LE_75M,true,true,true,ELIGIBLE,RT017::2026-09-05T13:45:50Z::466f562f95805cb1,NEAREST_BUS_GRAPH_NODE_TECHNICAL_BINDING_IDENTITY_UNCHANGED
FROZEN::300398,7,Brivio - beverate (paese),Brivio,45.7373335,9.4280585,CONVENTIONAL_TPL,FROZEN_GTFS_REFERENCE,300398|L00398,D150|D185,MEDIUM_OFFICIAL_REFERENCE,n:533292.19:5064957.79,10.863475487406225,ROUTE_READY_LE_75M,true,true,true,ELIGIBLE,RT017::2026-09-05T13:45:50Z::466f562f95805cb1,NEAREST_BUS_GRAPH_NODE_TECHNICAL_BINDING_IDENTITY_UNCHANGED
FROZEN::300487,8,Brivio - beverate (quattro strade),Brivio,45.7347085,9.4268915,CONVENTIONAL_TPL,FROZEN_GTFS_REFERENCE,300487|L00487,D150|D185,MEDIUM_OFFICIAL_REFERENCE,n:533212.76:5064666.32,5.244093392426812,ROUTE_READY_LE_75M,true,true,true,ELIGIBLE,RT017::2026-09-05T13:45:50Z::466f562f95805cb1,NEAREST_BUS_GRAPH_NODE_TECHNICAL_BINDING_IDENTITY_UNCHANGED
FROZEN::300527,5,Brivio - Via Provinciale Beverate (Elettroadda),Brivio,45.741383,9.4233915,CONVENTIONAL_TPL,FROZEN_GTFS_REFERENCE,300527|L00527,D148|D150,MEDIUM_OFFICIAL_REFERENCE,n:532936.37:5065399.23,1.9564708053859483,ROUTE_READY_LE_75M,true,true,true,ELIGIBLE,RT017::2026-09-05T13:45:50Z::466f562f95805cb1,NEAREST_BUS_GRAPH_NODE_TECHNICAL_BINDING_IDENTITY_UNCHANGED
FROZEN::300634,18,Calco - via Nazionale,Calco,45.7296,9.417783,CONVENTIONAL_TPL,FROZEN_GTFS_REFERENCE,300634,D185,MEDIUM_OFFICIAL_REFERENCE,n:532499.08:5064091.41,8.203334218921956,ROUTE_READY_LE_75M,true,true,true,ELIGIBLE,RT017::2026-09-05T13:45:50Z::466f562f95805cb1,NEAREST_BUS_GRAPH_NODE_TECHNICAL_BINDING_IDENTITY_UNCHANGED
FROZEN::300743,17,Calco - arlate (cimitero),Calco,45.72377,9.44097,CONVENTIONAL_TPL,FROZEN_GTFS_REFERENCE,300743,D170,MEDIUM_OFFICIAL_REFERENCE,n:534316.06:5063448.92,3.0689817088489217,ROUTE_READY_LE_75M,true,true,true,ELIGIBLE,RT017::2026-09-05T13:45:50Z::466f562f95805cb1,NEAREST_BUS_GRAPH_NODE_TECHNICAL_BINDING_IDENTITY_UNCHANGED
FROZEN::300782,32,S.Maria Hoe',Santa Maria Hoè,45.744308,9.3737,CONVENTIONAL_TPL,FROZEN_GTFS_REFERENCE,300782|L00782,D184,MEDIUM_OFFICIAL_REFERENCE,n:529070.45:5065704.08,2.9899440629923184,ROUTE_READY_LE_75M,true,true,true,ELIGIBLE,RT017::2026-09-05T13:45:50Z::466f562f95805cb1,NEAREST_BUS_GRAPH_NODE_TECHNICAL_BINDING_IDENTITY_UNCHANGED
FROZEN::300805,34,Santa Maria Hoè - Tremonte / Via Trento,Santa Maria Hoè,45.7427,9.378385,CONVENTIONAL_TPL,FROZEN_GTFS_REFERENCE,300805|L00904,D184,MEDIUM_OFFICIAL_REFERENCE,n:529432.61:5065522.14,8.104406188731398,ROUTE_READY_LE_75M,true,true,true,ELIGIBLE,RT017::2026-09-05T13:45:50Z::466f562f95805cb1,NEAREST_BUS_GRAPH_NODE_TECHNICAL_BINDING_IDENTITY_UNCHANGED
FROZEN::300873,30,Hoe',Santa Maria Hoè,45.7486335,9.367867,CONVENTIONAL_TPL,FROZEN_GTFS_REFERENCE,300873|L00873,D184,MEDIUM_OFFICIAL_REFERENCE,n:528613.81:5066189.00,3.6477287816591817,ROUTE_READY_LE_75M,true,true,true,ELIGIBLE,RT017::2026-09-05T13:45:50Z::466f562f95805cb1,NEAREST_BUS_GRAPH_NODE_TECHNICAL_BINDING_IDENTITY_UNCHANGED
FROZEN::300879,23,Rovagnate - vinicola ghezzi,La Valletta Brianza,45.73975,9.3646835,CONVENTIONAL_TPL,FROZEN_GTFS_REFERENCE,300879|L00879,D160|D184,MEDIUM_OFFICIAL_REFERENCE,n:528369.47:5065199.46,2.388024127403497,ROUTE_READY_LE_75M,true,true,true,ELIGIBLE,RT017::2026-09-05T13:45:50Z::466f562f95805cb1,NEAREST_BUS_GRAPH_NODE_TECHNICAL_BINDING_IDENTITY_UNCHANGED
FROZEN::300956,24,Calco - via nazionale (peugeot),Olgiate Molgora,45.73635,9.41949,CONVENTIONAL_TPL,FROZEN_GTFS_REFERENCE,300956|L00956,D148|D150|D185,MEDIUM_OFFICIAL_REFERENCE,n:532637.53:5064842.40,2.510811821421319,ROUTE_READY_LE_75M,true,true,true,ELIGIBLE,RT017::2026-09-05T13:45:50Z::466f562f95805cb1,NEAREST_BUS_GRAPH_NODE_TECHNICAL_BINDING_IDENTITY_UNCHANGED
FROZEN::L00407,29,Olgiate-Calco-Brivio FS,Olgiate Molgora,45.72917,9.40441,CONVENTIONAL_TPL,FROZEN_GTFS_REFERENCE,L00407,D184|D185,MEDIUM_OFFICIAL_REFERENCE,n:531469.30:5064033.74,3.827386089812374,ROUTE_READY_LE_75M,true,true,true,ELIGIBLE,RT017::2026-09-05T13:45:50Z::466f562f95805cb1,NEAREST_BUS_GRAPH_NODE_TECHNICAL_BINDING_IDENTITY_UNCHANGED
MANUAL::CALCO_SCAGNELLO,15,Calco - Via Statale / Via Scagnello (Esselunga),Calco,45.7168683,9.4081664,CONVENTIONAL_TPL,GOOGLE_MAPS_MANUAL|ASF_C146_OBSERVED,CALCOA04|CALCOR04,C146,HIGH_MANUAL_CURRENT,n:531765.58:5062675.56,4.1822737709820075,ROUTE_READY_LE_75M,true,true,true,ELIGIBLE,RT017::2026-09-05T13:45:50Z::466f562f95805cb1,NEAREST_BUS_GRAPH_NODE_TECHNICAL_BINDING_IDENTITY_UNCHANGED
SPECIAL::CASA_DI_COMUNITA_OLGIATE,25,Casa di Comunità Olgiate Molgora,Olgiate Molgora,45.7221313,9.3979736,SPECIAL_SERVICE,SPECIAL_SERVICE_EVIDENCE,NAVETTA_MANDIC_MANZONI::001,NAVETTA_MANDIC_MANZONI,HIGH_CURRENT_SPECIAL_SERVICE,n:530978.15:5063253.02,8.292014970272835,ROUTE_READY_LE_75M,true,false,false,SERVICE_CLASS_SPECIAL_SERVICE_NOT_AUTOMATIC,RT017::2026-09-05T13:45:50Z::466f562f95805cb1,NEAREST_BUS_GRAPH_NODE_TECHNICAL_BINDING_IDENTITY_UNCHANGED
