pair_id,source_routing_terminal_id,target_routing_terminal_id,source_stop_place_id,target_stop_place_id,source_graph_node_id,target_graph_node_id,status,failure_reason,corridor_count,certified_shortest_present,certified_shortest_physical_loopless,certified_reference_turn_legal,certified_edge_sequence_matches_rt017,certified_runtime_delta_vs_rt017_min,certified_distance_delta_vs_rt017_m,generation_paths_examined,generation_rounds_attempted,ksp_fallback_used,generator_contract,completeness_claim,graph_epoch_id,gate_d_route_found
DIR_PAIR_6885EA7CE4A746CA,ASF::ARLATE_BIVIO_PER_IL_PAESE,ASF::OLGIATE_MOLGORA_VIA_STATALE,ASF::ARLATE_BIVIO_PER_IL_PAESE,ASF::OLGIATE_MOLGORA_VIA_STATALE,n:534549.56:5063427.02,n:531145.24:5063989.14,PASS_ROUTED_CORRIDOR_POOL,,2,True,False,True,True,0.0,0.0,11,10,False,ALTERNATIVE_POOL_NOT_NETWORK_RECOMMENDATION,NO_K_SHORTEST_COMPLETENESS_CLAIM,RT017::2026-09-05T13:45:50Z::466f562f95805cb1,True
DIR_PAIR_65701862EDC21F97,ASF::ARLATE_BIVIO_PER_IL_PAESE,ASF::PEREGO_VIA_STATALE_79,ASF::ARLATE_BIVIO_PER_IL_PAESE,ASF::PEREGO_VIA_STATALE_79,n:534549.56:5063427.02,n:528194.22:5065073.20,PASS_ROUTED_CORRIDOR_POOL,,2,True,False,True,True,0.0,0.0,11,10,False,ALTERNATIVE_POOL_NOT_NETWORK_RECOMMENDATION,NO_K_SHORTEST_COMPLETENESS_CLAIM,RT017::2026-09-05T13:45:50Z::466f562f95805cb1,True
DIR_PAIR_3AB26D51EF059CB2,ASF::ARLATE_BIVIO_PER_IL_PAESE,ASF::ROVAGNATE_FRAZIONE_ALDUNO,ASF::ARLATE_BIVIO_PER_IL_PAESE,ASF::ROVAGNATE_FRAZIONE_ALDUNO,n:534549.56:5063427.02,n:529748.77:5064659.61,PASS_ROUTED_CORRIDOR_POOL,,3,True,False,True,True,0.0,0.0,11,10,False,ALTERNATIVE_POOL_NOT_NETWORK_RECOMMENDATION,NO_K_SHORTEST_COMPLETENESS_CLAIM,RT017::2026-09-05T13:45:50Z::466f562f95805cb1,True
DIR_PAIR_C1766B8059A6C2D3,ASF::ARLATE_BIVIO_PER_IL_PAESE,ASF::ROVAGNATE_SS_ANG_V_LOMBARDIA,ASF::ARLATE_BIVIO_PER_IL_PAESE,ASF::ROVAGNATE_SS_ANG_V_LOMBARDIA,n:534549.56:5063427.02,n:528782.93:5064911.12,PASS_ROUTED_CORRIDOR_POOL,,3,True,False,True,True,0.0,0.0,11,10,False,ALTERNATIVE_POOL_NOT_NETWORK_RECOMMENDATION,NO_K_SHORTEST_COMPLETENESS_CLAIM,RT017::2026-09-05T13:45:50Z::466f562f95805cb1,True
DIR_PAIR_4B599C085D42B878,ASF::ARLATE_BIVIO_PER_IL_PAESE,ASF::ROVAGNATE_STRADA_STATALE_AGIP,ASF::ARLATE_BIVIO_PER_IL_PAESE,ASF::ROVAGNATE_STRADA_STATALE_AGIP,n:534549.56:5063427.02,n:529135.04:5064918.23,PASS_ROUTED_CORRIDOR_POOL,,3,True,False,True,True,0.0,0.0,11,10,False,ALTERNATIVE_POOL_NOT_NETWORK_RECOMMENDATION,NO_K_SHORTEST_COMPLETENESS_CLAIM,RT017::2026-09-05T13:45:50Z::466f562f95805cb1,True
DIR_PAIR_0901465FD1C90E19,ASF::ARLATE_BIVIO_PER_IL_PAESE,ASF::SANTA_MARIA_HOE_VIA_COMO,ASF::ARLATE_BIVIO_PER_IL_PAESE,ASF::SANTA_MARIA_HOE_VIA_COMO,n:534549.56:5063427.02,n:529138.47:5065631.58,PASS_ROUTED_CORRIDOR_POOL,,3,True,False,True,True,0.0,0.0,11,10,False,ALTERNATIVE_POOL_NOT_NETWORK_RECOMMENDATION,NO_K_SHORTEST_COMPLETENESS_CLAIM,RT017::2026-09-05T13:45:50Z::466f562f95805cb1,True
DIR_PAIR_09E9C05DC30836A8,ASF::ARLATE_BIVIO_PER_IL_PAESE,ASF::SANTA_MARIA_HOE_VIA_GIOVANNI_XXIII,ASF::ARLATE_BIVIO_PER_IL_PAESE,ASF::SANTA_MARIA_HOE_VIA_GIOVANNI_XXIII,n:534549.56:5063427.02,n:529606.17:5065364.68,PASS_ROUTED_CORRIDOR_POOL,,3,True,False,True,True,0.0,0.0,11,10,False,ALTERNATIVE_POOL_NOT_NETWORK_RECOMMENDATION,NO_K_SHORTEST_COMPLETENESS_CLAIM,RT017::2026-09-05T13:45:50Z::466f562f95805cb1,True
DIR_PAIR_23996EDB1E3150A3,ASF::ARLATE_BIVIO_PER_IL_PAESE,ASF::S_MARIA_HOE_S_P_58_ANG_VIA_CENISIO,ASF::ARLATE_BIVIO_PER_IL_PAESE,ASF::S_MARIA_HOE_S_P_58_ANG_VIA_CENISIO,n:534549.56:5063427.02,n:530166.34:5065037.27,PASS_ROUTED_CORRIDOR_POOL,,2,True,False,True,True,0.0,0.0,11,10,False,ALTERNATIVE_POOL_NOT_NETWORK_RECOMMENDATION,NO_K_SHORTEST_COMPLETENESS_CLAIM,RT017::2026-09-05T13:45:50Z::466f562f95805cb1,True
DIR_PAIR_0B46C68C856B32A3,ASF::ARLATE_BIVIO_PER_IL_PAESE,ASF::VACCAREZZA_CARTELLO_PAESE,ASF::ARLATE_BIVIO_PER_IL_PAESE,ASF::VACCAREZZA_CARTELLO_PAESE,n:534549.56:5063427.02,n:533924.18:5064904.08,PASS_ROUTED_CORRIDOR_POOL,,3,True,True,True,True,0.0,0.0,5,4,False,ALTERNATIVE_POOL_NOT_NETWORK_RECOMMENDATION,NO_K_SHORTEST_COMPLETENESS_CLAIM,RT017::2026-09-05T13:45:50Z::466f562f95805cb1,True
DIR_PAIR_DEEDC5710784C199,ASF::ARLATE_BIVIO_PER_IL_PAESE,FROZEN::100005,ASF::ARLATE_BIVIO_PER_IL_PAESE,FROZEN::100005,n:534549.56:5063427.02,n:532851.78:5064657.22,PASS_ROUTED_CORRIDOR_POOL,,3,True,True,True,True,0.0,0.0,3,2,False,ALTERNATIVE_POOL_NOT_NETWORK_RECOMMENDATION,NO_K_SHORTEST_COMPLETENESS_CLAIM,RT017::2026-09-05T13:45:50Z::466f562f95805cb1,True
