service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
FESTi,0,0,0,0,0,0,1,20250914,20260607
FESTi_Pot,0,0,0,0,0,0,1,20250914,20260607
SASC,0,0,0,0,0,1,0,20250913,20260606
F5SC,1,1,1,1,1,0,0,20250915,20260608
F5SC_Ve,0,0,0,0,1,0,0,20250919,20260605
F5NS,1,1,1,1,1,0,0,20251222,20260407
F5NS_Pot,1,1,1,1,1,0,0,20260406,20260407
SANS_Pot,0,0,0,0,0,1,0,20260404,20260502
SANS,0,0,0,0,0,1,0,20251227,20260502
