stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code,tts_stop_name
85032,LEC002_85032,"Lecco, Mazzini/Costituzione",,45.852046,9.391118,,,0,,,,,
85040,LEC134_85040,"Lecco, Manzoni/Martiri",,45.851575,9.391976,,,0,,,,,
84945,LEC272_84945,"Lecco, Pescarenico, Martiri/Amendola",,45.850435,9.393681,,,0,,,,,
84946,LEC250_84946,"Lecco, Amendola/Ghislanzoni",,45.850384,9.395873,,,0,,,,,
84916,LEC217_84916,"Lecco, Promessi Sposi/Rivolta",,45.853643,9.400172,,,0,,,,,
84992,LEC290_84992,"Lecco, Baracca/Speri",,45.853219,9.402305,,,0,,,,,
80393,LEC296_80393,"Lecco, Belfiore/Giusti",,45.852051,9.405333,,,0,,,,,
84993,LEC291_84993,"Lecco, Grandi fr. 11",,45.8532,9.4093,,,0,,,,,
84994,LEC292_84994,"Lecco, Grandi/Del Roccolo",,45.8507,9.4105,,,0,,,,,
84965,LEC273_84965,"Lecco, Risorgimento/fr. Polvara",,45.8491,9.41,,,0,,,,,
84867,LEC180_84867,"Lecco, Tonio da Belledo/Fiocchi",,45.848487,9.412183,,,0,,,,,
84967,LEC274_84967,"Lecco, Filanda, fr. Ospedale",,45.8511,9.4147,,,0,,,,,
85019,LEC275_85019,"Lecco, Filanda/fr. Lombardia",,45.8521,9.4162,,,0,,,,,
84968,LEC276_84968,"Lecco, Germanedo, Lombardia/Alla Chiesa",,45.8533,9.416,,,0,,,,,
84976,LEC286_84976,"Lecco, Rancio, Don Bosco fr. Chiesa",,45.867674,9.398787,,,0,,,,,
80327,LEC287_80327,"Lecco, Rancio, Mazzucconi 19",,45.868115,9.39988,,,0,,,,,
84977,LEC288_84977,"Lecco, Rancio, Gorizia 51",,45.867132,9.398901,,,0,,,,,
84990,LEC289_84990,"Lecco, Gorizia 25",,45.865722,9.397473,,,0,,,,,
84876,LEC190_84876,"Lecco, Milazzo/fr. Pozzoli",,45.8641,9.39359,,,0,,,,,
84877,LEC191_84877,"Lecco, Pasubio/fr. Ca' Rossa",,45.863697592824565,9.390585423278818,,,0,,,,,
84878,LEC192_84878,"Lecco, De Gasperi 17",,45.8642,9.388283,,,0,,,,,
84989,LEC193_84989,"Lecco, Cappuccini/Trento",,45.863571,9.3857,,,0,,,,,
84879,LEC194_84879,"Lecco, Turati/fr. Ca' Rossa",,45.862659,9.386794,,,0,,,,,
84880,LEC195_84880,"Lecco, Turati/Monti",,45.86105,9.388587,,,0,,,,,
84881,LEC196_84881,"Lecco, Turati, Cimitero",,45.8589,9.391,,,0,,,,,
84882,LEC197_84882,"Lecco, Resinelli/Bovara",,45.856887,9.391955,,,0,,,,,
85020,LEC133_85020,"Lecco, FS, Montello/fr. Stazione",,45.855769,9.392688,,,0,,,,,
80344,LEC038_80344,"Lecco, Dante/Cairoli, Poste",,45.852413,9.394835,,,0,,,,,
80429,LEC004_80429,"Lecco, Dante/Ghislanzoni, fr. Poste",,45.851814,9.393767,,,0,,,,,
84944,LEC119_84944,"Lecco, FS, Sassi/Stazione",,45.855118,9.39372,,,0,,,,,
85107,LEC150_85107,"Lecco, Grassi/Palestro",,45.857322,9.392254,,,0,,,,,
84943,LEC151_84943,"Lecco, Turati, fr. Cimitero",,45.858831,9.391189,,,0,,,,,
84959,LEC152_84959,"Lecco, Turati/fr. Monti",,45.860283,9.389549,,,0,,,,,
85108,LEC153_85108,"Lecco, Turati/Capodistria",,45.862822,9.386775,,,0,,,,,
85109,LEC154_85109,"Lecco, Cappuccini/Santo Stefano",,45.86383,9.386034,,,0,,,,,
85110,LEC155_85110,"Lecco, De Gasperi/D'Azeglio",,45.864131,9.387982,,,0,,,,,
85111,LEC156_85111,"Lecco, Pasubio/Petrarca",,45.86314737763522,9.391011223959932,,,0,,,,,
