dimension,current_structural_exact_id_subset_ratio,current_structural_exact_id_subset_share,rt031_supplied_pool_maximum_ratio,rt031_supplied_pool_maximum_share,rt031_minus_current_percentage_points,componentwise_maximum_relation
potential_core_share_5min,99618954331605517243/458280000000000018910,0.217375740446028,107428618132125699109/458280000000000018910,0.234416989901645,1.704124946,RT031_MAX_HIGHER
potential_core_share_8min,88742867342458492579/229140000000000009455,0.387286669034034,171345705176252251833/458280000000000018910,0.373888681976635,-1.339798706,CURRENT_SUBSET_HIGHER
potential_core_share_10min,223501457913245879869/458280000000000018910,0.487696294652278,196899965466886889979/458280000000000018910,0.429649920282113,-5.804637437,CURRENT_SUBSET_HIGHER
potential_worst_municipality_share_5min,385520627664794046/5460000000000000337,0.070608173564981,1601701989767517807/15520000000000000340,0.103202447794299,3.259427423,RT031_MAX_HIGHER
potential_worst_municipality_share_8min,4568761040159178139/21840000000000001348,0.209192355318644,8269104535126133947/42213333333333335552,0.195888452348219,-1.330390297,CURRENT_SUBSET_HIGHER
potential_worst_municipality_share_10min,37568267043616875563/109200000000000006740,0.344031749483671,2641674681573853325/10553333333333333888,0.250316615436562,-9.371513405,CURRENT_SUBSET_HIGHER
