route_id,stop_id,stop_name,stop_lat,stop_lon,physical_stop_cluster_id,clustering_reason,trip_stop_time_row_count,pattern_count,pattern_ids,pattern_trip_count_sum,min_stop_sequence,max_stop_sequence,activation_evidence_status,current_reference_date,temporary_disruption_excluded,ridership_evidence
D184,300878,Rovagnate - semaforo,45.737167,9.369383,EX_029,EXACT_STOP_ID_TO_FROZEN_CERTIFIED_CLUSTER,6,3,PAT_6b1e3cc825f93648;PAT_a0c6b10984ae7f84;PAT_bde74a78b6068c9e,6,5,5,CURRENT_ROUTE_CONFIRMED_STOP_IDENTITY_FROM_OFFICIAL_GTFS,2026-09-04,false,false
D184,L00878,Rovagnate - semaforo,45.737133,9.370467,EX_042,EXACT_STOP_ID_TO_FROZEN_CERTIFIED_CLUSTER,7,3,PAT_2ad22659f8ca4ff7;PAT_701768db802888f4;PAT_ed9891cba02df005,7,4,9,CURRENT_ROUTE_CONFIRMED_STOP_IDENTITY_FROM_OFFICIAL_GTFS,2026-09-04,false,false
D184,300879,Rovagnate - vinicola ghezzi,45.7397,9.364717,EX_030,EXACT_STOP_ID_TO_FROZEN_CERTIFIED_CLUSTER,6,3,PAT_6b1e3cc825f93648;PAT_a0c6b10984ae7f84;PAT_bde74a78b6068c9e,6,7,7,CURRENT_ROUTE_CONFIRMED_STOP_IDENTITY_FROM_OFFICIAL_GTFS,2026-09-04,false,false
D184,L00879,Rovagnate - vinicola ghezzi,45.7398,9.36465,EX_030,EXACT_STOP_ID_TO_FROZEN_CERTIFIED_CLUSTER,7,3,PAT_2ad22659f8ca4ff7;PAT_701768db802888f4;PAT_ed9891cba02df005,7,2,7,CURRENT_ROUTE_CONFIRMED_STOP_IDENTITY_FROM_OFFICIAL_GTFS,2026-09-04,false,false
D184,300782,S.Maria Hoe',45.744283,9.373817,EX_022,EXACT_STOP_ID_TO_FROZEN_CERTIFIED_CLUSTER,5,2,PAT_6b1e3cc825f93648;PAT_75b1487d1fcc52dd,5,4,9,CURRENT_ROUTE_CONFIRMED_STOP_IDENTITY_FROM_OFFICIAL_GTFS,2026-09-04,false,false
D184,L00782,S.Maria Hoe',45.744333,9.373583,EX_022,EXACT_STOP_ID_TO_FROZEN_CERTIFIED_CLUSTER,5,1,PAT_2ad22659f8ca4ff7,5,5,5,CURRENT_ROUTE_CONFIRMED_STOP_IDENTITY_FROM_OFFICIAL_GTFS,2026-09-04,false,false
D184,300871,S.Maria Hoe' - alduno,45.735,9.3822,EX_026,EXACT_STOP_ID_TO_FROZEN_CERTIFIED_CLUSTER,6,3,PAT_6b1e3cc825f93648;PAT_a0c6b10984ae7f84;PAT_bde74a78b6068c9e,6,3,3,CURRENT_ROUTE_CONFIRMED_STOP_IDENTITY_FROM_OFFICIAL_GTFS,2026-09-04,false,false
D184,L00871,S.Maria Hoe' - alduno,45.7347,9.382517,EX_041,EXACT_STOP_ID_TO_FROZEN_CERTIFIED_CLUSTER,7,3,PAT_2ad22659f8ca4ff7;PAT_701768db802888f4;PAT_ed9891cba02df005,7,6,11,CURRENT_ROUTE_CONFIRMED_STOP_IDENTITY_FROM_OFFICIAL_GTFS,2026-09-04,false,false
D184,300902,S.Maria Hoe' - alpino,45.743617,9.374617,EX_032,EXACT_STOP_ID_TO_FROZEN_CERTIFIED_CLUSTER,5,2,PAT_6b1e3cc825f93648;PAT_a0c6b10984ae7f84,5,8,8,CURRENT_ROUTE_CONFIRMED_STOP_IDENTITY_FROM_OFFICIAL_GTFS,2026-09-04,false,false
D184,L00902,S.Maria Hoe' - alpino,45.743567,9.374367,EX_032,EXACT_STOP_ID_TO_FROZEN_CERTIFIED_CLUSTER,7,3,PAT_2ad22659f8ca4ff7;PAT_701768db802888f4;PAT_ed9891cba02df005,7,1,6,CURRENT_ROUTE_CONFIRMED_STOP_IDENTITY_FROM_OFFICIAL_GTFS,2026-09-04,false,false
