area,settlement_anchor_id,anchor_status,current_service_accessibility,useful_physical_stop_clusters,v4_d184_d185_anchor_walk_min,all_existing_service_anchor_walk_min_context_only,walking_coverage_semantics,olgiate_coverage_5m_share,olgiate_coverage_8m_share,olgiate_coverage_10m_share,field_uncertainty,used_in_candidate_optimisation
Centro/Stazione,OSM_POINT_62511605,CERTIFIED_OSM_SETTLEMENT_ANCHOR_AVAILABLE,NAMED_D184_D185_PHYSICAL_STOP_CLUSTER_SUPPORT,EX_011;EX_039,,3.5347618293811656,D184_D185_SPECIFIC_ANCHOR_WALK_TIME_NOT_MATERIALISED; CONTEXT_COLUMN_IF_PRESENT_IS_ALL_EXISTING_SERVICE_ONLY,0.207753490908726,0.438135723357085,0.598904278066521,NO_NEW_ROUTING_OR_COORDINATE_ASSUMPTION; NAMED_STOP_SUPPORT_ONLY. SAN_ZENO_REMAINS_UNRESOLVED_IF NO CERTIFIED ANCHOR.,false
Mondonico,OSM_POINT_1144810206,CERTIFIED_OSM_SETTLEMENT_ANCHOR_AVAILABLE,NO_NAMED_D184_D185_PHYSICAL_STOP_CLUSTER_AT_SETTLEMENT_ANCHOR,,,10.908497558474458,D184_D185_SPECIFIC_ANCHOR_WALK_TIME_NOT_MATERIALISED; CONTEXT_COLUMN_IF_PRESENT_IS_ALL_EXISTING_SERVICE_ONLY,0.207753490908726,0.438135723357085,0.598904278066521,NO_NEW_ROUTING_OR_COORDINATE_ASSUMPTION; NAMED_STOP_SUPPORT_ONLY. SAN_ZENO_REMAINS_UNRESOLVED_IF NO CERTIFIED ANCHOR.,false
San Zeno,,NO_CERTIFIED_SETTLEMENT_ANCHOR,NO_NAMED_D184_D185_PHYSICAL_STOP_CLUSTER_AT_SETTLEMENT_ANCHOR,,,,D184_D185_SPECIFIC_ANCHOR_WALK_TIME_NOT_MATERIALISED; CONTEXT_COLUMN_IF_PRESENT_IS_ALL_EXISTING_SERVICE_ONLY,0.207753490908726,0.438135723357085,0.598904278066521,NO_NEW_ROUTING_OR_COORDINATE_ASSUMPTION; NAMED_STOP_SUPPORT_ONLY. SAN_ZENO_REMAINS_UNRESOLVED_IF NO CERTIFIED ANCHOR.,false
Monticello,OSM_POINT_2101450267,CERTIFIED_OSM_SETTLEMENT_ANCHOR_AVAILABLE,NAMED_D184_D185_PHYSICAL_STOP_CLUSTER_SUPPORT,EX_023,,8.285438305393669,D184_D185_SPECIFIC_ANCHOR_WALK_TIME_NOT_MATERIALISED; CONTEXT_COLUMN_IF_PRESENT_IS_ALL_EXISTING_SERVICE_ONLY,0.207753490908726,0.438135723357085,0.598904278066521,NO_NEW_ROUTING_OR_COORDINATE_ASSUMPTION; NAMED_STOP_SUPPORT_ONLY. SAN_ZENO_REMAINS_UNRESOLVED_IF NO CERTIFIED ANCHOR.,false
