stop_place_id,operational_stop_no,stop_name,municipality,lat,lon,service_class,source_families,source_native_ids,known_routes,existence_confidence,graph_node_id,attachment_distance_m,attachment_status,route_ready,service_class_automatic,automatic_materialization_eligible,automatic_exclusion_reason,graph_epoch_id,attachment_semantics
ASF::PEREGO_VIA_STATALE_79,20,Perego - Statale / Via S. Caterina,La Valletta Brianza,45.738585000,9.362575000,CONVENTIONAL_TPL,ASF_OPERATOR_OTP,PERE_A01|PERE_R01,C146,HIGH_CURRENT_OPERATOR,n:528194.22:5065073.20,14.114138165,ROUTE_READY_LE_75M,true,true,true,ELIGIBLE,gate-d-2026-09-03-834d5caa0bfd,NEAREST_BUS_GRAPH_NODE_TECHNICAL_BINDING_IDENTITY_UNCHANGED
ASF::ROVAGNATE_FRAZIONE_ALDUNO,33,Santa Maria Hoè - Alduno,Santa Maria Hoè,45.734850000,9.382430000,CONVENTIONAL_TPL,ASF_OPERATOR_OTP,ROVAGA04|ROVAGAR4,C146,HIGH_CURRENT_OPERATOR,n:529748.77:5064659.61,4.802033514,ROUTE_READY_LE_75M,true,true,true,ELIGIBLE,gate-d-2026-09-03-834d5caa0bfd,NEAREST_BUS_GRAPH_NODE_TECHNICAL_BINDING_IDENTITY_UNCHANGED
ASF::ROVAGNATE_SS_ANG_V_LOMBARDIA,22,Rovagnate - Statale / Via Lombardia,La Valletta Brianza,45.737175000,9.369850000,CONVENTIONAL_TPL,ASF_OPERATOR_OTP,ROVAGA01|ROVAGR01,C146,HIGH_CURRENT_OPERATOR,n:528782.93:5064911.12,9.493134378,ROUTE_READY_LE_75M,true,true,true,ELIGIBLE,gate-d-2026-09-03-834d5caa0bfd,NEAREST_BUS_GRAPH_NODE_TECHNICAL_BINDING_IDENTITY_UNCHANGED
ASF::ROVAGNATE_STRADA_STATALE_AGIP,21,Rovagnate - Statale / AGIP,La Valletta Brianza,45.737210000,9.374410000,CONVENTIONAL_TPL,ASF_OPERATOR_OTP,ROVAGA03|ROVAGR03,C146,HIGH_CURRENT_OPERATOR,n:529135.04:5064918.23,6.678995196,ROUTE_READY_LE_75M,true,true,true,ELIGIBLE,gate-d-2026-09-03-834d5caa0bfd,NEAREST_BUS_GRAPH_NODE_TECHNICAL_BINDING_IDENTITY_UNCHANGED
ASF::SANTA_MARIA_HOE_VIA_COMO,35,Santa Maria Hoè - Via Como / Alpino,Santa Maria Hoè,45.743660000,9.374630000,CONVENTIONAL_TPL,ASF_OPERATOR_OTP,SAMAHA01|SAMAHR01,C146,HIGH_CURRENT_OPERATOR,n:529138.47:5065631.58,5.174569375,ROUTE_READY_LE_75M,true,true,true,ELIGIBLE,gate-d-2026-09-03-834d5caa0bfd,NEAREST_BUS_GRAPH_NODE_TECHNICAL_BINDING_IDENTITY_UNCHANGED
ASF::SANTA_MARIA_HOE_VIA_GIOVANNI_XXIII,36,Santa Maria Hoè - Via Giovanni XXIII / Tremonte-Via Leopardi,Santa Maria Hoè,45.741180000,9.380605000,CONVENTIONAL_TPL,ASF_OPERATOR_OTP,SAMAHA04|SAMAHR04,C146,HIGH_CURRENT_OPERATOR,n:529606.17:5065364.68,3.458801536,ROUTE_READY_LE_75M,true,true,true,ELIGIBLE,gate-d-2026-09-03-834d5caa0bfd,NEAREST_BUS_GRAPH_NODE_TECHNICAL_BINDING_IDENTITY_UNCHANGED
ASF::S_MARIA_HOE_S_P_58_ANG_VIA_CENISIO,31,S. Maria Hoè - S.P. 58 ang. Via Cenisio,Santa Maria Hoè,45.738165000,9.387930000,CONVENTIONAL_TPL,ASF_OPERATOR_OTP,SAMAHA03|SAMAHR03,C146,HIGH_CURRENT_OPERATOR,n:530166.34:5065037.27,15.357955740,ROUTE_READY_LE_75M,true,true,true,ELIGIBLE,gate-d-2026-09-03-834d5caa0bfd,NEAREST_BUS_GRAPH_NODE_TECHNICAL_BINDING_IDENTITY_UNCHANGED
ASF::VACCAREZZA_CARTELLO_PAESE,2,Brivio - Vaccarezza,Brivio,45.736865000,9.436045000,CONVENTIONAL_TPL,ASF_OPERATOR_OTP,BRIVIA04|BRIVIR04,C146,HIGH_CURRENT_OPERATOR,n:533924.18:5064904.08,0.676070449,ROUTE_READY_LE_75M,true,true,true,ELIGIBLE,gate-d-2026-09-03-834d5caa0bfd,NEAREST_BUS_GRAPH_NODE_TECHNICAL_BINDING_IDENTITY_UNCHANGED
FROZEN::100005,9,Brivio - s.s. briantea,Brivio,45.734640000,9.422710000,CONVENTIONAL_TPL,FROZEN_GTFS_REFERENCE,100005,D148,MEDIUM_OFFICIAL_REFERENCE,n:532851.78:5064657.22,36.159248926,ROUTE_READY_LE_75M,true,true,true,ELIGIBLE,gate-d-2026-09-03-834d5caa0bfd,NEAREST_BUS_GRAPH_NODE_TECHNICAL_BINDING_IDENTITY_UNCHANGED
FROZEN::300063,3,Brivio - Via Bergamo (Scuola Materna),Brivio,45.741333000,9.445700000,CONVENTIONAL_TPL,FROZEN_GTFS_REFERENCE,300063,D150|D185,MEDIUM_OFFICIAL_REFERENCE,n:534678.16:5065404.73,6.130956667,ROUTE_READY_LE_75M,true,true,true,ELIGIBLE,gate-d-2026-09-03-834d5caa0bfd,NEAREST_BUS_GRAPH_NODE_TECHNICAL_BINDING_IDENTITY_UNCHANGED
FROZEN::300086,6,Brivio - beverate (cariplo),Brivio,45.740458500,9.423083000,CONVENTIONAL_TPL,FROZEN_GTFS_REFERENCE,300086|L00086,D150|D185,MEDIUM_OFFICIAL_REFERENCE,n:532908.34:5065306.79,9.710037215,ROUTE_READY_LE_75M,true,true,true,ELIGIBLE,gate-d-2026-09-03-834d5caa0bfd,NEAREST_BUS_GRAPH_NODE_TECHNICAL_BINDING_IDENTITY_UNCHANGED
FROZEN::300398,7,Brivio - beverate (paese),Brivio,45.737333500,9.428058500,CONVENTIONAL_TPL,FROZEN_GTFS_REFERENCE,300398|L00398,D150|D185,MEDIUM_OFFICIAL_REFERENCE,n:533292.19:5064957.79,10.866621936,ROUTE_READY_LE_75M,true,true,true,ELIGIBLE,gate-d-2026-09-03-834d5caa0bfd,NEAREST_BUS_GRAPH_NODE_TECHNICAL_BINDING_IDENTITY_UNCHANGED
FROZEN::300487,8,Brivio - beverate (quattro strade),Brivio,45.734708500,9.426891500,CONVENTIONAL_TPL,FROZEN_GTFS_REFERENCE,300487|L00487,D150|D185,MEDIUM_OFFICIAL_REFERENCE,n:533211.98:5064658.10,3.092255978,ROUTE_READY_LE_75M,true,true,true,ELIGIBLE,gate-d-2026-09-03-834d5caa0bfd,NEAREST_BUS_GRAPH_NODE_TECHNICAL_BINDING_IDENTITY_UNCHANGED
FROZEN::300527,5,Brivio - Via Provinciale Beverate (Elettroadda),Brivio,45.741383000,9.423391500,CONVENTIONAL_TPL,FROZEN_GTFS_REFERENCE,300527|L00527,D148|D150,MEDIUM_OFFICIAL_REFERENCE,n:532936.37:5065399.23,1.961473616,ROUTE_READY_LE_75M,true,true,true,ELIGIBLE,gate-d-2026-09-03-834d5caa0bfd,NEAREST_BUS_GRAPH_NODE_TECHNICAL_BINDING_IDENTITY_UNCHANGED
FROZEN::300634,18,Calco - via Nazionale,Calco,45.729600000,9.417783000,CONVENTIONAL_TPL,FROZEN_GTFS_REFERENCE,300634,D185,MEDIUM_OFFICIAL_REFERENCE,n:532499.08:5064091.41,8.201610561,ROUTE_READY_LE_75M,true,true,true,ELIGIBLE,gate-d-2026-09-03-834d5caa0bfd,NEAREST_BUS_GRAPH_NODE_TECHNICAL_BINDING_IDENTITY_UNCHANGED
FROZEN::300743,17,Calco - arlate (cimitero),Calco,45.723770000,9.440970000,CONVENTIONAL_TPL,FROZEN_GTFS_REFERENCE,300743,D170,MEDIUM_OFFICIAL_REFERENCE,n:534316.06:5063448.92,3.071360947,ROUTE_READY_LE_75M,true,true,true,ELIGIBLE,gate-d-2026-09-03-834d5caa0bfd,NEAREST_BUS_GRAPH_NODE_TECHNICAL_BINDING_IDENTITY_UNCHANGED
FROZEN::300782,32,S.Maria Hoe',Santa Maria Hoè,45.744308000,9.373700000,CONVENTIONAL_TPL,FROZEN_GTFS_REFERENCE,300782|L00782,D184,MEDIUM_OFFICIAL_REFERENCE,n:529070.45:5065704.08,2.987784495,ROUTE_READY_LE_75M,true,true,true,ELIGIBLE,gate-d-2026-09-03-834d5caa0bfd,NEAREST_BUS_GRAPH_NODE_TECHNICAL_BINDING_IDENTITY_UNCHANGED
FROZEN::300805,34,Santa Maria Hoè - Tremonte / Via Trento,Santa Maria Hoè,45.742700000,9.378385000,CONVENTIONAL_TPL,FROZEN_GTFS_REFERENCE,300805|L00904,D184,MEDIUM_OFFICIAL_REFERENCE,n:529432.61:5065522.14,8.099076851,ROUTE_READY_LE_75M,true,true,true,ELIGIBLE,gate-d-2026-09-03-834d5caa0bfd,NEAREST_BUS_GRAPH_NODE_TECHNICAL_BINDING_IDENTITY_UNCHANGED
FROZEN::300873,30,Hoe',Santa Maria Hoè,45.748633500,9.367867000,CONVENTIONAL_TPL,FROZEN_GTFS_REFERENCE,300873|L00873,D184,MEDIUM_OFFICIAL_REFERENCE,n:528613.81:5066189.00,3.650326969,ROUTE_READY_LE_75M,true,true,true,ELIGIBLE,gate-d-2026-09-03-834d5caa0bfd,NEAREST_BUS_GRAPH_NODE_TECHNICAL_BINDING_IDENTITY_UNCHANGED
FROZEN::300879,23,Rovagnate - vinicola ghezzi,La Valletta Brianza,45.739750000,9.364683500,CONVENTIONAL_TPL,FROZEN_GTFS_REFERENCE,300879|L00879,D160|D184,MEDIUM_OFFICIAL_REFERENCE,n:528369.47:5065199.46,2.384372265,ROUTE_READY_LE_75M,true,true,true,ELIGIBLE,gate-d-2026-09-03-834d5caa0bfd,NEAREST_BUS_GRAPH_NODE_TECHNICAL_BINDING_IDENTITY_UNCHANGED
FROZEN::300956,24,Calco - via nazionale (peugeot),Olgiate Molgora,45.736350000,9.419490000,CONVENTIONAL_TPL,FROZEN_GTFS_REFERENCE,300956|L00956,D148|D150|D185,MEDIUM_OFFICIAL_REFERENCE,n:532637.53:5064842.40,2.510065834,ROUTE_READY_LE_75M,true,true,true,ELIGIBLE,gate-d-2026-09-03-834d5caa0bfd,NEAREST_BUS_GRAPH_NODE_TECHNICAL_BINDING_IDENTITY_UNCHANGED
FROZEN::L00407,29,Olgiate-Calco-Brivio FS,Olgiate Molgora,45.729170000,9.404410000,CONVENTIONAL_TPL,FROZEN_GTFS_REFERENCE,L00407,D184|D185,MEDIUM_OFFICIAL_REFERENCE,n:531469.30:5064033.74,3.825434085,ROUTE_READY_LE_75M,true,true,true,ELIGIBLE,gate-d-2026-09-03-834d5caa0bfd,NEAREST_BUS_GRAPH_NODE_TECHNICAL_BINDING_IDENTITY_UNCHANGED
MANUAL::CALCO_SCAGNELLO,15,Calco - Via Statale / Via Scagnello (Esselunga),Calco,45.716868300,9.408166400,CONVENTIONAL_TPL,GOOGLE_MAPS_MANUAL|ASF_C146_OBSERVED,CALCOA04|CALCOR04,C146,HIGH_MANUAL_CURRENT,n:531765.58:5062675.56,4.185055604,ROUTE_READY_LE_75M,true,true,true,ELIGIBLE,gate-d-2026-09-03-834d5caa0bfd,NEAREST_BUS_GRAPH_NODE_TECHNICAL_BINDING_IDENTITY_UNCHANGED
SPECIAL::CASA_DI_COMUNITA_OLGIATE,25,Casa di Comunità Olgiate Molgora,Olgiate Molgora,45.722131300,9.397973600,SPECIAL_SERVICE,SPECIAL_SERVICE_EVIDENCE,NAVETTA_MANDIC_MANZONI::001,NAVETTA_MANDIC_MANZONI,HIGH_CURRENT_SPECIAL_SERVICE,n:530978.15:5063253.02,8.294580769,ROUTE_READY_LE_75M,true,false,false,SERVICE_CLASS_SPECIAL_SERVICE_NOT_AUTOMATIC,gate-d-2026-09-03-834d5caa0bfd,NEAREST_BUS_GRAPH_NODE_TECHNICAL_BINDING_IDENTITY_UNCHANGED
