Anno,Stazione_std,Stazione,Saliti24H,Indice_2019_100,Fonte_periodo
2025,CERNUSCO-MERATE,Cernusco-Merate,2620.0,173.50993377483442,Frequentazione stazioni SFR (2024-2025)
2015,LECCO,Lecco,9160.0,97.96791443850267,Flussi Stazioni Ferroviarie (2015-2023)
2016,LECCO,Lecco,9340.0,99.89304812834224,Flussi Stazioni Ferroviarie (2015-2023)
2017,LECCO,Lecco,9300.0,99.46524064171123,Flussi Stazioni Ferroviarie (2015-2023)
2018,LECCO,Lecco,10170.0,108.77005347593582,Flussi Stazioni Ferroviarie (2015-2023)
2019,LECCO,Lecco,9350.0,100.0,Flussi Stazioni Ferroviarie (2015-2023)
2020,LECCO,Lecco,1970.0,21.06951871657754,Flussi Stazioni Ferroviarie (2015-2023)
2021,LECCO,Lecco,7550.0,80.74866310160428,Flussi Stazioni Ferroviarie (2015-2023)
2022,LECCO,Lecco,8010.0,85.66844919786097,Flussi Stazioni Ferroviarie (2015-2023)
2023,LECCO,Lecco,9600.0,102.67379679144386,Flussi Stazioni Ferroviarie (2015-2023)
2024,LECCO,Lecco,10780.0,115.29411764705881,Frequentazione stazioni SFR (2024-2025)
2025,LECCO,Lecco,12400.0,132.62032085561498,Frequentazione stazioni SFR (2024-2025)
2015,MILANO GRECO PIRELLI,Milano Greco Pirelli,14940.0,88.87566924449732,Flussi Stazioni Ferroviarie (2015-2023)
2016,MILANO GRECO PIRELLI,Milano Greco Pirelli,16130.0,95.95478881618085,Flussi Stazioni Ferroviarie (2015-2023)
2017,MILANO GRECO PIRELLI,Milano Greco Pirelli,15910.0,94.64604402141582,Flussi Stazioni Ferroviarie (2015-2023)
2018,MILANO GRECO PIRELLI,Milano Greco Pirelli,16230.0,96.54967281380131,Flussi Stazioni Ferroviarie (2015-2023)
2019,MILANO GRECO PIRELLI,Milano Greco Pirelli,16810.0,100.0,Flussi Stazioni Ferroviarie (2015-2023)
2020,MILANO GRECO PIRELLI,Milano Greco Pirelli,2390.0,14.217727543129092,Flussi Stazioni Ferroviarie (2015-2023)
2021,MILANO GRECO PIRELLI,Milano Greco Pirelli,9530.0,56.69244497323022,Flussi Stazioni Ferroviarie (2015-2023)
2022,MILANO GRECO PIRELLI,Milano Greco Pirelli,12500.0,74.360499702558,Flussi Stazioni Ferroviarie (2015-2023)
2023,MILANO GRECO PIRELLI,Milano Greco Pirelli,11670.0,69.42296252230815,Flussi Stazioni Ferroviarie (2015-2023)
2024,MILANO GRECO PIRELLI,Milano Greco Pirelli,13400.0,79.71445568114218,Frequentazione stazioni SFR (2024-2025)
2025,MILANO GRECO PIRELLI,Milano Greco Pirelli,15100.0,89.82748364069006,Frequentazione stazioni SFR (2024-2025)
2015,MILANO PORTA GARIBALDI,Milano Porta Garibaldi,34710.0,92.98151620680419,Flussi Stazioni Ferroviarie (2015-2023)
2016,MILANO PORTA GARIBALDI,Milano Porta Garibaldi,34560.0,92.57969461559068,Flussi Stazioni Ferroviarie (2015-2023)
2017,MILANO PORTA GARIBALDI,Milano Porta Garibaldi,33010.0,88.42753817305116,Flussi Stazioni Ferroviarie (2015-2023)
2018,MILANO PORTA GARIBALDI,Milano Porta Garibaldi,37050.0,99.24993302973479,Flussi Stazioni Ferroviarie (2015-2023)
2019,MILANO PORTA GARIBALDI,Milano Porta Garibaldi,37330.0,100.0,Flussi Stazioni Ferroviarie (2015-2023)
2020,MILANO PORTA GARIBALDI,Milano Porta Garibaldi,7490.0,20.06429145459416,Flussi Stazioni Ferroviarie (2015-2023)
2021,MILANO PORTA GARIBALDI,Milano Porta Garibaldi,22400.0,60.005357621216184,Flussi Stazioni Ferroviarie (2015-2023)
2022,MILANO PORTA GARIBALDI,Milano Porta Garibaldi,28430.0,76.15858558799893,Flussi Stazioni Ferroviarie (2015-2023)
2023,MILANO PORTA GARIBALDI,Milano Porta Garibaldi,27440.0,73.50656308598982,Flussi Stazioni Ferroviarie (2015-2023)
2024,MILANO PORTA GARIBALDI,Milano Porta Garibaldi,27860.0,74.63166354138762,Frequentazione stazioni SFR (2024-2025)
2025,MILANO PORTA GARIBALDI,Milano Porta Garibaldi,26180.0,70.13126171979641,Frequentazione stazioni SFR (2024-2025)
2015,MONZA,Monza,18170.0,82.85453716370269,Flussi Stazioni Ferroviarie (2015-2023)
2016,MONZA,Monza,20250.0,92.33926128590971,Flussi Stazioni Ferroviarie (2015-2023)
2017,MONZA,Monza,21030.0,95.89603283173734,Flussi Stazioni Ferroviarie (2015-2023)
2018,MONZA,Monza,21670.0,98.81440948472412,Flussi Stazioni Ferroviarie (2015-2023)
2019,MONZA,Monza,21930.0,100.0,Flussi Stazioni Ferroviarie (2015-2023)
2020,MONZA,Monza,5870.0,26.766985864113085,Flussi Stazioni Ferroviarie (2015-2023)
2021,MONZA,Monza,16220.0,73.9626082991336,Flussi Stazioni Ferroviarie (2015-2023)
2022,MONZA,Monza,20540.0,93.66165070679435,Flussi Stazioni Ferroviarie (2015-2023)
2023,MONZA,Monza,20260.0,92.38486092111263,Flussi Stazioni Ferroviarie (2015-2023)
2024,MONZA,Monza,20880.0,95.21203830369357,Frequentazione stazioni SFR (2024-2025)
2025,MONZA,Monza,21610.0,98.54081167350661,Frequentazione stazioni SFR (2024-2025)
2015,OLGIATE-CALCO-BRIVIO,Olgiate-Calco-Brivio,1560.0,109.85915492957747,Flussi Stazioni Ferroviarie (2015-2023)
