stop_id,stop_name,stop_lat,stop_lon,stop_url
S00402,Pieve Albignola,45.116222,8.95963,https://www.trenord.it/linee-e-orari/circolazione/stazione/?mir-code=S00402&no_cache=1&utm_source=google_maps&utm_medium=transit&utm_campaign=gtfs_stops&utm_content=stop_S00402
S00403,Sannazzaro,45.105453,8.905213,https://www.trenord.it/linee-e-orari/circolazione/stazione/?mir-code=S00403&no_cache=1&utm_source=google_maps&utm_medium=transit&utm_campaign=gtfs_stops&utm_content=stop_S00403
S00404,Ferrera Lomellina,45.111857,8.862877,https://www.trenord.it/linee-e-orari/circolazione/stazione/?mir-code=S00404&no_cache=1&utm_source=google_maps&utm_medium=transit&utm_campaign=gtfs_stops&utm_content=stop_S00404
S00405,Lomello,45.11735,8.799164,https://www.trenord.it/linee-e-orari/circolazione/stazione/?mir-code=S00405&no_cache=1&utm_source=google_maps&utm_medium=transit&utm_campaign=gtfs_stops&utm_content=stop_S00405
S00406,Mede,45.095125,8.742553,https://www.trenord.it/linee-e-orari/circolazione/stazione/?mir-code=S00406&no_cache=1&utm_source=google_maps&utm_medium=transit&utm_campaign=gtfs_stops&utm_content=stop_S00406
S00408,Sairano,45.138885,9.047112,https://www.trenord.it/linee-e-orari/circolazione/stazione/?mir-code=S00408&no_cache=1&utm_source=google_maps&utm_medium=transit&utm_campaign=gtfs_stops&utm_content=stop_S00408
S00462,Asti,44.8951938,8.2065743,https://www.trenord.it/linee-e-orari/circolazione/stazione/?mir-code=S00462&no_cache=1&utm_source=google_maps&utm_medium=transit&utm_campaign=gtfs_stops&utm_content=stop_S00462
S00470,Alessandria,44.90879686071896,8.607535822090085,https://www.trenord.it/linee-e-orari/circolazione/stazione/?mir-code=S00470&no_cache=1&utm_source=google_maps&utm_medium=transit&utm_campaign=gtfs_stops&utm_content=stop_S00470
S01002,Edolo,46.177007,10.329482,https://www.trenord.it/linee-e-orari/circolazione/stazione/?mir-code=S01002&no_cache=1&utm_source=google_maps&utm_medium=transit&utm_campaign=gtfs_stops&utm_content=stop_S01002
S01003,Domodossola,46.11543845570037,8.296412597264748,https://www.trenord.it/linee-e-orari/circolazione/stazione/?mir-code=S01003&no_cache=1&utm_source=google_maps&utm_medium=transit&utm_campaign=gtfs_stops&utm_content=stop_S01003
S01005,Breno,45.959015,10.305803,https://www.trenord.it/linee-e-orari/circolazione/stazione/?mir-code=S01005&no_cache=1&utm_source=google_maps&utm_medium=transit&utm_campaign=gtfs_stops&utm_content=stop_S01005
S01006,Darfo-Corna,45.884297,10.181062,https://www.trenord.it/linee-e-orari/circolazione/stazione/?mir-code=S01006&no_cache=1&utm_source=google_maps&utm_medium=transit&utm_campaign=gtfs_stops&utm_content=stop_S01006
S01008,Vogogna Ossola,46.00588650761381,8.294683330024782,https://www.trenord.it/linee-e-orari/circolazione/stazione/?mir-code=S01008&no_cache=1&utm_source=google_maps&utm_medium=transit&utm_campaign=gtfs_stops&utm_content=stop_S01008
S01009,Premosello Chiovenda,46.00245330132389,8.327184641410327,https://www.trenord.it/linee-e-orari/circolazione/stazione/?mir-code=S01009&no_cache=1&utm_source=google_maps&utm_medium=transit&utm_campaign=gtfs_stops&utm_content=stop_S01009
S01010,Cuzzago,45.99382060242976,8.372871699405664,https://www.trenord.it/linee-e-orari/circolazione/stazione/?mir-code=S01010&no_cache=1&utm_source=google_maps&utm_medium=transit&utm_campaign=gtfs_stops&utm_content=stop_S01010
S01012,Mergozzo,45.96130152959827,8.440907530959748,https://www.trenord.it/linee-e-orari/circolazione/stazione/?mir-code=S01012&no_cache=1&utm_source=google_maps&utm_medium=transit&utm_campaign=gtfs_stops&utm_content=stop_S01012
S01013,Verbania-Pallanza,45.94378507165894,8.47202962115523,https://www.trenord.it/linee-e-orari/circolazione/stazione/?mir-code=S01013&no_cache=1&utm_source=google_maps&utm_medium=transit&utm_campaign=gtfs_stops&utm_content=stop_S01013
S01014,Pisogne,45.80655779665504,10.105941209330354,https://www.trenord.it/linee-e-orari/circolazione/stazione/?mir-code=S01014&no_cache=1&utm_source=google_maps&utm_medium=transit&utm_campaign=gtfs_stops&utm_content=stop_S01014
S01015,Baveno,45.90915404321978,8.5020791140862,https://www.trenord.it/linee-e-orari/circolazione/stazione/?mir-code=S01015&no_cache=1&utm_source=google_maps&utm_medium=transit&utm_campaign=gtfs_stops&utm_content=stop_S01015
S01016,Stresa,45.884624,8.531605,https://www.trenord.it/linee-e-orari/circolazione/stazione/?mir-code=S01016&no_cache=1&utm_source=google_maps&utm_medium=transit&utm_campaign=gtfs_stops&utm_content=stop_S01016
S01017,Belgirate,45.84333885700045,8.571102302787267,https://www.trenord.it/linee-e-orari/circolazione/stazione/?mir-code=S01017&no_cache=1&utm_source=google_maps&utm_medium=transit&utm_campaign=gtfs_stops&utm_content=stop_S01017
S01018,Lesa,45.82571418920061,8.558696029430394,https://www.trenord.it/linee-e-orari/circolazione/stazione/?mir-code=S01018&no_cache=1&utm_source=google_maps&utm_medium=transit&utm_campaign=gtfs_stops&utm_content=stop_S01018
S01019,Meina,45.79439870615758,8.535968132813423,https://www.trenord.it/linee-e-orari/circolazione/stazione/?mir-code=S01019&no_cache=1&utm_source=google_maps&utm_medium=transit&utm_campaign=gtfs_stops&utm_content=stop_S01019
S01020,Arona,45.755730021456394,8.55981829638199,https://www.trenord.it/linee-e-orari/circolazione/stazione/?mir-code=S01020&no_cache=1&utm_source=google_maps&utm_medium=transit&utm_campaign=gtfs_stops&utm_content=stop_S01020
S01021,Iseo,45.656582,10.050068,https://www.trenord.it/linee-e-orari/circolazione/stazione/?mir-code=S01021&no_cache=1&utm_source=google_maps&utm_medium=transit&utm_campaign=gtfs_stops&utm_content=stop_S01021
S01022,Milano Tibaldi - Bocconi,45.443694,9.184083,https://www.trenord.it/linee-e-orari/circolazione/stazione/?mir-code=S01022&no_cache=1&utm_source=google_maps&utm_medium=transit&utm_campaign=gtfs_stops&utm_content=stop_S01022
S01025,Dormelletto,45.723397661569194,8.582262404928201,https://www.trenord.it/linee-e-orari/circolazione/stazione/?mir-code=S01025&no_cache=1&utm_source=google_maps&utm_medium=transit&utm_campaign=gtfs_stops&utm_content=stop_S01025
S01026,Sesto Calende,45.725978,8.628505,https://www.trenord.it/linee-e-orari/circolazione/stazione/?mir-code=S01026&no_cache=1&utm_source=google_maps&utm_medium=transit&utm_campaign=gtfs_stops&utm_content=stop_S01026
S01027,Vergiate,45.717278,8.693356,https://www.trenord.it/linee-e-orari/circolazione/stazione/?mir-code=S01027&no_cache=1&utm_source=google_maps&utm_medium=transit&utm_campaign=gtfs_stops&utm_content=stop_S01027
S01028,Somma Lombardo,45.686358,8.712925,https://www.trenord.it/linee-e-orari/circolazione/stazione/?mir-code=S01028&no_cache=1&utm_source=google_maps&utm_medium=transit&utm_campaign=gtfs_stops&utm_content=stop_S01028
S01029,Casorate Sempione,45.674963,8.743964,https://www.trenord.it/linee-e-orari/circolazione/stazione/?mir-code=S01029&no_cache=1&utm_source=google_maps&utm_medium=transit&utm_campaign=gtfs_stops&utm_content=stop_S01029
S01030,Gallarate,45.659620757243054,8.798340151826324,https://www.trenord.it/linee-e-orari/circolazione/stazione/?mir-code=S01030&no_cache=1&utm_source=google_maps&utm_medium=transit&utm_campaign=gtfs_stops&utm_content=stop_S01030
S01031,Busto Arsizio,45.616031371685544,8.86469814847942,https://www.trenord.it/linee-e-orari/circolazione/stazione/?mir-code=S01031&no_cache=1&utm_source=google_maps&utm_medium=transit&utm_campaign=gtfs_stops&utm_content=stop_S01031
S01032,Milano Romolo,45.44321124943167,9.16740447838049,https://www.trenord.it/linee-e-orari/circolazione/stazione/?mir-code=S01032&no_cache=1&utm_source=google_maps&utm_medium=transit&utm_campaign=gtfs_stops&utm_content=stop_S01032
