alpha_stop_id,physical_cluster_id,human_label,municipality,lat,lon,graph_node_id,snap_distance_m,snap_status,stop_class,evidence_status,physical_status,candidate_status,field_check_status,current_routes,current_d184_d185,existing_official,human_identity_ready,route_ready,in_study_area,alpha_design_eligible,alpha_eligibility_reason,infrastructure_reuse_scope,source_lineage,epoch_id
existing:EX_017,EX_017,Olginate - fornasette,Brivio,45.7686,9.424767,n:533027.18:5068353.33,65.097966889,ROUTE_READY_LE_75M,EXISTING_OFFICIAL,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,EXISTING_OFFICIAL_STOP_CLUSTER,NOT_PROPOSED,NOT_REQUIRED_FOR_EXISTING_IDENTITY,,False,True,True,True,True,True,ELIGIBLE_EXISTING_OFFICIAL_INFRASTRUCTURE,REFERENCE_PERIOD_OFFICIAL_STOP_REUSE_CANDIDATE,stop_universe_v2/existing_official_stops.csv,gate-d-2026-09-03-834d5caa0bfd
existing:EX_034,EX_034,Calolziocorte - gerola capolinea arrivo,Brivio,45.77278,9.44363,n:534486.96:5068902.57,6.544467615,ROUTE_READY_LE_75M,EXISTING_OFFICIAL,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,EXISTING_OFFICIAL_STOP_CLUSTER,NOT_PROPOSED,NOT_REQUIRED_FOR_EXISTING_IDENTITY,,False,True,True,True,True,True,ELIGIBLE_EXISTING_OFFICIAL_INFRASTRUCTURE,REFERENCE_PERIOD_OFFICIAL_STOP_REUSE_CANDIDATE,stop_universe_v2/existing_official_stops.csv,gate-d-2026-09-03-834d5caa0bfd
existing:EX_036,EX_036,Brivio - capolinea,Brivio,45.74245,9.44585,n:534674.07:5065528.61,8.965309601,ROUTE_READY_LE_75M,EXISTING_OFFICIAL,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,EXISTING_OFFICIAL_STOP_CLUSTER,NOT_PROPOSED,NOT_REQUIRED_FOR_EXISTING_IDENTITY,D185,True,True,True,True,True,True,ELIGIBLE_EXISTING_OFFICIAL_INFRASTRUCTURE,CURRENT_D184_D185_OFFICIAL_STOP,stop_universe_v2/existing_official_stops.csv,gate-d-2026-09-03-834d5caa0bfd
existing:EX_040,EX_040,Monte Marenzo - bisone via industriale,Brivio,45.766183,9.445683,n:534661.16:5068133.30,33.145092116,ROUTE_READY_LE_75M,EXISTING_OFFICIAL,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,EXISTING_OFFICIAL_STOP_CLUSTER,NOT_PROPOSED,NOT_REQUIRED_FOR_EXISTING_IDENTITY,,False,True,True,True,True,True,ELIGIBLE_EXISTING_OFFICIAL_INFRASTRUCTURE,REFERENCE_PERIOD_OFFICIAL_STOP_REUSE_CANDIDATE,stop_universe_v2/existing_official_stops.csv,gate-d-2026-09-03-834d5caa0bfd
existing:EX_005,EX_005,Calco - via statale (edicola),Calco,45.723933,9.4151,n:532307.89:5063449.27,4.75378198,ROUTE_READY_LE_75M,EXISTING_OFFICIAL,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,EXISTING_OFFICIAL_STOP_CLUSTER,NOT_PROPOSED,NOT_REQUIRED_FOR_EXISTING_IDENTITY,,False,True,True,True,True,True,ELIGIBLE_EXISTING_OFFICIAL_INFRASTRUCTURE,REFERENCE_PERIOD_OFFICIAL_STOP_REUSE_CANDIDATE,stop_universe_v2/existing_official_stops.csv,gate-d-2026-09-03-834d5caa0bfd
existing:EX_007,EX_007,Calco - via virgilio,Calco,45.72495,9.41495,n:532282.82:5063572.95,6.612103668,ROUTE_READY_LE_75M,EXISTING_OFFICIAL,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,EXISTING_OFFICIAL_STOP_CLUSTER,NOT_PROPOSED,NOT_REQUIRED_FOR_EXISTING_IDENTITY,D185,True,True,True,True,True,True,ELIGIBLE_EXISTING_OFFICIAL_INFRASTRUCTURE,CURRENT_D184_D185_OFFICIAL_STOP,stop_universe_v2/existing_official_stops.csv,gate-d-2026-09-03-834d5caa0bfd
existing:EX_015,EX_015,Calco - arlate - (provinciale),Calco,45.7235,9.443967,n:534549.56:5063427.02,4.211454497,ROUTE_READY_LE_75M,EXISTING_OFFICIAL,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,EXISTING_OFFICIAL_STOP_CLUSTER,NOT_PROPOSED,NOT_REQUIRED_FOR_EXISTING_IDENTITY,,False,True,True,True,True,True,ELIGIBLE_EXISTING_OFFICIAL_INFRASTRUCTURE,REFERENCE_PERIOD_OFFICIAL_STOP_REUSE_CANDIDATE,stop_universe_v2/existing_official_stops.csv,gate-d-2026-09-03-834d5caa0bfd
existing:EX_016,EX_016,Calco - via Nazionale,Calco,45.7296,9.417783,n:532499.08:5064091.41,8.201610561,ROUTE_READY_LE_75M,EXISTING_OFFICIAL,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,EXISTING_OFFICIAL_STOP_CLUSTER,NOT_PROPOSED,NOT_REQUIRED_FOR_EXISTING_IDENTITY,D185,True,True,True,True,True,True,ELIGIBLE_EXISTING_OFFICIAL_INFRASTRUCTURE,CURRENT_D184_D185_OFFICIAL_STOP,stop_universe_v2/existing_official_stops.csv,gate-d-2026-09-03-834d5caa0bfd
existing:EX_019,EX_019,Calco - via virgilio (pensilina asf),Calco,45.725017,9.40995,n:531927.07:5063574.22,9.583088534,ROUTE_READY_LE_75M,EXISTING_OFFICIAL,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,EXISTING_OFFICIAL_STOP_CLUSTER,NOT_PROPOSED,NOT_REQUIRED_FOR_EXISTING_IDENTITY,D185,True,True,True,True,True,True,ELIGIBLE_EXISTING_OFFICIAL_INFRASTRUCTURE,CURRENT_D184_D185_OFFICIAL_STOP,stop_universe_v2/existing_official_stops.csv,gate-d-2026-09-03-834d5caa0bfd
existing:EX_020,EX_020,Calco - arlate (cimitero),Calco,45.72377,9.44097,n:534316.06:5063448.92,3.071360947,ROUTE_READY_LE_75M,EXISTING_OFFICIAL,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,EXISTING_OFFICIAL_STOP_CLUSTER,NOT_PROPOSED,NOT_REQUIRED_FOR_EXISTING_IDENTITY,,False,True,True,True,True,True,ELIGIBLE_EXISTING_OFFICIAL_INFRASTRUCTURE,REFERENCE_PERIOD_OFFICIAL_STOP_REUSE_CANDIDATE,stop_universe_v2/existing_official_stops.csv,gate-d-2026-09-03-834d5caa0bfd
existing:EX_021,EX_021,Merate - sartirana (cimitero),Calco,45.71986,9.42384,n:532984.63:5063005.09,5.06119003,ROUTE_READY_LE_75M,EXISTING_OFFICIAL,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,EXISTING_OFFICIAL_STOP_CLUSTER,NOT_PROPOSED,NOT_REQUIRED_FOR_EXISTING_IDENTITY,,False,True,True,True,True,True,ELIGIBLE_EXISTING_OFFICIAL_INFRASTRUCTURE,REFERENCE_PERIOD_OFFICIAL_STOP_REUSE_CANDIDATE,stop_universe_v2/existing_official_stops.csv,gate-d-2026-09-03-834d5caa0bfd
existing:EX_031,EX_031,Imbersago - arlate (fiorista),Calco,45.718483,9.4446,n:534603.14:5062862.41,4.338066972,ROUTE_READY_LE_75M,EXISTING_OFFICIAL,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,EXISTING_OFFICIAL_STOP_CLUSTER,NOT_PROPOSED,NOT_REQUIRED_FOR_EXISTING_IDENTITY,,False,True,True,True,True,True,ELIGIBLE_EXISTING_OFFICIAL_INFRASTRUCTURE,REFERENCE_PERIOD_OFFICIAL_STOP_REUSE_CANDIDATE,stop_universe_v2/existing_official_stops.csv,gate-d-2026-09-03-834d5caa0bfd
