leg,direction,journey_count,demand_weight,demand_semantics
OUTBOUND_BUS_TO_RAIL,LECCO,15,697.000000000,ISTAT_2021_WORKER_COUNT_ADDRESSABLE_TO_DIRECT_S8_NOT_MODAL_SHARE
OUTBOUND_BUS_TO_RAIL,MILANO,35,1185.000000000,ISTAT_2021_WORKER_COUNT_ADDRESSABLE_TO_DIRECT_S8_NOT_MODAL_SHARE
RETURN_RAIL_TO_BUS,LECCO,35,1185.000000000,ISTAT_2021_WORKER_COUNT_ADDRESSABLE_TO_DIRECT_S8_NOT_MODAL_SHARE
RETURN_RAIL_TO_BUS,MILANO,15,697.000000000,ISTAT_2021_WORKER_COUNT_ADDRESSABLE_TO_DIRECT_S8_NOT_MODAL_SHARE
